iter	Passed	Remaining
0	141	141271
1	144	72009
2	146	48695
3	149	37141
4	152	30268
5	153	25348
6	155	22024
7	157	19583
8	160	17622
9	162	16136
10	165	14888
11	167	13775
12	169	12850
13	171	12094
14	174	11461
15	176	10840
16	179	10362
17	181	9910
18	185	9563
19	187	9211
20	190	8889
21	192	8552
22	194	8277
23	197	8043
24	199	7791
25	202	7586
26	204	7383
27	206	7169
28	209	7005
29	211	6838
30	214	6691
31	216	6556
32	219	6430
33	222	6308
34	224	6176
35	226	6060
36	229	5965
37	231	5864
38	234	5783
39	236	5683
40	239	5592
41	241	5509
42	243	5427
43	246	5355
44	249	5305
45	252	5232
46	254	5154
47	256	5086
48	258	5017
49	260	4949
50	262	4884
51	264	4822
52	266	4767
53	268	4712
54	270	4649
55	273	4608
56	275	4558
57	278	4519
58	280	4476
59	282	4431
60	284	4374
61	286	4332
62	289	4298
63	291	4267
64	294	4237
65	297	4207
66	299	4171
67	301	4128
68	303	4101
69	307	4082
70	310	4060
71	313	4037
72	315	4000
73	317	3974
74	320	3954
75	324	3939
76	327	3930
77	331	3914
78	333	3890
79	337	3878
80	340	3865
81	344	3851
82	347	3835
83	350	3818
84	353	3802
85	355	3782
86	358	3758
87	359	3725
88	362	3707
89	365	3691
90	368	3676
91	371	3666
92	373	3642
93	376	3624
94	379	3611
95	381	3588
96	383	3574
97	387	3567
98	390	3556
99	393	3542
100	396	3531
101	399	3520
102	402	3506
103	406	3502
104	409	3488
105	411	3467
106	413	3453
107	416	3439
108	419	3426
109	421	3408
110	423	3394
111	425	3376
112	428	3365
113	431	3352
114	433	3336
115	436	3325
116	439	3315
117	441	3296
118	443	3283
119	445	3270
120	449	3262
121	451	3250
122	454	3238
123	456	3224
124	458	3210
125	461	3199
126	463	3189
127	467	3182
128	469	3172
129	472	3165
130	475	3154
131	478	3144
132	480	3134
133	483	3125
134	485	3113
135	487	3097
136	489	3082
137	491	3068
138	493	3054
139	494	3036
140	496	3023
141	499	3017
142	501	3006
143	503	2993
144	505	2981
145	508	2974
146	511	2966
147	513	2958
148	515	2946
149	518	2936
150	520	2924
151	522	2915
152	525	2908
153	526	2893
154	529	2886
155	532	2880
156	534	2868
157	535	2854
158	537	2843
159	540	2837
160	543	2832
161	546	2826
162	548	2817
163	549	2802
164	552	2797
165	555	2792
166	558	2786
167	561	2780
168	564	2774
169	567	2768
170	569	2760
171	571	2750
172	574	2744
173	576	2737
174	578	2728
175	580	2718
176	583	2712
177	586	2706
178	588	2700
179	591	2695
180	594	2690
181	596	2683
182	599	2676
183	602	2670
184	604	2664
185	607	2659
186	610	2654
187	613	2649
188	616	2644
189	619	2641
190	622	2634
191	624	2628
192	627	2623
193	629	2615
194	632	2609
195	634	2604
196	636	2593
197	638	2587
198	641	2581
199	643	2574
200	645	2566
201	648	2561
202	650	2552
203	652	2545
204	654	2538
205	657	2532
206	658	2524
207	661	2517
208	663	2512
209	665	2504
210	668	2499
211	670	2493
212	673	2488
213	675	2482
214	678	2477
215	680	2471
216	683	2464
217	685	2459
218	688	2453
219	690	2448
220	693	2443
221	694	2433
222	695	2422
223	696	2413
224	698	2404
225	698	2392
226	700	2385
227	702	2378
228	704	2372
229	706	2366
230	708	2359
231	711	2355
232	713	2350
