iter	Passed	Remaining
0	166	1667152
1	307	1536332
2	443	1479102
3	584	1461238
4	722	1444321
5	858	1429464
6	1006	1437413
7	1158	1446982
8	1287	1429137
9	1402	1400661
10	1502	1364662
11	1608	1339115
12	1740	1337347
13	1883	1343731
14	2013	1340014
15	2143	1337812
16	2279	1338613
17	2412	1337863
18	2552	1340973
19	2693	1343874
20	2826	1343170
21	2965	1345121
22	3106	1347721
23	3246	1349579
24	3374	1346419
25	3501	1343177
26	3633	1342141
27	3772	1343378
28	3905	1342923
29	4040	1342727
30	4178	1343726
31	4325	1347517
32	4459	1346811
33	4602	1349075
34	4743	1350498
35	4875	1349351
36	5007	1348427
37	5145	1348897
38	5307	1355670
39	5454	1358221
40	5597	1359625
41	5736	1360173
42	5872	1359831
43	6010	1359984
44	6145	1359453
45	6283	1359720
46	6406	1356579
47	6552	1358457
48	6675	1355577
49	6792	1351743
50	6926	1351295
51	7063	1351326
52	7205	1352390
53	7347	1353260
54	7476	1351839
55	7617	1352622
56	7757	1353174
57	7884	1351504
58	8020	1351359
59	8167	1353007
60	8304	1353041
61	8441	1353135
62	8580	1353418
63	8710	1352289
64	8842	1351613
65	8977	1351299
66	9120	1352171
67	9260	1352523
68	9400	1352976
69	9540	1353434
70	9688	1354819
71	9826	1354954
72	9955	1353872
73	10095	1354131
74	10236	1354607
75	10365	1353573
76	10509	1354404
77	10652	1355031
78	10788	1354789
79	10931	1355473
80	11063	1354752
81	11204	1355237
82	11333	1354144
83	11461	1352997
84	11598	1352963
85	11739	1353336
86	11874	1353032
87	12015	1353345
88	12152	1353256
89	12288	1353077
90	12417	1352124
91	12552	1351843
92	12691	1352006
93	12835	1352665
94	12977	1353119
95	13120	1353574
96	13258	1353571
97	13398	1353751
98	13544	1354544
99	13678	1354126
100	13814	1353914
101	13952	1353968
102	14089	1353835
103	14232	1354267
104	14367	1353953
105	14504	1353843
106	14647	1354276
107	14785	1354200
108	14917	1353662
109	15058	1353938
110	15191	1353398
111	15330	1353437
112	15456	1352378
113	15599	1352738
114	15733	1352379
115	15863	1351720
116	16002	1351732
117	16136	1351403
118	16271	1351066
119	16401	1350391
120	16537	1350234
121	16669	1349695
122	16816	1350339
123	16938	1349090
124	17081	1349475
125	17217	1349242
126	17345	1348480
127	17461	1346680
128	17596	1346463
129	17732	1346307
130	17871	1346368
131	18014	1346733
132	18150	1346545
133	18287	1346456
134	18417	1345826
135	18555	1345798
136	18691	1345677
137	18834	1345977
138	18974	1346081
139	19119	1346566
140	19262	1346889
141	19393	1346372
142	19538	1346761
143	19675	1346685
144	19816	1346830
145	19952	1346625
146	20092	1346755
147	20232	1346832
148	20372	1346906
149	20509	1346822
150	20654	1347207
151	20790	1347022
152	20929	1347004
153	21070	1347158
154	21207	1347004
155	21341	1346729
156	21483	1346875
157	21623	1346946
158	21762	1346968
159	21902	1346984
160	22045	1347253
161	22193	1347777
162	22328	1347531
163	22470	1347700
164	22606	1347507
165	22739	1347135
166	22883	1347377
167	23011	1346704
168	23149	1346636
169	23287	1346581
170	23426	1346521
171	23561	1346299
172	23698	1346141
173	23836	1346095
174	23962	1345318
175	24097	1345081
176	24240	1345283
177	24370	1344780
178	24504	1344460
179	24641	1344351
180	24785	1344582
181	24944	1345612
182	25097	1346354
183	25252	1347170
184	25390	1347068
185	25514	1346207
186	25656	1346343
187	25787	1345895
188	25928	1345962
189	26064	1345746
190	26202	1345645
191	26339	1345524
192	26472	1345173
193	26609	1345016
194	26742	1344671
195	26880	1344560
196	27022	1344664
197	27161	1344647
198	27302	1344680
199	27434	1344277
200	27576	1344381
201	27712	1344176
202	27850	1344080
203	27992	1344189
204	28126	1343903
205	28264	1343813
206	28393	1343256
207	28529	1343095
208	28657	1342516
209	28799	1342609
210	28934	1342382
211	29079	1342593
212	29226	1342924
213	29353	1342319
214	29494	1342337
215	29623	1341834
216	29763	1341844
217	29895	1341442
218	30029	1341193
219	30166	1341059
220	30294	1340497
221	30427	1340191
222	30563	1340008
223	30702	1339923
224	30838	1339760
225	30972	1339477
226	31118	1339735
227	31251	1339428
228	31384	1339116
229	31525	1339159
230	31668	1339281
231	31808	1339253
232	31944	1339081
233	32090	1339294
234	32230	1339278
235	32358	1338762
236	32502	1338923
237	32648	1339123
238	32792	1339278
239	32928	1339098
240	33074	1339293
241	33213	1339237
242	33354	1339270
243	33493	1339200
244	33639	1339409
245	33776	1339257
246	33918	1339299
247	34061	1339387
248	34200	1339302
249	34344	1339432
250	34483	1339357
251	34623	1339339
252	34761	1339213
253	34899	1339109
254	35043	1339198
255	35180	1339058
256	35320	1339026
257	35455	1338794
258	35597	1338807
259	35736	1338740
260	35872	1338541
261	36005	1338236
262	36149	1338343
263	36291	1338383
264	36428	1338217
265	36565	1338075
266	36701	1337904
267	36842	1337882
268	36979	1337735
269	37122	1337802
270	37265	1337836
271	37398	1337553
272	37533	1337326
273	37663	1336919
274	37806	1336991
275	37945	1336877
276	38082	1336741
277	38229	1336919
278	38364	1336705
279	38505	1336693
280	38645	1336637
281	38781	1336465
282	38917	1336249
283	39061	1336333
284	39214	1336732
285	39366	1337076
286	39520	1337508
287	39677	1337998
288	39836	1338573
289	39989	1338942
290	40137	1339147
291	40304	1339992
292	40459	1340407
293	40629	1341333
294	40809	1342566
295	40983	1343602
296	41140	1344045
297	41301	1344662
298	41451	1344893
299	41606	1345292
300	41763	1345735
301	41914	1345970
302	42070	1346387
303	42227	1346827
304	42372	1346875
305	42523	1347144
306	42690	1347881
307	42847	1348319
308	43000	1348598
309	43148	1348735
310	43294	1348823
311	43450	1349192
312	43609	1349658
313	43763	1349989
314	43920	1350392
315	44087	1351099
316	44247	1351557
317	44401	1351859
318	44556	1352208
319	44710	1352486
320	44882	1353336
321	45033	1353526
322	45194	1354015
323	45340	1354068
324	45498	1354447
325	45650	1354666
326	45799	1354808
327	45957	1355177
328	46115	1355577
329	46272	1355913
330	46427	1356206
331	46580	1356439
332	46742	1356947
333	46898	1357239
334	47042	1357203
335	47188	1357234
336	47338	1357361
337	47487	1357481
338	47613	1356917
339	47752	1356740
340	47886	1356395
341	48029	1356346
342	48174	1356316
343	48306	1355945
344	48444	1355738
345	48565	1355050
346	48707	1354975
347	48843	1354717
348	48991	1354763
349	49139	1354835
350	49281	1354753
351	49419	1354545
352	49573	1354775
353	49712	1354594
354	49858	1354617
355	50005	1354632
356	50152	1354691
357	50293	1354547
358	50416	1353934
359	50552	1353694
360	50696	1353636
361	50833	1353399
362	50978	1353383
363	51122	1353343
364	51260	1353142
365	51401	1353016
366	51543	1352924
367	51688	1352889
368	51825	1352659
369	51962	1352424
370	52107	1352416
371	52249	1352315
372	52387	1352103
373	52534	1352124
374	52672	1351936
375	52812	1351764
376	52959	1351813
377	53100	1351684
378	53252	1351838
379	53390	1351621
380	53541	1351753
381	53696	1351971
382	53838	1351870
383	53988	1351965
384	54133	1351920
385	54278	1351906
386	54422	1351841
387	54569	1351861
388	54714	1351838
389	54855	1351691
390	54992	1351454
391	55133	1351340
392	55274	1351199
393	55406	1350862
394	55556	1350925
395	55705	1350997
396	55847	1350883
397	55992	1350866
398	56136	1350802
399	56277	1350660
400	56416	1350476
401	56558	1350360
402	56708	1350457
403	56842	1350146
404	56986	1350085
405	57136	1350160
406	57275	1349977
407	57410	1349708
408	57561	1349804
409	57687	1349318
410	57832	1349283
411	57971	1349097
412	58117	1349076
413	58260	1348996
414	58398	1348804
415	58539	1348653
416	58685	1348636
417	58824	1348451
418	58966	1348354
419	59116	1348411
420	59252	1348179
421	59392	1348002
422	59533	1347877
423	59676	1347778
424	59821	1347736
425	59965	1347671
426	60113	1347695
427	60257	1347635
428	60394	1347401
429	60537	1347303
430	60681	1347252
431	60825	1347182
432	60958	1346868
433	61106	1346867
434	61250	1346810
435	61389	1346636
436	61535	1346593
437	61674	1346415
438	61824	1346472
439	61964	1346312
440	62105	1346176
441	62252	1346169
442	62385	1345865
443	62529	1345791
444	62671	1345679
445	62813	1345553
446	62949	1345307
447	63098	1345343
448	63222	1344861
449	63353	1344499
450	63480	1344069
451	63616	1343823
452	63751	1343566
453	63878	1343138
454	64015	1342914
455	64165	1342969
456	64298	1342664
457	64427	1342287
458	64561	1342000
459	64695	1341719
460	64821	1341281
461	64957	1341053
462	65097	1340893
463	65235	1340710
464	65367	1340390
465	65510	1340295
466	65650	1340137
467	65788	1339946
468	65934	1339913
469	66074	1339769
470	66217	1339664
471	66355	1339481
472	66500	1339437
473	66636	1339197
474	66786	1339249
475	66922	1339003
476	67059	1338805
477	67205	1338772
478	67344	1338602
479	67483	1338428
480	67621	1338229
481	67756	1337982
482	67887	1337652
483	68026	1337487
484	68167	1337345
485	68309	1337233
486	68451	1337128
487	68593	1337019
488	68729	1336783
489	68859	1336431
490	69012	1336533
491	69161	1336561
492	69310	1336577
493	69476	1336927
494	69631	1337060
495	69790	1337285
496	69942	1337348
497	70090	1337348
498	70232	1337224
499	70369	1337017
500	70511	1336911
501	70650	1336736
502	70788	1336544
503	70934	1336489
504	71070	1336272
505	71209	1336085
506	71344	1335848
507	71481	1335633
508	71620	1335467
509	71757	1335259
510	71890	1334965
511	72036	1334921
512	72180	1334839
513	72318	1334650
514	72456	1334461
515	72598	1334343
516	72739	1334205
517	72884	1334157
518	73030	1334117
519	73174	1334023
520	73307	1333753
521	73452	1333676
522	73591	1333520
523	73738	1333492
524	73886	1333481
525	74034	1333460
526	74183	1333467
527	74320	1333257
528	74458	1333071
529	74598	1332911
530	74735	1332712
531	74872	1332512
532	75014	1332379
533	75160	1332338
534	75296	1332121
535	75420	1331669
536	75553	1331402
537	75696	1331304
538	75819	1330846
539	75950	1330546
540	76084	1330275
541	76232	1330272
542	76366	1330008
543	76509	1329909
544	76645	1329696
545	76780	1329454
546	76919	1329294
547	77064	1329214
548	77206	1329107
549	77338	1328808
550	77477	1328655
551	77600	1328197
552	77741	1328068
553	77874	1327797
554	78014	1327653
555	78159	1327585
556	78296	1327386
557	78428	1327099
558	78571	1326998
559	78708	1326794
560	78849	1326666
561	78993	1326586
562	79139	1326534
563	79273	1326287
564	79398	1325876
565	79533	1325648
566	79664	1325352
567	79801	1325149
568	79927	1324768
569	80065	1324586
570	80196	1324294
571	80335	1324123
572	80474	1323973
573	80611	1323772
574	80751	1323616
575	80882	1323324
576	81028	1323270
577	81165	1323079
578	81299	1322829
579	81434	1322602
580	81574	1322463
581	81702	1322123
582	81840	1321948
583	81983	1321835
584	82119	1321639
585	82265	1321576
586	82381	1321045
587	82502	1320594
588	82623	1320158
589	82752	1319837
590	82878	1319457
591	83006	1319123
592	83145	1318970
593	83281	1318765
594	83399	1318267
595	83526	1317925
596	83645	1317457
597	83746	1316699
598	83856	1316084
599	83987	1315796
600	84122	1315582
601	84238	1315070
602	84363	1314695
603	84477	1314162
604	84596	1313686
605	84713	1313191
606	84821	1312562
607	84938	1312074
608	85053	1311561
609	85163	1310964
610	85279	1310463
611	85399	1310016
612	85530	1309746
613	85672	1309645
614	85803	1309370
615	85939	1309183
616	86063	1308803
617	86198	1308605
618	86320	1308196
619	86437	1307720
620	86562	1307361
621	86684	1306961
622	86809	1306608
623	86933	1306237
624	87040	1305607
625	87138	1304857
626	87270	1304602
627	87400	1304325
628	87529	1304042
629	87631	1303346
630	87744	1302823
631	87852	1302211
632	87954	1301533
633	88066	1301000
634	88183	1300532
635	88308	1300186
636	88428	1299775
637	88548	1299361
638	88681	1299131
639	88796	1298644
640	88903	1298046
641	89013	1297486
642	89120	1296894
643	89237	1296440
644	89345	1295854
645	89470	1295525
646	89586	1295058
647	89690	1294422
648	89813	1294059
649	89935	1293685
650	90042	1293092
651	90151	1292541
652	90254	1291901
653	90363	1291341
654	90486	1290983
655	90608	1290619
656	90722	1290141
657	90835	1289646
658	90935	1288961
659	91042	1288384
660	91149	1287814
661	91274	1287491
662	91400	1287186
663	91519	1286788
664	91647	1286505
665	91782	1286327
666	91908	1286028
667	92036	1285759
668	92147	1285250
669	92260	1284758
670	92375	1284307
671	92494	1283913
672	92620	1283609
673	92748	1283341
674	92873	1283035
675	92990	1282607
676	93126	1282442
677	93252	1282157
678	93388	1281987
679	93528	1281893
680	93675	1281889
681	93803	1281612
682	93925	1281260
683	94055	1281024
684	94176	1280660
685	94297	1280300
686	94420	1279964
687	94533	1279502
688	94653	1279133
689	94773	1278756
690	94893	1278378
691	95001	1277850
692	95117	1277426
693	95226	1276913
694	95357	1276696
695	95487	1276457
696	95604	1276054
697	95711	1275511
698	95827	1275093
699	95936	1274583
700	96051	1274154
701	96179	1273900
702	96302	1273582
703	96418	1273159
704	96550	1272963
705	96671	1272607
706	96795	1272307
707	96899	1271731
708	97001	1271138
709	97129	1270895
710	97257	1270634
711	97364	1270118
712	97486	1269781
713	97618	1269582
714	97741	1269270
715	97879	1269158
716	98010	1268938
717	98139	1268701
718	98277	1268592
719	98408	1268373
720	98541	1268194
721	98688	1268187
722	98824	1268046
723	98966	1267979
724	99122	1268088
725	99266	1268046
726	99399	1267862
727	99542	1267796
728	99680	1267677
729	99818	1267552
730	99956	1267441
731	100088	1267246
732	100222	1267065
733	100336	1266648
734	100463	1266387
735	100594	1266179
736	100725	1265975
737	100857	1265779
738	100988	1265568
739	101125	1265434
740	101260	1265277
741	101385	1264994
742	101522	1264860
743	101660	1264748
744	101799	1264635
745	101933	1264471
746	102063	1264245
747	102199	1264102
748	102328	1263877
749	102468	1263772
750	102609	1263691
751	102745	1263550
752	102878	1263369
753	103002	1263078
754	103138	1262939
755	103264	1262664
756	103395	1262466
757	103539	1262414
758	103684	1262379
759	103821	1262256
760	103965	1262199
761	104111	1262179
762	104244	1261995
763	104374	1261785
764	104508	1261619
765	104648	1261523
766	104784	1261375
767	104928	1261329
768	105069	1261239
769	105210	1261164
770	105345	1261005
771	105493	1261002
772	105631	1260882
773	105768	1260754
774	105911	1260689
775	106053	1260620
776	106206	1260669
777	106349	1260611
778	106497	1260603
779	106644	1260587
780	106781	1260463
781	106920	1260347
782	107060	1260249
783	107206	1260225
784	107345	1260108
785	107479	1259939
786	107620	1259858
787	107758	1259730
788	107888	1259519
789	108026	1259401
790	108172	1259370
791	108309	1259234
792	108439	1259021
793	108580	1258928
794	108725	1258889
795	108853	1258655
796	108996	1258587
797	109143	1258573
