iter	Passed	Remaining
0	137	137176
1	139	69440
2	140	46842
3	142	35579
4	145	28887
5	147	24427
6	149	21220
7	152	18856
8	154	16972
9	156	15474
10	158	14230
11	160	13177
12	161	12287
13	163	11525
14	165	10882
15	167	10328
16	169	9829
17	171	9373
18	173	8960
19	175	8599
20	177	8280
21	179	7976
22	181	7715
23	183	7476
24	185	7249
25	188	7055
26	190	6881
27	192	6697
28	194	6526
29	196	6359
30	198	6205
31	200	6054
32	202	5919
33	203	5788
34	205	5662
35	207	5545
36	209	5447
37	211	5353
38	213	5259
39	215	5164
40	216	5075
41	218	4987
42	220	4900
43	221	4819
44	223	4750
45	225	4675
46	227	4611
47	229	4544
48	231	4486
49	233	4427
50	235	4373
51	236	4316
52	238	4264
53	240	4209
54	241	4157
55	243	4106
56	245	4060
57	247	4017
58	249	3974
59	251	3940
60	253	3905
61	255	3867
62	257	3823
63	258	3785
64	260	3748
65	262	3714
66	264	3680
67	266	3648
68	267	3615
69	269	3586
70	271	3554
71	273	3527
72	276	3505
73	278	3480
74	279	3452
75	281	3427
76	283	3404
77	285	3376
78	287	3350
79	288	3322
80	290	3299
81	292	3274
82	294	3256
83	296	3234
84	298	3214
85	300	3192
86	301	3168
87	304	3151
88	305	3132
89	307	3111
90	309	3089
91	310	3069
92	312	3051
93	314	3031
94	316	3017
95	319	3007
96	321	2992
97	323	2973
98	324	2955
99	326	2938
100	328	2922
101	330	2906
102	331	2890
103	333	2877
104	336	2865
105	338	2851
106	340	2838
107	342	2825
108	343	2809
109	345	2795
110	347	2782
111	348	2766
112	350	2752
113	352	2739
114	354	2727
115	356	2714
116	358	2703
117	360	2694
118	362	2684
119	364	2672
120	366	2662
121	368	2651
122	370	2641
123	373	2635
124	375	2629
125	378	2623
126	380	2613
127	382	2602
128	384	2593
129	386	2586
130	388	2576
131	390	2567
132	392	2557
133	394	2551
134	397	2547
135	399	2540
136	401	2529
137	403	2520
138	405	2511
139	407	2501
140	408	2491
141	411	2484
142	413	2479
143	416	2476
144	419	2473
145	422	2468
146	424	2460
147	426	2454
148	428	2446
149	430	2439
150	432	2433
151	434	2426
152	438	2425
153	440	2418
154	442	2414
155	445	2407
156	446	2399
157	448	2391
158	450	2383
159	452	2375
160	454	2368
161	456	2359
162	458	2353
163	460	2347
164	463	2344
165	465	2337
166	466	2329
167	468	2322
168	470	2315
169	472	2308
170	475	2303
171	477	2296
172	479	2290
173	481	2286
174	484	2281
175	485	2275
176	487	2268
177	489	2260
178	491	2254
179	492	2245
180	494	2239
181	496	2232
182	498	2226
183	500	2219
184	502	2213
185	505	2210
186	507	2205
187	508	2198
188	511	2192
189	512	2185
190	514	2178
191	516	2171
192	517	2164
193	519	2157
194	521	2151
195	523	2147
196	525	2141
197	527	2137
198	529	2131
199	531	2125
200	532	2118
201	534	2111
202	536	2104
203	538	2099
204	539	2093
205	541	2087
206	543	2083
207	545	2078
208	547	2072
209	549	2067
210	551	2060
211	552	2054
212	554	2048
213	556	2043
214	558	2037
215	559	2031
216	561	2025
217	563	2019
218	565	2015
219	567	2010
220	569	2006
221	571	2001
222	572	1995
223	574	1991
224	576	1985
225	578	1980
226	580	1976
227	582	1971
228	584	1966
229	586	1961
230	588	1958
231	590	1954
232	592	1949
233	594	1944
234	595	1940
235	597	1934
236	599	1929
237	601	1924
238	603	1920
239	604	1915
240	606	1911
241	609	1908
242	611	1904
243	613	1901
244	615	1897
245	617	1892
246	619	1888
247	621	1883
248	622	1878
249	624	1874
250	626	1869
251	628	1865
252	630	1862
253	632	1858
254	635	1855
255	636	1850
256	638	1846
257	640	1841
258	642	1837
259	643	1832
260	645	1828
261	647	1824
262	650	1821
263	652	1818
264	654	1814
265	656	1810
266	657	1805
267	659	1801
268	661	1797
269	663	1792
270	664	1788
271	666	1784
272	668	1781
273	671	1778
274	673	1774
275	675	1770
276	676	1766
277	678	1762
278	680	1758
279	682	1754
280	683	1749
281	685	1745
282	687	1741
283	689	1737
284	691	1733
285	693	1730
286	695	1727
287	697	1724
288	699	1720
289	700	1716
290	703	1713
291	705	1709
292	707	1706
293	708	1702
294	710	1697
295	712	1693
296	714	1691
297	716	1688
298	718	1685
299	720	1681
300	722	1678
301	724	1674
302	726	1671
303	728	1667
304	730	1663
305	732	1661
306	735	1659
307	737	1656
308	739	1654
309	741	1651
310	744	1648
311	746	1646
312	748	1643
313	750	1639
314	752	1636
315	754	1632
316	756	1630
317	759	1627
318	761	1625
319	763	1621
320	764	1617
321	766	1614
322	768	1610
323	770	1607
324	771	1603
325	773	1600
326	775	1596
327	777	1593
328	780	1591
329	783	1589
330	784	1586
331	786	1582
332	788	1580
333	791	1578
334	793	1575
335	796	1573
336	798	1570
337	800	1568
338	804	1567
339	806	1565
340	808	1561
341	810	1558
342	812	1555
343	814	1553
344	816	1550
345	818	1547
346	820	1544
347	823	1542
348	825	1539
349	827	1537
350	829	1533
351	831	1530
352	833	1528
353	835	1525
354	837	1522
355	839	1519
356	841	1516
357	844	1514
358	846	1512
359	848	1509
360	850	1506
361	852	1502
362	854	1499
363	856	1496
364	858	1493
365	860	1490
366	862	1487
367	864	1484
368	866	1482
369	869	1480
370	871	1477
371	873	1474
372	875	1471
373	877	1468
374	879	1465
375	881	1462
376	883	1460
377	885	1457
378	888	1455
379	890	1453
380	892	1450
381	895	1448
382	897	1445
383	898	1441
384	900	1439
385	902	1436
386	905	1433
387	907	1431
388	909	1428
389	911	1425
390	913	1422
391	915	1419
392	917	1416
393	918	1413
394	920	1410
395	922	1407
396	924	1404
397	926	1402
398	929	1399
399	931	1397
400	934	1395
401	935	1392
402	937	1389
403	939	1386
404	941	1383
405	943	1380
406	945	1377
407	947	1374
408	949	1372
409	951	1369
410	953	1366
411	956	1364
412	957	1361
413	959	1358
414	961	1355
415	963	1352
416	965	1349
417	967	1347
418	970	1345
419	972	1342
420	974	1340
421	976	1337
422	978	1334
423	980	1331
424	982	1328
425	984	1326
426	986	1323
427	988	1320
428	990	1318
429	993	1316
430	995	1313
431	996	1310
432	999	1308
433	1001	1305
434	1003	1302
435	1005	1300
436	1006	1297
437	1008	1294
438	1011	1292
439	1013	1289
440	1015	1287
441	1017	1284
442	1019	1281
443	1021	1278
444	1022	1275
445	1025	1273
446	1027	1270
447	1030	1269
448	1032	1267
449	1034	1264
450	1036	1262
451	1039	1260
452	1041	1257
453	1043	1255
454	1045	1252
455	1047	1249
456	1049	1247
457	1051	1244
458	1053	1241
459	1055	1239
460	1058	1237
461	1060	1235
462	1062	1232
463	1064	1229
464	1065	1226
465	1067	1223
466	1069	1221
467	1071	1218
468	1073	1215
469	1075	1213
470	1078	1210
471	1080	1208
472	1082	1206
473	1084	1203
474	1087	1201
475	1088	1198
476	1090	1196
477	1092	1193
478	1094	1190
479	1096	1188
480	1099	1186
481	1101	1184
482	1104	1181
483	1105	1179
484	1107	1176
485	1110	1174
486	1112	1171
487	1113	1168
488	1115	1165
489	1117	1163
490	1119	1160
491	1121	1158
492	1124	1156
493	1126	1153
494	1128	1151
495	1130	1148
496	1132	1145
497	1134	1143
498	1136	1140
499	1137	1137
500	1140	1135
501	1143	1133
502	1145	1131
503	1147	1129
504	1149	1126
505	1151	1123
506	1153	1121
507	1155	1119
508	1157	1116
509	1159	1113
510	1161	1111
511	1163	1109
512	1166	1107
513	1167	1104
514	1169	1101
515	1172	1099
516	1173	1096
517	1176	1094
518	1177	1091
519	1179	1088
520	1181	1086
521	1184	1084
522	1186	1082
523	1189	1080
524	1190	1077
525	1192	1074
526	1194	1072
527	1196	1069
528	1198	1067
529	1200	1064
530	1202	1062
531	1204	1059
532	1206	1057
533	1209	1055
534	1211	1052
535	1212	1050
536	1215	1047
537	1218	1046
538	1219	1043
539	1222	1041
540	1224	1038
541	1226	1036
542	1228	1034
543	1231	1032
544	1233	1029
545	1235	1027
546	1237	1024
547	1238	1021
548	1240	1019
549	1242	1016
550	1244	1013
551	1246	1011
552	1248	1009
553	1250	1007
554	1253	1004
555	1255	1002
556	1257	999
557	1259	997
558	1260	994
559	1262	992
560	1264	989
561	1266	986
562	1268	984
563	1271	982
564	1273	980
565	1275	978
566	1277	975
567	1278	972
568	1281	970
569	1283	968
570	1285	965
571	1287	963
572	1289	960
573	1291	958
574	1294	956
575	1296	954
576	1298	951
577	1300	949
578	1302	947
579	1304	944
580	1306	942
581	1308	939
582	1310	937
583	1312	935
584	1314	932
585	1317	930
586	1318	927
587	1321	925
588	1322	922
589	1324	920
590	1327	918
591	1328	915
592	1330	913
593	1332	910
594	1334	908
595	1336	906
596	1338	903
597	1341	901
598	1343	899
599	1345	896
600	1346	894
601	1348	891
602	1350	889
603	1353	887
604	1356	885
605	1358	883
606	1360	880
607	1362	878
608	1364	876
609	1366	873
610	1369	872
611	1373	870
612	1376	868
613	1379	867
614	1382	865
615	1384	862
616	1386	860
617	1388	858
618	1390	855
619	1392	853
620	1394	851
621	1397	849
622	1399	847
623	1401	844
624	1403	842
625	1405	839
626	1407	837
627	1409	834
628	1411	832
629	1413	829
630	1415	827
631	1417	825
632	1420	823
633	1422	820
634	1425	819
635	1427	816
636	1429	814
637	1431	811
