sentence_id,sentence,answer,label
20df21b159a5e1d0ee484c936f1597ef,Suppose you need to measure the temperature in a crop field.,너는 농작물 밭에서 온도를 측정할 필요가 있다고 가정해라,1
1b90bfe67b06a515eec82e88e1bd7d84,There are different kinds of knowledge.,지식에는 다른 종류가 있다,1
2673ce8234cc65bf5d5e81743172700b,Why?,왜일까,1
98fdeabb8c02fc9ed1ce18a72fb7e84b,"You can be perfect, but you need to change the way you think about it.","너는 완벽할 수 있지만, 그것을 생각하는 방식을 변화할 필요가 있다",1
60cd307ed0ad93d58635cb0d9d58e1e6,He was a violinist and composer known for his unique performance method.,그는 유니크한 퍼포먼스 방법으로 알려져있는 바이올리니스트이자 작곡가였다.,1
f4fb0d301827bacc8752606984396ee0,Who can blame them?,누가 그들을 비난할수있나 ?,1
24c57e631cc5c06e35ed605f5aa12b88,Paleontologists focus on the history of life on Earth.,고생물학자들은 지구에서 생명의 역사에 집중한다,1
02c8653879a1f20c12afd93566ec8c7d,"If lobster were as cheap as chicken, we might enjoy it less.",랍스터가 치킨만큼 저렴하면 우리는 그것을 덜 즐길 지도 모른다,1
a741a5f10393ab4c8339fb7c726650d1,Restoration involves cleaning up and restoring damaged habitats.,복원은 청소하고 피해입은 서식지를 다시 만드는 걸 포함한다.,1
4c95ecbf5dcb19876a96d11d79e4f7ab,"When we entered the side door leading to the kitchen, I immediately knew that something was wrong.",우리가 부엌으로 향하는 옆문으로 들어왔을때 나는 무엇인가가 잘못되었다는것을 즉시 알았다,1
ea0dcf8f38992da498fa9f8066cfc9e8,Look at this beautiful rainbow!,여기 아름다운 무지개 보세요,1
ed91298c3911d2a7b2871a76641a976b,I heard something moving slowly along the walls.,나는 무언가가 벽을 따라서 느리게 움직이는것을 들었다,1
377e354dc7aa8027fe86b9586477d478,It is difficult to know how to determine whether one culture is better than another.,하나의 문화가 다른 문화보다 나은지를 어떻게 결정할지 알기 어렵다,1
f6712f87204846435f2b5b371de3eb81,"In 1824, Peru won its freedom from Spain.",1824년에 페루는 스페인으로부터 자유를 얻었다,1
40088bd314d602245430ccb9bc188436,Culture also plays a role.,문화는 또한 역할을 한다,1
3eff961dc64ac4cb514c9af3613e1fec,It is easier and more convenient.,그것이 더 쉽고 편하다,1
25d5bce6d7af088259d9db06ff8ac639,People love heroes.,사람들은 영웅을 사랑한다,1
f13e26b892c19887c29b3570809d5eff,He had an odd sensation that the world around him was moving in all directions.,그는 주위의 세상이 모든 방향으로 움직이는 이상한 기분을 느꼈다,1
afa2cd140a20c932a58d38107682d468,And it was perfect.,그것은 완벽하다,1
0af7759e17bfe5c8e1746e1c19d432f2,"His father wished for him to become a minister of the church, but he desired a musical career.","그의 아버지는 그가 교회 목사가 되기를 바랐지만, 그는 음악적 직업을 갈망했다.",1
2e520ba37f3b15c10c40d48921c41b73,"He is believed to have composed more than 70 works, but only about 10 remain today.","그는 70개 이상의 작품을 했던거로 여겨지지만, 오늘날 10개정도의 작품만이 남아있다.",1
8a4636b4f7f6d1a1536b3602d4e76235,Only a few kinds of sharks and sea eagles dare attack sea snakes.,감히 몇몇의 상어와 바다 독수리들만이 바다뱀들을 공격한다.,1
