sentence_id,sentence,answer
20df21b159a5e1d0ee484c936f1597ef,Suppose you need to measure the temperature in a crop field.,당신이 농작물 밭에서 온도를 측정할 필요하다고 가정해보자.
1b90bfe67b06a515eec82e88e1bd7d84,There are different kinds of knowledge.,다른 종류의 지식이 있다.
2673ce8234cc65bf5d5e81743172700b,Why?,왜 그럴까?
98fdeabb8c02fc9ed1ce18a72fb7e84b,"You can be perfect, but you need to change the way you think about it.","여러분은 완벽할 수 있다, 하지만 여러분은 그것(완벽함)에 대해 여러분이 생각하는 방식을 바꿀 필요가 있다."
60cd307ed0ad93d58635cb0d9d58e1e6,He was a violinist and composer known for his unique performance method.,그는 그의 독특한 연주 방법으로 알려진 바이올리니스트이자 작곡가였다.
f4fb0d301827bacc8752606984396ee0,Who can blame them?,누가 그들을 비난할 수 있겠는가?
24c57e631cc5c06e35ed605f5aa12b88,Paleontologists focus on the history of life on Earth.,고생물학자들은 지구상에 생명체의 역사에 집중한다.
02c8653879a1f20c12afd93566ec8c7d,"If lobster were as cheap as chicken, we might enjoy it less.","만약 바닷가재가 닭만큼 싸다면, 우리는 그것을 덜 즐길지도 모른다."
a741a5f10393ab4c8339fb7c726650d1,Restoration involves cleaning up and restoring damaged habitats.,복원은 청소하는 것과 피해입은 서식지를 회복하는 것을 포함한다.
4c95ecbf5dcb19876a96d11d79e4f7ab,"When we entered the side door leading to the kitchen, I immediately knew that something was wrong.","우리가 주방으로 향하는 옆문으로 들어갔을 때, 나는 즉시 무언가가 잘못되었다는 것을 알았다"
ea0dcf8f38992da498fa9f8066cfc9e8,Look at this beautiful rainbow!,이 아름다운 무지개를 보세요!
ed91298c3911d2a7b2871a76641a976b,I heard something moving slowly along the walls.,나는 벽을 따라 천천히 움직이는 무언가를 들었다
377e354dc7aa8027fe86b9586477d478,It is difficult to know how to determine whether one culture is better than another.,한 문화가 다른 것보다 나은지를 어떻게 결정하는지를 아는 것은 어렵다.
f6712f87204846435f2b5b371de3eb81,"In 1824, Peru won its freedom from Spain.","1824년, 페루는 스페인으로부터 그것의 자유를 얻었다."
40088bd314d602245430ccb9bc188436,Culture also plays a role.,문화는 또한 역할을 한다.
3eff961dc64ac4cb514c9af3613e1fec,It is easier and more convenient.,그것이 더 쉽고 더 편리하다
25d5bce6d7af088259d9db06ff8ac639,People love heroes.,사람들은 영웅을 사랑한다.
f13e26b892c19887c29b3570809d5eff,He had an odd sensation that the world around him was moving in all directions.,그는 자신을 둘러싼 세상이 모든(다른) 곳을 향하는 듯한 이상한 기분을 느꼈다.
afa2cd140a20c932a58d38107682d468,And it was perfect.,그리고 그것은 완벽했다.
0af7759e17bfe5c8e1746e1c19d432f2,"His father wished for him to become a minister of the church, but he desired a musical career.","그의 아버지는 그가 교회의 목사가 되기를 희망했다, 그러나 그는 음악 일을 열망했다."
2e520ba37f3b15c10c40d48921c41b73,"He is believed to have composed more than 70 works, but only about 10 remain today.",그는 70개 이상의 작품을 작곡했던 것으로 여겨진다. 그러나 단지 대략 10개(의 작품)만이 오늘날 남아있다.
8a4636b4f7f6d1a1536b3602d4e76235,Only a few kinds of sharks and sea eagles dare attack sea snakes.,극소수 일종의 상어들이 바다 독수리들이 바다뱀을 용기내어 공격한다.
2224fc4922b123d84d3ad4ef15cd7bd2,"Take a ""tea pill"" instead.","대신에 ""차 알약""을 먹어라."
93dd103d07b559effdd9d2ed22376f88,Imagine the grocery store where you shop the most.,당신이 가장 많이 쇼핑하는 식료품점을 상상해보라.
604d29f959d5b919152c84397e06227a,"④ If lobster were as cheap as chicken, we might enjoy it less.","만약 바닷가재가 닭처럼 싸다면, 우리는 그것을 덜 즐길지도 모른다."
721310ff13b3e4b9456e40bcf6d3b73b,Security is another concern: Cookies make shared computers far less secure and offer hackers many ways to break into systems.,보안은 또 다른 우려이다: 쿠키는 공유 컴퓨터를 훨씬 덜 안전하게 만든다 그리고 해커들에게 시스템에 침입하게 할 많은 방법을 제공한다.
cff20d24223312967217706a7bb4c90e,ⅲ lazy and easygoing .,게으른 그리고 태평한
23e3fe97388fd20408f9e9b08a9f6269,Strong writing is specific.,강한 글은 구체적이다.
863d02e60662d3e968fb2d864f58e14c,"In 2013, a state of emergency in Beijing resulting from the dangerously high levels of pollution led to chaos in the transportation system, forcing airlines to cancel flights due to low visibility.",2013년에 위험하게 높은 오염 수준에서 초래된 베이징에서의 비상 사태는 낮은 가시도 때문에 항공사들이 비행을 취소하도록 만들며 교통체계에서의 혼란에 이르렀다.
eb08c274b4a15d93146eb24d40e0114c,The status and rights of British nationals living in the EU and of EU nationals living in the UK are a primary concern.,유럽연합에서 사는 영국 시민과 영국에서 사는 유럽 연합 시민의 신분 그리고 권리가 주된 관심사이다.
fcf5e74b7ec530678303ef7e70723589,"In hindsight, it usually seems obvious.","지나고 나서 보면, 그것은 대게 명백해 보인다."
4884a861f421dc77c655aedb3b7f5f0b,They also measure an earthquake's power and intensity.,그들은 또한 지진의 세기 그리고 강도를 측정한다.
294db83c27c7398930c05e5d2dd2360c,They want to know what volcanoes can reveal about how Earth was formed and how it moves today.,그들은 어떻게 지구가 만들어졌는지에 대해 그리고 오늘날 어떻게 이것이 움직이는지에 대해 화산이 보여줄 수 있는 것을 알기를 원한다.
e44040782b72ce6fda2fe19fe2500e56,"Like other reptiles, they are cold-blooded, and their temperatures change with the environment.",다른 파충류들처럼 그들은(뱀은) 냉혈동물이다 그리고 그들의 체온은 주변 환경과 함께 변한다.
9af64cc93fd7585ac037edf6c53db4cb,My twelve-year-­old son and I were returning home after a trip.,나의 12살 된 아들과 나는 여행 후에 집으로 돌아오고 있었다
b818afd5e228abbd665a41670459532b,"The window above the sink was broken, and hundreds of pieces of glass made a mess on my kitchen floor.","싱크대 위의 창문이 깨져 있었고, 수백 개의 유리조각들이 나의 주방 바닥에 난장판을 만들었다"
ed03062fcf97807e8393557660277bfe,"Secondly, they could not bite.","두 번째로, 그들은 깨물 수 없었다."
