,광진구,동대문구,성동구,중랑구
0,0.592,0.368,0.58,0.162
1,0.84,0.614,1.034,0.26
2,0.828,0.576,0.952,0.288
3,0.792,0.542,0.914,0.292
4,0.818,0.602,0.994,0.308
5,0.618,0.522,0.696,0.228
6,0.598,0.478,0.606,0.238
7,0.742,0.528,0.848,0.202
8,0.652,0.488,0.838,0.206
9,0.5,0.406,0.636,0.16
10,0.52,0.346,0.596,0.138
11,0.514,0.318,0.596,0.136
12,0.492,0.296,0.454,0.188
13,0.496,0.414,0.554,0.17
14,0.722,0.52,0.918,0.26
15,0.844,0.63,1.012,0.258
16,0.82,0.59,0.9,0.24
17,0.788,0.638,1.01,0.228
18,0.984,0.634,1.126,0.294
19,0.77,0.486,0.804,0.276
20,0.664,0.448,0.648,0.268
21,0.624,0.396,0.692,0.162
22,0.432,0.386,0.636,0.11
23,0.396,0.302,0.498,0.088
24,0.444,0.306,0.492,0.098
25,0.36,0.29,0.526,0.088
26,0.358,0.278,0.352,0.116
27,0.316,0.294,0.334,0.128
28,0.574,0.366,0.62,0.132
29,0.444,0.288,0.512,0.098
30,0.474,0.338,0.598,0.1
31,0.726,0.43,0.816,0.202
32,0.732,0.47,0.886,0.224
33,0.448,0.312,0.44,0.152
34,0.322,0.244,0.328,0.126
35,0.522,0.362,0.622,0.144
36,0.472,0.342,0.592,0.114
37,0.614,0.43,0.676,0.158
38,0.706,0.476,0.758,0.174
39,0.838,0.48,0.946,0.23
40,0.614,0.4,0.606,0.236
41,0.45,0.28,0.356,0.144
42,0.652,0.46,0.716,0.178
43,0.788,0.52,0.892,0.288
44,0.9,0.55,0.994,0.272
45,0.436,0.332,0.488,0.218
46,0.318,0.244,0.398,0.192
47,0.388,0.298,0.442,0.236
48,0.65,0.368,0.568,0.262
49,0.954,0.628,1.22,0.32
50,0.958,0.74,1.238,0.302
51,0.946,0.664,1.086,0.338
52,1.008,0.614,1.134,0.318
53,0.744,0.466,0.896,0.246
54,0.866,0.624,0.808,0.288
55,0.926,0.588,0.932,0.314
56,1.274,0.828,1.448,0.394
57,1.152,0.756,1.3,0.396
