iter	RMSE
0	489.7869987
1	489.7342335
2	489.6825152
3	489.6319925
4	489.5833896
5	489.5369368
6	489.4891931
7	489.4462754
8	489.3981817
9	489.3587922
10	489.3111366
11	489.2685675
12	489.2241038
13	489.1807071
14	489.139631
15	489.0952779
16	489.0511089
17	489.0102975
18	488.9749592
19	488.9330716
20	488.8914584
21	488.8526717
22	488.8134825
23	488.7736999
24	488.7337545
25	488.6952159
26	488.658156
27	488.620717
28	488.5818657
29	488.5516295
30	488.5208335
31	488.4847753
32	488.4483963
33	488.4120897
34	488.3843887
35	488.3479721
36	488.3192851
37	488.2844494
38	488.2507614
39	488.2192916
40	488.1866432
41	488.1543467
42	488.1235601
43	488.0943717
44	488.0615853
45	488.0280615
46	487.9948517
47	487.9673471
48	487.9351914
49	487.9011278
50	487.8718288
51	487.8397631
52	487.8061386
53	487.7772638
54	487.7470256
55	487.7233205
56	487.6958645
57	487.6666793
58	487.6366433
59	487.6102305
60	487.5880364
61	487.5617015
62	487.5327362
63	487.5050042
64	487.4754663
65	487.4437457
66	487.4209718
67	487.3940252
68	487.3654886
69	487.3397234
70	487.3170239
71	487.2889956
72	487.2610904
73	487.232558
74	487.2077526
75	487.180643
76	487.1579393
77	487.1317458
78	487.1083439
79	487.0844194
80	487.0598117
81	487.0384724
82	487.0124846
83	486.9914402
84	486.9668519
85	486.9442421
86	486.9242446
87	486.9042902
88	486.8855749
89	486.8616428
90	486.839251
91	486.820282
92	486.7973967
93	486.7776452
94	486.7540275
95	486.725022
96	486.7040231
97	486.6824332
98	486.6612092
99	486.6330671
100	486.6155087
101	486.5947139
102	486.5720544
103	486.5470405
104	486.5297422
105	486.5072793
106	486.4892341
107	486.4694214
108	486.4517046
109	486.4333095
110	486.4174372
111	486.3950642
112	486.3757016
113	486.3549552
114	486.3318116
115	486.3133101
116	486.2912884
117	486.2730593
118	486.2590677
119	486.2390933
120	486.2238889
121	486.2025212
122	486.1837658
123	486.1642168
124	486.1460044
125	486.1280136
126	486.1138096
127	486.0946139
128	486.0730087
129	486.0561993
130	486.0398555
131	486.0237685
132	486.0092417
133	485.9933866
134	485.973647
135	485.9557329
136	485.9381916
137	485.9206754
138	485.9050697
139	485.8894585
140	485.8739453
141	485.8542321
142	485.8385806
143	485.8155254
144	485.7990807
145	485.7820193
146	485.7663481
147	485.7513204
148	485.7362746
149	485.7202982
150	485.7031852
151	485.6879045
152	485.6721664
153	485.6515065
154	485.6376851
155	485.6246226
156	485.611342
157	485.5953599
158	485.5790193
159	485.566964
160	485.5531606
161	485.5379101
162	485.5180129
163	485.5025252
164	485.4892272
165	485.4720952
166	485.4533272
167	485.4376056
168	485.4185959
169	485.4020909
170	485.3859798
171	485.3727186
172	485.3590564
173	485.3396712
174	485.3244775
175	485.3115657
176	485.2980166
177	485.2851188
178	485.2709833
179	485.2569375
180	485.2401843
181	485.2260198
182	485.2125644
183	485.2019868
184	485.1870577
185	485.1762392
186	485.1613281
187	485.147559
188	485.1362918
189	485.1222694
190	485.1080863
191	485.0934226
192	485.0788679
193	485.0663932
194	485.0506973
195	485.0384356
196	485.0247272
197	485.0131734
198	485.002081
199	484.9865558
200	484.973243
201	484.9622536
202	484.9510104
203	484.9390685
204	484.9274284
205	484.915312
206	484.9061851
207	484.8951406
208	484.8828928
209	484.8686098
210	484.8552171
211	484.8421264
212	484.8279388
213	484.8143756
214	484.8034782
215	484.7848511
216	484.7774081
217	484.7677458
218	484.7580201
219	484.7490482
220	484.7341532
221	484.7209532
222	484.7124332
223	484.6959922
224	484.6850837
225	484.6725236
226	484.6605727
227	484.6493235
228	484.6326191
229	484.6237159
230	484.6110791
231	484.6030015
232	484.5926073
233	484.5822976
234	484.571877
235	484.5636636
236	484.5507172
237	484.5354219
238	484.5254615
239	484.5133748
240	484.4997284
241	484.4872794
242	484.478448
243	484.4724038
244	484.4583171
245	484.451614
246	484.4414491
247	484.428573
248	484.4188545
249	484.4077473
250	484.3909135
251	484.376734
252	484.3640646
253	484.350648
254	484.3408033
255	484.330843
256	484.3205512
257	484.3066344
258	484.2937102
259	484.28006
260	484.2666722
261	484.2573318
262	484.2437336
263	484.2308013
264	484.2219329
265	484.21098
266	484.2005849
267	484.1887711
268	484.1746024
269	484.1636962
270	484.1545126
271	484.1452358
272	484.1374418
273	484.1260737
274	484.1137032
275	484.1028853
276	484.0907105
277	484.0820817
278	484.0716803
279	484.0626997
280	484.0496626
281	484.0366736
282	484.0266104
283	484.0211604
284	484.0135887
285	484.0046814
286	483.9992534
287	483.9896691
288	483.9789558
289	483.97175
290	483.960122
291	483.950772
292	483.9444593
293	483.9337195
294	483.9268506
295	483.9138739
296	483.9080422
297	483.8970229
298	483.8866563
299	483.8753001
300	483.8666618
301	483.8552139
302	483.8441394
303	483.8313543
304	483.8219086
305	483.8144979
306	483.8104244
307	483.8006158
308	483.789992
309	483.7763707
310	483.7688327
311	483.7584425
312	483.752973
313	483.7444316
314	483.7328605
315	483.7228742
316	483.7078295
317	483.6977325
318	483.6872135
319	483.6768043
320	483.67108
321	483.6601239
322	483.6460967
323	483.6398317
324	483.6297608
325	483.623106
326	483.6126511
327	483.6016214
328	483.5910331
329	483.5811085
330	483.5719599
331	483.5618584
332	483.5540345
333	483.5457006
334	483.5357886
335	483.5269296
336	483.5183776
337	483.5081975
338	483.4964288
339	483.4822069
340	483.4769671
341	483.4689725
342	483.4644207
343	483.4601099
344	483.4495855
345	483.4412093
346	483.4298054
347	483.4215074
348	483.4118237
349	483.4033495
350	483.3947114
351	483.3866391
352	483.377569
353	483.369237
354	483.3625129
355	483.3574168
356	483.3486123
357	483.334559
358	483.3262055
359	483.3162073
360	483.3125917
361	483.3034791
362	483.2976609
363	483.2876944
364	483.2822348
365	483.2712273
366	483.2651264
367	483.2567859
368	483.2512416
369	483.2459675
370	483.2395901
371	483.2323068
372	483.22289
373	483.2118213
374	483.2022829
375	483.1945931
376	483.187303
377	483.1783333
378	483.1713128
379	483.1627432
380	483.1561762
381	483.1474763
382	483.1393108
383	483.1308277
384	483.1201427
385	483.1127511
386	483.1058123
387	483.0979058
388	483.0902629
389	483.0845264
390	483.0730568
391	483.0667494
392	483.0549505
393	483.0463473
394	483.0373167
395	483.0249506
396	483.0164654
397	483.0099124
398	483.0023733
399	482.9948632
400	482.9879726
401	482.9821805
402	482.9747553
403	482.964855
404	482.9590475
405	482.9526921
406	482.9462377
407	482.9416541
408	482.9308472
409	482.9230991
410	482.9189285
411	482.9115867
412	482.9051019
413	482.8994525
414	482.8948298
415	482.8857611
416	482.8773435
417	482.8692473
418	482.8616604
419	482.8546161
420	482.8419576
421	482.8331272
422	482.8270051
423	482.8171921
424	482.8080383
425	482.8036823
426	482.7947267
427	482.7877068
428	482.7808915
429	482.7751223
430	482.7649877
431	482.757308
432	482.7499725
433	482.7444722
434	482.7306276
435	482.7275162
436	482.7226766
437	482.7168556
438	482.708016
439	482.7014248
440	482.694836
441	482.6885629
442	482.6786369
443	482.6714803
444	482.6678744
445	482.6606333
446	482.6519741
447	482.6463553
448	482.6402191
449	482.6296778
450	482.6260168
451	482.617645
452	482.6102381
453	482.6034775
454	482.5981313
455	482.5886043
456	482.5827823
457	482.5747299
458	482.5647134
459	482.5582839
460	482.5530043
461	482.5453191
462	482.5395877
463	482.5317074
464	482.5239922
465	482.5166674
466	482.512309
467	482.505707
468	482.4987439
469	482.4956367
470	482.485713
471	482.4795804
472	482.4754741
473	482.4662042
474	482.4594637
475	482.4470771
476	482.441687
477	482.4382306
478	482.4318122
479	482.4203724
480	482.4157941
481	482.4076745
482	482.4009146
483	482.3930613
484	482.387278
485	482.3798399
486	482.3765686
487	482.3714618
488	482.3658403
489	482.3560827
490	482.3499098
491	482.3409716
492	482.3339397
493	482.3281
494	482.3225492
495	482.318475
496	482.313616
497	482.3084488
498	482.3040835
499	482.2992699
500	482.2933701
501	482.2885102
502	482.2826085
503	482.278233
504	482.2753807
505	482.2694587
506	482.2569263
507	482.2506655
508	482.2429662
509	482.237823
510	482.2311683
511	482.2232783
512	482.2180045
513	482.2118037
514	482.2014471
515	482.1974555
516	482.1901598
517	482.1838346
518	482.1768582
519	482.169264
520	482.159465
521	482.1533698
522	482.148193
523	482.1404426
524	482.1353281
525	482.127361
526	482.1250045
527	482.1148666
528	482.1087578
529	482.1046934
530	482.0950138
531	482.089047
532	482.0839815
533	482.0803207
534	482.0704433
535	482.0640664
536	482.0588722
537	482.0535174
538	482.0455997
539	482.0411273
540	482.0361305
541	482.0313442
542	482.0204815
543	482.0162053
544	482.0117747
545	482.0079812
546	482.0031684
547	482.0008256
548	481.9964158
549	481.988845
550	481.984119
551	481.980596
552	481.9718036
553	481.9610112
554	481.9529764
555	481.9464722
556	481.9399803
557	481.9292314
558	481.9237663
559	481.9204957
560	481.9126291
561	481.9057472
562	481.8994867
563	481.8932865
564	481.8873779
565	481.8791254
566	481.8751245
567	481.870045
568	481.864116
569	481.8569793
570	481.8516196
571	481.8429685
572	481.8363278
573	481.8310402
574	481.825383
575	481.8177549
576	481.8125936
577	481.8092296
578	481.8039341
579	481.7945212
580	481.7884602
581	481.7797448
582	481.7728666
583	481.7684275
584	481.7647965
585	481.7622596
586	481.7568281
587	481.7564018
588	481.7516512
589	481.7475271
590	481.7409976
591	481.7327116
592	481.7253799
593	481.7221473
594	481.7149003
595	481.7079957
596	481.7032188
597	481.6966082
598	481.6922478
599	481.6827662
600	481.6740639
601	481.6692287
602	481.6636126
603	481.6609108
604	481.6521866
605	481.6442203
606	481.6347396
607	481.6275711
608	481.6190448
609	481.6126054
610	481.6083132
611	481.6023491
612	481.5987484
613	481.5935396
614	481.5866381
615	481.5798773
616	481.5750245
617	481.566554
618	481.5619268
619	481.558262
620	481.5523617
621	481.5459316
622	481.5377834
623	481.5364713
624	481.5301273
625	481.5225079
626	481.5170152
627	481.5112306
628	481.5057201
629	481.5025554
630	481.4972797
631	481.4901276
632	481.4854052
633	481.4823066
634	481.4770475
635	481.4736728
636	481.4673518
637	481.4610554
638	481.4567581
639	481.4511572
640	481.445523
641	481.4386979
642	481.4331414
643	481.4262867
644	481.4212686
645	481.4148187
646	481.4099044
647	481.4054086
648	481.3995695
649	481.3950191
650	481.3901472
651	481.3865876
652	481.3823025
653	481.3779215
654	481.3722341
655	481.3657602
656	481.3590907
657	481.3542291
658	481.3507281
659	481.3447635
660	481.3412673
661	481.3344081
662	481.3261517
663	481.3192941
664	481.31412
665	481.3058662
666	481.2981027
667	481.2915763
668	481.2847911
669	481.2813162
670	481.2731723
671	481.2703258
672	481.2639045
673	481.2604312
674	481.2560872
675	481.2519071
676	481.2436818
677	481.2378219
678	481.2345272
679	481.2292768
680	481.2220975
681	481.2175244
682	481.2134185
683	481.2075013
684	481.201517
685	481.1954379
686	481.1888645
687	481.1802544
688	481.1735045
689	481.1658952
690	481.1615827
