iter	Passed	Remaining
0	49	739858
1	91	688296
2	134	670247
3	173	649583
4	214	643128
5	256	640276
6	298	638815
7	340	637305
8	380	633484
9	422	633558
10	464	633236
11	505	631440
12	546	629530
13	586	628023
14	625	624751
15	667	625318
16	708	624681
17	750	624442
18	792	624737
19	833	624466
20	875	624509
21	918	625104
22	960	625220
23	1001	624866
24	1044	625694
25	1086	625830
26	1129	626257
27	1170	625997
28	1215	627401
29	1304	650961
30	1345	649660
31	1388	649287
32	1431	649364
33	1472	648336
34	1515	647874
35	1554	646170
36	1596	645574
37	1637	644719
38	1678	644059
39	1719	643042
40	1761	642702
41	1802	641955
42	1844	641646
43	1887	641740
44	1929	641309
45	1971	640758
46	2011	640089
47	2050	638777
48	2094	639153
49	2135	638545
50	2177	638166
51	2219	638096
52	2260	637635
53	2299	636515
54	2340	636021
55	2382	635774
56	2416	633611
57	2455	632592
58	2497	632455
59	2536	631692
60	2578	631405
61	2619	631180
62	2660	630842
63	2702	630696
64	2744	630577
65	2786	630569
66	2828	630510
67	2871	630628
68	2913	630475
69	2952	629764
70	2991	628938
71	3033	628890
72	3071	628029
73	3112	627840
74	3150	626909
75	3189	626333
76	3228	625783
77	3267	625185
78	3304	624111
79	3346	624029
80	3386	623672
81	3421	622386
82	3461	622197
83	3503	622146
84	3544	621957
85	3585	621838
86	3625	621417
87	3665	621137
88	3706	621012
89	3747	620873
90	3789	620851
91	3830	620692
92	3871	620621
93	3913	620655
94	3952	620129
95	3994	620120
96	4035	620055
97	4076	619875
98	4117	619813
99	4158	619627
100	4200	619615
101	4240	619402
102	4279	619010
103	4321	618935
104	4361	618752
105	4402	618635
106	4444	618594
107	4485	618568
108	4527	618531
109	4570	618623
110	4618	619569
111	4661	619624
112	4703	619623
113	4754	620797
114	4795	620722
115	4837	620659
116	4879	620669
117	4921	620638
118	4964	620753
119	5004	620611
120	5047	620660
121	5090	620770
122	5130	620550
123	5172	620492
124	5212	620305
125	5253	620138
126	5296	620263
127	5339	620389
128	5381	620415
129	5423	620418
130	5465	620358
131	5507	620326
132	5546	619958
133	5587	619914
134	5628	619714
135	5670	619750
136	5712	619737
137	5754	619752
138	5795	619614
139	5836	619451
140	5873	618970
141	5914	618815
142	5954	618676
143	5996	618589
144	6035	618300
145	6075	618153
146	6116	617967
147	6158	617965
148	6198	617817
149	6240	617810
150	6278	617458
151	6321	617478
152	6363	617549
153	6403	617332
154	6445	617352
155	6485	617112
156	6527	617139
157	6568	616995
158	6608	616869
