iter	Passed	Remaining
0	60	118680
1	112	109937
2	161	105377
3	213	104609
4	246	96657
5	292	95575
6	337	94366
7	387	94820
8	425	92487
9	467	91414
10	508	90297
11	548	89211
12	587	88205
13	630	87852
14	671	87334
15	716	87272
16	761	87309
17	799	86448
18	838	85923
19	873	84946
20	909	84199
21	943	83290
22	973	82179
23	1003	81132
24	1037	80471
25	1066	79517
26	1093	78519
27	1123	77709
28	1153	76987
29	1173	75676
30	1204	75135
31	1236	74662
32	1264	74014
33	1296	73634
34	1328	73272
35	1359	72861
36	1395	72705
37	1433	72690
38	1472	72742
39	1505	72444
40	1536	72105
41	1552	71083
42	1584	70817
43	1613	70459
44	1644	70176
45	1683	70251
46	1716	70049
47	1748	69835
48	1767	69098
49	1795	68761
50	1819	68302
51	1846	67940
52	1873	67603
53	1903	67374
54	1934	67171
55	1966	67036
56	1998	66904
57	2030	66762
58	2063	66666
59	2084	66196
60	2117	66092
61	2141	65738
62	2169	65484
63	2196	65235
64	2230	65193
65	2263	65131
66	2297	65076
67	2331	65032
68	2362	64909
69	2393	64791
70	2421	64591
71	2455	64570
72	2486	64450
73	2514	64261
74	2540	64015
75	2570	63900
76	2596	63670
77	2623	63459
78	2650	63281
79	2677	63096
80	2704	62914
81	2732	62739
82	2758	62547
83	2783	62325
84	2801	61952
85	2828	61807
86	2861	61772
87	2893	61720
88	2927	61712
89	2962	61713
90	2995	61688
91	3026	61606
92	3059	61580
93	3094	61589
94	3128	61588
95	3160	61534
96	3189	61429
97	3225	61443
98	3259	61436
99	3293	61421
100	3326	61386
101	3355	61282
102	3380	61113
103	3408	60984
104	3434	60836
105	3462	60720
106	3492	60651
107	3524	60597
108	3553	60509
109	3581	60395
110	3608	60265
111	3634	60135
112	3660	59987
113	3689	59912
114	3717	59808
115	3753	59832
116	3783	59752
117	3813	59691
118	3842	59611
119	3872	59543
120	3901	59454
121	3929	59359
122	3958	59284
123	3989	59230
124	4021	59192
125	4048	59088
126	4076	58993
127	4103	58889
128	4128	58763
129	4154	58648
130	4181	58535
131	4205	58404
132	4232	58296
133	4258	58184
134	4282	58057
135	4309	57959
136	4337	57878
137	4363	57770
138	4390	57677
139	4417	57591
140	4445	57507
141	4472	57412
142	4499	57333
143	4527	57257
144	4554	57163
145	4581	57076
146	4606	56973
147	4636	56919
148	4668	56900
149	4700	56878
150	4731	56845
151	4758	56760
152	4786	56682
153	4817	56657
154	4851	56654
155	4924	57107
156	4990	57465
157	5028	57509
158	5056	57429
159	5084	57357
160	5116	57331
161	5149	57309
162	5182	57298
163	5215	57275
164	5245	57224
165	5275	57176
166	5310	57174
167	5341	57134
168	5378	57162
169	5415	57178
170	5449	57172
171	5481	57137
172	5513	57108
173	5549	57117
174	5581	57088
175	5617	57103
176	5655	57126
177	5693	57158
178	5729	57161
179	5758	57102
180	5786	57035
181	5812	56939
182	5840	56873
183	5866	56780
184	5895	56724
185	5925	56672
186	5951	56588
187	5982	56546
188	6013	56503
189	6044	56470
190	6072	56396
191	6102	56354
192	6138	56357
193	6170	56328
194	6201	56294
195	6234	56265
196	6265	56231
197	6293	56168
198	6322	56109
199	6356	56100
200	6391	56090
201	6427	56098
202	6457	56053
203	6492	56049
204	6527	56042
205	6561	56026
206	6598	56037
207	6638	56079
208	6673	56073
209	6709	56068
210	6737	56006
211	6766	55950
212	6794	55883
213	6825	55846
214	6860	55841
215	6892	55812
216	6924	55782
217	6956	55750
218	6984	55685
219	7013	55632
220	7043	55586
221	7073	55537
222	7104	55496
223	7132	55435
224	7165	55414
225	7196	55374
226	7227	55339
227	7259	55307
228	7290	55267
229	7323	55245
230	7355	55214
231	7387	55182
232	7420	55161
233	7454	55147
234	7491	55148
235	7522	55114
236	7553	55075
237	7583	55024
238	7611	54969
239	7639	54911
240	7673	54889
241	7706	54866
242	7734	54811
243	7763	54756
244	7795	54730
245	7834	54748
246	7873	54761
247	7905	54734
248	7936	54696
249	7965	54643
250	7995	54599
251	8026	54559
252	8056	54514
253	8088	54487
254	8117	54436
255	8148	54400
256	8177	54348
257	8206	54295
258	8237	54260
259	8270	54234
260	8305	54224
261	8336	54190
262	8372	54179
263	8405	54156
264	8438	54133
265	8464	54067
266	8498	54046
267	8530	54017
268	8565	54001
269	8599	53987
270	8634	53971
271	8670	53968
272	8705	53957
273	8735	53913
274	8764	53860
275	8797	53836
276	8830	53814
277	8865	53800
278	8896	53760
279	8927	53724
280	8962	53709
281	8994	53682
282	9031	53678
283	9071	53694
284	9109	53697
285	9145	53691
286	9178	53663
287	9210	53632
288	9244	53614
289	9276	53581
290	9308	53549
291	9343	53535
292	9379	53525
293	9412	53495
294	9451	53502
295	9487	53494
296	9523	53482
297	9555	53452
298	9587	53419
299	9612	53351
300	9644	53318
301	9674	53272
302	9703	53223
303	9733	53181
304	9765	53147
305	9797	53116
306	9828	53080
307	9861	53051
308	9892	53018
309	9923	52977
310	9952	52932
311	9986	52909
312	10015	52860
313	10046	52826
314	10076	52779
315	10105	52733
316	10139	52714
317	10170	52675
318	10205	52658
319	10240	52641
320	10272	52611
321	10318	52650
322	10357	52655
323	10392	52636
324	10430	52631
325	10469	52637
326	10506	52630
327	10541	52609
328	10572	52571
329	10607	52556
330	10648	52568
331	10684	52554
332	10720	52539
333	10751	52504
334	10782	52462
335	10811	52418
336	10840	52370
337	10867	52311
338	10898	52274
339	10933	52256
340	10966	52226
341	10998	52193
342	11028	52153
343	11062	52129
344	11097	52109
345	11127	52066
346	11161	52041
347	11197	52030
348	11236	52029
349	11275	52029
350	11314	52028
351	11355	52036
352	11397	52046
353	11437	52050
354	11479	52061
355	11520	52069
356	11561	52074
357	11598	52062
358	11638	52063
359	11674	52050
360	11703	52003
361	11740	51986
362	11779	51985
363	11814	51963
364	11845	51924
365	11877	51892
366	11906	51844
367	11945	51839
368	11981	51822
369	12014	51794
370	12048	51765
371	12080	51732
372	12114	51705
373	12151	51691
374	12195	51706
375	12231	51690
376	12269	51682
377	12307	51673
378	12347	51671
379	12388	51672
380	12428	51669
381	12463	51650
382	12497	51622
383	12527	51579
384	12559	51541
385	12588	51495
386	12616	51444
387	12647	51404
388	12678	51365
389	12709	51327
390	12733	51257
391	12760	51203
392	12790	51161
393	12824	51133
394	12860	51117
395	12890	51074
396	12917	51019
397	12951	50993
398	12988	50978
399	13024	50958
400	13063	50950
401	13098	50928
402	13137	50919
403	13176	50913
404	13214	50901
405	13259	50913
406	13297	50901
407	13338	50901
408	13373	50879
409	13407	50849
410	13438	50812
411	13468	50770
412	13502	50738
413	13538	50720
414	13571	50687
415	13602	50649
416	13634	50614
417	13667	50582
418	13700	50552
419	13734	50522
420	13762	50472
421	13791	50428
422	13823	50392
423	13856	50362
424	13893	50342
425	13930	50327
426	13969	50316
427	14010	50313
428	14044	50284
429	14074	50241
430	14109	50217
431	14148	50207
432	14185	50189
433	14219	50163
434	14249	50118
435	14283	50089
436	14314	50052
437	14344	50010
438	14377	49977
439	14408	49939
440	14440	49902
441	14470	49859
442	14503	49827
443	14532	49783
444	14561	49737
445	14592	49698
446	14624	49662
447	14656	49630
448	14687	49591
449	14716	49544
450	14742	49491
451	14771	49446
452	14801	49403
453	14830	49360
454	14861	49320
455	14890	49275
456	14920	49233
457	14950	49192
458	14979	49149
459	15011	49115
460	15036	49054
461	15064	49009
462	15089	48950
463	15119	48910
464	15149	48870
465	15179	48828
466	15210	48792
467	15244	48763
468	15277	48731
469	15308	48693
470	15338	48654
471	15368	48611
472	15399	48575
473	15427	48526
474	15459	48495
475	15493	48464
476	15526	48434
477	15561	48410
478	15599	48393
479	15628	48351
480	15669	48342
481	15698	48301
482	15726	48253
483	15756	48214
484	15790	48184
485	15820	48144
486	15857	48125
487	15892	48099
488	15926	48072
489	15958	48039
490	15994	48016
491	16028	47988
492	16057	47945
493	16091	47916
494	16125	47889
495	16161	47864
496	16191	47824
497	16225	47797
498	16263	47778
499	16299	47756
500	16335	47735
501	16372	47715
502	16410	47699
503	16446	47674
504	16478	47640
505	16512	47613
506	16550	47595
507	16586	47573
508	16625	47558
509	16669	47557
510	16699	47515
511	16730	47479
512	16765	47451
513	16804	47438
514	16844	47426
515	16880	47402
516	16913	47370
517	16944	47332
518	16979	47307
519	17014	47281
520	17043	47237
521	17077	47207
522	17112	47182
523	17151	47166
524	17187	47142
525	17226	47127
526	17264	47108
527	17301	47086
528	17339	47068
529	17379	47055
530	17416	47033
531	17452	47009
532	17488	46987
533	17520	46949
534	17556	46926
535	17595	46909
536	17634	46893
537	17670	46869
538	17700	46828
539	17733	46796
540	17763	46757
541	17796	46724
542	17828	46689
543	17858	46648
544	17894	46624
545	17933	46606
546	17966	46575
547	17998	46539
548	18031	46507
549	18065	46476
550	18099	46448
551	18135	46422
552	18167	46387
553	18199	46352
554	18238	46335
555	18270	46301
556	18302	46266
557	18336	46234
558	18376	46221
559	18413	46197
560	18446	46166
561	18485	46148
562	18515	46108
563	18559	46101
564	18606	46104
565	18645	46085
566	18678	46054
567	18713	46026
568	18754	46013
569	18793	45994
570	18834	45980
571	18870	45956
572	18912	45944
573	18951	45924
574	18988	45901
575	19025	45879
576	19060	45851
577	19092	45815
578	19132	45799
579	19176	45792
580	19212	45766
581	19244	45731
582	19275	45691
583	19310	45664
584	19350	45647
585	19389	45627
586	19427	45606
587	19465	45586
588	19499	45554
589	19531	45519
590	19567	45492
591	19600	45458
592	19632	45422
593	19662	45383
594	19691	45340
595	19720	45298
596	19759	45276
597	19797	45256
598	19832	45226
599	19865	45193
600	19907	45181
601	19939	45146
602	19971	45109
603	19998	45062
604	20024	45014
605	20049	44961
606	20080	44924
607	20115	44895
608	20145	44855
609	20177	44819
610	20205	44775
611	20234	44733
612	20263	44692
613	20292	44650
614	20323	44612
615	20355	44577
616	20387	44541
617	20420	44509
618	20455	44479
619	20489	44449
620	20523	44418
621	20554	44381
622	20586	44346
623	20617	44307
624	20648	44271
625	20676	44227
626	20707	44189
627	20736	44147
628	20769	44113
629	20804	44084
630	20836	44051
631	20868	44015
632	20900	43980
633	20928	43935
634	20957	43895
635	20986	43853
636	21017	43816
637	21049	43782
638	21080	43744
639	21120	43725
640	21158	43703
641	21198	43684
642	21234	43658
643	21271	43632
644	21304	43600
645	21338	43569
646	21370	43532
647	21398	43490
648	21431	43458
649	21464	43424
650	21492	43381
651	21520	43337
652	21551	43300
653	21590	43279
654	21623	43247
655	21655	43212
656	21681	43165
657	21707	43118
658	21735	43075
659	21766	43038
660	21802	43011
661	21841	42990
662	21879	42966
663	21913	42936
664	21952	42913
665	21986	42883
666	22023	42858
667	22062	42836
668	22097	42808
669	22133	42779
670	22170	42754
671	22210	42735
672	22252	42719
673	22287	42689
674	22320	42656
675	22357	42631
676	22399	42615
677	22439	42595
678	22477	42571
679	22504	42526
680	22537	42494
681	22573	42465
682	22603	42426
683	22636	42393
684	22662	42346
685	22691	42307
686	22720	42266
687	22751	42229
688	22782	42191
689	22811	42151
690	22840	42111
691	22877	42084
692	22915	42061
693	22950	42031
694	22984	42001
695	23024	41980
696	23062	41956
697	23094	41920
698	23129	41891
699	23161	41856
700	23191	41816
701	23223	41782
702	23257	41750
703	23294	41724
704	23328	41693
705	23366	41669
706	23399	41635
707	23435	41608
708	23473	41583
709	23509	41554
710	23544	41525
711	23583	41502
712	23612	41463
713	23645	41429
714	23679	41397
715	23721	41380
716	23763	41362
717	23805	41344
718	23843	41319
719	23873	41280
720	23903	41243
721	23935	41208
722	23972	41180
723	24007	41150
724	24036	41110
725	24073	41084
726	24109	41055
727	24141	41020
728	24175	40988
729	24212	40962
730	24246	40929
731	24284	40904
732	24322	40879
733	24353	40844
734	24387	40811
735	24421	40780
736	24467	40768
737	24506	40744
738	24548	40725
739	24579	40689
740	24613	40657
741	24643	40618
742	24671	40577
743	24700	40536
744	24729	40497
745	24763	40464
746	24792	40425
747	24824	40389
748	24856	40353
749	24889	40321
750	24927	40296
751	24965	40270
752	25002	40242
753	25043	40222
754	25081	40196
755	25113	40162
756	25149	40133
757	25182	40099
758	25218	40069
759	25257	40046
760	25297	40024
761	25339	40004
762	25381	39984
763	25421	39963
764	25466	39946
765	25502	39918
766	25542	39895
767	25580	39869
768	25612	39834
769	25641	39794
770	25673	39759
771	25704	39722
772	25732	39680
773	25761	39640
774	25789	39599
775	25819	39561
776	25848	39521
777	25877	39481
778	25906	39442
779	25938	39406
780	25968	39368
781	26002	39336
782	26033	39299
783	26062	39260
784	26094	39224
785	26127	39191
786	26161	39158
787	26198	39131
788	26229	39095
789	26265	39065
790	26305	39042
791	26339	39010
792	26374	38979
793	26413	38955
794	26456	38935
795	26491	38904
796	26526	38875
797	26563	38846
798	26598	38815
799	26624	38772
800	26651	38728
801	26684	38695
802	26718	38663
803	26752	38631
804	26791	38606
805	26829	38580
806	26865	38550
807	26901	38521
808	26939	38494
809	26978	38470
810	27009	38432
811	27038	38393
812	27077	38367
813	27113	38338
814	27151	38311
815	27186	38281
816	27219	38247
817	27255	38217
818	27290	38187
819	27327	38159
820	27365	38131
821	27395	38094
822	27429	38061
823	27459	38023
824	27493	37991
825	27532	37964
826	27570	37938
827	27599	37899
828	27624	37854
829	27652	37814
830	27684	37779
831	27714	37741
832	27748	37708
833	27780	37673
834	27819	37647
835	27851	37613
836	27885	37580
837	27922	37552
838	27960	37525
839	27997	37496
840	28039	37474
841	28077	37448
842	28115	37420
843	28152	37391
844	28186	37359
845	28220	37327
846	28259	37300
847	28294	37270
848	28327	37236
849	28354	37194
850	28385	37158
851	28422	37129
852	28454	37094
853	28489	37063
854	28526	37033
855	28560	37001
856	28591	36965
857	28615	36920
858	28641	36876
859	28671	36839
860	28701	36801
861	28727	36758
862	28753	36715
863	28781	36676
864	28815	36643
865	28848	36609
866	28883	36578
867	28921	36552
868	28956	36520
869	28989	36486
870	29019	36448
871	29051	36413
872	29081	36377
873	29114	36343
874	29149	36312
875	29187	36284
876	29223	36254
877	29265	36231
878	29307	36209
879	29346	36183
880	29382	36152
881	29413	36117
882	29448	36084
883	29487	36058
884	29524	36030
885	29559	35998
886	29586	35957
887	29614	35918
888	29643	35878
889	29676	35845
890	29711	35814
891	29752	35789
892	29785	35755
893	29822	35727
894	29860	35699
895	29893	35665
896	29922	35627
897	29949	35586
898	29976	35545
899	30006	35507
900	30037	35471
901	30071	35439
902	30105	35405
903	30134	35368
904	30161	35327
905	30192	35290
906	30219	35250
907	30250	35214
908	30280	35177
909	30355	35192
910	30427	35203
911	30471	35182
912	30498	35141
913	30524	35099
914	30553	35061
915	30582	35022
916	30611	34984
917	30640	34945
918	30670	34908
919	30700	34872
920	30730	34834
921	30764	34801
922	30795	34766
923	30830	34734
924	30867	34704
925	30902	34673
926	30934	34638
927	30966	34603
928	30998	34568
929	31033	34537
930	31067	34504
931	31099	34470
932	31132	34436
933	31164	34400
934	31196	34365
935	31232	34335
936	31266	34303
937	31302	34272
938	31335	34238
939	31370	34207
940	31407	34177
941	31446	34150
942	31480	34117
943	31507	34077
944	31537	34040
945	31569	34005
946	31599	33968
947	31633	33935
948	31662	33897
949	31699	33868
950	31734	33836
951	31766	33801
952	31800	33768
953	31865	33769
954	31908	33746
955	31945	33717
956	31977	33682
957	32013	33650
958	32052	33623
959	32086	33590
960	32123	33560
961	32151	33521
962	32182	33486
963	32211	33447
964	32242	33412
965	32274	33377
