,ID,Y_LABEL
1,TEST_0001,0
3,TEST_0003,0
5,TEST_0005,0
6,TEST_0006,0
8,TEST_0008,0
9,TEST_0009,0
10,TEST_0010,0
13,TEST_0013,0
14,TEST_0014,0
15,TEST_0015,0
16,TEST_0016,0
17,TEST_0017,0
22,TEST_0022,0
23,TEST_0023,0
25,TEST_0025,0
26,TEST_0026,0
27,TEST_0027,0
29,TEST_0029,0
31,TEST_0031,0
32,TEST_0032,0
35,TEST_0035,0
39,TEST_0039,0
40,TEST_0040,0
41,TEST_0041,1
46,TEST_0046,1
48,TEST_0048,0
49,TEST_0049,0
53,TEST_0053,0
58,TEST_0058,0
59,TEST_0059,0
61,TEST_0061,0
63,TEST_0063,0
64,TEST_0064,0
66,TEST_0066,0
67,TEST_0067,0
69,TEST_0069,0
71,TEST_0071,0
72,TEST_0072,0
74,TEST_0074,0
76,TEST_0076,0
77,TEST_0077,0
80,TEST_0080,0
81,TEST_0081,0
83,TEST_0083,0
85,TEST_0085,0
88,TEST_0088,0
89,TEST_0089,0
90,TEST_0090,0
91,TEST_0091,0
93,TEST_0093,0
96,TEST_0096,0
98,TEST_0098,0
100,TEST_0100,0
101,TEST_0101,0
102,TEST_0102,0
103,TEST_0103,0
106,TEST_0106,1
109,TEST_0109,0
111,TEST_0111,0
113,TEST_0113,0
116,TEST_0116,1
120,TEST_0120,0
121,TEST_0121,0
122,TEST_0122,0
123,TEST_0123,0
125,TEST_0125,0
126,TEST_0126,0
128,TEST_0128,0
132,TEST_0132,0
138,TEST_0138,0
139,TEST_0139,0
140,TEST_0140,0
141,TEST_0141,0
142,TEST_0142,0
144,TEST_0144,0
146,TEST_0146,0
148,TEST_0148,0
149,TEST_0149,0
150,TEST_0150,1
151,TEST_0151,0
152,TEST_0152,0
154,TEST_0154,0
155,TEST_0155,0
157,TEST_0157,0
158,TEST_0158,0
159,TEST_0159,0
160,TEST_0160,0
163,TEST_0163,0
164,TEST_0164,0
166,TEST_0166,0
167,TEST_0167,0
168,TEST_0168,0
171,TEST_0171,0
172,TEST_0172,0
174,TEST_0174,0
175,TEST_0175,0
178,TEST_0178,0
179,TEST_0179,0
182,TEST_0182,0
183,TEST_0183,0
185,TEST_0185,0
192,TEST_0192,0
194,TEST_0194,0
197,TEST_0197,0
198,TEST_0198,0
201,TEST_0201,1
202,TEST_0202,0
204,TEST_0204,0
205,TEST_0205,0
210,TEST_0210,0
211,TEST_0211,0
212,TEST_0212,0
214,TEST_0214,0
215,TEST_0215,0
216,TEST_0216,0
219,TEST_0219,0
220,TEST_0220,0
221,TEST_0221,0
223,TEST_0223,0
224,TEST_0224,0
225,TEST_0225,0
228,TEST_0228,1
231,TEST_0231,0
232,TEST_0232,0
236,TEST_0236,0
238,TEST_0238,0
243,TEST_0243,1
244,TEST_0244,0
248,TEST_0248,0
252,TEST_0252,0
253,TEST_0253,0
255,TEST_0255,0
257,TEST_0257,0
258,TEST_0258,0
259,TEST_0259,0
262,TEST_0262,0
263,TEST_0263,0
264,TEST_0264,0
265,TEST_0265,0
266,TEST_0266,0
267,TEST_0267,0
270,TEST_0270,0
271,TEST_0271,0
273,TEST_0273,0
276,TEST_0276,0
277,TEST_0277,0
278,TEST_0278,1
285,TEST_0285,0
286,TEST_0286,0
290,TEST_0290,0
296,TEST_0296,0
297,TEST_0297,0
299,TEST_0299,0
303,TEST_0303,0
307,TEST_0307,0
310,TEST_0310,0
311,TEST_0311,0
312,TEST_0312,0
315,TEST_0315,0
319,TEST_0319,0
320,TEST_0320,0
322,TEST_0322,0
323,TEST_0323,0
324,TEST_0324,0
326,TEST_0326,0
327,TEST_0327,0
328,TEST_0328,1
330,TEST_0330,0
331,TEST_0331,0
333,TEST_0333,0
334,TEST_0334,0
335,TEST_0335,0
336,TEST_0336,0
337,TEST_0337,0
338,TEST_0338,0
339,TEST_0339,0
340,TEST_0340,0
342,TEST_0342,0
344,TEST_0344,0
348,TEST_0348,0
350,TEST_0350,1
352,TEST_0352,0
353,TEST_0353,0
356,TEST_0356,0
358,TEST_0358,0
359,TEST_0359,0
360,TEST_0360,0
361,TEST_0361,0
363,TEST_0363,0
364,TEST_0364,0
366,TEST_0366,0
369,TEST_0369,0
370,TEST_0370,0
372,TEST_0372,0
375,TEST_0375,0
376,TEST_0376,0
378,TEST_0378,0
379,TEST_0379,0
380,TEST_0380,0
381,TEST_0381,0
383,TEST_0383,0
384,TEST_0384,0
388,TEST_0388,0
391,TEST_0391,0
392,TEST_0392,0
393,TEST_0393,0
396,TEST_0396,0
397,TEST_0397,0
402,TEST_0402,0
403,TEST_0403,0
404,TEST_0404,0
408,TEST_0408,0
409,TEST_0409,0
410,TEST_0410,0
411,TEST_0411,0
413,TEST_0413,0
414,TEST_0414,0
415,TEST_0415,0
416,TEST_0416,0
419,TEST_0419,0
420,TEST_0420,0
421,TEST_0421,0
423,TEST_0423,0
425,TEST_0425,0
426,TEST_0426,0
427,TEST_0427,0
428,TEST_0428,0
429,TEST_0429,0
430,TEST_0430,0
431,TEST_0431,0
435,TEST_0435,0
436,TEST_0436,0
437,TEST_0437,0
438,TEST_0438,0
439,TEST_0439,1
443,TEST_0443,0
444,TEST_0444,0
445,TEST_0445,0
447,TEST_0447,0
448,TEST_0448,1
450,TEST_0450,0
452,TEST_0452,0
453,TEST_0453,0
454,TEST_0454,0
457,TEST_0457,0
460,TEST_0460,0
461,TEST_0461,0
462,TEST_0462,0
465,TEST_0465,0
470,TEST_0470,0
472,TEST_0472,0
