,ANONYMOUS_1,YEAR,ANONYMOUS_2,AG,CO,CR,CU,FE,H2O,MN,MO,NI,PQINDEX,TI,V,V40,ZN,Y_LABEL
9947,1531,2011,200,0,0,0,3,19,0.0,1,180,0,5,0,0,79.1,1236,0
3158,5531,2011,200,0,0,1,439,24,0.0,1,93,0,20,0,0,68.5,1193,0
5299,3156,2017,956,0,0,0,0,12,0.0,0,0,0,6,0,0,69.1,1126,0
685,1242,2008,442,0,0,0,341,15,0.0,0,1,0,12,0,0,66.2,1226,0
7318,1554,2014,200,0,0,0,169,19,0.0,5,240,0,6,0,0,75.7,1359,0
3042,1369,2021,569,0,0,0,2,14,0.0,0,0,0,5,0,0,71.4,1108,0
4782,1688,2011,200,0,0,0,6,22,0.0,3,131,0,17,0,0,71.5,1187,0
3597,2454,2017,200,0,0,0,35,22,0.0,0,0,0,6,0,0,69.5,977,0
10642,1287,2010,487,0,0,0,209,23,0.0,0,130,0,12,0,0,77.6,1126,1
1994,1870,2013,200,0,0,0,2,19,0.0,0,185,0,17,0,0,75.9,1445,1
5735,2075,2013,200,0,0,0,4,17,0.0,0,1,0,20,0,0,57.5,1094,0
1537,10828,2012,200,0,0,0,262,25,0.0,0,6,0,23,0,0,64.8,1156,0
149,1899,2011,200,0,0,0,6,46,0.0,0,0,0,18,0,0,37.6,21,0
1588,5275,2021,1481,0,0,0,0,14,0.0,0,1,0,9,0,0,68.9,1038,0
12298,2920,2020,604,0,0,0,0,20,0.0,0,15,0,15,0,0,78.6,1178,0
4368,2041,2013,510,0,0,0,6,16,0.0,4,1,0,15,0,0,61.6,929,0
10598,6660,2014,200,0,0,0,0,17,0.0,0,0,0,25,0,0,80.2,1227,0
2966,3154,2019,613,0,0,0,3,22,0.0,2,106,0,19,0,0,73.4,1252,0
6894,3873,2015,200,0,0,0,3,30,0.0,0,71,0,25,0,0,77.4,1127,0
10407,1549,2008,749,0,0,1,315,14,0.0,0,7,0,23,0,0,71.1,1192,0
11127,2081,2008,550,0,0,0,60,14,0.0,1,10,0,16,0,0,57.1,1080,0
12809,3419,2016,200,0,0,0,0,8,0.0,0,242,0,20,0,0,84.2,1207,0
5431,2495,2011,200,0,0,0,1,12,0.0,0,254,0,17,0,0,83.7,1438,0
10785,6780,2017,5800,0,0,0,0,21,0.0,0,258,0,21,0,0,81.5,1508,0
3535,1387,2014,200,0,0,0,28,26,0.0,1,142,0,22,0,0,77.8,1166,1
579,4147,2008,200,0,0,1,295,22,0.0,1,52,0,18,0,0,72.2,1236,1
5250,8926,2020,200,0,0,0,11,35,0.0,0,0,0,30,0,0,51.7,1013,0
4547,8004,2021,589,0,0,0,9,128,0.0,1,0,0,57,0,0,38.1,12,0
6694,3620,2021,365,0,0,0,1,16,0.0,0,3,0,16,0,0,71.4,1175,0
10825,2470,2016,200,0,0,0,2,14,0.0,0,1,0,6,0,0,70.2,1178,0
6063,1383,2012,583,0,0,0,111,21,0.0,4,5,0,23,0,0,64.8,1083,0
10715,4159,2020,480,0,0,0,1,7,0.0,0,1,0,15,0,0,72.5,1094,0
3125,1773,2013,200,0,0,0,195,17,0.0,3,3,0,5,0,0,66.3,1144,0
430,2271,2009,200,0,0,0,20,5,0.0,0,0,0,14,0,0,59.4,940,0
7041,6427,2009,200,0,0,0,69,58,0.0,2,0,0,33,0,0,28.6,307,0
8001,1416,2018,200,0,0,0,0,12,0.0,0,109,0,23,0,0,79.2,1203,0
1506,1361,2008,550,0,0,0,499,23,0.0,1,37,0,16,0,0,59.0,1197,0
2600,3062,2014,200,0,0,0,0,18,0.0,0,246,0,21,0,0,83.1,1480,0
1700,1172,2008,200,0,0,1,609,21,0.0,1,14,1,17,0,0,54.6,1121,0
13626,3859,2018,200,0,0,0,13,6,0.0,0,0,0,5,0,0,72.3,698,1
8397,4649,2011,200,0,0,1,254,64,0.0,1,0,0,13,0,0,59.5,1046,0
5156,1532,2009,375,0,0,1,245,16,0.0,0,0,1,17,0,0,68.8,1193,0
7421,5140,2022,558,0,0,0,0,6,0.0,0,21,0,5,0,0,78.6,954,0
5348,3467,2017,200,0,0,0,0,6,0.0,0,2,0,5,0,0,72.7,1135,0
9148,2014,2016,200,0,0,0,2,11,0.0,0,132,0,7,0,0,79.8,1210,0
7687,4151,2016,200,0,0,0,0,8,0.0,0,253,0,17,0,0,83.6,1328,0
9680,2507,2008,200,0,0,0,270,15,0.0,1,7,0,20,0,0,61.2,1029,0
4681,1201,2016,401,0,0,0,3,17,0.0,0,0,0,9,0,0,74.3,1256,0
3219,2484,2020,1600,0,0,0,0,12,0.0,0,19,0,8,0,0,67.9,1026,0
13837,7652,2018,200,0,0,0,0,12,0.0,0,0,0,6,0,0,70.0,1228,0
12759,8158,2014,200,0,0,0,5,101,0.0,0,4,0,23,0,0,72.8,11,1
12135,1305,2021,505,0,0,0,0,5,0.0,0,1,0,5,0,0,77.6,1163,0
10467,1721,2019,595,0,0,0,9,84,0.0,1,0,0,35,0,0,36.3,31,0
11980,1388,2022,588,0,0,0,2,15,0.0,0,37,0,12,0,0,58.8,1058,0
215,2341,2008,1600,0,0,0,66,16,0.0,1,18,0,11,0,0,63.6,1142,0
2990,2152,2014,200,0,0,0,146,14,0.0,6,139,0,21,0,0,66.7,984,0
9108,1324,2015,200,0,0,0,0,13,0.0,0,246,0,16,0,0,82.2,1288,0
7029,1939,2008,200,0,0,0,279,24,0.0,1,121,0,21,0,0,68.8,1297,0
4316,1844,2012,1044,0,0,0,219,17,0.0,0,8,0,6,0,0,64.8,1208,0
4749,6618,2019,375,0,0,0,0,17,0.0,0,1,0,26,0,0,80.8,1080,1
12324,1533,2013,200,0,0,0,7,15,0.0,7,9,0,5,0,0,65.0,1085,0
2322,1207,2014,200,0,0,0,0,25,0.0,0,155,0,8,0,0,84.1,1392,0
10657,11510,2013,200,0,0,0,117,10,0.0,1,6,0,8,0,0,56.5,973,0
13276,3688,2020,1497,0,0,0,0,10,0.0,0,9,0,11,0,0,67.2,1419,0
5817,1977,2016,200,0,0,0,1,10,0.0,0,62,0,5,0,0,77.5,1235,0
80,9097,2015,200,0,0,1,1,19,0.0,1,2,0,21,1,0,81.9,1071,0
8175,1352,2016,375,0,0,0,3,20,0.0,0,0,0,6,0,0,65.5,1100,0
13974,1585,2009,200,0,0,0,347,10,0.0,0,4,0,8,0,0,69.7,1114,0
11969,1753,2013,200,0,0,0,0,10,0.0,0,246,0,19,0,0,83.1,1249,0
3317,1380,2009,200,0,0,0,12,2,0.0,0,48,0,16,0,0,97.4,621,0
5412,3772,2016,200,0,0,0,0,9,0.0,0,1,0,6,0,0,70.5,1198,0
43,1718,2011,200,0,0,0,197,13,0.0,0,4,0,12,0,0,73.9,1262,0
10192,3524,2017,624,0,0,0,8,16,0.0,0,2,0,16,0,0,62.8,1072,0
3346,1581,2011,200,0,0,0,29,12,0.0,0,2,0,20,0,0,69.8,1204,0
10130,3947,2019,200,0,0,0,7,90,0.0,0,0,0,43,0,0,38.1,9,0
2016,2130,2011,200,0,0,0,284,16,0.0,0,3,0,3,0,0,70.0,1169,0
8716,2069,2009,1269,1,0,0,14,14,0.0,0,3,0,36,0,0,67.6,1220,0
