,ANONYMOUS_1,YEAR,ANONYMOUS_2,AG,CO,CR,CU,FE,H2O,MN,MO,NI,PQINDEX,TI,V,V40,ZN,Y_LABEL
13749,8121,2013,200,0,0,3,2,15,0.0,1,208,0,21,0,1,117.4,1249,0
3842,2674,2013,200,0,0,4,0,3,0.0,0,0,0,7,0,0,63.2,478,0
14049,2072,2020,356,0,1,46,3,3240,0.0,18,6,6,1779,8,1,196.3,29,0
4809,2467,2008,200,0,0,1,177,102,0.0,1,0,0,37,0,0,45.0,650,0
11337,1991,2008,1191,0,0,5,7,270,0.0,6,1,1,7678,1,0,150.7,15,1
9113,2046,2015,200,0,0,2,4,25,0.0,1,57,0,17,0,0,104.5,1197,0
1857,5412,2022,471,0,0,0,2,46,0.0,0,0,0,78,0,0,111.3,1569,0
10887,2466,2014,200,0,0,0,2,52,0.0,4,2,0,43,0,0,128.0,12,0
13700,7359,2014,200,0,0,1,5,574,0.0,4,6,0,132,0,0,143.2,16,0
993,1722,2016,200,0,0,0,1,76,0.0,4,1,0,1163,0,0,144.6,36,0
5277,5051,2018,375,0,0,2,10,44,0.0,2,41,0,12,0,0,89.5,1260,0
12894,2506,2016,200,0,0,0,3,37,0.0,0,1,0,10,0,0,89.7,1204,0
5125,11570,2021,200,0,0,0,1,44,0.0,0,0,0,42,0,0,140.9,26,0
13598,1390,2009,590,0,0,10,61,502,0.0,8,1,2,230,0,0,134.1,61,0
1473,1859,2012,200,0,0,0,2,140,0.0,11,0,0,89,0,0,130.3,157,0
2814,1702,2014,200,0,0,0,0,35,0.0,0,2,0,76,0,0,130.1,11,0
6597,2330,2009,200,0,0,0,136,2,0.0,0,0,0,10,0,0,45.4,672,1
12487,2203,2008,200,0,0,2,5,38,0.0,1,196,0,23,0,0,109.0,1231,0
6942,6362,2009,200,0,0,0,4,15,0.0,0,221,0,6,0,0,116.4,1316,0
11791,4172,2012,200,0,1,9,53,276,0.0,9,1,2,1030,1,1,172.8,44,0
3975,1307,2014,507,0,0,1,2,18,0.0,0,4,0,5,0,0,97.9,1237,0
1397,3125,2009,200,0,0,2,18,223,0.0,3,1,1,7196,0,0,143.8,30,0
1717,5207,2012,200,0,0,0,1,10,0.0,1,0,0,13,0,0,96.9,1046,0
5668,3121,2019,200,0,0,0,209,31,0.0,2,15,0,61,0,0,80.5,904,0
4312,1655,2017,505,0,0,1,0,12,0.0,0,2,0,21,0,0,97.1,1304,0
3035,4274,2011,622,0,0,2,24,76,0.0,1,152,0,8,0,0,111.5,1131,0
8330,4148,2016,200,0,0,4,114,188,0.0,4,5,4,257,0,0,143.8,79,0
12153,3275,2013,200,0,0,1,1,96,0.0,2,0,0,150,0,0,147.5,23,0
193,2249,2022,395,0,0,0,0,17,0.0,0,38,1,5,0,0,90.8,945,0
864,2022,2008,550,0,0,4,1,283,0.0,3,0,0,407,2,0,123.1,13,0
10114,5192,2017,200,0,0,1,3,122,0.0,2,4,0,101,0,0,179.1,105,0
7642,4154,2015,200,0,0,0,1,9,0.0,0,25,0,13,0,0,97.6,1034,1
9041,1159,2014,359,0,0,0,0,96,0.0,0,0,0,122,0,0,153.7,17,0
8990,1364,2009,200,0,0,0,388,27,0.0,0,94,0,17,0,0,75.3,1048,0
8912,23282,2018,410,0,0,10,2,329,0.0,8,1,0,1652,0,0,134.0,30,1
2065,4165,2019,200,0,0,2,25,28,0.0,2,3,0,7,0,0,87.2,1613,0
11563,2752,2020,552,0,0,0,0,130,0.0,1,0,0,68,0,0,180.0,47,0
5419,2466,2014,200,0,0,2,11,189,0.0,2,0,0,258,0,0,139.1,19,0
879,1377,2015,200,0,0,2,5,21,0.0,2,0,0,102,0,0,68.8,374,0
12573,7789,2012,200,0,0,0,91,16,0.0,0,0,0,13,0,0,57.3,511,0
9928,8263,2012,200,0,0,2,2,27,0.0,1,39,1,23,0,0,109.9,961,0
2015,2897,2011,200,0,0,1,2,22,0.0,0,0,0,34,0,0,113.2,1051,0
5469,1868,2022,356,0,0,0,0,14,0.0,0,36,0,6,0,0,92.2,914,0
12557,3403,2009,200,0,0,5,59,387,0.0,5,1,3,499,1,0,148.6,44,0
11551,1410,2014,200,0,0,0,7,51,0.0,0,0,0,77,0,0,146.5,8,0
9860,5010,2013,200,0,0,0,0,35,0.0,0,7,0,76,0,0,147.1,65,0
10890,1891,2015,200,0,0,0,0,15,0.0,0,82,0,23,0,0,74.5,1122,0
6394,1336,2016,200,0,0,0,8,6,0.0,0,0,0,5,0,0,45.4,600,0
4305,1368,2015,393,0,0,5,2,323,0.0,4,0,1,335,3,0,140.0,17,0
