iter	RMSE
0	5.443260266
1	5.378061765
2	5.314525935
3	5.252132759
4	5.191045513
5	5.131143652
6	5.072989437
7	5.016466179
8	4.961105336
9	4.907268621
10	4.855309477
11	4.803990294
12	4.753435428
13	4.704720895
14	4.656874455
15	4.610972831
16	4.564973996
17	4.521269834
18	4.478670816
19	4.43612415
20	4.394678615
21	4.354722996
22	4.314769015
23	4.276751521
24	4.239442658
25	4.203322565
26	4.16739812
27	4.133495012
28	4.099191784
29	4.066195237
30	4.033775381
31	4.001700966
32	3.97052095
33	3.940568293
34	3.912316718
35	3.884322088
36	3.857144668
37	3.830495663
38	3.804098344
39	3.777611038
40	3.752441885
41	3.728206632
42	3.703989151
43	3.680774546
44	3.657915238
45	3.635534226
46	3.614319741
47	3.593775033
48	3.572854515
49	3.552675107
50	3.532783841
51	3.513593853
52	3.495187938
53	3.477635446
54	3.459898749
55	3.442719123
56	3.426024965
57	3.409524043
58	3.393872321
59	3.37781321
60	3.363456575
61	3.34916992
62	3.334713523
63	3.321391471
64	3.308281967
65	3.295222642
66	3.282127572
67	3.269233862
68	3.257232082
69	3.24530138
70	3.23353986
71	3.222280344
72	3.21126244
73	3.200665815
74	3.190683064
75	3.18015119
76	3.170157583
77	3.160151408
78	3.150489906
79	3.14103579
80	3.131685146
81	3.123167275
82	3.114215286
83	3.105709503
84	3.097498615
85	3.08951913
86	3.081966219
87	3.074454143
88	3.066886839
89	3.059746202
90	3.052259734
91	3.044881689
92	3.038008258
93	3.031511396
94	3.025220065
95	3.019347245
96	3.013094633
97	3.007137878
98	3.001509542
99	2.99539897
100	2.990207781
101	2.984332574
102	2.979209371
103	2.974027646
104	2.968645436
105	2.963892682
106	2.959195602
107	2.953972599
108	2.948994746
109	2.944625158
110	2.940185034
111	2.935960806
112	2.931411646
113	2.926925238
114	2.922675658
115	2.918564153
116	2.914531313
117	2.910521095
118	2.906826728
119	2.903235772
120	2.899686995
121	2.895445452
122	2.891883992
123	2.88844107
124	2.885101455
125	2.881981553
126	2.878139411
127	2.874831418
128	2.871481461
129	2.868220254
