iter	MultiClass
0	1.079846319
1	1.064130925
2	1.051000865
3	1.040736704
4	1.031641384
5	1.025175673
6	1.019120675
7	1.01429808
8	1.010097582
9	1.006340989
10	1.003196309
11	1.000194504
12	0.9979349088
13	0.9962213873
14	0.9946467413
15	0.9931174311
16	0.9918779813
17	0.9905446417
18	0.9894790586
19	0.9886241571
20	0.9878274446
21	0.9869290828
22	0.9861922459
23	0.9852267051
24	0.9845577143
25	0.9838653331
26	0.9832839842
27	0.9827584323
28	0.9822537507
29	0.9817600229
30	0.9810311271
31	0.9803613486
32	0.9799268327
33	0.9795227923
34	0.9789530936
35	0.9783677467
36	0.9780980862
37	0.9776602379
38	0.9771840329
39	0.9769406679
40	0.9767055972
41	0.9764677889
42	0.9761804487
43	0.9759655666
44	0.9756712405
45	0.9753367476
46	0.9751099127
47	0.9749590004
48	0.9747734823
49	0.9744633957
50	0.9742851812
51	0.974083054
52	0.9738598284
53	0.9736826787
54	0.9735589259
55	0.9732496562
56	0.9730219679
57	0.9727107542
58	0.9724545131
59	0.972299309
60	0.9721335679
61	0.9719998253
62	0.9718633642
63	0.9716315511
64	0.971404888
65	0.9712334765
66	0.9711176905
67	0.9707747147
68	0.9706415277
69	0.9705333649
70	0.9703386171
71	0.9702164944
72	0.9701309543
73	0.9699796428
74	0.9698110677
75	0.9695944714
76	0.9694764111
77	0.969309974
78	0.9692070358
79	0.9690876065
80	0.9689507317
81	0.9688245587
82	0.9687214541
83	0.9685340326
84	0.968328795
85	0.9682198172
86	0.9680673946
87	0.9679758562
88	0.967758185
89	0.9676170603
90	0.9675367291
91	0.9674070455
92	0.9672893014
93	0.9670880706
94	0.9669301332
95	0.9668086757
96	0.9666411333
97	0.9665642108
98	0.9664435906
99	0.9662626916
100	0.9660988315
101	0.9659751188
102	0.9657412438
103	0.9655991892
104	0.965443243
105	0.9653062473
106	0.965149364
107	0.9650094134
108	0.964906565
109	0.9647009793
110	0.9646152986
111	0.9644786497
112	0.9643796699
113	0.9642562471
114	0.9641299218
115	0.964043029
116	0.9639546797
117	0.9638637882
118	0.9637392554
119	0.9636330102
120	0.9634617928
121	0.9633472807
122	0.9632522355
123	0.9631323678
124	0.9630395608
125	0.9628521531
126	0.9626683281
127	0.9625516637
128	0.9623900821
129	0.9622628215
130	0.9622248682
131	0.9621362401
132	0.9620072868
133	0.9618778837
134	0.9617380676
135	0.9616209682
136	0.9614953634
137	0.9614135044
138	0.9613262621
139	0.9612425539
140	0.9611137661
141	0.9610158005
142	0.9609445563
143	0.9607600484
144	0.9605869599
145	0.9604548102
146	0.9603351648
147	0.9602201458
148	0.9601386324
149	0.9600144501
150	0.9598859066
151	0.9597880312
152	0.9596660851
153	0.9595745063
154	0.9594555598
155	0.959366639
156	0.959286787
157	0.9591822713
158	0.9590700284
159	0.9589358626
160	0.9588812029
161	0.9587363787
162	0.9586182293
163	0.9585193447
164	0.9584058815
165	0.9583043753
166	0.9582357091
167	0.9580959494
168	0.9580467848
169	0.9579657655
170	0.9578768949
171	0.9577426596
172	0.9576299599
173	0.9575692931
174	0.9574918861
175	0.9574029181
176	0.9571880676
177	0.957125611
178	0.9570429659
179	0.9568945537
180	0.9567693905
181	0.9566679694
182	0.9565662361
183	0.9564498694
184	0.9563411331
185	0.9562398422
186	0.956155658
187	0.9559583403
188	0.9558778393
189	0.9557671071
190	0.955644941
191	0.9555706521
192	0.9554771475
193	0.9553654034
194	0.9552456727
195	0.9551610842
196	0.955087807
197	0.9549914059
198	0.9549124029
199	0.9548231545
200	0.9547496264
201	0.9546445339
202	0.9545371222
203	0.9544594773
204	0.9543509548
205	0.9542342305
206	0.9541452305
207	0.9540643693
208	0.9539492653
209	0.9538420962
210	0.9537269211
211	0.9536503754
212	0.9535888796
213	0.953514701
214	0.9534367404
215	0.9533807292
216	0.953301119
217	0.9532083583
218	0.9531352066
219	0.9530399972
220	0.9529533375
221	0.9528887845
222	0.9527614293
223	0.952694443
224	0.9526450606
225	0.9525169366
226	0.9524334226
227	0.9523794407
228	0.9522871776
229	0.9522259508
230	0.9520956545
231	0.9520195596
232	0.9519231473
233	0.9518297524
234	0.9517177998
235	0.9516476889
236	0.9515270799
237	0.951459891
238	0.9514129543
239	0.9513056185
240	0.9512200134
241	0.9510949142
242	0.9510356712
243	0.9509107127
244	0.9508207015
245	0.9507301408
246	0.9506389339
247	0.9505359287
248	0.9504586396
249	0.9503841481
250	0.9502758895
251	0.9501756806
252	0.9500710726
253	0.9499445224
254	0.9498571307
255	0.9497591788
256	0.949657396
257	0.9495740322
258	0.9494923387
259	0.9494193067
260	0.9493596664
261	0.949295482
262	0.9492314612
263	0.9491512048
264	0.9490853883
265	0.9489488159
266	0.9488579945
267	0.9487979501
268	0.948722235
269	0.9486501939
270	0.9485752837
271	0.9485198914
272	0.9484468249
273	0.9483618167
274	0.9482754367
275	0.9482049157
276	0.9480951517
277	0.9480406246
278	0.9479781151
279	0.9478904899
280	0.947812608
281	0.9477273932
282	0.9476646032
283	0.9475901736
284	0.9475016187
285	0.9474185843
286	0.9472828881
287	0.9472320044
288	0.9471063163
289	0.9470476529
290	0.9469905836
291	0.9469207143
292	0.9468354335
293	0.9467600461
294	0.9467058963
295	0.9466586787
296	0.9465963658
297	0.9465304479
298	0.9464598102
299	0.9464119713
300	0.9463524003
301	0.9462601416
302	0.9461631988
303	0.9460921275
304	0.9460286729
305	0.9459394709
306	0.9458366599
307	0.9457700479
308	0.9456932901
309	0.9456356253
310	0.9455611188
311	0.9454778438
312	0.945399816
313	0.9453307186
314	0.9452664237
315	0.9452151752
316	0.9451013699
317	0.9450074718
318	0.9449410646
319	0.94488309
320	0.9447879553
321	0.944729916
322	0.9446269782
323	0.9445694461
324	0.9444856434
325	0.9444185725
326	0.9443808167
327	0.9443074261
328	0.9442556314
329	0.9441744818
330	0.9441038449
331	0.9440422772
332	0.9439790369
333	0.943916908
334	0.943841382
335	0.9437401924
336	0.9436674389
337	0.9436037708
338	0.9435315156
339	0.943458049
340	0.9434281962
341	0.9433802802
342	0.9432982838
343	0.9432533012
344	0.9431369288
345	0.9430676208
346	0.9430017424
347	0.9429235334
348	0.9428784131
349	0.942837977
350	0.9428000217
351	0.9427274072
352	0.9426429163
353	0.94257239
354	0.9425339384
355	0.9424396315
356	0.9423743121
357	0.942307475
358	0.9422237102
359	0.9421345288
360	0.9420504013
361	0.9419746556
362	0.9419249714
363	0.9418705112
364	0.9418147773
365	0.9417312638
366	0.9416824908
367	0.9416397522
368	0.9415639728
369	0.9414921775
370	0.9414227072
371	0.9413668525
372	0.9413385538
373	0.9412854955
374	0.9412089847
375	0.9411071342
376	0.9410111492
377	0.9409556202
378	0.9408602211
379	0.9408115901
380	0.9407516117
381	0.9406792377
382	0.9406171429
383	0.9405430655
384	0.9404782569
385	0.9403940089
386	0.9403419185
387	0.9402541416
388	0.9401872475
389	0.940130561
390	0.9400667188
391	0.9399954714
392	0.9398928743
393	0.9398291931
394	0.9397687945
395	0.9397141744
396	0.9396652774
397	0.939604729
398	0.9395409369
399	0.9394374707
400	0.9393598909
401	0.9392642648
402	0.9392043804
403	0.9391474814
404	0.9390873605
405	0.9390406713
406	0.9389988478
407	0.9389270277
408	0.9388656151
409	0.9388165115
410	0.9387555523
411	0.9387091553
412	0.9386404566
413	0.93854942
414	0.9384915084
