iter	Passed	Remaining
0	174	174642
1	210	104887
2	238	79371
3	268	66786
4	305	60872
5	340	56357
6	372	52912
7	408	50652
8	442	48778
9	476	47213
10	512	46039
11	547	45055
12	580	44094
13	612	43133
14	646	42440
15	685	42145
16	723	41861
17	756	41281
18	784	40502
19	819	40137
20	850	39634
21	883	39265
22	914	38863
23	943	38386
24	969	37828
25	1000	37495
26	1031	37173
27	1056	36661
28	1090	36514
29	1121	36249
30	1154	36096
31	1183	35797
32	1212	35531
33	1244	35367
34	1272	35092
35	1299	34788
36	1328	34585
37	1358	34400
38	1391	34277
39	1417	34018
40	1453	34004
41	1482	33824
42	1515	33731
43	1551	33714
44	1585	33649
45	1623	33673
46	1666	33787
47	1705	33818
48	1739	33753
49	1776	33752
50	1811	33713
51	1841	33574
52	1870	33427
53	1901	33308
54	1932	33208
55	1962	33089
56	1999	33086
57	2034	33050
58	2061	32879
59	2085	32673
60	2114	32546
61	2147	32487
62	2182	32453
63	2218	32442
64	2248	32344
65	2283	32308
66	2312	32197
67	2347	32169
68	2374	32032
69	2402	31920
70	2431	31809
71	2457	31672
72	2482	31521
73	2514	31464
74	2550	31450
75	2594	31543
76	2623	31449
77	2656	31403
78	2689	31358
79	2724	31332
80	2787	31627
81	2851	31928
82	2895	31990
83	2933	31988
84	2964	31916
85	2999	31879
86	3030	31799
87	3057	31684
88	3086	31589
89	3118	31529
90	3154	31507
91	3188	31471
92	3216	31369
93	3243	31264
94	3272	31175
95	3302	31098
96	3333	31031
97	3359	30922
98	3389	30843
99	3418	30762
100	3448	30695
101	3477	30613
102	3510	30574
103	3537	30473
104	3566	30397
105	3592	30300
106	3622	30236
107	3655	30189
108	3685	30129
109	3714	30056
110	3746	30007
111	3781	29979
112	3824	30016
113	3854	29959
114	3902	30030
115	3939	30023
116	3969	29959
117	4008	29961
118	4046	29959
119	4075	29889
120	4108	29845
121	4149	29863
122	4184	29834
123	4210	29744
124	4240	29680
125	4270	29619
126	4305	29593
127	4335	29537
128	4367	29486
129	4401	29453
130	4425	29360
131	4460	29328
132	4489	29268
133	4519	29209
134	4545	29123
135	4578	29089
136	4610	29041
137	4642	28999
138	4674	28952
139	4701	28879
140	4735	28846
141	4761	28770
142	4799	28762
143	4832	28725
144	4880	28777
145	4919	28778
146	4957	28766
147	4993	28744
148	5022	28687
149	5057	28658
150	5082	28578
151	5114	28532
152	5149	28509
153	5178	28445
154	5205	28377
155	5228	28288
156	5257	28228
157	5287	28179
158	5320	28143
159	5350	28092
160	5377	28021
161	5411	27991
162	5442	27945
163	5470	27885
164	5499	27831
165	5529	27779
166	5555	27709
167	5583	27650
168	5613	27600
169	5645	27563
170	5677	27523
171	5707	27477
172	5740	27439
173	5774	27410
174	5808	27381
175	5844	27363
176	5888	27378
177	5934	27407
178	5974	27404
179	6019	27423
180	6060	27425
181	6099	27415
