iter	Passed	Remaining
0	21	21942
1	27	13777
2	32	10773
3	36	9082
4	40	7968
5	43	7178
6	46	6648
7	50	6228
8	53	5901
9	56	5636
10	60	5423
11	63	5247
12	67	5104
13	70	4975
14	74	4890
15	77	4791
16	81	4699
17	84	4621
18	88	4545
19	91	4490
20	95	4430
21	98	4372
22	101	4321
23	104	4267
24	108	4230
25	111	4193
26	115	4157
27	118	4122
28	122	4099
29	125	4068
30	129	4038
31	132	4010
32	136	3985
33	139	3967
34	143	3947
35	146	3924
36	149	3903
37	153	3898
38	158	3896
39	161	3881
40	165	3871
41	169	3856
42	172	3840
43	176	3824
44	179	3808
45	182	3794
46	186	3780
47	189	3762
48	192	3745
49	196	3733
50	199	3718
51	203	3703
52	206	3687
53	209	3674
54	213	3663
55	216	3651
56	219	3638
57	223	3627
58	226	3619
59	230	3609
60	233	3598
61	237	3587
62	240	3577
63	243	3567
64	247	3557
65	250	3546
66	253	3536
67	257	3528
68	260	3518
69	264	3508
70	267	3500
71	271	3492
72	274	3483
73	277	3478
74	281	3471
75	284	3464
76	288	3460
77	292	3454
78	295	3449
79	299	3446
80	303	3443
81	307	3439
82	310	3433
83	314	3429
84	318	3426
85	322	3423
86	325	3418
87	329	3411
88	333	3411
89	336	3406
90	340	3402
91	344	3397
92	348	3394
93	351	3390
94	355	3388
95	359	3386
96	363	3382
97	367	3379
98	370	3376
99	375	3379
100	380	3387
101	385	3389
102	390	3398
103	397	3422
104	402	3428
105	407	3434
106	418	3492
107	428	3542
108	433	3541
109	437	3537
110	441	3535
111	445	3529
112	448	3522
113	452	3515
114	455	3507
115	459	3500
116	462	3492
117	466	3486
118	470	3479
119	473	3471
120	476	3464
121	480	3456
122	483	3447
123	486	3439
124	490	3431
125	493	3424
126	497	3417
127	500	3409
128	503	3401
129	507	3393
130	510	3386
131	513	3378
132	517	3371
133	520	3363
134	523	3356
135	527	3350
136	530	3343
137	534	3335
138	537	3328
139	541	3324
140	544	3317
141	547	3310
142	551	3304
143	554	3297
144	558	3291
145	561	3284
146	564	3277
147	568	3271
148	571	3264
149	574	3258
150	578	3250
151	581	3243
152	584	3237
153	588	3230
154	591	3224
155	594	3217
156	598	3212
157	601	3206
158	605	3200
159	608	3194
160	611	3188
161	615	3183
162	618	3178
163	622	3172
164	625	3167
165	629	3161
166	632	3155
167	636	3149
168	639	3144
169	642	3137
170	646	3133
171	649	3127
172	653	3122
173	656	3116
174	659	3111
175	663	3105
176	666	3099
177	669	3093
178	673	3087
179	676	3083
180	680	3078
181	683	3072
182	687	3067
183	690	3062
184	693	3057
185	697	3052
186	700	3047
187	704	3042
188	707	3037
189	711	3031
190	714	3026
191	717	3020
192	721	3016
193	724	3011
194	728	3006
195	731	3000
196	734	2995
197	738	2990
198	741	2985
199	744	2979
200	748	2975
201	752	2971
202	755	2966
203	758	2961
204	762	2956
205	765	2951
206	769	2946
207	772	2941
208	775	2936
209	779	2931
210	783	2928
211	786	2923
212	789	2918
213	793	2913
214	796	2909
215	800	2905
216	803	2900
217	807	2896
218	810	2891
219	814	2886
220	817	2881
221	820	2876
222	824	2871
223	827	2867
224	831	2862
225	834	2858
226	837	2853
227	841	2848
228	844	2843
229	848	2839
230	851	2834
231	854	2829
232	859	2829
233	862	2824
234	866	2820
235	869	2815
236	873	2811
237	876	2806
238	880	2802
239	883	2797
240	886	2793
241	890	2788
242	893	2783
243	896	2778
244	900	2773
245	903	2769
246	906	2764
247	910	2759
248	913	2755
249	917	2751
250	920	2746
251	923	2742
252	927	2737
253	930	2733
254	934	2729
255	937	2725
256	941	2720
257	944	2716
258	948	2712
259	951	2708
260	954	2703
261	958	2699
262	961	2694
263	964	2690
264	968	2685
265	971	2680
266	974	2676
267	978	2672
268	981	2668
269	985	2663
270	988	2659
271	992	2655
272	995	2650
273	998	2646
274	1001	2641
275	1005	2637
276	1008	2632
277	1012	2628
278	1015	2624
279	1018	2619
280	1022	2616
281	1025	2611
282	1029	2607
283	1032	2603
284	1036	2599
285	1039	2595
286	1042	2591
287	1046	2586
288	1049	2583
289	1053	2580
290	1057	2576
291	1061	2572
292	1064	2569
293	1068	2565
294	1071	2561
295	1075	2558
296	1079	2554
297	1082	2550
298	1086	2547
299	1089	2543
300	1093	2539
301	1097	2535
302	1100	2531
303	1103	2527
304	1107	2522
305	1110	2518
306	1113	2514
307	1117	2509
308	1120	2505
309	1123	2501
310	1127	2497
311	1130	2492
312	1133	2488
313	1137	2484
314	1140	2480
315	1144	2476
316	1147	2472
317	1151	2468
318	1154	2464
319	1157	2460
320	1161	2456
321	1164	2451
322	1167	2447
323	1171	2444
324	1175	2440
325	1178	2436
326	1181	2432
327	1185	2428
328	1188	2424
329	1191	2419
330	1195	2416
331	1198	2411
332	1202	2408
333	1205	2403
334	1209	2400
335	1212	2395
336	1215	2392
337	1219	2388
338	1222	2383
339	1225	2379
340	1229	2375
341	1232	2372
342	1236	2368
343	1240	2364
344	1243	2360
345	1247	2357
346	1250	2353
347	1253	2349
348	1257	2345
349	1261	2341
350	1264	2338
351	1267	2334
352	1271	2330
353	1274	2326
354	1278	2322
355	1281	2318
356	1285	2314
357	1288	2310
358	1292	2307
359	1295	2303
360	1298	2299
361	1302	2295
362	1305	2291
363	1309	2287
364	1312	2283
365	1315	2279
366	1319	2275
367	1322	2271
368	1326	2267
369	1329	2263
370	1332	2259
371	1336	2256
372	1339	2252
373	1342	2247
374	1346	2244
375	1349	2240
376	1353	2236
377	1356	2232
378	1359	2228
379	1363	2224
380	1366	2220
381	1370	2216
382	1373	2212
383	1376	2208
384	1380	2204
385	1383	2201
386	1386	2196
387	1390	2193
388	1393	2188
389	1397	2185
390	1400	2181
391	1403	2177
392	1407	2173
393	1410	2169
394	1414	2165
395	1417	2161
396	1420	2157
397	1423	2153
398	1427	2150
399	1430	2146
400	1434	2142
401	1437	2138
402	1440	2134
403	1444	2130
404	1447	2126
405	1450	2122
406	1454	2119
407	1457	2115
408	1461	2111
409	1464	2107
410	1467	2103
411	1471	2099
412	1474	2096
413	1478	2092
414	1482	2089
415	1485	2085
416	1489	2082
417	1492	2078
418	1496	2074
419	1499	2070
420	1503	2067
421	1506	2063
422	1509	2059
423	1513	2055
424	1516	2052
425	1520	2048
426	1523	2044
427	1526	2040
428	1530	2036
429	1533	2033
430	1536	2028
431	1540	2025
432	1543	2021
433	1547	2017
434	1550	2014
435	1553	2010
436	1557	2006
437	1560	2002
438	1564	1999
439	1568	1995
440	1571	1991
441	1574	1988
442	1578	1984
443	1581	1980
444	1584	1976
445	1588	1972
446	1591	1969
447	1595	1965
448	1598	1961
449	1602	1958
450	1605	1954
451	1609	1950
452	1612	1947
453	1616	1944
454	1620	1940
455	1623	1936
456	1626	1933
457	1630	1929
458	1633	1925
459	1636	1921
460	1640	1917
461	1643	1914
462	1647	1910
463	1650	1906
464	1654	1903
465	1657	1899
466	1660	1895
467	1664	1892
468	1667	1888
469	1671	1884
470	1674	1880
471	1677	1876
472	1681	1872
473	1684	1869
474	1688	1865
475	1691	1861
476	1694	1857
477	1698	1854
478	1702	1851
479	1705	1847
480	1709	1844
481	1712	1840
482	1716	1837
483	1719	1833
484	1722	1829
485	1726	1825
