iter	MAE
0	2.01419446
1	2.013747792
2	2.013026249
3	2.012495754
4	2.011997679
5	2.011528064
6	2.010987336
7	2.010516006
8	2.009908047
9	2.009540128
10	2.00911672
11	2.008692698
12	2.00839185
13	2.007831942
14	2.007402533
15	2.007135458
16	2.006922121
17	2.006669493
18	2.006465389
19	2.006142581
20	2.005657495
21	2.005349269
22	2.005000456
23	2.004781308
24	2.004582128
25	2.004405772
26	2.004116083
27	2.0035259
28	2.003004457
29	2.002471014
30	2.00199028
31	2.001545287
32	2.001037784
33	2.000794186
34	2.000499404
35	2.000021162
36	1.999629107
37	1.999266976
38	1.998883679
39	1.99865843
40	1.998273604
41	1.998056737
42	1.997701823
43	1.997404547
44	1.996995988
45	1.996884912
46	1.996636258
47	1.996311932
48	1.996183764
49	1.995859832
50	1.995570763
51	1.995315742
52	1.995102437
53	1.994887351
54	1.994641938
55	1.994421609
56	1.994189644
57	1.993972943
58	1.993694359
59	1.993439493
60	1.993268105
61	1.993002149
62	1.992829399
63	1.992680633
64	1.99246221
65	1.992333722
66	1.992071414
67	1.991911218
68	1.991756157
69	1.991755588
70	1.991629548
71	1.991406047
72	1.991268769
73	1.991071529
74	1.990927469
75	1.990785155
76	1.990688714
77	1.990583306
78	1.990442001
79	1.990277577
80	1.990142305
81	1.989980207
82	1.989887614
83	1.989786693
84	1.989676342
85	1.989515144
86	1.989387637
87	1.989311869
88	1.989160819
89	1.989071701
90	1.988881706
91	1.988787331
92	1.98871009
93	1.988652315
94	1.988561137
95	1.988486302
96	1.988390033
97	1.988255599
98	1.988160067
99	1.988067513
100	1.98794957
101	1.987856289
102	1.987760298
103	1.987590252
104	1.987456917
105	1.987368857
106	1.987288824
107	1.987145955
108	1.987046377
109	1.986995001
110	1.986902735
111	1.986860861
112	1.986767782
113	1.986692232
114	1.986602132
115	1.986514689
116	1.986464174
117	1.986400864
118	1.986367515
119	1.986257239
120	1.986144856
121	1.986068733
122	1.98601916
123	1.985959779
124	1.985903027
125	1.985860149
126	1.985786338
127	1.985654036
128	1.985596024
129	1.985509308
130	1.985431843
131	1.985381658
132	1.985289597
133	1.985249991
134	1.985153626
135	1.985100113
136	1.985059871
137	1.984950991
138	1.984853681
139	1.984766072
140	1.984716834
141	1.984663348
142	1.984591425
143	1.984559603
144	1.984507785
145	1.984457373
146	1.984373215
147	1.9843527
148	1.984259254
149	1.984144681
150	1.984104212
151	1.98407316
152	1.983975707
153	1.983848097
154	1.983782192
155	1.983673808
156	1.983656292
157	1.983578363
158	1.983507621
159	1.98345915
160	1.983370273
161	1.983324511
162	1.983283862
163	1.983269789
164	1.983202598
165	1.983177753
166	1.983134803
167	1.983028647
168	1.98297039
169	1.98293736
170	1.982877051
171	1.982815891
172	1.982714761
173	1.982644336
174	1.98262134
175	1.982541687
176	1.982483676
177	1.982398275
178	1.982364738
179	1.982311035
180	1.982211385
181	1.982172746
182	1.982116124
183	1.981990938
184	1.981785809
185	1.981740238
186	1.981693927
187	1.981653758
188	1.981593188
189	1.981518287
190	1.981468683
191	1.981450238
192	1.981335308
193	1.981288016
194	1.981240808
195	1.98120715
196	1.981165121
197	1.981075875
198	1.981018806
199	1.980974334
200	1.980943259
