iter	Passed	Remaining
0	6	6202
1	11	5632
2	17	5812
3	24	6197
4	30	6094
5	35	5841
6	40	5799
7	46	5716
8	51	5660
9	58	5744
10	61	5554
11	64	5318
12	68	5206
13	75	5303
14	82	5389
15	87	5387
16	94	5454
17	102	5589
18	109	5661
19	115	5679
20	122	5725
21	128	5729
22	131	5606
23	139	5685
24	145	5679
25	151	5688
26	158	5695
27	162	5627
28	168	5635
29	176	5694
30	183	5732
31	191	5789
32	198	5812
33	204	5796
34	212	5846
35	218	5842
36	224	5841
37	231	5862
38	236	5827
39	242	5826
40	250	5863
41	257	5870
42	264	5877
43	267	5804
44	274	5829
45	281	5838
46	287	5826
47	295	5853
48	301	5859
49	307	5846
50	314	5851
51	320	5846
52	328	5869
53	336	5893
54	342	5888
55	347	5863
56	355	5879
57	361	5863
58	369	5894
59	377	5917
60	382	5892
61	388	5876
62	396	5891
63	402	5890
64	408	5880
65	415	5876
66	421	5869
67	428	5879
68	435	5875
69	442	5876
70	448	5868
71	455	5866
72	461	5856
73	469	5870
74	476	5878
75	483	5872
76	487	5840
77	492	5823
78	500	5838
79	509	5861
80	517	5873
81	525	5886
82	531	5872
83	537	5857
84	543	5849
85	551	5856
86	556	5840
87	563	5838
88	566	5803
89	574	5805
90	581	5808
91	586	5792
92	591	5769
93	596	5747
94	602	5739
95	608	5726
96	613	5710
97	619	5699
98	626	5697
99	632	5694
100	641	5711
101	649	5722
102	656	5714
103	661	5703
104	666	5683
105	673	5679
106	679	5674
107	687	5674
108	695	5686
109	702	5680
110	711	5700
111	717	5691
112	724	5689
113	731	5682
114	739	5688
115	743	5669
116	750	5660
117	757	5659
118	764	5657
119	771	5658
120	777	5646
121	783	5639
122	790	5634
123	797	5633
124	805	5636
125	813	5640
126	819	5630
127	825	5621
128	831	5612
129	836	5599
130	842	5590
131	851	5599
132	858	5598
133	865	5593
134	872	5592
135	879	5588
136	884	5569
137	890	5562
138	900	5576
139	907	5574
140	914	5572
141	922	5571
142	929	5568
143	935	5560
144	942	5554
145	947	5543
146	956	5550
147	963	5545
148	970	5543
149	976	5533
150	983	5530
151	990	5523
152	995	5513
153	1001	5504
154	1008	5496
155	1016	5501
156	1025	5504
157	1032	5500
158	1038	5490
159	1044	5481
160	1053	5490
161	1061	5489
162	1068	5484
163	1074	5477
164	1080	5467
165	1086	5460
166	1093	5454
167	1099	5444
168	1105	5435
169	1111	5426
170	1119	5426
171	1126	5421
172	1135	5426
173	1141	5419
174	1149	5417
175	1155	5409
176	1161	5402
177	1168	5395
178	1174	5386
179	1181	5382
180	1188	5377
181	1195	5373
182	1203	5372
183	1211	5371
184	1217	5365
185	1223	5352
186	1230	5351
187	1237	5346
188	1244	5339
189	1252	5341
190	1259	5334
191	1266	5330
192	1274	5327
193	1279	5317
194	1288	5317
195	1294	5309
196	1301	5305
197	1307	5297
198	1314	5289
199	1320	5282
200	1327	5278
201	1335	5274
202	1341	5268
203	1349	5265
204	1356	5260
205	1362	5252
206	1369	5244
207	1376	5241
208	1381	5229
209	1386	5216
210	1392	5207
211	1399	5201
212	1406	5196
213	1413	5189
214	1421	5190
215	1429	5187
216	1437	5185
