iter	Passed	Remaining
0	148	148656
1	157	78520
2	165	54902
3	172	43033
4	180	35939
5	188	31147
6	195	27760
7	203	25279
8	211	23333
9	222	21986
10	231	20772
11	240	19766
12	249	18907
13	256	18047
14	263	17330
15	271	16680
16	278	16124
17	286	15614
18	294	15195
19	302	14798
20	309	14418
21	317	14094
22	324	13789
23	332	13511
24	339	13252
25	347	13001
26	355	12796
27	363	12618
28	370	12415
29	378	12233
30	386	12076
31	394	11924
32	401	11775
33	408	11618
34	416	11487
35	424	11363
36	432	11250
37	439	11130
38	447	11019
39	454	10905
40	462	10816
41	470	10724
42	477	10636
43	485	10546
44	492	10462
45	500	10372
46	508	10315
47	516	10238
48	524	10170
49	531	10101
50	539	10034
51	546	9962
52	554	9902
53	561	9838
54	568	9773
55	576	9710
56	583	9654
57	591	9603
58	599	9556
59	607	9510
60	614	9461
61	622	9419
62	630	9378
63	638	9331
64	645	9284
65	652	9240
66	660	9196
67	668	9159
68	676	9130
69	684	9096
70	692	9057
71	699	9020
72	708	8992
73	716	8965
74	723	8922
75	730	8886
76	738	8846
77	745	8813
78	754	8791
79	762	8765
80	769	8735
81	777	8701
82	784	8668
83	791	8634
84	799	8604
85	807	8587
86	815	8556
87	823	8530
88	831	8506
89	838	8475
90	846	8451
91	853	8424
92	860	8392
93	868	8369
94	876	8345
95	884	8325
96	892	8304
97	900	8284
98	907	8259
99	915	8236
100	922	8213
101	931	8200
102	939	8184
103	949	8182
104	958	8168
105	967	8158
106	976	8146
107	984	8133
108	992	8113
109	999	8087
110	1007	8071
111	1014	8045
112	1021	8021
113	1029	7998
114	1036	7979
115	1044	7959
116	1051	7938
117	1062	7941
118	1071	7930
119	1080	7924
120	1087	7899
121	1095	7885
122	1103	7871
123	1111	7849
124	1119	7837
125	1127	7817
126	1135	7803
127	1142	7782
128	1150	7765
129	1157	7743
130	1164	7725
131	1172	7707
132	1179	7690
133	1186	7669
134	1194	7655
135	1201	7634
136	1210	7627
137	1218	7608
