id,class
TEST_000,C
TEST_001,B
TEST_002,B
TEST_003,B
TEST_004,C
TEST_005,B
TEST_006,B
TEST_007,B
TEST_008,C
TEST_009,C
TEST_010,B
TEST_011,B
TEST_012,B
TEST_013,C
TEST_014,B
TEST_015,C
TEST_016,C
TEST_017,C
TEST_018,B
TEST_019,B
TEST_020,C
TEST_021,C
TEST_022,C
TEST_023,C
TEST_024,B
TEST_025,C
TEST_026,C
TEST_027,C
TEST_028,C
TEST_029,B
TEST_030,C
TEST_031,B
TEST_032,B
TEST_033,B
TEST_034,C
TEST_035,C
TEST_036,B
TEST_037,B
TEST_038,C
TEST_039,B
TEST_040,B
TEST_041,B
TEST_042,C
TEST_043,B
TEST_044,B
TEST_045,B
TEST_046,B
TEST_047,C
TEST_048,B
TEST_049,C
TEST_050,B
TEST_051,B
TEST_052,C
TEST_053,C
TEST_054,B
TEST_055,C
TEST_056,B
TEST_057,C
TEST_058,B
TEST_059,B
TEST_060,C
TEST_061,C
TEST_062,B
TEST_063,C
TEST_064,B
TEST_065,C
TEST_066,C
TEST_067,C
TEST_068,C
TEST_069,B
TEST_070,B
TEST_071,B
TEST_072,C
TEST_073,C
TEST_074,C
TEST_075,C
TEST_076,B
TEST_077,B
TEST_078,B
TEST_079,C
TEST_080,B
TEST_081,B
TEST_082,C
TEST_083,B
TEST_084,B
TEST_085,B
TEST_086,B
TEST_087,C
TEST_088,C
TEST_089,B
TEST_090,B
TEST_091,B
TEST_092,C
TEST_093,B
TEST_094,B
TEST_095,C
TEST_096,C
TEST_097,B
TEST_098,C
TEST_099,B
TEST_100,C
TEST_101,C
TEST_102,B
TEST_103,B
TEST_104,C
TEST_105,C
TEST_106,B
TEST_107,B
TEST_108,C
TEST_109,B
TEST_110,B
TEST_111,B
TEST_112,B
TEST_113,C
TEST_114,C
TEST_115,C
TEST_116,C
TEST_117,B
TEST_118,B
TEST_119,B
TEST_120,B
TEST_121,C
TEST_122,B
TEST_123,B
TEST_124,B
TEST_125,B
TEST_126,C
TEST_127,B
TEST_128,C
TEST_129,C
TEST_130,C
TEST_131,C
TEST_132,B
TEST_133,B
TEST_134,C
TEST_135,C
TEST_136,C
TEST_137,C
TEST_138,C
TEST_139,B
TEST_140,B
TEST_141,C
TEST_142,B
TEST_143,B
TEST_144,C
TEST_145,B
TEST_146,C
TEST_147,C
TEST_148,C
TEST_149,C
TEST_150,C
TEST_151,B
TEST_152,C
TEST_153,B
TEST_154,B
TEST_155,C
TEST_156,C
TEST_157,B
TEST_158,C
TEST_159,C
TEST_160,B
TEST_161,B
TEST_162,B
TEST_163,B
TEST_164,C
TEST_165,C
TEST_166,C
TEST_167,B
TEST_168,B
TEST_169,C
TEST_170,B
TEST_171,B
TEST_172,B
TEST_173,B
TEST_174,B
