iter	RMSE
0	15.06140701
1	14.24494654
2	13.56279652
3	12.98595567
4	12.48705673
5	12.07093673
6	11.71819186
7	11.39221087
8	11.129642
9	10.86782683
10	10.68167848
11	10.52261503
12	10.35102892
13	10.15742943
14	9.997549354
15	9.873805973
16	9.764528583
17	9.682596961
18	9.583568983
19	9.508339147
20	9.400917835
21	9.322865552
22	9.255651418
23	9.189820104
24	9.116301518
25	9.078710711
26	9.025593632
27	8.976168117
28	8.934500497
29	8.881192438
30	8.825802035
31	8.766911234
32	8.731456421
33	8.704170976
34	8.671795713
35	8.645710561
36	8.619106024
37	8.5891344
38	8.533421186
39	8.485317066
40	8.442022896
41	8.399734704
42	8.362493855
43	8.341851754
44	8.305916058
45	8.279035074
46	8.237321432
47	8.211639884
48	8.184338938
49	8.152246244
50	8.123710952
51	8.086520468
52	8.065573981
53	8.043316119
54	8.005281133
55	7.982798402
56	7.960663492
57	7.939774163
58	7.915138308
59	7.888589328
60	7.869696329
61	7.857390053
62	7.838797678
63	7.805603891
64	7.792341112
65	7.774267085
66	7.759759896
67	7.748598869
68	7.735785724
69	7.724575123
70	7.696667136
71	7.675806612
72	7.659335086
73	7.637739422
74	7.618886735
75	7.594409556
76	7.578965459
77	7.559353712
78	7.545813346
79	7.530058282
80	7.51243887
81	7.497547356
82	7.486329548
83	7.47551766
84	7.465230793
85	7.442774725
86	7.425176292
87	7.411833592
88	7.401917356
89	7.382000116
90	7.373605936
91	7.359983382
92	7.346499621
93	7.337106358
94	7.327143301
95	7.313562367
96	7.302868937
97	7.291924354
98	7.280505305
99	7.269404988
100	7.263132131
101	7.256032238
102	7.242695191
103	7.230636199
104	7.213672237
105	7.203328647
106	7.192953683
107	7.186174577
108	7.174395568
109	7.163851811
110	7.150351498
111	7.137812808
112	7.13188582
113	7.123305749
114	7.115296241
115	7.103098754
116	7.094390426
117	7.084858312
118	7.074556252
119	7.065150624
120	7.058654026
121	7.047747579
122	7.037413245
123	7.0299071
124	7.020525163
125	7.015680628
126	7.007500786
127	7.001504044
128	6.984817841
129	6.96757276
130	6.959486808
131	6.952571993
132	6.938447713
133	6.933340504
134	6.927710975
135	6.920211872
136	6.905400817
137	6.897895842
138	6.890825184
139	6.881659323
140	6.873316713
141	6.864886346
142	6.856951805
143	6.84963476
144	6.839448284
145	6.833044619
146	6.825355964
147	6.816526601
148	6.800191552
149	6.793148677
150	6.78799925
151	6.777566637
152	6.770820018
153	6.762431081
154	6.751769896
155	6.741996779
156	6.735427871
157	6.72983391
158	6.7250986
159	6.708369299
160	6.701456851
161	6.693598469
162	6.685086726
163	6.679184905
164	6.67135099
165	6.661610886
166	6.655487703
167	6.641694094
168	6.636934504
169	6.630833326
170	6.621098369
171	6.614559008
172	6.608609945
173	6.600867107
174	6.593761082
175	6.584883705
176	6.578708279
177	6.575594253
178	6.571660862
179	6.565496753
180	6.561573271
181	6.554598847
182	6.547299371
183	6.542256041
184	6.537999295
185	6.527063249
186	6.522351215
187	6.516651901
188	6.513356594
189	6.508981076
190	6.504190827
191	6.497393238
192	6.492587793
193	6.485128855
194	6.479219261
195	6.474929382
196	6.469807361
197	6.466321381
198	6.456575352
199	6.452342232
200	6.448515807
201	6.442793272
202	6.438474415
203	6.434987905
204	6.428847475
205	6.420886194
206	6.417900776
207	6.413710233
208	6.40833002
209	6.403896532
210	6.399544565
211	6.394939177
212	6.391130882
213	6.382610109
214	6.375121684
215	6.369169704
216	6.364584091
217	6.361334826
218	6.358928581
219	6.353422121
220	6.348081332
221	6.343197982
222	6.337995367
223	6.334319525
224	6.330573192
225	6.326447831
226	6.324587568
227	6.32102378
228	6.318365939
229	6.31552108
230	6.311898042
231	6.305894434
232	6.302077441
233	6.298952245
234	6.292830129
235	6.289886547
236	6.286733484
237	6.282712246
238	6.279285456
239	6.276357377
240	6.271662835
241	6.264279948
242	6.258672831
243	6.255248726
244	6.25144656
245	6.247824095
246	6.241938965
247	6.238237756
248	6.235797802
249	6.230306519
250	6.227451391
251	6.223907568
252	6.221355417
253	6.217812245
254	6.211742659
255	6.207869186
256	6.202076879
257	6.199481229
258	6.1951851
259	6.189814267
260	6.18551471
261	6.182752757
262	6.180641557
263	6.175574657
264	6.17073333
265	6.168361345
266	6.165439686
267	6.16271098
268	6.15926877
269	6.154666927
270	6.149287804
271	6.144552077
272	6.141768406
273	6.138777795
274	6.136858105
275	6.133144838
276	6.130208834
277	6.126263002
278	6.123558028
279	6.120452934
280	6.117646449
281	6.115719525
282	6.112482185
283	6.106349017
284	6.103764855
285	6.101464915
286	6.09819184
287	6.094801221
288	6.092731519
289	6.08968336
290	6.085859201
291	6.08384383
292	6.081421802
293	6.078812219
294	6.076183346
295	6.074244695
296	6.070351214
297	6.066201374
298	6.062839372
299	6.058247148
300	6.054566211
301	6.052410426
302	6.049369065
303	6.046123829
304	6.043911196
305	6.04272768
306	6.039402294
307	6.035611216
308	6.032807824
309	6.030292865
310	6.027847399
311	6.02550912
312	6.022598421
313	6.018734306
314	6.016773915
315	6.014901346
316	6.010620818
317	6.008664927
318	6.005671924
319	6.001700474
320	6.0002047
321	5.998684975
322	5.996880258
323	5.993749562
324	5.991654333
325	5.98802994
326	5.986055672
327	5.982344625
328	5.978892997
329	5.974984657
330	5.973383898
331	5.971066323
332	5.967713178
333	5.965608524
334	5.961532313
335	5.958356457
336	5.955994497
337	5.952349381
338	5.950302041
339	5.948541934
340	5.946937311
341	5.945045917
342	5.942290412
343	5.940942474
344	5.938565882
345	5.937190821
346	5.934113709
347	5.930073893
348	5.928356524
349	5.923715529
350	5.921289149
351	5.918025348
352	5.914604331
353	5.912954924
354	5.910840033
355	5.908811238
356	5.907666954
357	5.905225452
358	5.903120064
359	5.901067125
360	5.899035986
361	5.896850796
362	5.89529928
363	5.892630486
364	5.890870521
365	5.888426791
366	5.885373205
367	5.884092265
368	5.882160988
369	5.880910514
370	5.879490505
371	5.877318284
372	5.875499338
373	5.87233746
374	5.871240213
375	5.869112357
376	5.867490061
377	5.866101142
378	5.864142383
379	5.862062273
380	5.860879135
381	5.859085871
382	5.857367793
383	5.856010356
384	5.852799375
385	5.851229364
386	5.849116779
387	5.847627306
388	5.846198479
389	5.844681763
390	5.843690344
391	5.84243257
392	5.841054077
393	5.839837677
394	5.838147345
395	5.836775402
396	5.834905788
397	5.83326717
398	5.831248582
399	5.828151171
400	5.826367042
401	5.824996414
402	5.82288624
403	5.819781677
404	5.817579159
405	5.816716262
406	5.813662592
407	5.811732276
408	5.810428427
409	5.80895614
410	5.807600615
411	5.8069209
412	5.805725475
413	5.804120075
414	5.80280124
415	5.801477277
416	5.799813948
417	5.797977647
418	5.79677825
419	5.794964964
420	5.794480282
421	5.793258854
422	5.790046035
423	5.788751084
424	5.78679673
425	5.785010246
426	5.78320648
427	5.782135855
428	5.781133037
429	5.778475139
430	5.776435343
431	5.77476316
432	5.773630151
433	5.770801523
434	5.76895062
435	5.76778536
436	5.767183868
437	5.764314814
438	5.762998893
439	5.761709614
440	5.759831736
441	5.758807595
442	5.756807986
443	5.75587146
444	5.754817231
445	5.752790032
446	5.751670986
447	5.75012177
448	5.749348564
449	5.748310072
450	5.747494475
451	5.745378917
452	5.742619677
453	5.740922783
454	5.739746795
455	5.739250754
456	5.738283318
457	5.73685117
458	5.735874377
459	5.733441429
460	5.731890271
461	5.730777612
462	5.729791061
463	5.728492183
464	5.726945596
465	5.725860162
466	5.724313011
467	5.721963396
468	5.720732137
469	5.719520531
470	5.71754211
471	5.716396439
472	5.71550492
473	5.714274799
474	5.712584632
475	5.711711948
476	5.710310323
477	5.709461542
478	5.708449617
479	5.707701589
480	5.706458075
481	5.705795627
482	5.703871067
483	5.70262345
484	5.701417715
485	5.700384443
486	5.698804686
487	5.697563591
488	5.696045332
489	5.693476948
490	5.692271293
491	5.691502124
492	5.690050469
493	5.688368279
494	5.687533413
495	5.686071992
496	5.684677473
497	5.683084306
498	5.682094581
499	5.680530388
500	5.679034347
501	5.678397978
502	5.677178374
503	5.676443838
504	5.675012904
505	5.673366008
506	5.672371256
507	5.670070779
508	5.669266419
509	5.668318314
510	5.667412412
511	5.666755058
512	5.665968801
513	5.664773761
514	5.663625037
515	5.661787812
516	5.660815296
517	5.659467738
518	5.658207909
519	5.6572564
520	5.656430281
521	5.655266336
522	5.654110556
523	5.653322225
524	5.652090232
525	5.650336858
526	5.649715199
527	5.648263652
528	5.646840452
529	5.645111277
530	5.643978153
531	5.643149907
532	5.641868884
533	5.640958611
534	5.639658629
535	5.638682209
536	5.637852327
537	5.636776304
538	5.635633204
539	5.634508087
540	5.633818332
541	5.633079528
542	5.632037249
543	5.63128439
544	5.630168356
545	5.628765356
546	5.62758339
547	5.626673407
548	5.624954057
549	5.624080849
550	5.623218503
551	5.622262858
552	5.621043694
553	5.620462324
554	5.619279181
555	5.618402624
556	5.617049302
557	5.616446411
558	5.616063013
559	5.614902449
560	5.613654261
561	5.612398016
562	5.611794402
563	5.61112564
564	5.610483858
565	5.609642412
566	5.608005896
567	5.606735396
568	5.605861411
569	5.605148701
570	5.604513222
571	5.602945395
572	5.602309624
573	5.601370139
574	5.600062344
575	5.599014704
576	5.598397853
577	5.59754799
578	5.596598999
579	5.595413798
580	5.594867133
581	5.593761882
582	5.5929146
583	5.591761391
584	5.591245951
585	5.590657429
586	5.589674024
587	5.588969778
588	5.588237441
589	5.587809733
590	5.586617859
591	5.585631362
592	5.584639056
593	5.583448948
594	5.582670401
595	5.581586837
596	5.581087053
597	5.579982848
598	5.579369556
599	5.578106819
600	5.577526138
601	5.576285277
602	5.575642102
603	5.574852462
604	5.57296625
605	5.572058575
606	5.571037059
607	5.570693371
608	5.569989775
609	5.56784401
610	5.566816272
611	5.566290921
612	5.565574504
613	5.565182654
614	5.564384999
615	5.563600876
616	5.562858711
617	5.561651646
618	5.561194647
619	5.56054091
620	5.559876147
621	5.558885913
622	5.557817615
623	5.556943408
624	5.556196651
625	5.555651884
626	5.5550769
627	5.554623585
628	5.553620048
629	5.552890932
630	5.552337575
631	5.551374356
632	5.550903392
633	5.549760179
634	5.548668843
635	5.547759623
636	5.546964216
637	5.545767088
638	5.544992728
639	5.543461452
640	5.542822204
641	5.541892234
642	5.541181227
643	5.539941682
