iter	Passed	Remaining
0	659	3296191
1	1065	2663017
2	1414	2356608
3	1761	2199673
4	2115	2113054
5	2439	2030758
6	2764	1971825
7	3108	1939551
8	3470	1924523
9	3798	1895271
10	4135	1875517
11	4467	1856888
12	4783	1835071
13	5117	1822575
14	5431	1804974
15	5790	1803628
16	6113	1792093
17	6420	1777015
18	6742	1767644
19	7065	1759318
20	7378	1749486
21	7723	1747631
22	8039	1739707
23	8357	1732796
24	8661	1723630
25	8956	1713374
26	9262	1705984
27	9622	1708684
28	9924	1701126
29	10222	1693574
30	10526	1687357
31	10828	1681118
32	11144	1677423
33	11477	1676356
34	11788	1672341
35	12109	1669804
36	12427	1666957
37	12786	1669667
38	13158	1673829
39	13504	1674549
40	13864	1676959
41	14231	1680037
42	14578	1680541
43	14934	1682137
44	15269	1681311
45	15664	1687025
46	16010	1687239
47	16354	1687254
48	16698	1687189
49	17017	1684778
50	17345	1683201
51	17709	1685083
52	18044	1684240
53	18398	1685144
54	18712	1682438
55	19067	1683384
56	19421	1684238
57	19771	1684635
58	20131	1685943
59	20526	1690048
60	20881	1690707
61	21220	1690140
62	21594	1692228
63	21966	1694157
64	22319	1694559
65	22649	1693187
66	22971	1691352
67	23282	1688632
68	23618	1687871
69	23960	1687517
70	24305	1687376
71	24700	1690578
72	25035	1689717
73	25364	1688469
74	25746	1690698
75	26084	1690008
76	26419	1689124
77	26735	1687068
78	27052	1685107
79	27393	1684709
80	27751	1685275
81	28059	1682868
82	28403	1682640
83	28771	1683837
84	29097	1682544
85	29457	1683176
86	29798	1682775
87	30115	1680984
88	30437	1679554
89	30811	1680963
90	31158	1680859
91	31507	1680849
92	31869	1681556
93	32215	1681397
94	32541	1680169
95	32862	1678711
96	33191	1677714
97	33529	1677162
98	33840	1675251
99	34181	1674890
100	34567	1676690
101	34887	1675285
102	35195	1673308
103	35513	1671872
104	35826	1670218
105	36163	1669668
106	36494	1668870
107	36766	1665391
108	37180	1668364
109	37477	1666058
110	37820	1665810
111	38149	1664934
112	38515	1665693
113	38854	1665279
114	39188	1664667
115	39520	1663942
116	39824	1662095
117	40191	1662857
118	40516	1661853
119	40820	1660022
120	41158	1659595
121	41494	1659086
122	41894	1661120
123	42221	1660245
124	42562	1659923
125	42876	1658552
126	43187	1657112
127	43556	1657883
128	43875	1656709
129	44228	1656849
130	44569	1656557
131	44863	1654500
132	45181	1653367
133	45528	1653313
134	45849	1652286
135	46194	1652117
136	46519	1651281
137	46834	1650056
138	47174	1649744
139	47540	1650340
140	47826	1648137
141	48186	1648507
142	48485	1646798
143	48782	1645057
144	49158	1645952
145	49506	1645933
146	49870	1646397
147	50252	1647477
148	50571	1646445
149	50881	1645170
150	51198	1644127
151	51511	1642942
152	51868	1643191
153	52227	1643467
154	52561	1642958
155	52879	1641964
156	53205	1641233
157	53552	1641158
158	53866	1640048
159	54203	1639669
160	54606	1641253
161	54908	1639794
162	55197	1637965
163	55534	1637580
164	55882	1637533
165	56248	1637994
166	56579	1637419
167	56934	1637532
168	57247	1636453
169	57552	1635171
170	57908	1635322
171	58288	1636148
172	58640	1636165
173	59003	1636487
174	59344	1636209
175	59713	1636696
176	60046	1636194
177	60342	1634677
178	60670	1634047
179	61036	1634419
180	61385	1634334
181	61795	1635883
182	62144	1635784
183	62504	1635996
184	62843	1635626
185	63177	1635137
186	63520	1634899
187	63882	1635121
188	64171	1633477
189	64499	1632847
190	64856	1632967
191	65184	1632316
192	65563	1632965
193	65899	1632552
194	66245	1632349
195	66581	1631919
196	66920	1631576
197	67250	1630993
198	67551	1629725
199	67910	1629855
200	68254	1629608
201	68585	1629068
202	68894	1628007
203	69206	1627038
204	69576	1627422
205	69947	1627808
