,id,target
2,TEST_000002,64.92414578955811
32,TEST_000032,17.090856062198213
36,TEST_000036,57.695410985649495
48,TEST_000048,24.248944520598485
55,TEST_000055,37.07440073304857
68,TEST_000068,22.868770995401785
75,TEST_000075,40.58973961961991
77,TEST_000077,53.6168670273428
80,TEST_000080,23.304040266061985
85,TEST_000085,42.797114477819555
93,TEST_000093,25.709592035218122
108,TEST_000108,48.790193714648126
118,TEST_000118,25.646537974026003
129,TEST_000129,39.7639682299155
135,TEST_000135,22.280448044277264
145,TEST_000145,58.18428563610468
155,TEST_000155,21.887854492180836
159,TEST_000159,21.96148735179337
167,TEST_000167,32.854929081271855
187,TEST_000187,27.223599584685093
213,TEST_000213,51.85601449581674
217,TEST_000217,51.99261694643885
220,TEST_000220,32.898274380476984
225,TEST_000225,57.97494417075877
226,TEST_000226,28.608290277344707
229,TEST_000229,27.03407775275525
234,TEST_000234,20.037310985603458
242,TEST_000242,53.01877193246954
244,TEST_000244,29.2906311040765
249,TEST_000249,54.139528331940824
258,TEST_000258,25.448019816419805
262,TEST_000262,42.26594964017466
272,TEST_000272,23.93191807209405
283,TEST_000283,27.38509517986679
284,TEST_000284,55.06150395208254
294,TEST_000294,27.95099041353062
295,TEST_000295,33.46720976605754
312,TEST_000312,24.510386493290728
317,TEST_000317,31.64496459345449
319,TEST_000319,52.85888250596463
322,TEST_000322,35.208479032880625
328,TEST_000328,39.3260299157102
341,TEST_000341,42.04807264143853
343,TEST_000343,52.03774671482109
348,TEST_000348,15.775963859014714
362,TEST_000362,49.717661931226935
365,TEST_000365,37.89582883777306
366,TEST_000366,40.22714383283081
373,TEST_000373,28.8226272471515
388,TEST_000388,23.116543474218627
389,TEST_000389,20.045605448783785
393,TEST_000393,26.44521517171272
406,TEST_000406,34.27215377117963
409,TEST_000409,27.61643700728582
429,TEST_000429,30.971455088963392
433,TEST_000433,28.98973592866507
444,TEST_000444,22.201940784871784
447,TEST_000447,12.099746725999095
450,TEST_000450,52.68379143452006
451,TEST_000451,40.17885253585525
459,TEST_000459,53.77231703753629
461,TEST_000461,29.976885466652295
464,TEST_000464,54.095863949580234
475,TEST_000475,46.65147572486472
476,TEST_000476,24.14652918862144
488,TEST_000488,35.8770393772492
496,TEST_000496,33.65647739630339
497,TEST_000497,35.612876074458114
508,TEST_000508,30.20478584213929
511,TEST_000511,30.571487676844487
514,TEST_000514,26.433974467068285
517,TEST_000517,27.223599584685093
519,TEST_000519,58.77404491207599
542,TEST_000542,40.20231075605497
