,id,target
0,TEST_000000,24.493351611078435
3,TEST_000003,38.12592891962635
8,TEST_000008,46.76099715517028
26,TEST_000026,75.27340120609001
30,TEST_000030,45.260009022981656
35,TEST_000035,37.87728599965654
39,TEST_000039,42.884748321197726
40,TEST_000040,27.108466584419492
63,TEST_000063,57.0045038897179
69,TEST_000069,26.793900369587817
70,TEST_000070,45.91519141943045
102,TEST_000102,54.285197398591784
104,TEST_000104,19.388855866216204
105,TEST_000105,26.13336629117615
112,TEST_000112,48.41202536833026
121,TEST_000121,21.488680342564322
127,TEST_000127,27.04963466296246
131,TEST_000131,16.361281600800456
141,TEST_000141,50.08675142180916
148,TEST_000148,26.802105041536617
164,TEST_000164,38.709804305379436
172,TEST_000172,48.72609576874205
191,TEST_000191,56.74856409001837
193,TEST_000193,32.980000748423116
207,TEST_000207,32.881382394010444
210,TEST_000210,15.518336955075055
216,TEST_000216,54.16222060856921
218,TEST_000218,28.34964680682812
219,TEST_000219,30.831050297666852
223,TEST_000223,36.95309657288595
224,TEST_000224,34.35944351258297
227,TEST_000227,32.303319646844
232,TEST_000232,36.634690497971356
240,TEST_000240,46.29835940304974
243,TEST_000243,51.46390781365583
247,TEST_000247,42.6285842968303
252,TEST_000252,28.130765638791374
268,TEST_000268,60.69985346387157
269,TEST_000269,53.90895712519981
270,TEST_000270,32.092835337768804
280,TEST_000280,18.59503910567994
289,TEST_000289,25.381283983529915
305,TEST_000305,50.65897394314472
321,TEST_000321,19.964004710223648
325,TEST_000325,57.88891212225153
346,TEST_000346,25.89680198265617
356,TEST_000356,17.999551346435055
361,TEST_000361,28.283946963075483
369,TEST_000369,53.47350284083196
371,TEST_000371,47.058708346098975
372,TEST_000372,43.99328687773744
382,TEST_000382,43.54769916800848
383,TEST_000383,32.22819434275531
385,TEST_000385,56.269833216331286
395,TEST_000395,30.09562020703028
397,TEST_000397,25.719338114808725
402,TEST_000402,22.960255293058054
403,TEST_000403,23.039859954345264
408,TEST_000408,44.13062065148707
410,TEST_000410,32.99210446804374
417,TEST_000417,43.78987172416995
432,TEST_000432,48.02886661991804
435,TEST_000435,24.629548529348227
440,TEST_000440,32.945626351450585
442,TEST_000442,32.86467330524058
448,TEST_000448,25.04476138687966
467,TEST_000467,26.378409550700443
468,TEST_000468,29.37305986305688
483,TEST_000483,59.129299814745444
495,TEST_000495,32.8566547240332
499,TEST_000499,17.300735566974257
503,TEST_000503,26.65694708911485
522,TEST_000522,28.928028894694183
526,TEST_000526,19.964004710223648
532,TEST_000532,27.948793319277573
540,TEST_000540,29.02307810854086
541,TEST_000541,16.884451184389885
545,TEST_000545,47.26824095677424
548,TEST_000548,25.042753745608607
550,TEST_000550,37.163622239513316
551,TEST_000551,43.521233209710466
563,TEST_000563,36.17834373994112
581,TEST_000581,59.99031135452264
582,TEST_000582,50.1393134127001
583,TEST_000583,28.678813433633156
586,TEST_000586,26.710592632185747
588,TEST_000588,44.772156724926425
604,TEST_000604,32.06124903119517
606,TEST_000606,15.964116535748005
607,TEST_000607,57.9159892059422
615,TEST_000615,40.38212093531095
619,TEST_000619,54.035695766720785
621,TEST_000621,31.386627777520783
630,TEST_000630,17.785318973839768
647,TEST_000647,26.485005301962733
651,TEST_000651,29.63227156834787
655,TEST_000655,32.16821887959966
667,TEST_000667,24.95179701746528
684,TEST_000684,47.29291412133764
688,TEST_000688,30.227322835957214
693,TEST_000693,33.29408482249326
703,TEST_000703,54.283717328061435
720,TEST_000720,38.11655352396996
723,TEST_000723,39.414866587711124
724,TEST_000724,17.097015031203394
735,TEST_000735,47.286897938948506
759,TEST_000759,35.496439280213615
762,TEST_000762,46.85105404748137
771,TEST_000771,75.79891659592245
779,TEST_000779,59.61492462868688
785,TEST_000785,23.869084018050273
796,TEST_000796,53.10167813784253
800,TEST_000800,41.85974717327165
801,TEST_000801,31.06341045755168
809,TEST_000809,38.50344266798217
816,TEST_000816,58.556020646393925
827,TEST_000827,44.21595232967391
837,TEST_000837,29.032226998973826
865,TEST_000865,51.48055376000426
873,TEST_000873,39.916998165194194
879,TEST_000879,49.9425166187877
881,TEST_000881,52.68082652472709
886,TEST_000886,34.633678962839184
887,TEST_000887,55.4852146829528
888,TEST_000888,42.86089325604104
903,TEST_000903,15.166242501534434
918,TEST_000918,16.568603316663385
920,TEST_000920,51.352760121138715
943,TEST_000943,21.06754757465632
944,TEST_000944,33.49812811386532
949,TEST_000949,56.30350378296719
950,TEST_000950,16.69515913863011
954,TEST_000954,27.548037682426695
960,TEST_000960,12.922403518652542
961,TEST_000961,54.540236477157265
970,TEST_000970,69.14497448547192
973,TEST_000973,20.340297561949225
978,TEST_000978,44.792590229825215
980,TEST_000980,23.942494943618346
992,TEST_000992,34.657416410678266
1000,TEST_001000,56.16097865801734
1006,TEST_001006,27.878339666550925
1009,TEST_001009,15.666395626640444
1012,TEST_001012,51.61639050863073
1026,TEST_001026,25.526633661641416
1028,TEST_001028,53.267532957577714
1034,TEST_001034,50.22227561948407
1040,TEST_001040,26.700979660891687
1044,TEST_001044,53.90895712519981
1050,TEST_001050,27.723972011177292
1053,TEST_001053,40.643433083562684
1075,TEST_001075,28.56282544528645
1084,TEST_001084,45.28860248322123
1088,TEST_001088,32.962896740523945
1098,TEST_001098,13.51319460040317
1106,TEST_001106,23.42720142605263
1110,TEST_001110,25.93939471694976
1122,TEST_001122,38.817215865439486
1126,TEST_001126,30.768148638004845
1129,TEST_001129,26.65767139290291
1152,TEST_001152,32.505565701820395
1161,TEST_001161,43.843576745036444
1164,TEST_001164,56.063760669776094
1166,TEST_001166,38.25272796178286
1167,TEST_001167,21.87278096883089
1173,TEST_001173,33.21818628297706
1180,TEST_001180,32.192087742922915
1188,TEST_001188,55.297619046160115
