,id,target
6,TEST_000006,28.35550963463778
10,TEST_000010,43.60269198377559
11,TEST_000011,16.905019138128424
15,TEST_000015,35.78452251150038
17,TEST_000017,23.271555841434303
21,TEST_000021,19.01726540308455
24,TEST_000024,31.361395333552412
34,TEST_000034,16.95037126545814
42,TEST_000042,41.89984119430097
43,TEST_000043,27.4526895853991
49,TEST_000049,75.85195630826712
50,TEST_000050,39.45576309348828
56,TEST_000056,27.202296154467717
73,TEST_000073,17.125116041292774
88,TEST_000088,27.547769585132524
110,TEST_000110,44.62285671636462
132,TEST_000132,55.53106065686205
150,TEST_000150,36.21042069086379
156,TEST_000156,19.755380874402917
157,TEST_000157,25.663983062431157
158,TEST_000158,34.263940331419406
161,TEST_000161,41.272961277191
168,TEST_000168,25.882122971994182
175,TEST_000175,27.26950166748146
178,TEST_000178,60.58791725303903
181,TEST_000181,23.347368046191246
186,TEST_000186,23.903615388415304
190,TEST_000190,46.250093846032655
192,TEST_000192,53.649593936064356
195,TEST_000195,19.935442245351744
209,TEST_000209,51.52404722665832
211,TEST_000211,44.6204702632902
253,TEST_000253,40.09973433689231
254,TEST_000254,19.7063539458806
261,TEST_000261,34.37229168286972
264,TEST_000264,61.40093841263971
276,TEST_000276,30.788534958857444
278,TEST_000278,43.83840280900774
286,TEST_000286,29.265197246914706
300,TEST_000300,46.85459187123439
304,TEST_000304,30.54752636419742
308,TEST_000308,44.640904613889916
311,TEST_000311,30.239704410340654
327,TEST_000327,25.656422054747534
330,TEST_000330,26.87456103502019
333,TEST_000333,24.27901459373597
336,TEST_000336,36.63680681595681
338,TEST_000338,35.368277609438536
363,TEST_000363,25.953661313008663
368,TEST_000368,43.47605861010541
376,TEST_000376,30.382629718619228
381,TEST_000381,32.569733599042415
391,TEST_000391,30.844825488087327
400,TEST_000400,28.740888172046436
404,TEST_000404,19.961590607164936
415,TEST_000415,56.302102707717836
422,TEST_000422,19.32136102076021
424,TEST_000424,21.751907702345378
425,TEST_000425,57.29374070334342
426,TEST_000426,16.129152435670544
427,TEST_000427,22.083034130371697
438,TEST_000438,69.7809892863583
445,TEST_000445,48.632896032359234
455,TEST_000455,32.20872057787111
466,TEST_000466,55.336564866849976
470,TEST_000470,23.695378436212753
472,TEST_000472,28.417696472196525
474,TEST_000474,23.064395234093023
477,TEST_000477,22.51986994121332
484,TEST_000484,31.13094667527419
490,TEST_000490,47.768564850093384
494,TEST_000494,36.27849891403225
504,TEST_000504,39.70231855990773
510,TEST_000510,34.163890692098924
521,TEST_000521,34.81961456910169
531,TEST_000531,40.859231558092375
533,TEST_000533,43.59806404859208
536,TEST_000536,23.102266927992815
552,TEST_000552,46.05524261962321
560,TEST_000560,24.532712386575014
567,TEST_000567,20.58809444524185
568,TEST_000568,59.56390658456139
584,TEST_000584,55.15536549606139
597,TEST_000597,27.080796973247306
599,TEST_000599,42.307197742796724
601,TEST_000601,25.09251172184285
613,TEST_000613,19.922756743733398
620,TEST_000620,24.213791648538848
622,TEST_000622,33.490777266641736
629,TEST_000629,46.49416638099391
631,TEST_000631,38.094933218108025
646,TEST_000646,27.83961638121545
649,TEST_000649,54.50650018413105
654,TEST_000654,30.49176384813316
661,TEST_000661,35.41689303219129
663,TEST_000663,49.439103316480846
672,TEST_000672,20.302757386894985
673,TEST_000673,29.1617367842409
690,TEST_000690,34.05470038712326
691,TEST_000691,20.90461165394362
699,TEST_000699,29.974412310552108
700,TEST_000700,56.635995339249554
709,TEST_000709,50.176447644125055
710,TEST_000710,15.777626111490507
726,TEST_000726,20.7512599379626
729,TEST_000729,47.69590814181331
739,TEST_000739,53.49564974126048
740,TEST_000740,55.19278794965343
743,TEST_000743,26.47431719752791
745,TEST_000745,38.19123852899491
764,TEST_000764,24.848553804476214
772,TEST_000772,52.715975420843684
775,TEST_000775,43.82549602625872
790,TEST_000790,56.9622761919085
797,TEST_000797,38.038411359513326
812,TEST_000812,38.834136232187
818,TEST_000818,21.549017500677593
