,id,target
9,TEST_000009,50.20910744972221
16,TEST_000016,22.096609897489476
22,TEST_000022,46.339941701634054
28,TEST_000028,34.83640345404905
31,TEST_000031,51.21270292305428
41,TEST_000041,30.19934277609038
52,TEST_000052,24.17889490678243
58,TEST_000058,37.92464154747049
62,TEST_000062,36.96706019801184
64,TEST_000064,17.51499092859145
74,TEST_000074,39.004984047852275
76,TEST_000076,40.99086893340593
82,TEST_000082,45.43864774243017
84,TEST_000084,9.862402631750049
95,TEST_000095,30.637413580953165
98,TEST_000098,18.60431376073278
100,TEST_000100,25.217993158011904
109,TEST_000109,25.787360327929388
111,TEST_000111,61.288102313987245
115,TEST_000115,34.85932896965854
119,TEST_000119,21.556509628664887
122,TEST_000122,21.27724505747982
125,TEST_000125,39.60887351009387
136,TEST_000136,57.03685274397953
142,TEST_000142,22.914199930133247
143,TEST_000143,38.372183276208254
147,TEST_000147,43.806611939092015
152,TEST_000152,26.10784633721116
160,TEST_000160,45.3191365307087
162,TEST_000162,31.271145998868093
179,TEST_000179,24.693201710027676
182,TEST_000182,25.208389658861652
185,TEST_000185,36.114025187368384
215,TEST_000215,52.89045519637341
255,TEST_000255,39.02181413651419
257,TEST_000257,21.999866502717012
266,TEST_000266,65.74323541592754
271,TEST_000271,34.43928098354335
275,TEST_000275,24.997191811445166
287,TEST_000287,45.408068296278906
297,TEST_000297,26.020260179018464
315,TEST_000315,24.67583059973943
316,TEST_000316,24.820196984686987
323,TEST_000323,25.13249410493927
335,TEST_000335,39.913821428412895
353,TEST_000353,38.180973176142665
354,TEST_000354,35.95972233529344
355,TEST_000355,57.51232196997128
358,TEST_000358,26.375457190963278
370,TEST_000370,53.72071861311715
375,TEST_000375,56.670836186519345
380,TEST_000380,45.91140194363831
387,TEST_000387,19.63298325872125
398,TEST_000398,23.646004350562862
407,TEST_000407,37.67130478358544
411,TEST_000411,40.47375493465979
441,TEST_000441,27.388072218827727
453,TEST_000453,30.877845665726017
469,TEST_000469,57.296803690958626
471,TEST_000471,29.10692863678739
473,TEST_000473,42.468716756031824
478,TEST_000478,58.76011240418014
482,TEST_000482,44.253538657659924
487,TEST_000487,34.80718441852088
489,TEST_000489,25.21222666078863
491,TEST_000491,45.70675612685988
493,TEST_000493,53.641263508078886
498,TEST_000498,23.106732255754
500,TEST_000500,30.99973600735524
502,TEST_000502,22.203291292532583
516,TEST_000516,31.90929501881865
523,TEST_000523,40.469860771576855
554,TEST_000554,34.96282100264315
571,TEST_000571,34.210982052628054
572,TEST_000572,32.979035221773756
592,TEST_000592,27.68501994699548
608,TEST_000608,55.777000620224726
616,TEST_000616,52.865803938519264
624,TEST_000624,49.077868271959915
638,TEST_000638,20.947112149064594
653,TEST_000653,46.18670765813162
657,TEST_000657,50.63785219810529
659,TEST_000659,26.867984362171303
677,TEST_000677,36.35756845569754
685,TEST_000685,74.27558231201797
694,TEST_000694,48.70506367667476
695,TEST_000695,26.07947001675198
697,TEST_000697,52.855827818113454
707,TEST_000707,30.125808255790503
708,TEST_000708,29.17929266221667
712,TEST_000712,36.42459418108523
716,TEST_000716,34.59066861900519
721,TEST_000721,23.05816227990537
748,TEST_000748,35.5773491205802
765,TEST_000765,42.14989216159639
770,TEST_000770,36.47058545399702
778,TEST_000778,19.585112327597077
781,TEST_000781,33.9063719267814
787,TEST_000787,25.052534514132322
788,TEST_000788,44.597390014962905
789,TEST_000789,55.72024285213049
808,TEST_000808,22.0604804585388
831,TEST_000831,34.563715109605475
833,TEST_000833,28.3039624251967
867,TEST_000867,56.75381316521902
869,TEST_000869,30.463053966596352
882,TEST_000882,39.19111651662406
891,TEST_000891,37.86711749565754
904,TEST_000904,33.546359452036334
908,TEST_000908,35.55144391816947
922,TEST_000922,56.146047987813915
937,TEST_000937,35.44286620513312
946,TEST_000946,37.52305558896134
948,TEST_000948,70.22272347239952
958,TEST_000958,29.556827187449624
964,TEST_000964,46.20810438437673
965,TEST_000965,37.884205868450294
968,TEST_000968,29.485559518203775
969,TEST_000969,54.30214877288122
974,TEST_000974,31.677081520926446
998,TEST_000998,26.55287387587749
1003,TEST_001003,44.95693855877702
1008,TEST_001008,28.799270788134805
1015,TEST_001015,51.740738353819886
1019,TEST_001019,32.059614471972765
1027,TEST_001027,29.3584586579257
1029,TEST_001029,17.009999668045946
1035,TEST_001035,31.09441140091317
1036,TEST_001036,37.69179346997226
1046,TEST_001046,49.32431377415569
1048,TEST_001048,28.485404701235808
1065,TEST_001065,43.0936974145803
1066,TEST_001066,33.96891314354775
1073,TEST_001073,51.76793781531447
1078,TEST_001078,30.389012315937467
1079,TEST_001079,55.252356123077966
1086,TEST_001086,30.135129903118237
1087,TEST_001087,32.85004563748356
1102,TEST_001102,42.189193414269056
1104,TEST_001104,27.88771282995204
1109,TEST_001109,51.80882778806053
1114,TEST_001114,33.87424187612314
1131,TEST_001131,43.295184075416046
1134,TEST_001134,48.770473476036464
1151,TEST_001151,31.931127666229884
1165,TEST_001165,39.22656728572366
1175,TEST_001175,28.474557314536487
1182,TEST_001182,45.7829417861219
1187,TEST_001187,40.06957771052234
1195,TEST_001195,32.79547349940743
1200,TEST_001200,36.570173577990666
1212,TEST_001212,19.63298325872125
1224,TEST_001224,28.5405437039695
1229,TEST_001229,51.41544717567829
1231,TEST_001231,36.50338711389461
1234,TEST_001234,32.36983186442081
1244,TEST_001244,54.82351879515343
1248,TEST_001248,34.22987347645455
1254,TEST_001254,20.18650716106977
1262,TEST_001262,48.171617182320375
1266,TEST_001266,23.42522085405774
1275,TEST_001275,38.25727655573419
1277,TEST_001277,38.04707142208202
1288,TEST_001288,36.284953312044394
1300,TEST_001300,51.457079630741056
1308,TEST_001308,24.4453318434546
1310,TEST_001310,55.62539242186685
1313,TEST_001313,22.666902878653918
1320,TEST_001320,35.67436139555059
1332,TEST_001332,58.93155720435657
1338,TEST_001338,25.295804902195965
1349,TEST_001349,28.299216230698715
1352,TEST_001352,52.2805022269276
1358,TEST_001358,29.33627725520401
1361,TEST_001361,55.298089477866675
1375,TEST_001375,48.37206834872945
1378,TEST_001378,36.53782791485924
1382,TEST_001382,26.474083738832224
1383,TEST_001383,32.715969680313634
1405,TEST_001405,36.21311241157773
1416,TEST_001416,28.903622060042423
1421,TEST_001421,23.858649646545373
1422,TEST_001422,33.168664322011615
1423,TEST_001423,43.29853776470032
1438,TEST_001438,46.08146800692077
1441,TEST_001441,31.51484698067959
1454,TEST_001454,26.79363720359225
1455,TEST_001455,29.707797206942583
1464,TEST_001464,28.08148880164751
1476,TEST_001476,32.70685770350502
1484,TEST_001484,30.33524249720995
1485,TEST_001485,30.240803846504047
1488,TEST_001488,29.850861762879248
1507,TEST_001507,30.313144256915688
1510,TEST_001510,19.643489191597993
1534,TEST_001534,29.772890043087582
1539,TEST_001539,41.7275638654508
1545,TEST_001545,28.914945257389252
1549,TEST_001549,17.132428573555433
1557,TEST_001557,29.135381963219714
1567,TEST_001567,32.156165195142414
1569,TEST_001569,38.50425365861273
1575,TEST_001575,45.312357381550335
1583,TEST_001583,28.63327288236138
1607,TEST_001607,24.58209882357818
1608,TEST_001608,52.07786329096222
1612,TEST_001612,32.146905639436106
1620,TEST_001620,33.96002882063711
1634,TEST_001634,39.15522554780634
1635,TEST_001635,38.104663135949714
1644,TEST_001644,38.98339703579123
1661,TEST_001661,40.08034645781094
1666,TEST_001666,36.28288203997392
1686,TEST_001686,50.9863286834107
1716,TEST_001716,48.468381460446956
1726,TEST_001726,22.541108079366637
1732,TEST_001732,30.830546856146768
1733,TEST_001733,56.51385227617174
1738,TEST_001738,41.75415803998519
1752,TEST_001752,32.23346233508354
1753,TEST_001753,54.023716541244106
1761,TEST_001761,24.9027789114661
1774,TEST_001774,32.423696810948364
1776,TEST_001776,23.68665276509343
1789,TEST_001789,30.753957417983006
1791,TEST_001791,58.258237569046024
1795,TEST_001795,40.30823809213792
1814,TEST_001814,31.594767143728927
1825,TEST_001825,29.970896585948765
1826,TEST_001826,20.28016898935924
1828,TEST_001828,36.784540663264686
1845,TEST_001845,29.340919530844445
1857,TEST_001857,50.16627583881591
1862,TEST_001862,12.317852101281085
1868,TEST_001868,26.40728378483936
1871,TEST_001871,28.53586190326389
1874,TEST_001874,28.746023958160606
1875,TEST_001875,14.017881376794387
1880,TEST_001880,52.26267303290873
1886,TEST_001886,42.00177762719724
1887,TEST_001887,22.02411178331991
1890,TEST_001890,43.21542021658441
1894,TEST_001894,49.11431115672462
1895,TEST_001895,59.11144337091674
1901,TEST_001901,58.433080540997196
1920,TEST_001920,30.07214654260712
1931,TEST_001931,43.748970111438496
1932,TEST_001932,56.788756785539626
1938,TEST_001938,32.008095948249895
1945,TEST_001945,31.279703751830212
1949,TEST_001949,38.576089644646316
1960,TEST_001960,53.20847824696108
1962,TEST_001962,50.65512941363486
1965,TEST_001965,21.700556818516745
1972,TEST_001972,48.0437212976552
1980,TEST_001980,30.65301488575022
1981,TEST_001981,48.023059899110024
1987,TEST_001987,32.513704295757755
2000,TEST_002000,15.527678771830423
2009,TEST_002009,40.383274003561844
2011,TEST_002011,16.16221707562187
2017,TEST_002017,43.44495678384649
2038,TEST_002038,32.09338388262838
2056,TEST_002056,56.898212146364294
2063,TEST_002063,32.294158988143884
2076,TEST_002076,28.016688523716635
2082,TEST_002082,23.909600853871307
2088,TEST_002088,25.965170648943346
2099,TEST_002099,32.721572276502
2100,TEST_002100,21.831779748186733
2119,TEST_002119,32.581523910079646
2129,TEST_002129,39.3891665702745
2137,TEST_002137,48.04813530213524
2140,TEST_002140,23.227182523108542
2147,TEST_002147,54.64680238387066
2148,TEST_002148,14.47613609140118
2149,TEST_002149,25.078569963562387
2156,TEST_002156,27.791482852692553
2166,TEST_002166,28.691876543571073
2171,TEST_002171,20.5105758758707
2184,TEST_002184,55.52982193728055
2193,TEST_002193,27.736856740150085
2225,TEST_002225,46.18812614204142
2226,TEST_002226,37.239979322710454
2227,TEST_002227,51.033735687893746
2235,TEST_002235,45.51840875597145
2236,TEST_002236,54.63700330040103
2239,TEST_002239,24.23903161304443
2276,TEST_002276,38.848201375657055
2277,TEST_002277,35.325688226129095
2284,TEST_002284,31.08569817519907
2295,TEST_002295,39.898889552097835
2297,TEST_002297,20.87365056174445
2300,TEST_002300,21.026938199968157
2303,TEST_002303,56.64134249709525
2333,TEST_002333,63.8245993302935
2360,TEST_002360,55.385702268529
2364,TEST_002364,29.779050966917556
2369,TEST_002369,46.69614079468112
2374,TEST_002374,30.99973600735524
2389,TEST_002389,34.84089006655156
2408,TEST_002408,35.51569784293201
2410,TEST_002410,50.821748908466475
2413,TEST_002413,51.04867884847971
2421,TEST_002421,43.43119139951815
2426,TEST_002426,24.358157961899234
2447,TEST_002447,32.40122222153142
2457,TEST_002457,37.14596255304523
2459,TEST_002459,44.12984919900082
2465,TEST_002465,56.94396750849052
2467,TEST_002467,43.0675624437089
2469,TEST_002469,18.92820464988279
2483,TEST_002483,25.562244976637093
2495,TEST_002495,23.045773302507087
2506,TEST_002506,52.066249295178714
2508,TEST_002508,52.441559956715366
2512,TEST_002512,22.578226290905295
2519,TEST_002519,23.381590377266054
2523,TEST_002523,29.052689692724503
2528,TEST_002528,24.608122458526292
2531,TEST_002531,49.189009804486155
2538,TEST_002538,30.769156028997248
2540,TEST_002540,43.10338989703035
2550,TEST_002550,45.6093951253167
2553,TEST_002553,45.637441774388954
2555,TEST_002555,54.24599832411385
2568,TEST_002568,20.59746005589051
2571,TEST_002571,31.922953642319655
2573,TEST_002573,36.41929805580591
2598,TEST_002598,23.93919589973793
2613,TEST_002613,69.50355391032576
2618,TEST_002618,30.37989306074728
2630,TEST_002630,52.17292023950174
2641,TEST_002641,50.259123255450596
2655,TEST_002655,33.0456228927841
2666,TEST_002666,36.644997603555105
2668,TEST_002668,49.71832432730836
2670,TEST_002670,27.38887881821614
2682,TEST_002682,27.258737952774922
2690,TEST_002690,16.951301024249442
2693,TEST_002693,32.851406036408974
2698,TEST_002698,23.24894242951994
2699,TEST_002699,54.232152602161385
2701,TEST_002701,24.69461189901814
2703,TEST_002703,43.43394102886871
2715,TEST_002715,75.02506725008703
2717,TEST_002717,33.60666735235978
2725,TEST_002725,23.70433058990437
2729,TEST_002729,23.19845906174579
2736,TEST_002736,24.154899426199478
2738,TEST_002738,33.87424187612314
2740,TEST_002740,24.27609160394047
2743,TEST_002743,36.16318554247875
2751,TEST_002751,45.02387277104818
2756,TEST_002756,25.70286159635322
2765,TEST_002765,24.430079199121767
2776,TEST_002776,23.399298904076698
2781,TEST_002781,46.57519628922402
2788,TEST_002788,46.26939486287583
2808,TEST_002808,36.937643887405216
2809,TEST_002809,18.35417265465082
2811,TEST_002811,70.80164925051312
2814,TEST_002814,31.138627191693075
2838,TEST_002838,18.715787000822644
2839,TEST_002839,32.91771580665238
2848,TEST_002848,31.813093066516785
2873,TEST_002873,43.147966869624355
2874,TEST_002874,33.18205552900164
2877,TEST_002877,33.93724917114964
2896,TEST_002896,28.66913659706637
2902,TEST_002902,17.109667443845296
