,id,target
14,TEST_000014,32.05618653035791
25,TEST_000025,26.257196665527477
29,TEST_000029,24.826295995493528
45,TEST_000045,24.96291144167492
59,TEST_000059,45.23056332933054
65,TEST_000065,25.806239777467365
91,TEST_000091,58.24017245208423
96,TEST_000096,25.778436747226873
99,TEST_000099,29.665960047876695
120,TEST_000120,22.201461615165414
124,TEST_000124,21.190617702405362
126,TEST_000126,30.507952173902698
133,TEST_000133,52.89492272551745
137,TEST_000137,24.138727673344572
139,TEST_000139,64.41037562403993
146,TEST_000146,14.174456799495752
149,TEST_000149,31.226234263365495
151,TEST_000151,45.6075013983432
180,TEST_000180,26.820037739942126
183,TEST_000183,34.524294495582716
184,TEST_000184,31.138657381105673
188,TEST_000188,44.518263988185346
189,TEST_000189,34.33890009537671
196,TEST_000196,60.85700802527589
198,TEST_000198,35.970248786076354
200,TEST_000200,22.519369112831612
203,TEST_000203,19.759818304143987
212,TEST_000212,23.42312583213631
233,TEST_000233,25.021562650107878
235,TEST_000235,31.192790752605173
238,TEST_000238,51.69964489786859
246,TEST_000246,40.38515954337606
259,TEST_000259,38.76236261424457
265,TEST_000265,45.39240478684016
296,TEST_000296,57.39299208273951
299,TEST_000299,42.012912343637005
301,TEST_000301,31.141885473134835
307,TEST_000307,37.78422650422303
314,TEST_000314,53.73420465973439
318,TEST_000318,26.25364462310861
329,TEST_000329,31.28440279026532
334,TEST_000334,18.711366730603988
342,TEST_000342,35.13257703785934
347,TEST_000347,35.083908005475905
352,TEST_000352,43.37479839010965
357,TEST_000357,27.844001795984905
374,TEST_000374,26.232028309946028
377,TEST_000377,34.91599933736419
412,TEST_000412,76.40298592391638
413,TEST_000413,17.372280105204666
414,TEST_000414,43.760110535422086
419,TEST_000419,29.69856610960379
423,TEST_000423,20.082422988198093
428,TEST_000428,25.459299341244787
434,TEST_000434,32.10290012040432
446,TEST_000446,25.70486134848561
457,TEST_000457,35.488880963308866
458,TEST_000458,30.983519923554336
462,TEST_000462,29.863038401587144
479,TEST_000479,29.675096843758173
480,TEST_000480,23.04888047033361
492,TEST_000492,46.19492283270879
505,TEST_000505,30.22009570195408
512,TEST_000512,33.52328283917203
513,TEST_000513,53.76846176479582
524,TEST_000524,46.69417172424545
537,TEST_000537,35.970248786076354
557,TEST_000557,55.00175415357736
558,TEST_000558,51.054943416249834
573,TEST_000573,19.844353066268546
591,TEST_000591,40.329056145082404
595,TEST_000595,19.015118727008037
610,TEST_000610,42.479346332129175
634,TEST_000634,27.450085984798246
635,TEST_000635,42.09184318323875
641,TEST_000641,30.311476472262417
656,TEST_000656,25.588652793319227
671,TEST_000671,11.966391010663463
687,TEST_000687,36.50777240826446
689,TEST_000689,30.209759661916717
718,TEST_000718,27.984243731879463
728,TEST_000728,29.206801567321094
734,TEST_000734,55.32699206357629
738,TEST_000738,34.169899748280244
749,TEST_000749,34.89335577992872
754,TEST_000754,42.898977727744274
755,TEST_000755,38.5011947864952
757,TEST_000757,75.81554392698608
760,TEST_000760,29.52210345765141
768,TEST_000768,18.936120246293758
793,TEST_000793,43.93908271441888
798,TEST_000798,49.686754154311224
