,id,target
1,TEST_000001,44.65953145772796
7,TEST_000007,66.5946920204013
13,TEST_000013,45.78675776141504
19,TEST_000019,58.732651142977886
38,TEST_000038,39.11837869075237
44,TEST_000044,56.27336801519439
46,TEST_000046,22.80144755782811
51,TEST_000051,44.910693090747934
54,TEST_000054,43.561515159742925
57,TEST_000057,52.62462588085723
60,TEST_000060,38.76803555072569
61,TEST_000061,51.850947322930615
67,TEST_000067,26.292730873896435
71,TEST_000071,28.973345497341032
78,TEST_000078,48.69291131449848
79,TEST_000079,22.651934584346918
83,TEST_000083,24.86141470382825
86,TEST_000086,48.11914783345113
87,TEST_000087,45.11066975036987
89,TEST_000089,21.926598509187375
103,TEST_000103,26.394184490458514
114,TEST_000114,36.30845183983217
117,TEST_000117,23.221339647794753
134,TEST_000134,49.5063242470965
138,TEST_000138,32.92650508940403
140,TEST_000140,52.030244642730985
153,TEST_000153,52.443665149398896
163,TEST_000163,54.92138686743916
166,TEST_000166,33.958704853418716
171,TEST_000171,36.71007111797982
173,TEST_000173,35.78209007854051
174,TEST_000174,21.187828179381693
176,TEST_000176,26.6664754537618
177,TEST_000177,53.74406723397479
194,TEST_000194,35.773630208362185
201,TEST_000201,44.05157191650117
202,TEST_000202,29.114469353328207
204,TEST_000204,44.470195315573676
205,TEST_000205,45.801317273610266
206,TEST_000206,26.505313363256388
222,TEST_000222,37.111139291500116
228,TEST_000228,22.575707538202312
236,TEST_000236,26.68270442722915
237,TEST_000237,54.94207494307926
239,TEST_000239,31.53199440120272
241,TEST_000241,48.37218234477274
245,TEST_000245,19.3865520035644
251,TEST_000251,46.649292641080024
274,TEST_000274,36.63452465641362
277,TEST_000277,40.538753688994255
279,TEST_000279,51.929307394957924
282,TEST_000282,38.918934958649366
285,TEST_000285,25.01570184533898
291,TEST_000291,33.733350757337234
293,TEST_000293,57.783397803972726
303,TEST_000303,24.71802354672756
306,TEST_000306,42.23732015623947
331,TEST_000331,30.102625298009574
332,TEST_000332,31.628248710198246
337,TEST_000337,25.93018715940047
339,TEST_000339,18.704252991932847
345,TEST_000345,35.00781571842284
350,TEST_000350,51.88190870505431
351,TEST_000351,31.155228260917884
364,TEST_000364,28.097354309869882
367,TEST_000367,30.802591245726987
378,TEST_000378,35.2849884122564
379,TEST_000379,26.625361254007586
384,TEST_000384,26.425951626894143
386,TEST_000386,30.497854585438144
390,TEST_000390,22.186477413819407
392,TEST_000392,36.086329267846686
394,TEST_000394,75.20959685558024
401,TEST_000401,57.91412360838777
405,TEST_000405,21.92014055336163
420,TEST_000420,19.155366587335553
421,TEST_000421,26.118327447866324
430,TEST_000430,36.89995000111325
431,TEST_000431,33.94390061093291
439,TEST_000439,31.376978845031797
449,TEST_000449,28.461033375338975
452,TEST_000452,26.86022414783695
460,TEST_000460,43.27139442535304
465,TEST_000465,42.34597460084086
481,TEST_000481,49.32498768176037
486,TEST_000486,15.685200474775018
501,TEST_000501,16.409407499086445
509,TEST_000509,30.39635534261998
515,TEST_000515,22.131237533641638
518,TEST_000518,31.294086350737732
527,TEST_000527,24.7674444842941
530,TEST_000530,61.01789520872807
534,TEST_000534,47.44540999923555
543,TEST_000543,21.944107045021042
547,TEST_000547,20.985424098667224
561,TEST_000561,18.42036870964515
562,TEST_000562,20.042176038648226
565,TEST_000565,51.58085349749796
566,TEST_000566,37.78133400728001
570,TEST_000570,33.117662416195365
576,TEST_000576,34.905219481064414
587,TEST_000587,36.03596314941234
590,TEST_000590,25.72701795920624
594,TEST_000594,30.641014665634568
596,TEST_000596,17.699837046953746
602,TEST_000602,43.40156321259327
611,TEST_000611,52.94917180459091
623,TEST_000623,23.459163194510438
626,TEST_000626,32.92650508940403
632,TEST_000632,24.194462581263398
633,TEST_000633,20.51397929789988
643,TEST_000643,54.427403579489216
650,TEST_000650,17.223421319913147
665,TEST_000665,21.922585808210144
666,TEST_000666,43.83678542070225
669,TEST_000669,26.456940673511383
678,TEST_000678,33.80096561338416
679,TEST_000679,31.178853411911017
692,TEST_000692,18.32678592867336
696,TEST_000696,49.66922787893041
698,TEST_000698,46.724425847784765
701,TEST_000701,23.122795717788275
702,TEST_000702,23.772700503754987
705,TEST_000705,39.32329039483127
725,TEST_000725,48.65009588285735
730,TEST_000730,46.71112736032814
731,TEST_000731,16.69612636165219
733,TEST_000733,21.63644550181682
737,TEST_000737,38.40779973179085
744,TEST_000744,31.090834485464395
752,TEST_000752,39.652117041401574
758,TEST_000758,21.574098725382232
766,TEST_000766,20.785751162643148
773,TEST_000773,22.77516751087211
774,TEST_000774,46.31357353802563
792,TEST_000792,37.76114197068255
799,TEST_000799,48.187687052431805
802,TEST_000802,34.48697508543499
803,TEST_000803,59.613230325258165
805,TEST_000805,59.35854422097953
