,id,target
235,TEST_000235,30.796177697603333
241,TEST_000241,49.280827524616114
380,TEST_000380,46.53778364335891
652,TEST_000652,44.53041580902752
690,TEST_000690,33.41062994971457
893,TEST_000893,46.56813591493246
1195,TEST_001195,32.48047624114188
1201,TEST_001201,30.796177697603333
1355,TEST_001355,29.34551239508666
1575,TEST_001575,45.929813783558785
1675,TEST_001675,42.980465887967895
1859,TEST_001859,47.26687746765239
2187,TEST_002187,30.27443229878696
2487,TEST_002487,31.832131816985125
2490,TEST_002490,36.30821862977759
2583,TEST_002583,47.156934010675485
2693,TEST_002693,32.433901508628985
2702,TEST_002702,43.3141491512105
3049,TEST_003049,44.02765317902472
3315,TEST_003315,31.492201825640056
3347,TEST_003347,50.21661890674776
3565,TEST_003565,50.09875631335858
3617,TEST_003617,31.661217703362578
3683,TEST_003683,43.933406177334625
3814,TEST_003814,42.82714271923263
3938,TEST_003938,30.77565650888916
4008,TEST_004008,44.559542391043024
4093,TEST_004093,44.7326341609964
4504,TEST_004504,42.97930210991114
4848,TEST_004848,51.1991568795704
4951,TEST_004951,44.02224386392825
5098,TEST_005098,30.864874289366686
5387,TEST_005387,52.68566847223841
5947,TEST_005947,52.28504170603182
6471,TEST_006471,43.64648134037888
6731,TEST_006731,30.77565650888916
6767,TEST_006767,44.7708808633509
6865,TEST_006865,43.3705011025128
6982,TEST_006982,36.79398463705947
7198,TEST_007198,31.226324614140495
7631,TEST_007631,35.253885374745956
7915,TEST_007915,37.10729702592668
8023,TEST_008023,52.46695008842823
8053,TEST_008053,45.01097718020851
8496,TEST_008496,29.461150580821656
8645,TEST_008645,50.21661890674776
9211,TEST_009211,33.353238722235325
9237,TEST_009237,31.678270868670708
9676,TEST_009676,31.077660792346627
9871,TEST_009871,27.588138837371766
9886,TEST_009886,45.684015441812335
10525,TEST_010525,45.46037785872819
10650,TEST_010650,43.99384762629242
10662,TEST_010662,45.085776701587235
10890,TEST_010890,45.82390857319982
11030,TEST_011030,30.546440858692236
11466,TEST_011466,44.20535371325188
11650,TEST_011650,44.44244995438143
12083,TEST_012083,30.2327834986922
12125,TEST_012125,30.78718853097536
12526,TEST_012526,46.26936141465783
12814,TEST_012814,46.206793299057466
13009,TEST_013009,45.320885736009934
13108,TEST_013108,31.553342317535204
13384,TEST_013384,43.29187573331278
13732,TEST_013732,52.68566847223841
13853,TEST_013853,32.757004416889146
14878,TEST_014878,50.39447177625438
14962,TEST_014962,31.872150248696173
14963,TEST_014963,52.084864018967146
15037,TEST_015037,45.4814580483398
15178,TEST_015178,44.99085623844915
15247,TEST_015247,45.53435497769872
15915,TEST_015915,46.027433466634456
15952,TEST_015952,31.271621093868948
16074,TEST_016074,44.233799204908046
16141,TEST_016141,34.323041912163546
16909,TEST_016909,43.313733018459715
17006,TEST_017006,45.929813783558785
17269,TEST_017269,46.027433466634456
17494,TEST_017494,50.195136137514986
17535,TEST_017535,44.49472580463831
17575,TEST_017575,44.96600916289621
17757,TEST_017757,43.32363102478602
17908,TEST_017908,31.510538129754856
18056,TEST_018056,43.313733018459715
18369,TEST_018369,45.95347575213439
18386,TEST_018386,47.05394367186578
18442,TEST_018442,34.780329651901205
18604,TEST_018604,34.323041912163546
18637,TEST_018637,32.38813528640315
19271,TEST_019271,32.433901508628985
19310,TEST_019310,29.035117018304224
19314,TEST_019314,44.34837760862426
19411,TEST_019411,29.95806735003076
19873,TEST_019873,45.372826979702495
20341,TEST_020341,44.96175326956748
20401,TEST_020401,47.530558541673344
20700,TEST_020700,43.88452598853312
21004,TEST_021004,31.59163882510102
21092,TEST_021092,44.266182969134135
22026,TEST_022026,45.294428664964016
22097,TEST_022097,32.58484783599297
22287,TEST_022287,43.3705011025128
22639,TEST_022639,31.706649224544194
22866,TEST_022866,44.75594245139333
22970,TEST_022970,32.56662948893992
23216,TEST_023216,50.59832725902107
23256,TEST_023256,47.103741878584145
23451,TEST_023451,45.77671925943196
23764,TEST_023764,46.87308064001688
24110,TEST_024110,47.64534633932988
24370,TEST_024370,49.25607101850957
24376,TEST_024376,32.373608271602436
24585,TEST_024585,44.46652442226595
24918,TEST_024918,50.195136137514986
25028,TEST_025028,47.466172891413805
25167,TEST_025167,30.806570391171917
25296,TEST_025296,45.27597569679846
25447,TEST_025447,45.55491414120028
26068,TEST_026068,39.26526721710553
26468,TEST_026468,31.290674082734146
26499,TEST_026499,47.54388176153647
26656,TEST_026656,52.46695008842823
26907,TEST_026907,47.14277846498757
26921,TEST_026921,42.76856800692134
27567,TEST_027567,44.82981841567042
28030,TEST_028030,32.666245377659585
28325,TEST_028325,32.80215595561774
28399,TEST_028399,44.31391550878536
28777,TEST_028777,47.96074922463308
29119,TEST_029119,43.99384762629242
29320,TEST_029320,31.895179972866277
29428,TEST_029428,32.63550778797813
29448,TEST_029448,30.760779753767448
30303,TEST_030303,44.989149359332544
30368,TEST_030368,46.54616866611261
30380,TEST_030380,36.79398463705947
30792,TEST_030792,32.58484783599297
31098,TEST_031098,30.50258084443452
31151,TEST_031151,32.82502054980419
31170,TEST_031170,38.11228953303232
31706,TEST_031706,29.59215257210441
31990,TEST_031990,45.60226642677751
32017,TEST_032017,34.10785114090399
32393,TEST_032393,46.54616866611261
32449,TEST_032449,30.50258084443452
32499,TEST_032499,47.07929080108247
32598,TEST_032598,35.51677550361584
32635,TEST_032635,44.233799204908046
32891,TEST_032891,45.58020899767378
33013,TEST_033013,44.20535371325188
33064,TEST_033064,31.028585391703192
33315,TEST_033315,50.46746533800374
33524,TEST_033524,33.41062994971457
33717,TEST_033717,45.4814580483398
33724,TEST_033724,32.05152695350142
34339,TEST_034339,32.56662948893992
34527,TEST_034527,45.182589102301044
34577,TEST_034577,35.51677550361584
34743,TEST_034743,36.548957015786065
35328,TEST_035328,33.185323477400146
35460,TEST_035460,30.27443229878696
35538,TEST_035538,43.64648134037888
35560,TEST_035560,44.947361505563066
35791,TEST_035791,47.55089975303219
36492,TEST_036492,30.2327834986922
36693,TEST_036693,46.206793299057466
36719,TEST_036719,43.33394610427704
36743,TEST_036743,49.221392573121356
36812,TEST_036812,45.4814580483398
36858,TEST_036858,43.97172000666125
37150,TEST_037150,47.64534633932988
37332,TEST_037332,38.11228953303232
37459,TEST_037459,30.27443229878696
37641,TEST_037641,48.17298535612791
37720,TEST_037720,43.64190118392909
37803,TEST_037803,44.95171019331169
37819,TEST_037819,44.92521649638651
37985,TEST_037985,47.39047978385524
38143,TEST_038143,31.895179972866277
38390,TEST_038390,49.280827524616114
38657,TEST_038657,31.095855567034455
38994,TEST_038994,44.233799204908046
39114,TEST_039114,44.887232659427234
39309,TEST_039309,44.20535371325188
39321,TEST_039321,31.226324614140495
39592,TEST_039592,31.480164282698027
39691,TEST_039691,49.25607101850957
39829,TEST_039829,50.46746533800374
40098,TEST_040098,31.998320905179483
40251,TEST_040251,32.05152695350142
40418,TEST_040418,30.78718853097536
40450,TEST_040450,47.96074922463308
40482,TEST_040482,50.36113477343329
40686,TEST_040686,44.33684492058375
40717,TEST_040717,32.29798111134141
40953,TEST_040953,43.313733018459715
41001,TEST_041001,31.678270868670708
41080,TEST_041080,43.64648134037888
41205,TEST_041205,52.30144997411989
41236,TEST_041236,45.352940574103265
41521,TEST_041521,31.314428143612222
41661,TEST_041661,48.09826342133572
41856,TEST_041856,45.71609076371871
42133,TEST_042133,31.284910754965512
42201,TEST_042201,30.287643464587447
42215,TEST_042215,34.32754435271312
42293,TEST_042293,44.266182969134135
42697,TEST_042697,44.34837760862426
42892,TEST_042892,37.86983679094531
43333,TEST_043333,31.510538129754856
43405,TEST_043405,32.666245377659585
43532,TEST_043532,48.6923469384734
43592,TEST_043592,45.58020899767378
43692,TEST_043692,44.92521649638651
43807,TEST_043807,47.07929080108247
44144,TEST_044144,43.59327647687679
44279,TEST_044279,45.74042423494587
44369,TEST_044369,31.479803418138673
44392,TEST_044392,29.201378922468802
44397,TEST_044397,43.454017632537095
44501,TEST_044501,44.834081829773496
44847,TEST_044847,51.697956538996834
44960,TEST_044960,50.40297629828449
45481,TEST_045481,35.23207737933324
46337,TEST_046337,50.39447177625438
46434,TEST_046434,32.666245377659585
47042,TEST_047042,49.56973154024812
47073,TEST_047073,30.493542282943448
47086,TEST_047086,46.13333789313401
47495,TEST_047495,44.32174565278728
47529,TEST_047529,50.81640350139059
48101,TEST_048101,47.39047978385524
48303,TEST_048303,51.42106898481224
48613,TEST_048613,33.699357409971206
48636,TEST_048636,44.02765317902472
48660,TEST_048660,47.07929080108247
48767,TEST_048767,32.33232336434114
48845,TEST_048845,43.933406177334625
48921,TEST_048921,32.80215595561774
49120,TEST_049120,44.559542391043024
49196,TEST_049196,31.706649224544194
49578,TEST_049578,43.64190118392909
49802,TEST_049802,46.24255570709667
49883,TEST_049883,32.74311677485672
49902,TEST_049902,32.82502054980419
50148,TEST_050148,31.520955665023543
50154,TEST_050154,48.6923469384734
50243,TEST_050243,47.881004470036906
50509,TEST_050509,48.17298535612791
