,id,target
63,TEST_000063,57.678137082436336
145,TEST_000145,57.65019977238456
478,TEST_000478,59.52930840034106
538,TEST_000538,57.048239508594214
761,TEST_000761,55.84469187257429
1000,TEST_001000,55.71350499732594
1145,TEST_001145,57.53000901620186
1310,TEST_001310,54.35553560889888
1339,TEST_001339,56.9461642214597
1446,TEST_001446,60.652842183727834
1923,TEST_001923,63.58539845807678
2323,TEST_002323,59.55492195623472
2370,TEST_002370,64.33636662430507
2825,TEST_002825,57.45736710581096
2959,TEST_002959,56.543701007397246
3043,TEST_003043,55.81723715930636
3677,TEST_003677,60.74413661366489
3774,TEST_003774,57.71416863088668
3779,TEST_003779,58.4653487519775
3902,TEST_003902,59.286028434897204
4209,TEST_004209,56.40118277061849
4305,TEST_004305,64.20730699685768
4376,TEST_004376,62.6389542578342
4793,TEST_004793,57.9580106938192
4821,TEST_004821,61.11590270042615
5333,TEST_005333,61.02532000847652
5485,TEST_005485,64.54874649092412
5689,TEST_005689,60.23963142851468
5998,TEST_005998,55.618239569916824
6028,TEST_006028,58.12411200283569
6130,TEST_006130,64.40575823164943
6363,TEST_006363,57.29232968227191
6496,TEST_006496,54.35553560889888
6508,TEST_006508,55.419781469617966
7051,TEST_007051,59.28803730216827
7497,TEST_007497,63.93678070037202
7683,TEST_007683,59.3096813100527
7699,TEST_007699,54.54052245112652
7745,TEST_007745,59.52258387324152
7895,TEST_007895,59.934241577389905
8098,TEST_008098,57.327764446790724
8179,TEST_008179,54.880728521905475
8256,TEST_008256,55.81723715930636
8310,TEST_008310,56.99407280986857
8352,TEST_008352,61.4369591353882
8476,TEST_008476,57.56593085202107
8885,TEST_008885,55.99784595520864
8991,TEST_008991,58.174601521772146
9627,TEST_009627,64.33636662430507
9713,TEST_009713,54.594131048998136
10152,TEST_010152,58.422724590903925
10311,TEST_010311,62.86254541167036
10364,TEST_010364,57.69926951346894
10563,TEST_010563,61.63186396873283
10615,TEST_010615,54.774819227985496
10895,TEST_010895,59.88106472957466
11069,TEST_011069,58.16397197303218
11122,TEST_011122,63.114787467620346
11140,TEST_011140,61.34977208097948
11191,TEST_011191,57.46279381423057
11216,TEST_011216,54.61873713575376
11351,TEST_011351,55.83860427341375
11599,TEST_011599,57.37248799855766
11638,TEST_011638,59.990780042129934
11702,TEST_011702,61.23787821423782
11862,TEST_011862,57.09880967224494
11927,TEST_011927,59.31610064970639
11973,TEST_011973,56.77183335009365
12223,TEST_012223,63.273610877277946
12705,TEST_012705,54.955341340847326
13518,TEST_013518,57.41496950094434
13622,TEST_013622,57.71416863088668
13647,TEST_013647,59.88106472957466
14118,TEST_014118,58.912823898935606
14140,TEST_014140,57.048239508594214
14251,TEST_014251,54.242961985446044
14364,TEST_014364,54.880728521905475
14460,TEST_014460,55.433054085249665
14740,TEST_014740,57.84155559541088
15157,TEST_015157,57.07289021259794
15209,TEST_015209,55.296055574498
15525,TEST_015525,62.86254541167036
15527,TEST_015527,58.35011835193629
15656,TEST_015656,55.959319223022455
15676,TEST_015676,57.30359414049194
16060,TEST_016060,58.48686320513575
16296,TEST_016296,57.40162634142323
16358,TEST_016358,63.94479311340026
16409,TEST_016409,58.289437936921956
17132,TEST_017132,62.10395005591026
17293,TEST_017293,55.22105545700362
17297,TEST_017297,54.65242954007742
17311,TEST_017311,53.72044571980979
17336,TEST_017336,58.88291926083901
17401,TEST_017401,56.823726323538224
17563,TEST_017563,56.0687440725268
17656,TEST_017656,58.57802723080601
17849,TEST_017849,66.47616656547385
18119,TEST_018119,53.64009658619957
18231,TEST_018231,58.65166204269386
18465,TEST_018465,57.46279381423057
18585,TEST_018585,54.594131048998136
18712,TEST_018712,55.21147596768832
18822,TEST_018822,63.93678070037202
18998,TEST_018998,57.9580106938192
19280,TEST_019280,58.465901753242036
19321,TEST_019321,59.28803730216827
19431,TEST_019431,60.02318919506228
19459,TEST_019459,57.69926951346894
19675,TEST_019675,56.930592819709084
19857,TEST_019857,60.02318919506228
20087,TEST_020087,58.12411200283569
20222,TEST_020222,60.385914827056965
20559,TEST_020559,55.669054776909576
20821,TEST_020821,61.34977208097948
20861,TEST_020861,55.4912297034394
21051,TEST_021051,53.836392667464686
21325,TEST_021325,57.65912330464026
21441,TEST_021441,58.375248576699605
21525,TEST_021525,55.09238123268376
21723,TEST_021723,58.767920258168836
22340,TEST_022340,61.397093754582365
22664,TEST_022664,59.427798131101255
22848,TEST_022848,57.940400660480776
22994,TEST_022994,60.37740641398789
23164,TEST_023164,57.75715850433692
23511,TEST_023511,57.209818246700806
23580,TEST_023580,55.08625379499972
23702,TEST_023702,59.31610064970639
23703,TEST_023703,57.44516948359187
23760,TEST_023760,65.12803446702983
23981,TEST_023981,57.387928448648196
23992,TEST_023992,54.947048587308444
24289,TEST_024289,57.31557907579145
24369,TEST_024369,61.34977208097948
24596,TEST_024596,58.422724590903925
24823,TEST_024823,64.04708218718844
24926,TEST_024926,57.41496950094434
25058,TEST_025058,64.20730699685768
25202,TEST_025202,57.678137082436336
25325,TEST_025325,54.84861773500954
25380,TEST_025380,58.91477851865632
25512,TEST_025512,54.979092760906234
25665,TEST_025665,61.397093754582365
26066,TEST_026066,57.14368862748951
26140,TEST_026140,57.40162634142323
26865,TEST_026865,66.47616656547385
26874,TEST_026874,66.91532422591335
27106,TEST_027106,58.180102131006215
27158,TEST_027158,57.53000901620186
27267,TEST_027267,55.88771779148218
27486,TEST_027486,55.84469187257429
27535,TEST_027535,55.4912297034394
27543,TEST_027543,56.210528315437315
27938,TEST_027938,62.24968756611212
28062,TEST_028062,56.86222852514084
28093,TEST_028093,56.77183335009365
28393,TEST_028393,65.43117138789394
28451,TEST_028451,58.912823898935606
29118,TEST_029118,57.54144770217688
29345,TEST_029345,66.3457401330723
29528,TEST_029528,63.42071793844363
29535,TEST_029535,59.67420284706193
29853,TEST_029853,55.71350499732594
29882,TEST_029882,54.93490904489975
30868,TEST_030868,59.27093493411642
31110,TEST_031110,55.38265458084092
31657,TEST_031657,57.39339123871185
31662,TEST_031662,61.93871500844752
31724,TEST_031724,56.79348915535144
31879,TEST_031879,58.06784579992174
32007,TEST_032007,58.289437936921956
32034,TEST_032034,54.979092760906234
32049,TEST_032049,57.22351011555332
