강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 제주
기간 : 20210901~20220831

날짜,지점,강수량(mm)
2021-09-01,184,14.5
2021-09-02,184,37.8
2021-09-03,184,21.8
2021-09-04,184,
2021-09-05,184,7.6
2021-09-06,184,5.3
2021-09-07,184,1.3
2021-09-08,184,
2021-09-09,184,
2021-09-10,184,8.9
2021-09-11,184,
2021-09-12,184,
2021-09-13,184,27.8
2021-09-14,184,89.6
2021-09-15,184,11.7
2021-09-16,184,63.8
2021-09-17,184,155
2021-09-18,184,
2021-09-19,184,
2021-09-20,184,
2021-09-21,184,6.8
2021-09-22,184,
2021-09-23,184,
2021-09-24,184,
2021-09-25,184,0.3
2021-09-26,184,
2021-09-27,184,
2021-09-28,184,
2021-09-29,184,13
2021-09-30,184,27.9
2021-10-01,184,
2021-10-02,184,
2021-10-03,184,
2021-10-04,184,
2021-10-05,184,
2021-10-06,184,
2021-10-07,184,
2021-10-08,184,
2021-10-09,184,5.2
2021-10-10,184,0
2021-10-11,184,0.1
2021-10-12,184,16.4
2021-10-13,184,2.1
2021-10-14,184,
2021-10-15,184,
2021-10-16,184,7.6
2021-10-17,184,
2021-10-18,184,
2021-10-19,184,0.5
2021-10-20,184,
2021-10-21,184,
2021-10-22,184,
2021-10-23,184,
2021-10-24,184,
2021-10-25,184,
2021-10-26,184,
2021-10-27,184,
2021-10-28,184,
2021-10-29,184,
2021-10-30,184,0.2
2021-10-31,184,
2021-11-01,184,
2021-11-02,184,
2021-11-03,184,
2021-11-04,184,
2021-11-05,184,0
2021-11-06,184,
2021-11-07,184,
2021-11-08,184,34.5
2021-11-09,184,3.1
2021-11-10,184,4
2021-11-11,184,4.4
2021-11-12,184,5.4
2021-11-13,184,
2021-11-14,184,
2021-11-15,184,
2021-11-16,184,
2021-11-17,184,
2021-11-18,184,
2021-11-19,184,
2021-11-20,184,
2021-11-21,184,0
2021-11-22,184,2
2021-11-23,184,0
2021-11-24,184,
2021-11-25,184,
2021-11-26,184,
2021-11-27,184,
2021-11-28,184,
2021-11-29,184,
2021-11-30,184,10.4
2021-12-01,184,1
2021-12-02,184,1.1
2021-12-03,184,
2021-12-04,184,
2021-12-05,184,
2021-12-06,184,
2021-12-07,184,
2021-12-08,184,
2021-12-09,184,0.5
2021-12-10,184,0
2021-12-11,184,
2021-12-12,184,0
2021-12-13,184,
2021-12-14,184,
2021-12-15,184,0.1
2021-12-16,184,21.5
2021-12-17,184,0.7
2021-12-18,184,0.7
2021-12-19,184,0.1
2021-12-20,184,
2021-12-21,184,
2021-12-22,184,
2021-12-23,184,
2021-12-24,184,
2021-12-25,184,0
2021-12-26,184,5.2
2021-12-27,184,0.1
2021-12-28,184,
2021-12-29,184,0.4
2021-12-30,184,
2021-12-31,184,0
2022-01-01,184,
2022-01-02,184,
2022-01-03,184,
2022-01-04,184,
2022-01-05,184,18.8
2022-01-06,184,
2022-01-07,184,
2022-01-08,184,
2022-01-09,184,
2022-01-10,184,0.1
2022-01-11,184,2.1
2022-01-12,184,0
2022-01-13,184,2.1
2022-01-14,184,0
2022-01-15,184,0
2022-01-16,184,0.3
2022-01-17,184,
2022-01-18,184,
2022-01-19,184,0
2022-01-20,184,
2022-01-21,184,
2022-01-22,184,1.3
2022-01-23,184,5.6
2022-01-24,184,
2022-01-25,184,3.3
2022-01-26,184,
2022-01-27,184,
2022-01-28,184,
2022-01-29,184,
2022-01-30,184,
2022-01-31,184,
2022-02-01,184,
2022-02-02,184,
2022-02-03,184,
2022-02-04,184,0
2022-02-05,184,0.1
2022-02-06,184,0.1
2022-02-07,184,0
2022-02-08,184,
2022-02-09,184,3.7
2022-02-10,184,7.2
2022-02-11,184,
2022-02-12,184,
2022-02-13,184,0
2022-02-14,184,0
2022-02-15,184,0
2022-02-16,184,0
2022-02-17,184,0
2022-02-18,184,2.6
2022-02-19,184,11.3
2022-02-20,184,0.1
2022-02-21,184,
2022-02-22,184,
2022-02-23,184,
2022-02-24,184,
2022-02-25,184,
2022-02-26,184,
2022-02-27,184,
2022-02-28,184,
2022-03-01,184,3.8
2022-03-02,184,
2022-03-03,184,
2022-03-04,184,
2022-03-05,184,0
2022-03-06,184,
2022-03-07,184,
2022-03-08,184,
2022-03-09,184,
2022-03-10,184,
2022-03-11,184,
2022-03-12,184,
2022-03-13,184,5.8
2022-03-14,184,
2022-03-15,184,
2022-03-16,184,
2022-03-17,184,25.9
2022-03-18,184,32.1
2022-03-19,184,3.3
2022-03-20,184,
2022-03-21,184,11.8
2022-03-22,184,4.4
2022-03-23,184,2
2022-03-24,184,
2022-03-25,184,1.7
2022-03-26,184,4.4
2022-03-27,184,
2022-03-28,184,
2022-03-29,184,
2022-03-30,184,0
2022-03-31,184,0.9
2022-04-01,184,
2022-04-02,184,
2022-04-03,184,
2022-04-04,184,
2022-04-05,184,
2022-04-06,184,
2022-04-07,184,
2022-04-08,184,
2022-04-09,184,
2022-04-10,184,
2022-04-11,184,
2022-04-12,184,
2022-04-13,184,5.7
2022-04-14,184,9
2022-04-15,184,
2022-04-16,184,
2022-04-17,184,
2022-04-18,184,
2022-04-19,184,
2022-04-20,184,
2022-04-21,184,2.7
2022-04-22,184,
2022-04-23,184,
2022-04-24,184,
2022-04-25,184,14.8
2022-04-26,184,25.8
2022-04-27,184,
2022-04-28,184,
2022-04-29,184,26
2022-04-30,184,
2022-05-01,184,
2022-05-02,184,
2022-05-03,184,
2022-05-04,184,
2022-05-05,184,
2022-05-06,184,
2022-05-07,184,
2022-05-08,184,
2022-05-09,184,
2022-05-10,184,0.2
2022-05-11,184,0
2022-05-12,184,
2022-05-13,184,8.9
2022-05-14,184,
2022-05-15,184,
2022-05-16,184,
2022-05-17,184,
2022-05-18,184,
2022-05-19,184,
2022-05-20,184,
2022-05-21,184,
2022-05-22,184,
2022-05-23,184,
2022-05-24,184,
2022-05-25,184,
2022-05-26,184,
2022-05-27,184,
2022-05-28,184,
2022-05-29,184,0
2022-05-30,184,0
2022-05-31,184,
2022-06-01,184,
2022-06-02,184,
2022-06-03,184,
2022-06-04,184,0
2022-06-05,184,45
2022-06-06,184,0.8
2022-06-07,184,0.7
2022-06-08,184,
2022-06-09,184,
2022-06-10,184,
2022-06-11,184,0.4
2022-06-12,184,
2022-06-13,184,11.6
2022-06-14,184,13.6
2022-06-15,184,
2022-06-16,184,
2022-06-17,184,
2022-06-18,184,0
2022-06-19,184,
2022-06-20,184,
2022-06-21,184,0.1
2022-06-22,184,
2022-06-23,184,
2022-06-24,184,71.4
2022-06-25,184,
2022-06-26,184,
2022-06-27,184,0
2022-06-28,184,0
2022-06-29,184,0
2022-06-30,184,0
2022-07-01,184,
2022-07-02,184,
2022-07-03,184,0
2022-07-04,184,0
2022-07-05,184,0.7
2022-07-06,184,
2022-07-07,184,
2022-07-08,184,
2022-07-09,184,
2022-07-10,184,
2022-07-11,184,13.8
2022-07-12,184,
2022-07-13,184,
2022-07-14,184,6.2
2022-07-15,184,14.4
2022-07-16,184,
2022-07-17,184,0.2
2022-07-18,184,4.1
2022-07-19,184,3.3
2022-07-20,184,
2022-07-21,184,0
2022-07-22,184,
2022-07-23,184,0
2022-07-24,184,10.7
2022-07-25,184,
2022-07-26,184,
2022-07-27,184,
2022-07-28,184,
2022-07-29,184,
2022-07-30,184,48.3
2022-07-31,184,47.3
2022-08-01,184,7
2022-08-02,184,3.7
2022-08-03,184,0
2022-08-04,184,
2022-08-05,184,
2022-08-06,184,
2022-08-07,184,
2022-08-08,184,
2022-08-09,184,
2022-08-10,184,
2022-08-11,184,
2022-08-12,184,4.2
2022-08-13,184,
2022-08-14,184,
2022-08-15,184,
2022-08-16,184,13.9
2022-08-17,184,94.3
2022-08-18,184,
2022-08-19,184,
2022-08-20,184,0
2022-08-21,184,
2022-08-22,184,
2022-08-23,184,
2022-08-24,184,
2022-08-25,184,
2022-08-26,184,
2022-08-27,184,0
2022-08-28,184,
2022-08-29,184,
2022-08-30,184,0
2022-08-31,184,1.2
