강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 성산
기간 : 20210901~20220831

날짜,지점,강수량(mm)
2021-09-01,188,0.5
2021-09-02,188,9.9
2021-09-03,188,27.4
2021-09-04,188,
2021-09-05,188,9.7
2021-09-06,188,1.5
2021-09-07,188,11.8
2021-09-08,188,
2021-09-09,188,
2021-09-10,188,11.1
2021-09-11,188,
2021-09-12,188,
2021-09-13,188,43.4
2021-09-14,188,102.9
2021-09-15,188,26.9
2021-09-16,188,84.7
2021-09-17,188,71.5
2021-09-18,188,
2021-09-19,188,
2021-09-20,188,
2021-09-21,188,21.1
2021-09-22,188,
2021-09-23,188,
2021-09-24,188,
2021-09-25,188,
2021-09-26,188,
2021-09-27,188,
2021-09-28,188,
2021-09-29,188,0.1
2021-09-30,188,9.2
2021-10-01,188,
2021-10-02,188,
2021-10-03,188,
2021-10-04,188,
2021-10-05,188,
2021-10-06,188,
2021-10-07,188,
2021-10-08,188,
2021-10-09,188,92.8
2021-10-10,188,
2021-10-11,188,3.9
2021-10-12,188,1.1
2021-10-13,188,1.9
2021-10-14,188,
2021-10-15,188,
2021-10-16,188,1.5
2021-10-17,188,
2021-10-18,188,
2021-10-19,188,0
2021-10-20,188,
2021-10-21,188,
2021-10-22,188,
2021-10-23,188,
2021-10-24,188,
2021-10-25,188,
2021-10-26,188,
2021-10-27,188,
2021-10-28,188,
2021-10-29,188,
2021-10-30,188,0
2021-10-31,188,
2021-11-01,188,
2021-11-02,188,
2021-11-03,188,
2021-11-04,188,
2021-11-05,188,0.1
2021-11-06,188,0
2021-11-07,188,
2021-11-08,188,14
2021-11-09,188,1.5
2021-11-10,188,8.8
2021-11-11,188,3.1
2021-11-12,188,3.6
2021-11-13,188,
2021-11-14,188,
2021-11-15,188,
2021-11-16,188,
2021-11-17,188,
2021-11-18,188,
2021-11-19,188,
2021-11-20,188,
2021-11-21,188,
2021-11-22,188,1.1
2021-11-23,188,1.2
2021-11-24,188,
2021-11-25,188,
2021-11-26,188,
2021-11-27,188,
2021-11-28,188,
2021-11-29,188,
2021-11-30,188,33.6
2021-12-01,188,2
2021-12-02,188,
2021-12-03,188,
2021-12-04,188,0.6
2021-12-05,188,
2021-12-06,188,
2021-12-07,188,
2021-12-08,188,
2021-12-09,188,
2021-12-10,188,
2021-12-11,188,
2021-12-12,188,
2021-12-13,188,
2021-12-14,188,
2021-12-15,188,
2021-12-16,188,19.5
2021-12-17,188,3
2021-12-18,188,0.1
2021-12-19,188,0.2
2021-12-20,188,
2021-12-21,188,
2021-12-22,188,
2021-12-23,188,
2021-12-24,188,
2021-12-25,188,
2021-12-26,188,4.9
2021-12-27,188,
2021-12-28,188,
2021-12-29,188,
2021-12-30,188,
2021-12-31,188,
2022-01-01,188,
2022-01-02,188,
2022-01-03,188,
2022-01-04,188,
2022-01-05,188,12.3
2022-01-06,188,
2022-01-07,188,
2022-01-08,188,
2022-01-09,188,
2022-01-10,188,
2022-01-11,188,7.1
2022-01-12,188,
2022-01-13,188,1.7
2022-01-14,188,
2022-01-15,188,
2022-01-16,188,0
2022-01-17,188,
2022-01-18,188,
2022-01-19,188,0.2
2022-01-20,188,
2022-01-21,188,
2022-01-22,188,1.2
2022-01-23,188,5.7
2022-01-24,188,
2022-01-25,188,
2022-01-26,188,
2022-01-27,188,
2022-01-28,188,
2022-01-29,188,
2022-01-30,188,
2022-01-31,188,
2022-02-01,188,
2022-02-02,188,
2022-02-03,188,
2022-02-04,188,0
2022-02-05,188,3.5
2022-02-06,188,0.1
2022-02-07,188,
2022-02-08,188,
2022-02-09,188,11.9
2022-02-10,188,1.4
2022-02-11,188,
2022-02-12,188,
2022-02-13,188,
2022-02-14,188,
2022-02-15,188,
2022-02-16,188,0.4
2022-02-17,188,
2022-02-18,188,2.1
2022-02-19,188,14.6
2022-02-20,188,0.7
2022-02-21,188,
2022-02-22,188,
2022-02-23,188,
2022-02-24,188,
2022-02-25,188,
2022-02-26,188,
2022-02-27,188,
2022-02-28,188,
2022-03-01,188,0.9
2022-03-02,188,
2022-03-03,188,
2022-03-04,188,
2022-03-05,188,
2022-03-06,188,
2022-03-07,188,
2022-03-08,188,
2022-03-09,188,
2022-03-10,188,
2022-03-11,188,
2022-03-12,188,
2022-03-13,188,13.9
2022-03-14,188,0.1
2022-03-15,188,
2022-03-16,188,
2022-03-17,188,39.8
2022-03-18,188,43.4
2022-03-19,188,0
2022-03-20,188,
2022-03-21,188,19.1
2022-03-22,188,8.1
2022-03-23,188,0.7
2022-03-24,188,
2022-03-25,188,8.3
2022-03-26,188,26.7
2022-03-27,188,
2022-03-28,188,
2022-03-29,188,
2022-03-30,188,0
2022-03-31,188,
2022-04-01,188,
2022-04-02,188,
2022-04-03,188,
2022-04-04,188,
2022-04-05,188,
2022-04-06,188,
2022-04-07,188,
2022-04-08,188,
2022-04-09,188,
2022-04-10,188,
2022-04-11,188,2
2022-04-12,188,
2022-04-13,188,3
2022-04-14,188,11.2
2022-04-15,188,
2022-04-16,188,
2022-04-17,188,
2022-04-18,188,
2022-04-19,188,
2022-04-20,188,
2022-04-21,188,5.8
2022-04-22,188,
2022-04-23,188,
2022-04-24,188,
2022-04-25,188,21.4
2022-04-26,188,34.8
2022-04-27,188,
2022-04-28,188,
2022-04-29,188,33.1
2022-04-30,188,
2022-05-01,188,
2022-05-02,188,
2022-05-03,188,
2022-05-04,188,
2022-05-05,188,
2022-05-06,188,
2022-05-07,188,
2022-05-08,188,0
