강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서귀포
기간 : 20210901~20220831

날짜,지점,강수량(mm)
2021-09-01,189,16.7
2021-09-02,189,12.8
2021-09-03,189,87
2021-09-04,189,
2021-09-05,189,18.1
2021-09-06,189,1.5
2021-09-07,189,3.1
2021-09-08,189,
2021-09-09,189,
2021-09-10,189,11.5
2021-09-11,189,
2021-09-12,189,
2021-09-13,189,72.7
2021-09-14,189,219.7
2021-09-15,189,44.3
2021-09-16,189,66.2
2021-09-17,189,108.2
2021-09-18,189,
2021-09-19,189,
2021-09-20,189,
2021-09-21,189,26.3
2021-09-22,189,
2021-09-23,189,
2021-09-24,189,0
2021-09-25,189,
2021-09-26,189,
2021-09-27,189,
2021-09-28,189,
2021-09-29,189,0.4
2021-09-30,189,3.9
2021-10-01,189,
2021-10-02,189,
2021-10-03,189,
2021-10-04,189,
2021-10-05,189,
2021-10-06,189,
2021-10-07,189,
2021-10-08,189,
2021-10-09,189,3.6
2021-10-10,189,0.9
2021-10-11,189,0.2
2021-10-12,189,1.8
2021-10-13,189,0.2
2021-10-14,189,
2021-10-15,189,
2021-10-16,189,26.7
2021-10-17,189,
2021-10-18,189,
2021-10-19,189,
2021-10-20,189,
2021-10-21,189,
2021-10-22,189,
2021-10-23,189,
2021-10-24,189,
2021-10-25,189,
2021-10-26,189,
2021-10-27,189,
2021-10-28,189,
2021-10-29,189,
2021-10-30,189,0
2021-10-31,189,
2021-11-01,189,
2021-11-02,189,
2021-11-03,189,
2021-11-04,189,
2021-11-05,189,
2021-11-06,189,0
2021-11-07,189,
2021-11-08,189,10.6
2021-11-09,189,2.5
2021-11-10,189,3.1
2021-11-11,189,0.7
2021-11-12,189,0.7
2021-11-13,189,
2021-11-14,189,
2021-11-15,189,
2021-11-16,189,
2021-11-17,189,
2021-11-18,189,
2021-11-19,189,
2021-11-20,189,
2021-11-21,189,0
2021-11-22,189,0
2021-11-23,189,0
2021-11-24,189,
2021-11-25,189,
2021-11-26,189,
2021-11-27,189,
2021-11-28,189,
2021-11-29,189,0.7
2021-11-30,189,36.7
2021-12-01,189,0
2021-12-02,189,
2021-12-03,189,
2021-12-04,189,
2021-12-05,189,
2021-12-06,189,
2021-12-07,189,
2021-12-08,189,
2021-12-09,189,
2021-12-10,189,0
2021-12-11,189,
2021-12-12,189,
2021-12-13,189,
2021-12-14,189,
2021-12-15,189,0.3
2021-12-16,189,11.7
2021-12-17,189,1.4
2021-12-18,189,0
2021-12-19,189,0
2021-12-20,189,
2021-12-21,189,
2021-12-22,189,
2021-12-23,189,
2021-12-24,189,
2021-12-25,189,
2021-12-26,189,1
2021-12-27,189,0
2021-12-28,189,
2021-12-29,189,0.1
2021-12-30,189,0
2021-12-31,189,0
2022-01-01,189,
2022-01-02,189,
2022-01-03,189,
2022-01-04,189,
2022-01-05,189,21.6
2022-01-06,189,
2022-01-07,189,
2022-01-08,189,
2022-01-09,189,
2022-01-10,189,
2022-01-11,189,0.2
2022-01-12,189,
2022-01-13,189,2.1
2022-01-14,189,
2022-01-15,189,
2022-01-16,189,
2022-01-17,189,
2022-01-18,189,
2022-01-19,189,0.2
2022-01-20,189,
2022-01-21,189,
2022-01-22,189,2.7
2022-01-23,189,6.8
2022-01-24,189,0
2022-01-25,189,0.2
2022-01-26,189,
2022-01-27,189,
2022-01-28,189,
2022-01-29,189,
2022-01-30,189,
2022-01-31,189,
2022-02-01,189,0
2022-02-02,189,0
2022-02-03,189,
2022-02-04,189,
2022-02-05,189,0
2022-02-06,189,
2022-02-07,189,3.9
2022-02-08,189,
2022-02-09,189,5.2
2022-02-10,189,2.8
2022-02-11,189,
2022-02-12,189,
2022-02-13,189,0.2
2022-02-14,189,
2022-02-15,189,
2022-02-16,189,0
2022-02-17,189,
2022-02-18,189,2.8
2022-02-19,189,3.7
2022-02-20,189,0
2022-02-21,189,
2022-02-22,189,
2022-02-23,189,
2022-02-24,189,
2022-02-25,189,
2022-02-26,189,
2022-02-27,189,
2022-02-28,189,
