강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 고산
기간 : 20210901~20220831

날짜,지점,강수량(mm)
2021-09-01,185,14.8
2021-09-02,185,89.5
2021-09-03,185,14.2
2021-09-04,185,
2021-09-05,185,1.8
2021-09-06,185,2.6
2021-09-07,185,15.6
2021-09-08,185,
2021-09-09,185,
2021-09-10,185,15.8
2021-09-11,185,
2021-09-12,185,
2021-09-13,185,14.1
2021-09-14,185,59.3
2021-09-15,185,12.8
2021-09-16,185,28.9
2021-09-17,185,49.4
2021-09-18,185,0.2
2021-09-19,185,
2021-09-20,185,0
2021-09-21,185,13.6
2021-09-22,185,
2021-09-23,185,
2021-09-24,185,
2021-09-25,185,
2021-09-26,185,
2021-09-27,185,
2021-09-28,185,
2021-09-29,185,8.9
2021-09-30,185,6.5
2021-10-01,185,
2021-10-02,185,
2021-10-03,185,
2021-10-04,185,
2021-10-05,185,
2021-10-06,185,
2021-10-07,185,
2021-10-08,185,
2021-10-09,185,2.4
2021-10-10,185,10.7
2021-10-11,185,
2021-10-12,185,
2021-10-13,185,0
2021-10-14,185,
2021-10-15,185,
2021-10-16,185,4.7
2021-10-17,185,
2021-10-18,185,
2021-10-19,185,0.3
2021-10-20,185,
2021-10-21,185,
2021-10-22,185,0
2021-10-23,185,
2021-10-24,185,0
2021-10-25,185,
2021-10-26,185,
2021-10-27,185,
2021-10-28,185,
2021-10-29,185,
2021-10-30,185,1.7
2021-10-31,185,
2021-11-01,185,
2021-11-02,185,
2021-11-03,185,
2021-11-04,185,
2021-11-05,185,
2021-11-06,185,
2021-11-07,185,
2021-11-08,185,21.4
2021-11-09,185,1
2021-11-10,185,5.5
2021-11-11,185,1.3
2021-11-12,185,0.1
2021-11-13,185,
2021-11-14,185,
2021-11-15,185,
2021-11-16,185,
2021-11-17,185,
2021-11-18,185,
2021-11-19,185,
2021-11-20,185,
2021-11-21,185,0
2021-11-22,185,1.8
2021-11-23,185,0.1
2021-11-24,185,
2021-11-25,185,
2021-11-26,185,
2021-11-27,185,
2021-11-28,185,
2021-11-29,185,
2021-11-30,185,17.6
2021-12-01,185,0.3
2021-12-02,185,0.4
2021-12-03,185,0
2021-12-04,185,0.1
2021-12-05,185,
2021-12-06,185,
2021-12-07,185,
2021-12-08,185,
2021-12-09,185,0
2021-12-10,185,1.3
2021-12-11,185,
2021-12-12,185,0
2021-12-13,185,
2021-12-14,185,
2021-12-15,185,0.5
2021-12-16,185,13.7
2021-12-17,185,0.1
2021-12-18,185,0.6
2021-12-19,185,0.2
2021-12-20,185,
2021-12-21,185,
2021-12-22,185,
2021-12-23,185,
2021-12-24,185,
2021-12-25,185,0.1
2021-12-26,185,0.9
2021-12-27,185,0.1
2021-12-28,185,0
2021-12-29,185,0
2021-12-30,185,0
2021-12-31,185,0
2022-01-01,185,
2022-01-02,185,0
2022-01-03,185,
2022-01-04,185,
2022-01-05,185,17.4
2022-01-06,185,
2022-01-07,185,
2022-01-08,185,
2022-01-09,185,
2022-01-10,185,0
2022-01-11,185,1.6
2022-01-12,185,0
2022-01-13,185,2.8
2022-01-14,185,0
2022-01-15,185,0
2022-01-16,185,0.1
2022-01-17,185,
2022-01-18,185,
2022-01-19,185,0.4
2022-01-20,185,0
2022-01-21,185,
2022-01-22,185,2
2022-01-23,185,6.7
2022-01-24,185,0
2022-01-25,185,0.6
2022-01-26,185,
2022-01-27,185,
2022-01-28,185,
2022-01-29,185,
2022-01-30,185,
2022-01-31,185,
2022-02-01,185,0
2022-02-02,185,
2022-02-03,185,
2022-02-04,185,0
2022-02-05,185,0.1
2022-02-06,185,0
2022-02-07,185,0.5
2022-02-08,185,
2022-02-09,185,1.1
2022-02-10,185,1.5
2022-02-11,185,
2022-02-12,185,
2022-02-13,185,0
2022-02-14,185,
2022-02-15,185,
2022-02-16,185,0
2022-02-17,185,0
2022-02-18,185,0.1
2022-02-19,185,1.3
2022-02-20,185,0
2022-02-21,185,0
2022-02-22,185,0
2022-02-23,185,
2022-02-24,185,
2022-02-25,185,
2022-02-26,185,
2022-02-27,185,
2022-02-28,185,
2022-03-01,185,1
2022-03-02,185,
2022-03-03,185,0
2022-03-04,185,
2022-03-05,185,0
2022-03-06,185,
2022-03-07,185,
2022-03-08,185,
2022-03-09,185,
2022-03-10,185,
2022-03-11,185,0
2022-03-12,185,
2022-03-13,185,8.1
2022-03-14,185,
2022-03-15,185,
2022-03-16,185,
2022-03-17,185,31.3
2022-03-18,185,17.7
2022-03-19,185,0.4
2022-03-20,185,0
2022-03-21,185,15.5
2022-03-22,185,2
2022-03-23,185,0.1
2022-03-24,185,
2022-03-25,185,15.9
2022-03-26,185,8.6
2022-03-27,185,
2022-03-28,185,
2022-03-29,185,
2022-03-30,185,0
2022-03-31,185,0
2022-04-01,185,
2022-04-02,185,
2022-04-03,185,
2022-04-04,185,
2022-04-05,185,
2022-04-06,185,
2022-04-07,185,
2022-04-08,185,
2022-04-09,185,
2022-04-10,185,
2022-04-11,185,0.1
2022-04-12,185,0
2022-04-13,185,5.6
2022-04-14,185,5.8
2022-04-15,185,
2022-04-16,185,
2022-04-17,185,
2022-04-18,185,
2022-04-19,185,
2022-04-20,185,
2022-04-21,185,2.7
2022-04-22,185,0
2022-04-23,185,1.4
2022-04-24,185,
2022-04-25,185,8.6
2022-04-26,185,35.9
2022-04-27,185,
2022-04-28,185,
2022-04-29,185,17.6
2022-04-30,185,
2022-05-01,185,
2022-05-02,185,
2022-05-03,185,
2022-05-04,185,
2022-05-05,185,
2022-05-06,185,
2022-05-07,185,
2022-05-08,185,
2022-05-09,185,
2022-05-10,185,0.5
2022-05-11,185,0
2022-05-12,185,
2022-05-13,185,6.5
2022-05-14,185,
2022-05-15,185,
