,id,target
7,TEST_000007,65.60585841081165
27,TEST_000027,39.20126412212748
36,TEST_000036,58.36518580824041
42,TEST_000042,43.43974957041385
60,TEST_000060,38.17353346111516
92,TEST_000092,65.55377607509666
94,TEST_000094,41.73556721391967
178,TEST_000178,60.662680422079596
211,TEST_000211,44.900567136289716
221,TEST_000221,41.563432474074986
224,TEST_000224,35.19845240078002
232,TEST_000232,36.538655906958546
256,TEST_000256,62.01961289267602
325,TEST_000325,58.98792238950555
328,TEST_000328,39.42336352240668
329,TEST_000329,30.86520601877082
349,TEST_000349,38.72475963986438
366,TEST_000366,40.777261362064166
392,TEST_000392,36.624754052340805
401,TEST_000401,58.06227021407251
407,TEST_000407,37.406534871073205
438,TEST_000438,71.0613310639721
504,TEST_000504,39.56298405129954
581,TEST_000581,61.20847404429385
589,TEST_000589,40.20143743863597
598,TEST_000598,38.6071565493254
607,TEST_000607,57.634803834010775
685,TEST_000685,73.03540528077627
750,TEST_000750,38.268891403091395
792,TEST_000792,37.487734320238346
807,TEST_000807,57.08095258139706
810,TEST_000810,37.111424883083295
829,TEST_000829,32.19679769877438
885,TEST_000885,58.35975595506024
901,TEST_000901,38.05732801301534
933,TEST_000933,55.75222768467616
936,TEST_000936,39.20519425725501
948,TEST_000948,69.44570941430639
972,TEST_000972,38.288744155710006
979,TEST_000979,70.62308801600662
1007,TEST_001007,41.41235146777571
1053,TEST_001053,41.00002352712581
1136,TEST_001136,38.05356100292682
1178,TEST_001178,42.23659018673591
1218,TEST_001218,34.93644009607419
1256,TEST_001256,41.04372736342589
1265,TEST_001265,56.50798103135025
1271,TEST_001271,68.83990995234858
1274,TEST_001274,38.67034114129499
1325,TEST_001325,40.0769663331284
1368,TEST_001368,36.10300949241695
1372,TEST_001372,74.1565532872456
1455,TEST_001455,27.366288309327334
1470,TEST_001470,58.4747910652616
1475,TEST_001475,39.34072268693493
1477,TEST_001477,41.46402557117165
1480,TEST_001480,56.35565519296801
1497,TEST_001497,40.65178330265359
1498,TEST_001498,38.05541155841068
1526,TEST_001526,42.038169387393836
1538,TEST_001538,40.9790053216907
1576,TEST_001576,31.2954951895498
1644,TEST_001644,38.50411363342631
1655,TEST_001655,39.37434789090194
1657,TEST_001657,61.23805955600373
1694,TEST_001694,64.70936841499434
1723,TEST_001723,39.96888036963767
1784,TEST_001784,27.665994322375578
1790,TEST_001790,39.114588402460384
1800,TEST_001800,61.503632094964985
1849,TEST_001849,66.83922492456719
1897,TEST_001897,60.149211023181834
1917,TEST_001917,33.52887693365715
1928,TEST_001928,30.801034725478146
1942,TEST_001942,35.64672299866195
1949,TEST_001949,38.25855202775623
1967,TEST_001967,71.73908619135244
2029,TEST_002029,38.27506878605035
2050,TEST_002050,41.04123504097815
2083,TEST_002083,60.32354619980953
2101,TEST_002101,58.69462128944501
2144,TEST_002144,40.676850618768945
2161,TEST_002161,58.648241590768556
2173,TEST_002173,36.12688117653621
2194,TEST_002194,68.71791062822894
2213,TEST_002213,41.5546141512672
2229,TEST_002229,41.89721217077191
2261,TEST_002261,61.4260051604464
2267,TEST_002267,37.596273022623286
2301,TEST_002301,42.95904294297138
2333,TEST_002333,65.18342686655686
2338,TEST_002338,72.36572850462947
2372,TEST_002372,61.00172013158266
2385,TEST_002385,42.08419290125651
2409,TEST_002409,44.44743872482155
2524,TEST_002524,41.06079967800627
2569,TEST_002569,58.42697107741001
2595,TEST_002595,57.2357652917288
2613,TEST_002613,68.82935934624896
2623,TEST_002623,42.847479286535325
2642,TEST_002642,31.952676002446864
2648,TEST_002648,61.49608189390188
2660,TEST_002660,71.58660991336643
2662,TEST_002662,32.41510753855425
2687,TEST_002687,63.079583257306965
2695,TEST_002695,69.1248518143757
2697,TEST_002697,71.38716759795354
2703,TEST_002703,43.69282856479708
2731,TEST_002731,39.00801467005894
2739,TEST_002739,41.28484347892046
2746,TEST_002746,39.41588126445306
2774,TEST_002774,41.788373086322636
2787,TEST_002787,42.21320691932903
2801,TEST_002801,54.398485235638056
2847,TEST_002847,31.288162787072228
2848,TEST_002848,31.014725757140585
2868,TEST_002868,31.161765720875838
2873,TEST_002873,42.71981131258534
2899,TEST_002899,42.03158358871228
2938,TEST_002938,36.98944980178312
2956,TEST_002956,61.20017723195582
2985,TEST_002985,36.78370491080714
3008,TEST_003008,33.8828259852966
3053,TEST_003053,43.65370937143087
3077,TEST_003077,58.015577787125984
3083,TEST_003083,42.77287009797987
3111,TEST_003111,40.3587704852651
3169,TEST_003169,40.27389240990297
3174,TEST_003174,59.998610341707064
3190,TEST_003190,36.20992835191116
3200,TEST_003200,71.60537089485967
3201,TEST_003201,39.246704026865366
3230,TEST_003230,31.014725757140585
3254,TEST_003254,66.12674716568871
3257,TEST_003257,38.18205042622871
3288,TEST_003288,42.305705207556365
3303,TEST_003303,38.270127736958294
3332,TEST_003332,39.28726452169232
3349,TEST_003349,72.15668770456074
3391,TEST_003391,71.47733783211358
3415,TEST_003415,69.10849225747444
3428,TEST_003428,41.5546141512672
3434,TEST_003434,72.82997346788885
3441,TEST_003441,42.13110280962738
3446,TEST_003446,52.8058051278893
3448,TEST_003448,33.97705865666723
3455,TEST_003455,32.00484345139443
3466,TEST_003466,41.563432474074986
3478,TEST_003478,38.61593149115727
3507,TEST_003507,63.97115446460752
3511,TEST_003511,32.960731460624565
3515,TEST_003515,38.28558784939621
3563,TEST_003563,36.4981551915329
3568,TEST_003568,38.72515097865056
3581,TEST_003581,42.12877034851064
3603,TEST_003603,37.79073360319028
3647,TEST_003647,60.44311448500289
3653,TEST_003653,36.98788213403805
3681,TEST_003681,37.48403877494711
3713,TEST_003713,73.69958924107276
3760,TEST_003760,43.73796043655353
3762,TEST_003762,65.75493533688922
3765,TEST_003765,31.051702245060632
3783,TEST_003783,40.17170007148162
3785,TEST_003785,41.451041344379746
3822,TEST_003822,41.482263445055985
3829,TEST_003829,46.30039460522416
3838,TEST_003838,61.4618741642203
3842,TEST_003842,38.00359321513311
3843,TEST_003843,38.95633380631076
3857,TEST_003857,66.79146767729421
3864,TEST_003864,39.58982579670115
3870,TEST_003870,58.36116466491288
3920,TEST_003920,41.73556721391967
3925,TEST_003925,58.36518580824041
3958,TEST_003958,40.0592474695331
3986,TEST_003986,66.15733530062467
3989,TEST_003989,34.77661845185419
4047,TEST_004047,41.28305257648293
4125,TEST_004125,61.42300159695494
4127,TEST_004127,74.34021653942835
4139,TEST_004139,38.4006915285384
4154,TEST_004154,62.28032983475915
4159,TEST_004159,39.20519425725501
4176,TEST_004176,41.608741798029506
4196,TEST_004196,38.00359321513311
4279,TEST_004279,42.25680749570169
4304,TEST_004304,71.00449242685826
4310,TEST_004310,69.1248518143757
4363,TEST_004363,36.72788496059559
4384,TEST_004384,42.38582143811961
4429,TEST_004429,42.865209176926676
4446,TEST_004446,58.344988592800384
4479,TEST_004479,31.778322102802935
4527,TEST_004527,38.884138731780006
4540,TEST_004540,71.97376980539605
