,id,target
17,TEST_000017,22.82064510127152
24,TEST_000024,30.40704047049839
33,TEST_000033,35.66586571761561
106,TEST_000106,21.879253063040757
113,TEST_000113,20.693336107189534
122,TEST_000122,20.637183674087318
155,TEST_000155,21.378468885304134
156,TEST_000156,21.486530625670447
202,TEST_000202,30.119654673291624
257,TEST_000257,20.605527491226823
381,TEST_000381,32.7239783252794
393,TEST_000393,27.20732730714678
404,TEST_000404,19.162911945607423
431,TEST_000431,31.539989269791164
448,TEST_000448,24.174781450830086
489,TEST_000489,24.5405276362991
522,TEST_000522,28.66547209541313
586,TEST_000586,26.256807772836627
587,TEST_000587,36.72235851193602
604,TEST_000604,32.129380999418075
627,TEST_000627,28.579575469444475
655,TEST_000655,32.13961723632025
658,TEST_000658,28.613876642483092
689,TEST_000689,29.424861666945628
701,TEST_000701,23.570699879986886
722,TEST_000722,24.454885330092225
743,TEST_000743,27.180009045690344
756,TEST_000756,24.548007208692567
763,TEST_000763,19.36877672802894
766,TEST_000766,20.47683040724779
806,TEST_000806,17.610890176734785
808,TEST_000808,22.723605275466234
818,TEST_000818,21.278642491159655
907,TEST_000907,24.82722025007057
912,TEST_000912,20.034459741563563
919,TEST_000919,19.35360041545025
938,TEST_000938,31.539989269791164
992,TEST_000992,35.15426989387889
1032,TEST_001032,21.842650387623692
1070,TEST_001070,21.76764586034278
1081,TEST_001081,22.113565175796897
1110,TEST_001110,25.61043492297433
1123,TEST_001123,22.888751132847457
1163,TEST_001163,29.448948960372903
1196,TEST_001196,25.135398435197477
1225,TEST_001225,18.705469764870646
1238,TEST_001238,32.13961723632025
1239,TEST_001239,19.90977121006314
1280,TEST_001280,20.010177276765862
1313,TEST_001313,20.86130002008908
1344,TEST_001344,20.280236082877483
1350,TEST_001350,19.765782471510157
1412,TEST_001412,20.917814772133138
1421,TEST_001421,23.943501429680342
1467,TEST_001467,26.21605511538285
1530,TEST_001530,20.0808527042666
1560,TEST_001560,25.006430095016608
1607,TEST_001607,23.27726435677757
1643,TEST_001643,33.49211404667178
1704,TEST_001704,20.37521795803287
1718,TEST_001718,20.961927234874707
1731,TEST_001731,31.296910924077896
1739,TEST_001739,20.683491952229016
1766,TEST_001766,21.652860761082056
1792,TEST_001792,26.374543467969787
1804,TEST_001804,27.23213152804751
1824,TEST_001824,24.611195508648976
1840,TEST_001840,20.817391149933854
1935,TEST_001935,25.166361439342936
1964,TEST_001964,19.431019195459612
1965,TEST_001965,22.163686682426928
1983,TEST_001983,21.507424710081565
2023,TEST_002023,17.926000438148495
2027,TEST_002027,33.10877305147901
2053,TEST_002053,22.46739909810486
2084,TEST_002084,18.143288982220675
2127,TEST_002127,23.18907110694984
2138,TEST_002138,26.17505034280166
2275,TEST_002275,33.665690812928055
2322,TEST_002322,19.89199284361759
2342,TEST_002342,37.280431961098756
2351,TEST_002351,25.440052656881843
2365,TEST_002365,21.378468885304134
2399,TEST_002399,26.66196182062929
2419,TEST_002419,20.290823631825972
