,id,target
79,TEST_000079,21.420086727132244
161,TEST_000161,43.10835106176241
550,TEST_000550,38.817671262001355
688,TEST_000688,29.86871026317263
698,TEST_000698,47.393321116915004
843,TEST_000843,37.77068469310305
985,TEST_000985,32.33476304154747
1031,TEST_001031,37.77068469310305
1134,TEST_001134,48.77972962821399
1186,TEST_001186,45.1149274336748
1269,TEST_001269,31.799787365136304
1552,TEST_001552,49.90231055092497
1640,TEST_001640,18.14115903350245
2010,TEST_002010,30.959816364898476
2021,TEST_002021,51.220435524721836
2201,TEST_002201,30.236594728208935
2408,TEST_002408,34.484668753409395
2630,TEST_002630,52.68325007552121
2705,TEST_002705,45.02405257120465
2820,TEST_002820,44.05738661972918
3161,TEST_003161,44.188141192693784
3226,TEST_003226,48.13841685906255
3283,TEST_003283,32.72745629607081
3298,TEST_003298,34.24254088926842
3513,TEST_003513,30.57976325177844
3599,TEST_003599,37.48143697415101
3661,TEST_003661,52.49545478623368
3818,TEST_003818,30.60754185415317
4172,TEST_004172,30.25487550431158
4495,TEST_004495,32.59306832259201
4572,TEST_004572,54.33187921058797
4575,TEST_004575,46.36029938172448
5492,TEST_005492,51.861212078879525
6174,TEST_006174,35.81069255113104
6623,TEST_006623,49.90231055092497
6659,TEST_006659,37.48143697415101
6753,TEST_006753,21.479601888722833
6769,TEST_006769,32.686655631214514
7408,TEST_007408,31.668991427103396
7639,TEST_007639,49.54040724888056
7685,TEST_007685,33.27655646716383
7971,TEST_007971,44.188141192693784
8313,TEST_008313,29.4216411049797
8371,TEST_008371,50.25508585458554
8862,TEST_008862,22.153683884655294
9046,TEST_009046,51.19015826235162
9508,TEST_009508,51.78369776710564
9560,TEST_009560,44.07880519894262
9572,TEST_009572,23.059215768188604
9994,TEST_009994,48.13841685906255
10044,TEST_010044,51.8542666726077
10176,TEST_010176,40.78862594780028
10239,TEST_010239,37.68760826610715
10422,TEST_010422,32.72745629607081
10575,TEST_010575,34.11682548935655
10975,TEST_010975,11.434402645465882
10978,TEST_010978,19.25870434674514
11095,TEST_011095,53.67698559868493
11201,TEST_011201,45.11260854244078
11239,TEST_011239,37.85872197113448
11368,TEST_011368,43.43723638301179
11767,TEST_011767,38.35487647803253
11831,TEST_011831,40.089578746923046
12551,TEST_012551,12.157227327242236
13054,TEST_013054,32.10994500935267
13233,TEST_013233,32.859982055039424
13564,TEST_013564,53.9886402243883
13791,TEST_013791,31.799787365136304
14093,TEST_014093,35.12542465181095
14572,TEST_014572,40.958887797031394
14607,TEST_014607,33.32128743130175
14699,TEST_014699,19.918817911533214
14747,TEST_014747,21.72189124957557
14748,TEST_014748,33.21326230847068
14779,TEST_014779,40.61805368686026
15042,TEST_015042,53.73339149345233
15735,TEST_015735,53.07641541807044
15908,TEST_015908,53.15224321189501
15978,TEST_015978,52.76878709825601
16081,TEST_016081,49.26695067810825
16524,TEST_016524,24.15991435054121
16597,TEST_016597,31.34294125289191
16912,TEST_016912,33.615795207507404
16913,TEST_016913,31.668991427103396
16970,TEST_016970,31.4831954784688
17520,TEST_017520,32.887955803895714
18188,TEST_018188,18.055489557999106
18249,TEST_018249,33.27655646716383
18260,TEST_018260,30.44703083439518
18612,TEST_018612,35.30748882480962
19166,TEST_019166,40.78931473631674
19197,TEST_019197,20.18478375444678
19867,TEST_019867,38.48158175401775
19964,TEST_019964,24.15991435054121
20097,TEST_020097,51.085023946332655
20150,TEST_020150,23.399479534719827
20376,TEST_020376,19.609051185730078
20382,TEST_020382,40.78931473631674
20775,TEST_020775,49.68129311905095
20788,TEST_020788,35.11240373736788
21471,TEST_021471,52.68325007552121
21659,TEST_021659,19.894508861836417
21715,TEST_021715,52.37892630372215
21939,TEST_021939,39.72701302015968
21951,TEST_021951,36.18953562600346
22483,TEST_022483,33.38198271404337
22558,TEST_022558,56.413855632457995
22615,TEST_022615,34.7081105739801
22654,TEST_022654,51.30324398285153
22766,TEST_022766,45.04897084359969
23072,TEST_023072,22.96290610393516
23136,TEST_023136,17.7453141316991
23188,TEST_023188,46.32649833696233
23263,TEST_023263,19.692031410445807
23630,TEST_023630,35.81069255113104
23850,TEST_023850,50.4350224176498
23897,TEST_023897,54.10539301213264
24026,TEST_024026,44.188141192693784
25401,TEST_025401,52.37892630372215
25871,TEST_025871,49.9768772417334
26163,TEST_026163,29.217290982383858
26618,TEST_026618,49.87855919381816
26711,TEST_026711,33.21326230847068
26734,TEST_026734,21.74036493414123
26918,TEST_026918,53.45938967259447
27164,TEST_027164,43.43723638301179
27339,TEST_027339,35.804185892891184
27503,TEST_027503,51.779066832908235
28252,TEST_028252,33.637162987925656
28263,TEST_028263,32.686655631214514
28465,TEST_028465,38.80916701750263
28621,TEST_028621,32.5257357331825
28724,TEST_028724,34.7081105739801
29170,TEST_029170,45.11260854244078
29230,TEST_029230,31.42142556066649
30181,TEST_030181,20.216637633896998
30238,TEST_030238,19.62889335129592
30508,TEST_030508,54.38953338031667
31274,TEST_031274,37.69849288067303
31445,TEST_031445,35.5337595574027
31718,TEST_031718,22.670027230952456
31737,TEST_031737,22.35068364578474
31765,TEST_031765,44.737442683365295
31829,TEST_031829,40.295224128610414
31966,TEST_031966,46.924113638041966
31974,TEST_031974,48.8410471865773
32185,TEST_032185,38.817671262001355
32252,TEST_032252,40.089578746923046
32345,TEST_032345,33.27655646716383
32495,TEST_032495,40.958887797031394
32678,TEST_032678,45.60556847532932
32916,TEST_032916,21.72189124957557
33347,TEST_033347,47.524214939291504
33466,TEST_033466,38.95563346639667
33530,TEST_033530,18.489142416790337
33556,TEST_033556,18.055489557999106
33571,TEST_033571,50.9812567063561
34309,TEST_034309,18.489142416790337
34394,TEST_034394,35.16567211310784
34833,TEST_034833,33.615795207507404
34884,TEST_034884,36.633130384281046
34982,TEST_034982,49.659645633602466
35258,TEST_035258,18.80532321576503
35268,TEST_035268,44.30020700991567
35626,TEST_035626,33.27487962259269
35643,TEST_035643,49.68129311905095
35663,TEST_035663,34.82562100706527
35725,TEST_035725,56.413855632457995
35860,TEST_035860,23.059215768188604
35902,TEST_035902,33.637162987925656
36094,TEST_036094,51.07830009239614
36260,TEST_036260,46.219645378015805
36398,TEST_036398,22.85821602440407
36414,TEST_036414,36.18953562600346
36882,TEST_036882,41.06310968082507
37542,TEST_037542,51.220435524721836
37636,TEST_037636,38.95563346639667
37705,TEST_037705,39.184698930797865
37778,TEST_037778,34.509582284310504
37801,TEST_037801,23.399479534719827
37884,TEST_037884,22.412595048650797
37929,TEST_037929,46.32649833696233
38436,TEST_038436,47.393321116915004
38836,TEST_038836,46.74875425998516
38890,TEST_038890,30.236594728208935
38902,TEST_038902,45.0957023513386
39067,TEST_039067,47.393321116915004
39252,TEST_039252,50.25508585458554
39542,TEST_039542,40.089578746923046
39621,TEST_039621,38.235520262457875
39866,TEST_039866,47.920484816869184
39886,TEST_039886,21.80566965829714
40010,TEST_040010,30.226051105727024
40035,TEST_040035,23.479109121074327
40106,TEST_040106,20.509491267441145
40334,TEST_040334,12.790271975866553
40355,TEST_040355,40.75057546443168
41088,TEST_041088,34.012796337897974
41584,TEST_041584,38.534530045892566
41974,TEST_041974,16.332198566748396
42018,TEST_042018,41.29068785842677
42103,TEST_042103,35.69776724165741
42208,TEST_042208,19.950988829358966
42226,TEST_042226,22.153683884655294
42403,TEST_042403,47.524214939291504
42615,TEST_042615,30.236594728208935
42732,TEST_042732,43.12727268313463
43375,TEST_043375,40.28306052553255
43683,TEST_043683,41.66213475865524
43711,TEST_043711,36.179893827436196
43982,TEST_043982,19.894508861836417
