,id,target
22,TEST_000022,48.93717577387925
523,TEST_000523,41.3999061959818
610,TEST_000610,42.95088837821738
847,TEST_000847,38.412380306748034
986,TEST_000986,42.32904244338975
1200,TEST_001200,36.73499995039014
1231,TEST_001231,36.396921499481515
1309,TEST_001309,40.749789303787075
1548,TEST_001548,41.045317685282654
1646,TEST_001646,38.78617475761142
2074,TEST_002074,39.980925287186714
2379,TEST_002379,33.26204545454546
2450,TEST_002450,39.76942265214166
2732,TEST_002732,40.593075368441156
3098,TEST_003098,44.75797114211897
3405,TEST_003405,38.36535285225186
4029,TEST_004029,38.598142939556816
4220,TEST_004220,40.20419972029663
4659,TEST_004659,41.26563933513388
5116,TEST_005116,37.76087231991474
5130,TEST_005130,39.800989152666425
5605,TEST_005605,41.26133265481744
5614,TEST_005614,41.25278060661072
5883,TEST_005883,41.96843938375895
5903,TEST_005903,43.922938468811246
6331,TEST_006331,46.27964149850837
6584,TEST_006584,39.83203782767273
7320,TEST_007320,41.36083792015932
7346,TEST_007346,44.86038874351582
7828,TEST_007828,41.67229472108763
7878,TEST_007878,36.86334565955597
7947,TEST_007947,40.92993634364459
8171,TEST_008171,34.667320270872295
8241,TEST_008241,39.55540336859482
8251,TEST_008251,36.86334565955597
8253,TEST_008253,34.37188379622462
8396,TEST_008396,37.89911076884168
8654,TEST_008654,40.92399016874095
9634,TEST_009634,37.48800885987874
9787,TEST_009787,40.21033975529627
9842,TEST_009842,38.974494275140735
9924,TEST_009924,41.00883997003888
10095,TEST_010095,40.40515121422572
10276,TEST_010276,44.86038874351582
10490,TEST_010490,39.96604827600495
11139,TEST_011139,37.806951640824565
11153,TEST_011153,36.81191229666075
11775,TEST_011775,42.54253317503866
12030,TEST_012030,38.783814907289795
12110,TEST_012110,39.91241880683549
12300,TEST_012300,40.96010986729906
12940,TEST_012940,39.34797043320926
13621,TEST_013621,36.53172009339986
13699,TEST_013699,46.53846016976393
13898,TEST_013898,41.00605782284207
14218,TEST_014218,41.27686866814956
14262,TEST_014262,40.019261717943216
14428,TEST_014428,37.0923052482111
14517,TEST_014517,40.419826064934405
15048,TEST_015048,42.13807790201148
15139,TEST_015139,41.67645899725439
15699,TEST_015699,37.66532510715385
15731,TEST_015731,41.24152579026282
16210,TEST_016210,41.297503832305964
16550,TEST_016550,36.045106158559804
16595,TEST_016595,38.412380306748034
16730,TEST_016730,33.69747424354971
17191,TEST_017191,40.69678683104278
17553,TEST_017553,39.65443949117786
19027,TEST_019027,40.26102055243397
19132,TEST_019132,35.39785994730442
19342,TEST_019342,35.30909564997446
19776,TEST_019776,37.73381815915362
19935,TEST_019935,37.16100197817824
20057,TEST_020057,36.66317550737349
20117,TEST_020117,39.05582793322658
20383,TEST_020383,40.05975602251966
21031,TEST_021031,39.273583650110076
21067,TEST_021067,37.65027741810558
21213,TEST_021213,40.019261717943216
21352,TEST_021352,40.019261717943216
21422,TEST_021422,41.09947901742758
21449,TEST_021449,38.023055282663144
21700,TEST_021700,37.24142013838271
21940,TEST_021940,40.36218790486677
22054,TEST_022054,36.73499995039014
22243,TEST_022243,37.24142013838271
22369,TEST_022369,37.48856502828628
22370,TEST_022370,40.53581352526753
22468,TEST_022468,41.079641288708466
23149,TEST_023149,38.55254592083854
23160,TEST_023160,42.85002205381599
23280,TEST_023280,35.39785994730442
24203,TEST_024203,40.40515121422572
24705,TEST_024705,40.585534788661676
25198,TEST_025198,37.06200220110818
25251,TEST_025251,41.99650768571495
25474,TEST_025474,41.30090265944699
26256,TEST_026256,37.62080794172983
26267,TEST_026267,41.99671227250056
26300,TEST_026300,37.765690713433706
27001,TEST_027001,45.37538744588745
27250,TEST_027250,37.98687239556455
27587,TEST_027587,41.26133265481744
27909,TEST_027909,39.62203403244375
28332,TEST_028332,40.59483197809418
28583,TEST_028583,37.62080794172983
28784,TEST_028784,40.141367059261036
29028,TEST_029028,41.67645899725439
29308,TEST_029308,40.593075368441156
29407,TEST_029407,40.36218790486677
29593,TEST_029593,34.669584535010415
29707,TEST_029707,35.71584020590287
29981,TEST_029981,37.66532510715385
30044,TEST_030044,36.868275051980824
30117,TEST_030117,42.17535552990246
30558,TEST_030558,38.6964232266682
30877,TEST_030877,40.05975602251966
31014,TEST_031014,39.24286135667132
31131,TEST_031131,41.00883997003888
31177,TEST_031177,40.98841219354778
31376,TEST_031376,37.190171086950244
31399,TEST_031399,44.784541800519754
31526,TEST_031526,43.248517453113436
31646,TEST_031646,36.96920287267668
31875,TEST_031875,39.193503019430715
32294,TEST_032294,43.93897214062431
32321,TEST_032321,41.27686866814956
32567,TEST_032567,42.243780255251956
32734,TEST_032734,40.28736884854483
33081,TEST_033081,36.31167759541195
33413,TEST_033413,42.67123706848706
33457,TEST_033457,36.467917917684275
33478,TEST_033478,41.99671227250056
33744,TEST_033744,40.89062974860203
33776,TEST_033776,38.1261183090912
34308,TEST_034308,39.23798213119293
34311,TEST_034311,40.34226858722882
34641,TEST_034641,37.806951640824565
34739,TEST_034739,41.09947901742758
34770,TEST_034770,39.980925287186714
35013,TEST_035013,43.553900723882094
35166,TEST_035166,36.964041780582725
35437,TEST_035437,37.806951640824565
36087,TEST_036087,40.15800513506293
36355,TEST_036355,40.971714136556244
