,id,target
45,TEST_000045,25.17839322395943
98,TEST_000098,18.272549212214425
116,TEST_000116,18.934559187681472
167,TEST_000167,32.28499556166016
197,TEST_000197,40.89023146555542
245,TEST_000245,19.452138078422607
277,TEST_000277,41.1503474757729
309,TEST_000309,20.688330616319316
335,TEST_000335,39.47366859865925
575,TEST_000575,34.404979284597154
577,TEST_000577,33.05057295035721
642,TEST_000642,32.28499556166016
1045,TEST_001045,18.0497604388431
1048,TEST_001048,29.275419020065442
1082,TEST_001082,25.626370941771416
1193,TEST_001193,35.15098215993399
1558,TEST_001558,25.453999658984113
1734,TEST_001734,19.87808108368302
1761,TEST_001761,25.24607952914956
1821,TEST_001821,23.40389263599997
2060,TEST_002060,32.622161535172225
2155,TEST_002155,25.626370941771416
2353,TEST_002353,39.94954175108298
2437,TEST_002437,28.694432751023037
2510,TEST_002510,26.779595213102006
2558,TEST_002558,41.09673814165093
2838,TEST_002838,18.966219662222148
2892,TEST_002892,32.622161535172225
2986,TEST_002986,18.585095842867343
3032,TEST_003032,31.95649470922621
3041,TEST_003041,37.48924536684336
3085,TEST_003085,31.552721798643912
3110,TEST_003110,35.797661760629474
3267,TEST_003267,38.12925030581478
3382,TEST_003382,31.329503326861115
3521,TEST_003521,37.98182493376886
4023,TEST_004023,40.003477182509776
4084,TEST_004084,31.920688461697235
4179,TEST_004179,19.266748494277603
4281,TEST_004281,31.267927294925908
4328,TEST_004328,35.57661263486246
4413,TEST_004413,21.163679891787446
4506,TEST_004506,22.795446397297564
4791,TEST_004791,33.53411325419399
4801,TEST_004801,21.81102157885528
4827,TEST_004827,34.89315309483956
4876,TEST_004876,33.586684586707385
4928,TEST_004928,38.046127863322184
4948,TEST_004948,21.40248021565971
5107,TEST_005107,37.6593314822434
5245,TEST_005245,18.431300806322078
5344,TEST_005344,24.648113974983175
5372,TEST_005372,38.20391457076777
5530,TEST_005530,36.74542315921256
5553,TEST_005553,23.54516431469522
5840,TEST_005840,32.175325320693325
5892,TEST_005892,31.73398035443722
5904,TEST_005904,31.08767621600223
5924,TEST_005924,40.20320777083324
6116,TEST_006116,26.36100675556901
6139,TEST_006139,31.402414262782337
6200,TEST_006200,30.56148921148213
6204,TEST_006204,39.63326305243592
6248,TEST_006248,39.5444646201667
6410,TEST_006410,26.315189432201834
6457,TEST_006457,32.41312710303989
6529,TEST_006529,32.4999136164097
6578,TEST_006578,38.89126099999484
6580,TEST_006580,36.78854482879346
6650,TEST_006650,31.994572214786935
6945,TEST_006945,43.44798072023531
6993,TEST_006993,18.656930876847156
7003,TEST_007003,34.40303367034112
7061,TEST_007061,19.63615820994041
7253,TEST_007253,43.73300431373427
7305,TEST_007305,31.430288726139807
7404,TEST_007404,19.131957668837202
7421,TEST_007421,30.916065301479048
7442,TEST_007442,44.73691732410063
7445,TEST_007445,24.39228682629632
7780,TEST_007780,22.901033405190766
7854,TEST_007854,33.423585735731514
7941,TEST_007941,26.315189432201834
8047,TEST_008047,33.35420827030712
8072,TEST_008072,36.51223744768008
8448,TEST_008448,37.03893248609997
8490,TEST_008490,32.575108235920986
8551,TEST_008551,21.144731310054052
8773,TEST_008773,39.65969516955272
8814,TEST_008814,17.30552304767171
8837,TEST_008837,24.427586402521047
8882,TEST_008882,32.56316892447706
8900,TEST_008900,22.77677320917181
9025,TEST_009025,34.27986499611498
9069,TEST_009069,39.47366859865925
9094,TEST_009094,24.913896266751486
