,id,target
184,TEST_000184,30.529461259506753
389,TEST_000389,19.874747459390527
447,TEST_000447,9.52814748241245
662,TEST_000662,13.048945894976164
732,TEST_000732,34.88282780326686
821,TEST_000821,20.153505724421425
839,TEST_000839,14.672701120971436
1018,TEST_001018,30.894870408820825
1090,TEST_001090,33.73617360096318
1140,TEST_001140,34.1549797216821
1264,TEST_001264,33.03251530259242
1666,TEST_001666,34.955922288279694
1950,TEST_001950,22.34522074363895
2009,TEST_002009,41.810100664428006
2081,TEST_002081,38.80314952637159
2297,TEST_002297,19.51412178415352
2426,TEST_002426,24.569573668692524
2871,TEST_002871,31.654540292678888
3143,TEST_003143,18.48092600235909
3399,TEST_003399,14.927099254901892
3916,TEST_003916,20.717476820096586
3983,TEST_003983,9.235544347918943
4344,TEST_004344,33.14499721557889
4349,TEST_004349,15.035728773807612
4399,TEST_004399,32.11559453459222
4693,TEST_004693,21.191164904648968
4779,TEST_004779,29.436216124484314
4935,TEST_004935,21.169505781852028
5217,TEST_005217,43.5852708970646
5306,TEST_005306,19.302123528839964
5780,TEST_005780,35.381120293104225
5860,TEST_005860,45.79757122061937
6148,TEST_006148,34.23923983391279
6289,TEST_006289,19.122768815813696
6342,TEST_006342,30.314618302282867
7113,TEST_007113,11.553394787975938
7207,TEST_007207,29.773830590240586
7966,TEST_007966,30.41817595852829
7999,TEST_007999,38.30842434688415
8255,TEST_008255,31.07479073293121
8556,TEST_008556,15.92618152851287
8613,TEST_008613,29.05405106600936
8634,TEST_008634,12.07703276096486
8739,TEST_008739,28.230594413003313
9261,TEST_009261,9.52814748241245
9840,TEST_009840,29.656886806707302
10215,TEST_010215,44.63336520999208
11586,TEST_011586,21.327023933538406
11681,TEST_011681,12.447958045742464
11940,TEST_011940,32.72367887179365
12422,TEST_012422,18.588761751253724
12445,TEST_012445,27.619786356130312
12622,TEST_012622,41.18656866987119
12822,TEST_012822,46.63759501481922
12962,TEST_012962,28.137800347707817
13005,TEST_013005,31.242229798942294
13193,TEST_013193,42.012176878564986
13266,TEST_013266,43.9298668540335
13476,TEST_013476,21.327023933538406
13925,TEST_013925,30.721488330128345
14050,TEST_014050,33.94798833949536
14098,TEST_014098,32.538523690190786
14110,TEST_014110,39.32692301447516
14499,TEST_014499,34.40356211261074
