,id,target
423,TEST_000423,20.31434329933938
452,TEST_000452,26.491710830822598
924,TEST_000924,22.844557208232366
1404,TEST_001404,23.05401120709454
1459,TEST_001459,23.435275963167047
1566,TEST_001566,23.790050988449252
1757,TEST_001757,23.617270828181105
1878,TEST_001878,31.12634371824428
2208,TEST_002208,19.994139471599173
2250,TEST_002250,20.161083411655753
2513,TEST_002513,19.397383934893305
3309,TEST_003309,24.144330499361644
3461,TEST_003461,21.48430136116368
3763,TEST_003763,27.319250235947326
4161,TEST_004161,23.200724899187776
4236,TEST_004236,23.48150596354772
4254,TEST_004254,21.220426758500945
4287,TEST_004287,28.106808733304412
4329,TEST_004329,23.200724899187776
4499,TEST_004499,21.270183594639796
4775,TEST_004775,21.220426758500945
5237,TEST_005237,24.877657603063714
5552,TEST_005552,23.669028434397557
6051,TEST_006051,19.885911226654365
6288,TEST_006288,22.568500356700028
6299,TEST_006299,26.977698836351333
7129,TEST_007129,24.318737025021687
7645,TEST_007645,22.73025001002774
7665,TEST_007665,18.154913812809824
8017,TEST_008017,25.711488235881042
8125,TEST_008125,25.775570045781787
8186,TEST_008186,21.78169245580766
8247,TEST_008247,25.73890919379038
8266,TEST_008266,24.494904923327255
8445,TEST_008445,28.416674797686824
8648,TEST_008648,26.977698836351333
8724,TEST_008724,23.116919684990343
9531,TEST_009531,25.823361530583963
9979,TEST_009979,19.99150294428339
10047,TEST_010047,17.047225095378344
10069,TEST_010069,30.402620724088155
10247,TEST_010247,23.13759365904756
10358,TEST_010358,27.598381387851063
10557,TEST_010557,28.72451428244892
10720,TEST_010720,22.882805181451513
10991,TEST_010991,21.37039396729274
11152,TEST_011152,25.354868344149963
11200,TEST_011200,25.724260127049178
11335,TEST_011335,27.08118450591313
11513,TEST_011513,21.378777089589935
11601,TEST_011601,20.66615641459538
12202,TEST_012202,22.965521898090337
12313,TEST_012313,26.736455675197675
12650,TEST_012650,24.318737025021687
12798,TEST_012798,26.770232182164
12803,TEST_012803,29.622364357864367
12987,TEST_012987,28.69747658274089
13217,TEST_013217,25.823361530583963
13345,TEST_013345,26.02925317144898
13401,TEST_013401,25.886073606412282
13616,TEST_013616,30.016079694574685
14215,TEST_014215,25.465457057725157
14233,TEST_014233,24.367609139685797
14297,TEST_014297,24.07460246043547
14642,TEST_014642,23.435275963167047
14893,TEST_014893,22.644632803731742
15236,TEST_015236,29.93789172821663
15521,TEST_015521,22.885996923141327
15537,TEST_015537,22.621850337493996
17544,TEST_017544,23.01946328508864
17616,TEST_017616,30.016079694574685
17705,TEST_017705,27.79569822794753
17744,TEST_017744,24.598319591713253
17877,TEST_017877,18.971988761978153
18317,TEST_018317,21.220426758500945
18775,TEST_018775,23.790050988449252
19056,TEST_019056,20.41757788424695
19501,TEST_019501,19.65584985041983
19587,TEST_019587,19.533310451746782
19827,TEST_019827,21.606975467000407
19998,TEST_019998,24.367609139685797
20003,TEST_020003,24.59021934049982
20071,TEST_020071,27.729182521578508
20487,TEST_020487,27.39627618478486
20770,TEST_020770,21.039328997675078
21159,TEST_021159,27.773213442447112
21193,TEST_021193,21.37039396729274
21478,TEST_021478,24.451844824960254
21881,TEST_021881,19.630506016070917
22116,TEST_022116,26.977698836351333
22324,TEST_022324,19.802500841186692
22413,TEST_022413,27.30708197466081
22450,TEST_022450,22.378823182125142
22933,TEST_022933,26.736455675197675
23101,TEST_023101,20.52053138875577
23288,TEST_023288,25.103311445075196
23569,TEST_023569,23.27325415075817
23670,TEST_023670,30.97676693444043
24081,TEST_024081,22.534182914868406
24134,TEST_024134,27.661607246549792
24349,TEST_024349,25.724260127049178
24584,TEST_024584,26.872394018886517
24589,TEST_024589,20.84548979294561
24942,TEST_024942,22.885996923141327
25275,TEST_025275,26.715420358142683
25485,TEST_025485,26.254620185749367
25606,TEST_025606,20.158270994011783
25662,TEST_025662,28.893409686655012
25915,TEST_025915,25.95881261904556
26132,TEST_026132,27.773213442447112
26154,TEST_026154,19.316582149638336
26241,TEST_026241,24.877657603063714
26559,TEST_026559,27.484635374546343
26607,TEST_026607,24.092988033599077
26913,TEST_026913,19.226879956005682
27115,TEST_027115,28.893409686655012
27287,TEST_027287,19.865455942624155
27556,TEST_027556,20.809303650294936
27699,TEST_027699,20.963673972487207
28245,TEST_028245,22.918049348549633
28991,TEST_028991,29.474720569526713
28994,TEST_028994,25.66619955533313
29145,TEST_029145,25.268967532467528
29589,TEST_029589,24.567561257654983
29596,TEST_029596,29.93789172821663
29962,TEST_029962,19.533310451746782
30413,TEST_030413,20.65160773869266
30544,TEST_030544,22.669777090810094
30589,TEST_030589,26.29734745539318
30619,TEST_030619,27.66356035603988
30808,TEST_030808,28.945535487625108
30904,TEST_030904,23.235943375584938
31090,TEST_031090,28.449440476190478
31290,TEST_031290,20.941220129881373
31498,TEST_031498,19.227505907624256
31709,TEST_031709,18.09676216024235
31772,TEST_031772,20.66615641459538
31860,TEST_031860,22.621850337493996
32405,TEST_032405,21.270183594639796
32790,TEST_032790,21.247663671625546
32831,TEST_032831,20.809303650294936
34005,TEST_034005,24.92941830559369
34050,TEST_034050,27.598381387851063
34150,TEST_034150,18.060723389766796
34287,TEST_034287,19.48289927630455
34412,TEST_034412,20.65160773869266
35343,TEST_035343,25.19838323524612
35450,TEST_035450,25.138162230963122
35738,TEST_035738,19.994139471599173
35794,TEST_035794,32.069699405988764
35976,TEST_035976,23.453507387201448
35999,TEST_035999,17.360806348957556
36271,TEST_036271,19.630506016070917
36343,TEST_036343,21.76814004176718
36477,TEST_036477,21.100020818409917
36823,TEST_036823,30.023893083019455
37290,TEST_037290,18.5547815278693
37313,TEST_037313,22.918049348549633
37500,TEST_037500,20.35135131589166
37591,TEST_037591,18.495616396005985
37738,TEST_037738,24.144330499361644
37772,TEST_037772,20.31434329933938
37844,TEST_037844,23.482137461530623
37849,TEST_037849,22.644632803731742
37959,TEST_037959,23.968805868748827
38563,TEST_038563,20.115768151201205
39204,TEST_039204,23.12397033624857
39428,TEST_039428,22.73025001002774
39511,TEST_039511,23.90359255977423
39797,TEST_039797,23.617270828181105
40283,TEST_040283,25.406179838822432
