,id,target
353,TEST_000353,36.913292177464704
653,TEST_000653,46.70583582884653
1062,TEST_001062,44.072787386333424
1092,TEST_001092,38.16230336631352
1354,TEST_001354,32.34407462427605
1408,TEST_001408,45.85724117641647
1533,TEST_001533,37.21325077500392
2244,TEST_002244,35.389216159321805
2486,TEST_002486,46.67513794406084
2530,TEST_002530,35.0377781427569
2950,TEST_002950,42.37166399872659
3173,TEST_003173,32.12112772692875
3199,TEST_003199,43.65347356608113
3213,TEST_003213,37.95726297317462
3243,TEST_003243,34.75784191089556
3256,TEST_003256,33.6037760484343
3407,TEST_003407,33.92986053687221
3622,TEST_003622,31.357120566500942
3722,TEST_003722,33.6037760484343
3853,TEST_003853,32.437941617684594
3966,TEST_003966,30.155202259385938
5000,TEST_005000,42.03544054380755
5106,TEST_005106,33.31142817108125
5308,TEST_005308,43.352385392084585
5311,TEST_005311,33.58860277260243
5349,TEST_005349,33.17868587532907
5554,TEST_005554,34.202827646010526
6368,TEST_006368,34.43125873590012
6394,TEST_006394,33.0448384621021
6648,TEST_006648,42.28018633128065
6673,TEST_006673,44.072787386333424
6679,TEST_006679,30.11676416989883
7073,TEST_007073,32.663623953408944
7245,TEST_007245,41.82696979636943
7593,TEST_007593,42.37166399872659
7610,TEST_007610,42.88584325392429
7694,TEST_007694,32.25717608471941
7776,TEST_007776,46.22714857702669
7847,TEST_007847,36.72291736647933
8111,TEST_008111,29.483370113158117
8803,TEST_008803,31.770603362863643
8989,TEST_008989,47.73791168521637
9117,TEST_009117,37.87421936881305
9352,TEST_009352,31.854868818900677
9657,TEST_009657,46.49374884516297
10072,TEST_010072,31.854868818900677
10135,TEST_010135,32.179132165354815
10249,TEST_010249,33.745143914837996
10400,TEST_010400,37.55539154389902
10637,TEST_010637,41.43523935262586
10644,TEST_010644,31.27060255844106
10793,TEST_010793,35.303741847253036
10818,TEST_010818,32.79751054673586
10943,TEST_010943,34.58235170237801
11015,TEST_011015,31.936317745685304
11035,TEST_011035,36.34791791800455
11107,TEST_011107,36.239151197177264
11157,TEST_011157,33.36979647766407
11213,TEST_011213,33.17228673732373
11240,TEST_011240,30.513863536580903
11289,TEST_011289,34.13606552020728
11355,TEST_011355,32.774097640162125
11522,TEST_011522,29.99589914201829
12056,TEST_012056,35.63410593665753
12240,TEST_012240,39.68563224636644
12352,TEST_012352,34.854348806657114
12519,TEST_012519,36.30540829486377
12566,TEST_012566,34.09706805569032
12580,TEST_012580,33.48110408443992
12693,TEST_012693,40.08546294336401
12864,TEST_012864,32.54551164266999
13143,TEST_013143,33.13481155158385
13475,TEST_013475,41.87634157491033
13838,TEST_013838,31.936317745685304
13896,TEST_013896,42.56516300768053
14114,TEST_014114,33.762572248803444
14129,TEST_014129,33.6424552713684
14373,TEST_014373,32.72723774293146
14636,TEST_014636,31.30848722418174
14727,TEST_014727,39.58738759125882
14752,TEST_014752,47.7750517303723
14816,TEST_014816,32.98696299262681
14916,TEST_014916,33.17228673732373
15098,TEST_015098,44.14631289913971
15135,TEST_015135,31.91702149947818
15223,TEST_015223,42.97914982540037
15386,TEST_015386,29.61372967246648
15468,TEST_015468,35.16214992954696
15520,TEST_015520,45.300324965989915
15757,TEST_015757,44.495985037229914
16276,TEST_016276,45.91580964608599
16297,TEST_016297,43.383194338787014
16645,TEST_016645,43.33995057895744
16659,TEST_016659,36.72291736647933
16886,TEST_016886,29.798899069137303
17042,TEST_017042,33.58860277260243
17333,TEST_017333,30.513863536580903
17431,TEST_017431,32.21906055253443
17696,TEST_017696,41.81539197379828
17804,TEST_017804,32.9679694443093
18355,TEST_018355,32.5118706117658
18842,TEST_018842,33.05358678195141
19694,TEST_019694,33.74675020481456
19696,TEST_019696,34.43125873590012
19797,TEST_019797,44.840413887196185
19808,TEST_019808,43.61665516963151
19821,TEST_019821,43.245730270928746
19899,TEST_019899,35.92421221326289
20450,TEST_020450,34.43125873590012
20494,TEST_020494,41.88583767809614
20903,TEST_020903,34.43125873590012
20943,TEST_020943,42.747770511518205
21164,TEST_021164,36.34791791800455
21508,TEST_021508,32.51797703514497
21556,TEST_021556,34.742720421633344
21804,TEST_021804,30.009180178903286
21827,TEST_021827,34.27186536677715
22215,TEST_022215,33.58413713093591
22438,TEST_022438,36.17024952000016
22442,TEST_022442,44.495985037229914
22925,TEST_022925,41.576509646720616
23158,TEST_023158,39.8990293942274
23209,TEST_023209,41.88583767809614
23392,TEST_023392,34.32038229276281
23409,TEST_023409,35.401218430459124
23437,TEST_023437,34.89190825287402
23697,TEST_023697,37.894629273301575
24222,TEST_024222,37.147764982533566
24346,TEST_024346,32.68568842281612
24518,TEST_024518,42.17810138755813
24724,TEST_024724,40.36144046138897
25313,TEST_025313,44.20653785457058
25371,TEST_025371,32.59003906904341
25400,TEST_025400,35.52619167125998
26079,TEST_026079,34.11628823445016
26223,TEST_026223,33.13146052656438
26342,TEST_026342,43.016095898933756
26456,TEST_026456,46.95405645812823
26704,TEST_026704,32.98935037329997
27279,TEST_027279,31.696697815658613
27692,TEST_027692,33.88283700466687
27744,TEST_027744,39.520837062071365
27945,TEST_027945,34.09706805569032
28028,TEST_028028,37.87421936881305
28446,TEST_028446,33.83966611705399
28448,TEST_028448,33.6456161942306
28795,TEST_028795,32.708304900135346
29307,TEST_029307,47.586397070370076
29617,TEST_029617,33.17228673732373
29659,TEST_029659,33.23185199102145
30143,TEST_030143,41.879259280821714
30405,TEST_030405,32.990798922219845
30676,TEST_030676,37.2648536468466
30703,TEST_030703,35.18750292468101
30755,TEST_030755,36.530973331503645
30882,TEST_030882,42.56516300768053
31260,TEST_031260,33.0448384621021
31334,TEST_031334,31.761875544771854
31584,TEST_031584,44.14631289913971
32297,TEST_032297,34.89190825287402
32331,TEST_032331,37.05498008533294
32426,TEST_032426,38.18651043894286
32480,TEST_032480,34.75784191089556
32835,TEST_032835,45.85724117641647
33168,TEST_033168,35.16214992954696
33835,TEST_033835,33.11320420698274
33861,TEST_033861,32.49447300091428
33868,TEST_033868,29.798899069137303
34467,TEST_034467,33.42515830818105
34854,TEST_034854,35.94465967475153
34863,TEST_034863,31.770603362863643
34999,TEST_034999,34.4796962621807
35072,TEST_035072,29.61372967246648
35097,TEST_035097,31.429601964359893
35399,TEST_035399,30.155202259385938
35543,TEST_035543,34.08087286947184
35767,TEST_035767,34.54183139967508
36142,TEST_036142,41.87634157491033
36152,TEST_036152,35.630026010306096
36162,TEST_036162,34.54183139967508
36404,TEST_036404,33.36979647766407
36562,TEST_036562,31.621954132682184
36793,TEST_036793,34.06886710037566
37018,TEST_037018,34.279164418390344
37218,TEST_037218,34.59424929579901
37452,TEST_037452,35.630026010306096
37460,TEST_037460,41.91574523705578
37533,TEST_037533,35.12504019064902
37579,TEST_037579,34.57782563062467
37685,TEST_037685,33.74675020481456
37833,TEST_037833,39.08571023259052
37862,TEST_037862,34.44662744649867
38060,TEST_038060,32.54551164266999
38128,TEST_038128,35.673839247968075
38162,TEST_038162,36.75364372887525
38235,TEST_038235,31.76504522085523
38377,TEST_038377,41.82696979636943
38539,TEST_038539,32.68568842281612
38555,TEST_038555,48.537383514381744
39378,TEST_039378,33.54920593237471
39494,TEST_039494,44.281466309093084
39625,TEST_039625,31.736066147565538
39753,TEST_039753,33.6037760484343
39932,TEST_039932,32.78348160753198
40448,TEST_040448,48.74647476780985
40561,TEST_040561,32.27894041258898
