,id,target
68,TEST_000068,22.50458739157572
138,TEST_000138,33.93937071378787
164,TEST_000164,38.71595828012878
218,TEST_000218,29.26798086779236
222,TEST_000222,36.93366568878733
226,TEST_000226,28.89270913685406
307,TEST_000307,38.626420242465436
326,TEST_000326,40.912239563535074
409,TEST_000409,27.68462123843762
429,TEST_000429,30.165968781929692
435,TEST_000435,23.960944003485114
437,TEST_000437,24.956668641753136
472,TEST_000472,27.916822787999845
510,TEST_000510,34.431104061094636
531,TEST_000531,40.4787545193364
566,TEST_000566,38.3513481538852
572,TEST_000572,32.87075325823098
592,TEST_000592,27.984632051470022
600,TEST_000600,27.93982159200854
625,TEST_000625,40.62621649205585
626,TEST_000626,33.93937071378787
692,TEST_000692,19.682938317827553
694,TEST_000694,48.69464541731918
718,TEST_000718,27.65707426161069
784,TEST_000784,20.67520576759045
786,TEST_000786,35.93212359699594
820,TEST_000820,40.55319161278389
871,TEST_000871,31.06517441966001
913,TEST_000913,23.127410125054574
973,TEST_000973,20.704686932099634
984,TEST_000984,36.982814514230206
1013,TEST_001013,21.334710296482598
1025,TEST_001025,34.124989488320765
1060,TEST_001060,31.745878362501358
1066,TEST_001066,33.93553934892544
1078,TEST_001078,30.37228827910255
1080,TEST_001080,28.522860600944746
1176,TEST_001176,28.669796998232826
1254,TEST_001254,19.637868494296853
1255,TEST_001255,38.60537726516225
1288,TEST_001288,34.63576377827762
1346,TEST_001346,42.431264865530665
1353,TEST_001353,32.95058217886236
1380,TEST_001380,40.318141015148846
1392,TEST_001392,16.14008307575793
1405,TEST_001405,37.32496314774571
1410,TEST_001410,28.522302696442488
1417,TEST_001417,24.571675561061642
1427,TEST_001427,23.916691436642385
1501,TEST_001501,29.106796293794837
1583,TEST_001583,31.26568068043801
1609,TEST_001609,28.44780926273441
1624,TEST_001624,28.038968888929773
1665,TEST_001665,38.138915141147784
1699,TEST_001699,23.59851205928274
1725,TEST_001725,24.443277152197467
1765,TEST_001765,22.339056305561616
1805,TEST_001805,38.34953024142214
1812,TEST_001812,40.36287714858313
1852,TEST_001852,38.635268299867306
1866,TEST_001866,35.62295963580357
2123,TEST_002123,23.961129277362666
2129,TEST_002129,39.570380417640955
2164,TEST_002164,26.589664715230377
2168,TEST_002168,41.89888029905806
2183,TEST_002183,38.3513481538852
2191,TEST_002191,22.781289042287057
2339,TEST_002339,22.38657380967352
2366,TEST_002366,27.580158262247192
2367,TEST_002367,25.09742904013271
2393,TEST_002393,25.024698452958784
2430,TEST_002430,30.97695449907876
2434,TEST_002434,19.31058423117503
2459,TEST_002459,46.6678981784913
2499,TEST_002499,33.66768197633369
2572,TEST_002572,24.43689957168414
2577,TEST_002577,39.41181148606274
2578,TEST_002578,24.52941612932328
2615,TEST_002615,41.67752374156792
2627,TEST_002627,29.122702945735423
2651,TEST_002651,37.30737470463271
2664,TEST_002664,44.00043222952829
2671,TEST_002671,39.413287807960685
2689,TEST_002689,34.837334431803676
2737,TEST_002737,30.530834523783223
2747,TEST_002747,35.62295963580357
2779,TEST_002779,25.602088363206448
2814,TEST_002814,31.2157108812335
2859,TEST_002859,35.34089835207238
2880,TEST_002880,26.40909598087782
2888,TEST_002888,30.446198565078756
2896,TEST_002896,28.009910421026802
2939,TEST_002939,25.219033624862135
2946,TEST_002946,45.04991421196597
2984,TEST_002984,21.132555364634978
3091,TEST_003091,24.78132147533842
3103,TEST_003103,27.672386062129384
3107,TEST_003107,26.72982527464254
3129,TEST_003129,26.125265530599094
3141,TEST_003141,28.880610925130597
3160,TEST_003160,28.440003869816373
3191,TEST_003191,25.200737301760846
3401,TEST_003401,20.93789286357428
3430,TEST_003430,40.91847302932445
3442,TEST_003442,33.66768197633369
3458,TEST_003458,42.662832058005954
3462,TEST_003462,38.53355545387566
3493,TEST_003493,27.332589649364337
3522,TEST_003522,27.251877054284922
3624,TEST_003624,20.241041201069837
3635,TEST_003635,35.367176246025444
3658,TEST_003658,34.47074266941331
3666,TEST_003666,35.10470393771962
3668,TEST_003668,34.604624229692135
3690,TEST_003690,38.43518242557509
3711,TEST_003711,45.91118515256672
3717,TEST_003717,36.30396365481498
3730,TEST_003730,18.110897112338797
3776,TEST_003776,28.726295730254122
3788,TEST_003788,34.51841378989115
3844,TEST_003844,26.66223909168507
3852,TEST_003852,24.813599693057235
3862,TEST_003862,27.984632051470022
3882,TEST_003882,34.877315945041445
3887,TEST_003887,16.833995090852557
3930,TEST_003930,42.16597260953259
3944,TEST_003944,24.673975649773574
3950,TEST_003950,24.32378724800544
4049,TEST_004049,22.96401412235064
4055,TEST_004055,24.867298778123203
4121,TEST_004121,29.800903318903316
4141,TEST_004141,27.06504633217151
4251,TEST_004251,25.82812542472381
4265,TEST_004265,19.942071652533244
4275,TEST_004275,23.78321624969068
4289,TEST_004289,33.89852797553235
4357,TEST_004357,19.325609010380425
4401,TEST_004401,29.083709488076824
4418,TEST_004418,40.09002774431054
4422,TEST_004422,36.06001031599517
4447,TEST_004447,17.627379305268057
4453,TEST_004453,29.198754969206234
4459,TEST_004459,25.655419262911195
4469,TEST_004469,38.278667516321114
4617,TEST_004617,25.608742877087103
4657,TEST_004657,27.637680406131334
4658,TEST_004658,33.41554666692169
4668,TEST_004668,37.39419604337962
4708,TEST_004708,27.80048462052097
4785,TEST_004785,42.5825144146212
4822,TEST_004822,17.46614070512374
4878,TEST_004878,26.142224650697067
