,id,target
4,TEST_000004,45.3849888198968
19,TEST_000019,58.547524762152854
44,TEST_000044,56.05119654077871
51,TEST_000051,45.79113413410764
76,TEST_000076,41.50009165737115
133,TEST_000133,51.797933860685795
140,TEST_000140,52.947269367547364
237,TEST_000237,54.96843220333854
249,TEST_000249,54.173213092274956
266,TEST_000266,65.99866345643592
278,TEST_000278,44.0068759972744
284,TEST_000284,54.908590299667054
399,TEST_000399,44.340877367308515
473,TEST_000473,43.58562920973892
491,TEST_000491,46.51653878106444
493,TEST_000493,53.548640892493765
519,TEST_000519,57.95923358184765
580,TEST_000580,49.088211223897275
730,TEST_000730,47.7689788395031
790,TEST_000790,56.804623232670465
794,TEST_000794,43.16223318015134
805,TEST_000805,59.703672141897385
819,TEST_000819,42.46899192420716
826,TEST_000826,68.16188385235205
832,TEST_000832,53.22029179959108
890,TEST_000890,47.14617953278974
896,TEST_000896,50.8495685809562
914,TEST_000914,66.48825952573539
917,TEST_000917,49.22650824614504
970,TEST_000970,68.9974795032961
994,TEST_000994,49.56620781149245
996,TEST_000996,41.45972068033137
1010,TEST_001010,50.19260853097778
1034,TEST_001034,50.131714868119346
1046,TEST_001046,49.838191477918016
1073,TEST_001073,51.723779326455684
1115,TEST_001115,50.16988115682365
1185,TEST_001185,44.37136171987723
1203,TEST_001203,55.94293445675683
1213,TEST_001213,44.90357897429246
1223,TEST_001223,62.08654961420211
1290,TEST_001290,45.822018513884274
1450,TEST_001450,44.46556897531465
1500,TEST_001500,68.34347449715655
1504,TEST_001504,45.20677714015558
1516,TEST_001516,39.31739630889699
1528,TEST_001528,58.77456996300314
1562,TEST_001562,51.1492759033185
1565,TEST_001565,45.43340969766357
1617,TEST_001617,50.21886983637875
1618,TEST_001618,50.935807539880834
1662,TEST_001662,54.12436838345685
1714,TEST_001714,50.61947465327402
1745,TEST_001745,51.40817001372673
1760,TEST_001760,52.6069538141796
1769,TEST_001769,42.089829212011566
1781,TEST_001781,50.71611399504648
1881,TEST_001881,48.014316898441415
1884,TEST_001884,38.977822291830876
1953,TEST_001953,48.79033560189119
1958,TEST_001958,57.30385598360508
1970,TEST_001970,52.65675573198037
2017,TEST_002017,43.79689601873442
2024,TEST_002024,58.69837316011523
2031,TEST_002031,46.1615282875844
2043,TEST_002043,51.88699699729737
2059,TEST_002059,51.02125771337573
2071,TEST_002071,62.264757566496776
2120,TEST_002120,40.30826713882192
