,id,target
41,TEST_000041,30.224625426529705
214,TEST_000214,30.161436923891497
231,TEST_000231,31.21306786773996
270,TEST_000270,31.92257087363189
286,TEST_000286,28.74871667803534
301,TEST_000301,31.19248516966642
324,TEST_000324,24.50530213989184
391,TEST_000391,31.304693659061726
396,TEST_000396,31.458695056160746
453,TEST_000453,32.05108966394744
461,TEST_000461,30.028821846731795
497,TEST_000497,36.807975260850256
511,TEST_000511,30.686566505466896
664,TEST_000664,29.669406525276443
801,TEST_000801,31.583968236827815
975,TEST_000975,30.297351240308885
1008,TEST_001008,28.27647520789786
1016,TEST_001016,29.250930535744118
1019,TEST_001019,32.8527044899545
1135,TEST_001135,31.69800942058091
1138,TEST_001138,31.79792904422437
1245,TEST_001245,30.804946445731183
1273,TEST_001273,29.20696289645355
1303,TEST_001303,32.08529761904762
1306,TEST_001306,32.07982853599861
1330,TEST_001330,30.574712321383252
1379,TEST_001379,33.2070076409443
1432,TEST_001432,24.81615964080836
1472,TEST_001472,28.889566129524898
1514,TEST_001514,36.47128327228327
1534,TEST_001534,29.959369993791885
1554,TEST_001554,32.20014051079746
1763,TEST_001763,28.23287451459674
1789,TEST_001789,30.804964949274407
1817,TEST_001817,35.01898400765042
1838,TEST_001838,29.352866727368124
1845,TEST_001845,29.214509369236325
1920,TEST_001920,28.807779956392828
1938,TEST_001938,31.75960479797979
2096,TEST_002096,32.24262795742155
2106,TEST_002106,34.91605412904948
2200,TEST_002200,30.757199159100143
2218,TEST_002218,24.723193286345595
2279,TEST_002279,30.32459688603564
2296,TEST_002296,32.88804557418885
2347,TEST_002347,29.494584622709944
2357,TEST_002357,26.488038762296195
2415,TEST_002415,32.53283199977856
2504,TEST_002504,29.14805858545164
2541,TEST_002541,30.29429037526612
2542,TEST_002542,29.98730421493541
2557,TEST_002557,29.449343996563783
2576,TEST_002576,31.821833241894204
2635,TEST_002635,34.41977380952381
2639,TEST_002639,30.09643832057163
2653,TEST_002653,30.15690914180339
2872,TEST_002872,29.37337112222237
2898,TEST_002898,34.268995173768765
3131,TEST_003131,31.874907792460622
3133,TEST_003133,32.060945432382766
3193,TEST_003193,33.70004365079365
3432,TEST_003432,29.809268754180877
3569,TEST_003569,31.350482178299277
3604,TEST_003604,29.500321883939154
3640,TEST_003640,31.264529087663554
3652,TEST_003652,32.27350746041665
3703,TEST_003703,33.7009173881674
3772,TEST_003772,31.19248516966642
3830,TEST_003830,31.54439323916847
3869,TEST_003869,30.32459688603564
3900,TEST_003900,34.459877419332855
3905,TEST_003905,29.802281584876795
3911,TEST_003911,29.659078526700345
4116,TEST_004116,31.683657828282822
4158,TEST_004158,32.25906561867046
4407,TEST_004407,32.99701149052647
4428,TEST_004428,32.57876322904477
4456,TEST_004456,33.262076075754756
4458,TEST_004458,30.12714447423143
