,id,target
129,TEST_000129,40.122106848538486
455,TEST_000455,32.93042518164036
667,TEST_000667,25.935981684613843
995,TEST_000995,28.95895881966018
1483,TEST_001483,32.36994091472423
1728,TEST_001728,29.834630388078523
1904,TEST_001904,29.582093531878776
2284,TEST_002284,30.967931512540567
2305,TEST_002305,26.147059192033588
2326,TEST_002326,32.17850296560732
2549,TEST_002549,25.72064038335052
2701,TEST_002701,25.120568619666397
2712,TEST_002712,23.597808104036343
2727,TEST_002727,32.05418653615056
2941,TEST_002941,30.261010485745505
3936,TEST_003936,24.390192328697005
3961,TEST_003961,32.75970446984296
4295,TEST_004295,31.261129040110923
4392,TEST_004392,41.473241596861236
4494,TEST_004494,37.99678348151626
4704,TEST_004704,33.33621533760807
4795,TEST_004795,32.16894333843752
4964,TEST_004964,31.69100666362824
5491,TEST_005491,24.578576459335437
5608,TEST_005608,31.717200113891234
5862,TEST_005862,31.841581911320056
6071,TEST_006071,25.145071563138394
6446,TEST_006446,28.235303670634337
6657,TEST_006657,23.82328351622677
6884,TEST_006884,33.03470555928092
7020,TEST_007020,23.96731514094034
7082,TEST_007082,24.711616231058667
7206,TEST_007206,25.950190890044688
7355,TEST_007355,35.70762565704157
7480,TEST_007480,38.88462706145408
7682,TEST_007682,24.73505155153305
8005,TEST_008005,31.672580534041654
8090,TEST_008090,25.01251162407335
8172,TEST_008172,33.96211317310928
8300,TEST_008300,28.20087563940544
8393,TEST_008393,30.7037421792546
8524,TEST_008524,36.659599965754374
8656,TEST_008656,31.691521736904683
8683,TEST_008683,35.70762565704157
8783,TEST_008783,38.73051433382805
8904,TEST_008904,24.432758860341405
8942,TEST_008942,32.75970446984296
8998,TEST_008998,30.83375502510288
9263,TEST_009263,29.35798535397548
9375,TEST_009375,27.924554089216187
9669,TEST_009669,26.80874394848096
9883,TEST_009883,38.73051433382805
10226,TEST_010226,25.165202998973854
10519,TEST_010519,30.79236894984626
10724,TEST_010724,25.17072176611959
11038,TEST_011038,26.06677079400094
11441,TEST_011441,31.19981562480403
11781,TEST_011781,31.879973420722816
11823,TEST_011823,22.69915113293769
11984,TEST_011984,31.89190304598014
12060,TEST_012060,34.29396258267003
12213,TEST_012213,31.194963460505328
12866,TEST_012866,27.621027486407794
12886,TEST_012886,24.44414482906799
13040,TEST_013040,26.693017936528022
13323,TEST_013323,21.995977547401882
13627,TEST_013627,29.834630388078523
13789,TEST_013789,39.48370892016201
14065,TEST_014065,25.13472192412614
14120,TEST_014120,37.64419065616633
14243,TEST_014243,31.668348930386525
14513,TEST_014513,27.032978419392244
15034,TEST_015034,36.29464849200093
15046,TEST_015046,31.369601469240408
15166,TEST_015166,24.929798809342486
15244,TEST_015244,31.059995671035107
15448,TEST_015448,32.237285926340626
15640,TEST_015640,26.917323094127855
16130,TEST_016130,30.825977600454447
16184,TEST_016184,30.332299912964263
16414,TEST_016414,23.41658176921651
16820,TEST_016820,25.13472192412614
17188,TEST_017188,31.19244430329866
17368,TEST_017368,30.42617551608511
17803,TEST_017803,37.99678348151626
18446,TEST_018446,25.16868307964859
18569,TEST_018569,33.39105777525187
19108,TEST_019108,26.33268019727463
19441,TEST_019441,32.93042518164036
19659,TEST_019659,30.0328859833599
19833,TEST_019833,25.16868307964859
19888,TEST_019888,34.95912748291496
20038,TEST_020038,37.11146582737486
20213,TEST_020213,21.821749036014708
20696,TEST_020696,24.902706940520687
21275,TEST_021275,30.83375502510288
21719,TEST_021719,29.246656134866843
21831,TEST_021831,27.349296067683746
22060,TEST_022060,32.36980881809978
22312,TEST_022312,32.56076135611524
22347,TEST_022347,24.784601979997195
22397,TEST_022397,41.17786539046549
22420,TEST_022420,37.99966047833364
22464,TEST_022464,27.032978419392244
22658,TEST_022658,42.50378663268199
22704,TEST_022704,30.541808125183557
22744,TEST_022744,25.061814941060888
22905,TEST_022905,31.866029378835492
22936,TEST_022936,36.36172277885735
22937,TEST_022937,37.62678268388522
23148,TEST_023148,31.87143759596617
23202,TEST_023202,25.243994936710322
23408,TEST_023408,37.06011497775336
23416,TEST_023416,24.390192328697005
23727,TEST_023727,24.320960344029235
23756,TEST_023756,42.13192093959488
23878,TEST_023878,31.764535994034354
24136,TEST_024136,37.83080973532672
24151,TEST_024151,41.473241596861236
24569,TEST_024569,26.06677079400094
24636,TEST_024636,27.995822726124207
24809,TEST_024809,30.80207203442043
25005,TEST_025005,26.795324820236488
25194,TEST_025194,31.168285106960855
25217,TEST_025217,40.79302086721918
25272,TEST_025272,31.715733737233567
25460,TEST_025460,25.124981969900073
25537,TEST_025537,30.059813415173082
25584,TEST_025584,26.683173290222566
25691,TEST_025691,24.734144243058523
25702,TEST_025702,31.08510637218952
26102,TEST_026102,33.33621533760807
26274,TEST_026274,25.17072176611959
26292,TEST_026292,30.949222921649266
26336,TEST_026336,38.58300612950636
27008,TEST_027008,31.67424052818483
27076,TEST_027076,30.93944240854695
27399,TEST_027399,32.52386805234679
28259,TEST_028259,29.582093531878776
28351,TEST_028351,32.37054125881108
28374,TEST_028374,31.476360861014385
28440,TEST_028440,30.261010485745505
28548,TEST_028548,35.1051751765691
29126,TEST_029126,37.84744263402536
29297,TEST_029297,35.17802355838691
29318,TEST_029318,25.800752088012196
29450,TEST_029450,38.84134169893612
29695,TEST_029695,29.898267749325697
29754,TEST_029754,37.02148800774424
29828,TEST_029828,32.38427557948102
29898,TEST_029898,38.23896295458919
30636,TEST_030636,39.9109205131569
30711,TEST_030711,32.476164803818065
30851,TEST_030851,21.69891409160857
30937,TEST_030937,33.49715916485669
31037,TEST_031037,24.758505649190834
31103,TEST_031103,32.4845641817621
31534,TEST_031534,29.185939930937508
31547,TEST_031547,37.31125733434431
31609,TEST_031609,25.036169979992287
31753,TEST_031753,38.88462706145408
32043,TEST_032043,31.01151615647235
32141,TEST_032141,24.902532939872344
32223,TEST_032223,24.846487135413504
32325,TEST_032325,31.30905086024363
32660,TEST_032660,31.67424052818483
32931,TEST_032931,27.16650815252173
33135,TEST_033135,31.369601469240408
33140,TEST_033140,38.73051433382805
33339,TEST_033339,28.8174720720562
33965,TEST_033965,33.0174043144614
34139,TEST_034139,25.13472192412614
34540,TEST_034540,35.1051751765691
34573,TEST_034573,32.32633294841101
34668,TEST_034668,36.87947291862279
34698,TEST_034698,30.775151076541842
34779,TEST_034779,36.29464849200093
34817,TEST_034817,28.063371527166424
34818,TEST_034818,34.29396258267003
34916,TEST_034916,30.440823452554355
35200,TEST_035200,25.246473007065983
35260,TEST_035260,30.87934239409216
35282,TEST_035282,32.0063863546158
37139,TEST_037139,31.27522765159041
38068,TEST_038068,32.86369706868303
38126,TEST_038126,24.207629526664753
38157,TEST_038157,32.384855338977715
38176,TEST_038176,31.01151615647235
38716,TEST_038716,30.332299912964263
38833,TEST_038833,31.361133578369834
39351,TEST_039351,33.49715916485669
39389,TEST_039389,33.550630161280175
39431,TEST_039431,24.211184983625436
39581,TEST_039581,37.62678268388522
39793,TEST_039793,29.78085114425382
39929,TEST_039929,32.52386805234679
39943,TEST_039943,31.261129040110923
40503,TEST_040503,32.52386805234679
40680,TEST_040680,24.211184983625436
40697,TEST_040697,32.34826012682188
40705,TEST_040705,36.37008069158463
40707,TEST_040707,21.995977547401882
40872,TEST_040872,30.872331191704028
41190,TEST_041190,32.394501537414264
41314,TEST_041314,30.93416066608271
41371,TEST_041371,32.34826012682188
41420,TEST_041420,33.50252623271673
41506,TEST_041506,30.945421827886786
41526,TEST_041526,37.73137051003647
41794,TEST_041794,32.384855338977715
41857,TEST_041857,27.032978419392244
41951,TEST_041951,36.87947291862279
42718,TEST_042718,35.41571977870119
42781,TEST_042781,24.668743309313754
43717,TEST_043717,37.64419065616633
43895,TEST_043895,26.176287475542278
43948,TEST_043948,30.775151076541842
43987,TEST_043987,30.0328859833599
44262,TEST_044262,26.50741048577805
44445,TEST_044445,27.924554089216187
44993,TEST_044993,37.30239211960043
45001,TEST_045001,30.949222921649266
45003,TEST_045003,32.56076135611524
45352,TEST_045352,31.668348930386525
45442,TEST_045442,29.182916068431037
45617,TEST_045617,30.143858148233694
45785,TEST_045785,31.168285106960855
45812,TEST_045812,30.84492776453114
46232,TEST_046232,23.597808104036343
46236,TEST_046236,38.27920785825162
46771,TEST_046771,32.199534360848524
47668,TEST_047668,36.36267119557032
47729,TEST_047729,31.841581911320056
47836,TEST_047836,25.124981969900073
47837,TEST_047837,30.409262478883747
48326,TEST_048326,28.063371527166424
48466,TEST_048466,32.34826012682188
48959,TEST_048959,36.39424177630467
49922,TEST_049922,36.36267119557032
49952,TEST_049952,24.723658816077794
50187,TEST_050187,25.165202998973854
50322,TEST_050322,24.141914081645858
50330,TEST_050330,33.65134833823365
50532,TEST_050532,42.50378663268199
50746,TEST_050746,35.14030838721253
50756,TEST_050756,29.98352780644471
50840,TEST_050840,24.711616231058667
50970,TEST_050970,22.438435117105886
51479,TEST_051479,25.165202998973854
51835,TEST_051835,25.246473007065983
51862,TEST_051862,37.73137051003647
52351,TEST_052351,42.87022943342965
52399,TEST_052399,30.98087303600497
52585,TEST_052585,31.89190304598014
52599,TEST_052599,30.440823452554355
52652,TEST_052652,33.96843845708635
53248,TEST_053248,28.20087563940544
53363,TEST_053363,40.578450509848615
53732,TEST_053732,24.696708754269725
53748,TEST_053748,38.47299748576304
53904,TEST_053904,24.73459335729885
54303,TEST_054303,32.780746418748464
54442,TEST_054442,28.95895881966018
54554,TEST_054554,31.69100666362824
54600,TEST_054600,31.715733737233567
54875,TEST_054875,41.17326350737458
54910,TEST_054910,32.37054125881108
54931,TEST_054931,31.672580534041654
54938,TEST_054938,24.432758860341405
55175,TEST_055175,27.73336035597895
55284,TEST_055284,37.06011497775336
55423,TEST_055423,32.199534360848524
55448,TEST_055448,31.69367070789139
56045,TEST_056045,33.48144417179746
56272,TEST_056272,22.659868564221668
56748,TEST_056748,33.49715916485669
56879,TEST_056879,32.45652209460599
57015,TEST_057015,24.758505649190834
57038,TEST_057038,32.4845641817621
57242,TEST_057242,34.45059491643272
57293,TEST_057293,39.04618278798198
57355,TEST_057355,30.364814877668394
57587,TEST_057587,33.96211317310928
58008,TEST_058008,32.05418653615056
58030,TEST_058030,35.14121951518579
58144,TEST_058144,29.514641993652734
58287,TEST_058287,35.14121951518579
58386,TEST_058386,35.14030838721253
58396,TEST_058396,23.597808104036343
58481,TEST_058481,32.04259510950261
58562,TEST_058562,25.16868307964859
58570,TEST_058570,23.028176348595096
59191,TEST_059191,32.552979313731065
59362,TEST_059362,32.45652209460599
59483,TEST_059483,35.818964081471556
59724,TEST_059724,24.902532939872344
60211,TEST_060211,31.888433818494562
60690,TEST_060690,27.107698031843356
61310,TEST_061310,24.929798809342486
61393,TEST_061393,23.028176348595096
61603,TEST_061603,35.65153310838504
61662,TEST_061662,31.948326557984423
61693,TEST_061693,36.36172277885735
62073,TEST_062073,27.142688003114316
62081,TEST_062081,33.65134833823365
62167,TEST_062167,35.41571977870119
62182,TEST_062182,26.917323094127855
62286,TEST_062286,23.826819565512654
62478,TEST_062478,25.906436326194363
62492,TEST_062492,26.202948198890713
62617,TEST_062617,39.9109205131569
62825,TEST_062825,23.41658176921651
62888,TEST_062888,24.846487135413504
62918,TEST_062918,27.042254899364014
63045,TEST_063045,32.384855338977715
63926,TEST_063926,29.514641993652734
64005,TEST_064005,32.36994091472423
64053,TEST_064053,32.37054125881108
64247,TEST_064247,29.614049085106025
64298,TEST_064298,31.021453146758567
64338,TEST_064338,33.03470555928092
64482,TEST_064482,26.985446948799645
64677,TEST_064677,42.87022943342965
64785,TEST_064785,26.176287475542278
64928,TEST_064928,34.334990710775735
65095,TEST_065095,35.03632622128241
65166,TEST_065166,26.50741048577805
65287,TEST_065287,37.83080973532672
65709,TEST_065709,31.194963460505328
65819,TEST_065819,37.84744263402536
65976,TEST_065976,32.86369706868303
66135,TEST_066135,30.83375502510288
66166,TEST_066166,31.278991598150924
66399,TEST_066399,30.89233845549537
66633,TEST_066633,39.15334255064841
66850,TEST_066850,27.621027486407794
67341,TEST_067341,34.29396258267003
67953,TEST_067953,25.451942715694432
68574,TEST_068574,29.182916068431037
68650,TEST_068650,32.480643867306426
68902,TEST_068902,21.69891409160857
69031,TEST_069031,21.821749036014708
69078,TEST_069078,26.985446948799645
69157,TEST_069157,27.621027486407794
69194,TEST_069194,31.715733737233567
69241,TEST_069241,32.416196885024966
69618,TEST_069618,31.701652046474475
69682,TEST_069682,25.72064038335052
69751,TEST_069751,33.50252623271673
70120,TEST_070120,31.764535994034354
70211,TEST_070211,29.185939930937508
70214,TEST_070214,32.476164803818065
70326,TEST_070326,30.3765047867002
70375,TEST_070375,26.795324820236488
70388,TEST_070388,31.478130993643813
70502,TEST_070502,31.879973420722816
70625,TEST_070625,28.33795777574526
71302,TEST_071302,32.05418653615056
71872,TEST_071872,37.62150159054063
72792,TEST_072792,24.902706940520687
72968,TEST_072968,25.800752088012196
73299,TEST_073299,24.668743309313754
73332,TEST_073332,32.86369706868303
73532,TEST_073532,23.82328351622677
74096,TEST_074096,30.409262478883747
74129,TEST_074129,29.914218555176493
74397,TEST_074397,29.914218555176493
74522,TEST_074522,29.91289876995362
74561,TEST_074561,24.93395561399298
74706,TEST_074706,31.87143759596617
74806,TEST_074806,38.27920785825162
75255,TEST_075255,40.226774747770015
75264,TEST_075264,30.963107108817404
75276,TEST_075276,29.614049085106025
75442,TEST_075442,39.9109205131569
75468,TEST_075468,35.07318878175302
75652,TEST_075652,32.416196885024966
75667,TEST_075667,27.349296067683746
75669,TEST_075669,31.888433818494562
75725,TEST_075725,25.342079202637848
75784,TEST_075784,25.34833940147613
76207,TEST_076207,30.42617551608511
76531,TEST_076531,30.775151076541842
76683,TEST_076683,23.331370788874448
77014,TEST_077014,37.06011497775336
77407,TEST_077407,31.021453146758567
77851,TEST_077851,32.03030548547679
78394,TEST_078394,36.659599965754374
78831,TEST_078831,40.578450509848615
79191,TEST_079191,24.93395561399298
79386,TEST_079386,31.89190304598014
79637,TEST_079637,30.98087303600497
79848,TEST_079848,26.795324820236488
79980,TEST_079980,38.58300612950636
80652,TEST_080652,31.6704700987833
80745,TEST_080745,38.57679353318005
80766,TEST_080766,35.65153310838504
80781,TEST_080781,24.432758860341405
80784,TEST_080784,31.591120396628735
80836,TEST_080836,27.142688003114316
80862,TEST_080862,37.11146582737486
81245,TEST_081245,24.215823475185275
81474,TEST_081474,25.246473007065983
82486,TEST_082486,38.27920785825162
83878,TEST_083878,24.723658816077794
83966,TEST_083966,41.17326350737458
84072,TEST_084072,33.550630161280175
84619,TEST_084619,27.142688003114316
84798,TEST_084798,37.64419065616633
84867,TEST_084867,24.982118671262928
84974,TEST_084974,22.438435117105886
85003,TEST_085003,24.782275449800622
85010,TEST_085010,24.4879718802942
85070,TEST_085070,32.99398534672116
85082,TEST_085082,26.693017936528022
85383,TEST_085383,41.17786539046549
85585,TEST_085585,31.078004551542758
86030,TEST_086030,30.945421827886786
86210,TEST_086210,25.10094247895388
86238,TEST_086238,25.800752088012196
87187,TEST_087187,25.413492520268978
87202,TEST_087202,38.73051433382805
87304,TEST_087304,29.30140195224386
87527,TEST_087527,38.73718771511798
87561,TEST_087561,33.23099432014137
87866,TEST_087866,25.036169979992287
87983,TEST_087983,32.17850296560732
88295,TEST_088295,25.98180458567149
88319,TEST_088319,31.19981562480403
88413,TEST_088413,31.01151615647235
88501,TEST_088501,29.30140195224386
89226,TEST_089226,30.89233845549537
89250,TEST_089250,31.505535113075656
89735,TEST_089735,29.834630388078523
89977,TEST_089977,25.56126795441115
90063,TEST_090063,42.87022943342965
90113,TEST_090113,27.621027486407794
90669,TEST_090669,32.32791627782869
90713,TEST_090713,32.237285926340626
90754,TEST_090754,30.93416066608271
91073,TEST_091073,36.12876609888885
91187,TEST_091187,37.73137051003647
91311,TEST_091311,33.23099432014137
91316,TEST_091316,30.967931512540567
91754,TEST_091754,29.614049085106025
91798,TEST_091798,24.668743309313754
91833,TEST_091833,27.62401523243781
91907,TEST_091907,37.31125733434431
92175,TEST_092175,25.061814941060888
92931,TEST_092931,31.02253224660569
93281,TEST_093281,25.098023561777637
93294,TEST_093294,31.31180338081424
93430,TEST_093430,27.16650815252173
93434,TEST_093434,36.12876609888885
93680,TEST_093680,25.342079202637848
93742,TEST_093742,32.38427557948102
93997,TEST_093997,27.16650815252173
