,id,target
29,TEST_000029,23.92821110598475
40,TEST_000040,27.25346666760283
48,TEST_000048,23.896434157532752
69,TEST_000069,26.582111849779572
103,TEST_000103,24.970489686961283
104,TEST_000104,18.118583492645058
120,TEST_000120,21.414902070504077
176,TEST_000176,25.8782568446793
212,TEST_000212,23.069040566691456
294,TEST_000294,28.05664862081986
318,TEST_000318,26.712120081211516
344,TEST_000344,29.112847170637092
363,TEST_000363,25.549584483789154
383,TEST_000383,31.384272089070322
422,TEST_000422,18.803330866799786
427,TEST_000427,20.941629506287075
440,TEST_000440,32.76874042394159
441,TEST_000441,28.392142170381366
457,TEST_000457,36.09329805978517
471,TEST_000471,29.69528667048304
476,TEST_000476,23.972898426876228
480,TEST_000480,22.217736073723035
520,TEST_000520,27.041939458117678
555,TEST_000555,31.491703596952654
573,TEST_000573,20.44668127752675
597,TEST_000597,27.028977875895013
620,TEST_000620,23.64818177296117
646,TEST_000646,28.01879447262676
695,TEST_000695,26.672828575117943
726,TEST_000726,20.283425301030583
742,TEST_000742,35.09580098315547
758,TEST_000758,21.592193938555642
770,TEST_000770,36.923225325707556
778,TEST_000778,19.676039674030697
780,TEST_000780,23.76294039927905
836,TEST_000836,23.281676450322035
859,TEST_000859,24.7731107245117
892,TEST_000892,34.27669477279466
925,TEST_000925,36.83511740020302
945,TEST_000945,30.848587684111163
957,TEST_000957,25.17448252149692
977,TEST_000977,26.729830704326353
1038,TEST_001038,32.02803567987205
1107,TEST_001107,30.496726716132954
1146,TEST_001146,19.864903580902034
1189,TEST_001189,32.99234530874557
1251,TEST_001251,26.500474556909705
1345,TEST_001345,21.325294215949747
1420,TEST_001420,33.88678231686813
1520,TEST_001520,30.58818537668495
1546,TEST_001546,23.281676450322035
1570,TEST_001570,22.881403175139702
1573,TEST_001573,37.66953184700846
1589,TEST_001589,23.004406259484753
1611,TEST_001611,22.892378458099202
1871,TEST_001871,28.477115386709684
1885,TEST_001885,23.306035642395873
1945,TEST_001945,31.96243324442901
1975,TEST_001975,22.71199015964295
1991,TEST_001991,23.04404352598306
2007,TEST_002007,35.2492883229172
2124,TEST_002124,28.02517260329485
2192,TEST_002192,32.58799882762576
2216,TEST_002216,26.827124533558216
2223,TEST_002223,27.094753020857606
2264,TEST_002264,22.57547317135665
2268,TEST_002268,36.15427675369007
2273,TEST_002273,28.02937203396762
2332,TEST_002332,18.97868268442498
2355,TEST_002355,33.970732278404995
2380,TEST_002380,23.380217728408024
2401,TEST_002401,25.679498969284833
2479,TEST_002479,30.848587684111163
2494,TEST_002494,31.516299647806765
2514,TEST_002514,34.01008205497669
2516,TEST_002516,18.71201755941037
2598,TEST_002598,24.14884772298283
2607,TEST_002607,33.45401217559364
2621,TEST_002621,19.704593622178283
2665,TEST_002665,23.38379125059617
2677,TEST_002677,24.407861434979814
2716,TEST_002716,20.41541230178599
2723,TEST_002723,24.556737062133983
2724,TEST_002724,29.443683522292837
2748,TEST_002748,36.09329805978517
2907,TEST_002907,29.402051947251724
2922,TEST_002922,31.450124647384197
3052,TEST_003052,33.60973558243583
3116,TEST_003116,26.954425039454154
3142,TEST_003142,36.17903370171679
3179,TEST_003179,25.904479309023777
3202,TEST_003202,30.146497439161912
3205,TEST_003205,22.731375080503263
3207,TEST_003207,27.092509727517704
3271,TEST_003271,29.32761014390597
3291,TEST_003291,24.59098246241068
3314,TEST_003314,28.759405224745837
3370,TEST_003370,39.478368970808994
3429,TEST_003429,24.59421718398489
3471,TEST_003471,29.26159224908438
3486,TEST_003486,26.175745194123607
3498,TEST_003498,32.57138829284048
3591,TEST_003591,28.80443498115715
3629,TEST_003629,25.276832745169546
3638,TEST_003638,25.595007432897216
3648,TEST_003648,23.656681787916867
3662,TEST_003662,28.475584476815346
3700,TEST_003700,32.276445731795484
3747,TEST_003747,31.32264095092004
3845,TEST_003845,26.277743352541183
3860,TEST_003860,26.915136424836792
4005,TEST_004005,28.40994498814741
4020,TEST_004020,22.271225718997027
4056,TEST_004056,26.781318527239883
4081,TEST_004081,27.790713068766685
4085,TEST_004085,18.895137314455564
4088,TEST_004088,29.932412466299102
4098,TEST_004098,23.189357163053675
4128,TEST_004128,26.324875978437717
4155,TEST_004155,28.128063137108537
4204,TEST_004204,27.258824752257947
4227,TEST_004227,28.542784529680716
4256,TEST_004256,27.577663542116415
4271,TEST_004271,37.015117608453785
4277,TEST_004277,27.5360431905909
4283,TEST_004283,28.202396004488868
4294,TEST_004294,27.152700336123075
4299,TEST_004299,19.360872986827367
4307,TEST_004307,27.5360431905909
4336,TEST_004336,26.2094686074954
4353,TEST_004353,36.09329805978517
4377,TEST_004377,23.81695150075275
4386,TEST_004386,22.957455959023424
4405,TEST_004405,27.852733220639156
4416,TEST_004416,25.24992910353326
4451,TEST_004451,19.918512933835768
4526,TEST_004526,23.60782198783102
4554,TEST_004554,26.505607694965125
4573,TEST_004573,25.741247829867174
4576,TEST_004576,26.72527546088577
4601,TEST_004601,19.57943239919438
4602,TEST_004602,26.55099400064907
4603,TEST_004603,31.020331639333946
4608,TEST_004608,30.146497439161912
4722,TEST_004722,26.55763585596799
4764,TEST_004764,32.16604375331855
4810,TEST_004810,18.57756010410227
4840,TEST_004840,18.57756010410227
4860,TEST_004860,35.517809335073565
4889,TEST_004889,26.995929644564786
4890,TEST_004890,17.608554064228887
4909,TEST_004909,21.793273582471876
4971,TEST_004971,22.543935817322833
5014,TEST_005014,28.01237693758956
5046,TEST_005046,29.196853983021487
5142,TEST_005142,28.2122196669472
5146,TEST_005146,28.442975821336155
5183,TEST_005183,24.70913509251194
5184,TEST_005184,21.325294215949747
5187,TEST_005187,24.155424260045347
5271,TEST_005271,29.80683356009566
5289,TEST_005289,28.04602353398754
5368,TEST_005368,28.19861640422662
5421,TEST_005421,37.48838096095992
5511,TEST_005511,37.62923386029586
5520,TEST_005520,22.04845448846827
5537,TEST_005537,31.499820577516733
5550,TEST_005550,19.918512933835768
5564,TEST_005564,23.235496843372985
5595,TEST_005595,36.93318510552889
5650,TEST_005650,24.239762518127126
5667,TEST_005667,31.321998083695295
5669,TEST_005669,27.07044500915084
5677,TEST_005677,24.339765636408284
5683,TEST_005683,25.154187351882403
5704,TEST_005704,23.39167843638384
5717,TEST_005717,26.260764635953887
