,id,target
21,TEST_000021,18.869858299852307
64,TEST_000064,17.533814705714686
72,TEST_000072,17.51658141457078
73,TEST_000073,16.636827998867957
89,TEST_000089,18.176851433528665
263,TEST_000263,17.06782311689446
302,TEST_000302,16.569766806259043
313,TEST_000313,23.564248505321064
321,TEST_000321,19.49595057998901
334,TEST_000334,18.488061428776994
526,TEST_000526,19.49595057998901
606,TEST_000606,16.157287074660527
711,TEST_000711,15.239157443674172
848,TEST_000848,25.20409868549862
951,TEST_000951,15.957177564604587
1157,TEST_001157,15.957177564604587
1158,TEST_001158,25.714220458513918
1856,TEST_001856,23.25127008588563
1887,TEST_001887,22.361530786069206
2110,TEST_002110,38.0847810075096
2162,TEST_002162,20.451392914048462
2259,TEST_002259,28.103184326393702
2308,TEST_002308,21.78443902009129
2310,TEST_002310,16.443299225436252
2358,TEST_002358,15.991859290587913
2458,TEST_002458,17.079304495441278
2609,TEST_002609,20.877975908331884
2690,TEST_002690,16.32342185293347
2741,TEST_002741,15.298480688555038
2783,TEST_002783,16.549420468520598
2858,TEST_002858,16.585839895733073
2988,TEST_002988,22.675336554605078
2995,TEST_002995,16.429691522193774
3051,TEST_003051,18.71728438377253
3139,TEST_003139,16.334050723537267
3163,TEST_003163,15.890119937656094
3252,TEST_003252,25.15460964624541
3368,TEST_003368,25.275196814010474
3771,TEST_003771,16.64248064742988
3812,TEST_003812,19.89928173922488
3981,TEST_003981,28.85865813470583
4001,TEST_004001,16.353768539542305
4090,TEST_004090,17.5728048503323
4212,TEST_004212,17.61879522444121
4262,TEST_004262,18.864151880701662
4442,TEST_004442,16.15498487472127
4460,TEST_004460,16.979270282334056
4598,TEST_004598,15.595184100290119
4849,TEST_004849,28.25890302191038
4957,TEST_004957,19.04346025761139
4958,TEST_004958,16.086172849306287
5269,TEST_005269,22.73795511592963
5341,TEST_005341,24.98911135939319
5352,TEST_005352,16.342931342263785
5386,TEST_005386,13.778121962004398
5463,TEST_005463,27.299598585856373
5474,TEST_005474,22.7820507475846
5506,TEST_005506,16.636827998867957
5568,TEST_005568,13.612278526604173
5921,TEST_005921,22.533485137798685
6032,TEST_006032,15.318871878245401
6127,TEST_006127,18.044338297631153
6218,TEST_006218,19.266012900079584
6272,TEST_006272,21.1470540561986
6286,TEST_006286,28.93022823432451
6827,TEST_006827,23.564248505321064
6844,TEST_006844,18.23829579631112
6911,TEST_006911,15.281473292084454
6951,TEST_006951,20.46002426277265
6997,TEST_006997,22.85033892154063
7148,TEST_007148,29.186527889824013
7149,TEST_007149,15.598070320500232
7205,TEST_007205,24.122717355861855
7224,TEST_007224,21.830285502748623
7335,TEST_007335,18.014818658035086
7521,TEST_007521,14.975273166124332
7628,TEST_007628,23.787233155427376
7670,TEST_007670,23.038711807233003
7731,TEST_007731,18.18487093965208
7753,TEST_007753,15.653526344250235
7920,TEST_007920,15.47449998705793
8006,TEST_008006,27.972623931901406
8232,TEST_008232,20.42154438340649
8391,TEST_008391,14.44956545938394
8450,TEST_008450,15.794185011380236
8508,TEST_008508,15.90442534694085
8562,TEST_008562,36.21067437966535
8581,TEST_008581,21.415769270040688
8712,TEST_008712,17.952564687389152
8731,TEST_008731,15.782991919239196
8886,TEST_008886,22.187863351505015
9006,TEST_009006,19.624078919590264
9209,TEST_009209,25.153097099401847
9268,TEST_009268,22.187863351505015
9323,TEST_009323,16.809035987310814
9489,TEST_009489,19.936496623752017
9549,TEST_009549,17.06250944455607
9637,TEST_009637,27.972623931901406
9942,TEST_009942,28.70536932215477
10210,TEST_010210,24.651033382618238
10329,TEST_010329,16.636827998867957
10336,TEST_010336,17.08634951479678
10431,TEST_010431,15.834778056342435
10455,TEST_010455,38.0847810075096
10891,TEST_010891,18.71728438377253
10940,TEST_010940,17.498498468917873
10970,TEST_010970,21.415769270040688
11169,TEST_011169,17.5728048503323
11401,TEST_011401,15.274483612415535
11416,TEST_011416,17.843722529218866
11470,TEST_011470,15.867197369827005
11557,TEST_011557,13.339620536111354
11790,TEST_011790,18.557568909032145
12137,TEST_012137,18.678627236775053
12164,TEST_012164,15.908400280761606
12233,TEST_012233,27.556541313514604
12318,TEST_012318,17.198182816243662
12357,TEST_012357,31.503709354948537
12362,TEST_012362,18.864151880701662
12514,TEST_012514,17.198182816243662
12564,TEST_012564,24.198466888268722
12644,TEST_012644,16.447713616664558
12800,TEST_012800,16.55095948973436
12817,TEST_012817,14.297625423132322
12974,TEST_012974,19.249422473517114
13004,TEST_013004,18.58186053254598
13053,TEST_013053,15.274483612415535
13082,TEST_013082,18.84973365349127
13268,TEST_013268,20.97384430969334
13269,TEST_013269,16.44801591848412
13302,TEST_013302,25.20409868549862
13386,TEST_013386,25.212388596002647
13743,TEST_013743,17.376134378097163
13835,TEST_013835,21.053328079341735
13879,TEST_013879,16.81665869661816
13933,TEST_013933,21.609691626093408
13972,TEST_013972,25.581430564286816
14085,TEST_014085,28.99761039536051
14302,TEST_014302,16.584445856639963
14644,TEST_014644,16.672630046949962
14654,TEST_014654,24.022944650375088
14807,TEST_014807,24.08426806773163
14924,TEST_014924,19.428779177341404
15273,TEST_015273,18.743515056972242
15372,TEST_015372,21.476746173663205
15474,TEST_015474,16.810356879485962
15478,TEST_015478,16.81665869661816
15631,TEST_015631,15.429666623999536
16006,TEST_016006,14.97085055585216
16016,TEST_016016,18.384851397900583
16025,TEST_016025,17.394165656770923
16045,TEST_016045,24.08426806773163
16077,TEST_016077,23.16958886581728
16089,TEST_016089,16.43691091602467
16127,TEST_016127,16.62340349712818
16135,TEST_016135,17.58393449695764
16221,TEST_016221,17.370799023277964
16363,TEST_016363,15.930378298917818
16416,TEST_016416,16.87475490626193
