,id,target
20,TEST_000020,33.14749374239546
23,TEST_000023,40.733621140418556
52,TEST_000052,21.906106935927436
66,TEST_000066,46.438464285714275
105,TEST_000105,25.40389706565283
137,TEST_000137,24.994793936800452
149,TEST_000149,31.315039050600365
273,TEST_000273,38.74380190152713
364,TEST_000364,25.596365077087142
414,TEST_000414,41.46197619047621
488,TEST_000488,36.87043504281559
512,TEST_000512,32.24839486402408
514,TEST_000514,26.267389251105374
554,TEST_000554,34.95846571489884
654,TEST_000654,29.495507727904947
831,TEST_000831,37.143684172473584
904,TEST_000904,32.135639133730955
908,TEST_000908,36.03008782564108
916,TEST_000916,31.863452791702095
923,TEST_000923,25.429079734709727
953,TEST_000953,38.24421373092879
999,TEST_000999,37.1058559060049
1004,TEST_001004,37.07584466542919
1042,TEST_001042,31.135609398270308
1050,TEST_001050,27.41349730824731
1224,TEST_001224,27.46228993631989
1396,TEST_001396,26.682018950543032
1476,TEST_001476,31.863072350901785
1481,TEST_001481,21.669463140796935
1495,TEST_001495,26.889795589105894
1529,TEST_001529,25.014474527329572
1545,TEST_001545,27.657202620798753
1557,TEST_001557,28.65773269593922
1667,TEST_001667,22.40976480933961
1702,TEST_001702,34.74727442002442
1836,TEST_001836,28.646695092028498
1890,TEST_001890,44.54397681485183
1940,TEST_001940,37.39279755133351
2008,TEST_002008,41.647299077653564
2019,TEST_002019,23.15355080205882
2054,TEST_002054,27.461306349835795
2082,TEST_002082,23.990931872022333
2085,TEST_002085,22.69610931143558
2141,TEST_002141,22.791937384914934
2152,TEST_002152,32.308905203785805
2254,TEST_002254,33.75660335578611
2340,TEST_002340,23.280691829369104
2349,TEST_002349,28.906933597191696
2378,TEST_002378,26.041373728806892
2447,TEST_002447,33.421074152578235
2471,TEST_002471,22.917701726060884
2497,TEST_002497,32.081311034308314
2500,TEST_002500,29.684686870558284
2525,TEST_002525,24.095976908391012
2533,TEST_002533,33.2267016775734
2599,TEST_002599,25.398637951520044
2610,TEST_002610,25.01870154895871
2629,TEST_002629,37.86755104203842
2680,TEST_002680,30.55124590363905
2808,TEST_002808,36.90691977957034
2863,TEST_002863,36.07399896598335
3036,TEST_003036,29.60305805607663
3076,TEST_003076,30.72715883386585
3122,TEST_003122,35.356335931780066
3232,TEST_003232,26.82098192509368
3346,TEST_003346,35.0109053177215
3363,TEST_003363,24.832839955581058
3433,TEST_003433,35.88793450170809
3447,TEST_003447,25.13355346932306
3508,TEST_003508,25.79035680126679
3524,TEST_003524,33.54390388425592
3527,TEST_003527,41.71580611766758
3574,TEST_003574,37.589992395800806
3578,TEST_003578,28.380604412177085
3625,TEST_003625,31.526877848015115
3664,TEST_003664,35.40066980241981
3698,TEST_003698,40.89842011218031
3969,TEST_003969,29.173042935435742
4018,TEST_004018,31.10045087013167
4057,TEST_004057,29.450549827688715
4105,TEST_004105,27.729772996548537
4134,TEST_004134,36.90385674577537
4194,TEST_004194,23.093586276965585
4325,TEST_004325,32.07256177273673
4381,TEST_004381,38.08761363636364
4437,TEST_004437,31.207230563607354
4551,TEST_004551,26.57367440109455
4556,TEST_004556,18.478167419144803
4569,TEST_004569,21.82859351797717
4578,TEST_004578,35.38036620358921
4616,TEST_004616,29.914442421978592
4665,TEST_004665,36.28042524847868
4674,TEST_004674,25.378242767195648
4683,TEST_004683,29.531884835292605
4769,TEST_004769,30.80990557091143
4792,TEST_004792,37.63847222234361
4832,TEST_004832,31.49440659463947
4874,TEST_004874,31.873164594751582
4988,TEST_004988,31.0070446471359
4989,TEST_004989,38.03171282200439
5186,TEST_005186,25.274219252099513
5212,TEST_005212,32.582078593416064
5287,TEST_005287,42.91067383200735
5419,TEST_005419,28.07243663767393
5425,TEST_005425,30.40226531091067
5433,TEST_005433,24.014715847362172
5531,TEST_005531,31.12335405146268
5555,TEST_005555,38.54697064047064
5617,TEST_005617,30.406670634920637
5726,TEST_005726,26.57367440109455
5856,TEST_005856,25.274219252099513
6001,TEST_006001,26.886910222103225
6004,TEST_006004,23.4015105642122
6085,TEST_006085,31.868563456849497
6096,TEST_006096,34.99182377269036
6151,TEST_006151,31.95194580228024
6186,TEST_006186,37.66171371619158
6273,TEST_006273,41.226752191926664
6460,TEST_006460,25.379534324833074
6520,TEST_006520,40.25010068074697
6721,TEST_006721,39.065195270743445
6740,TEST_006740,21.922692052294632
6790,TEST_006790,19.460722177645494
6916,TEST_006916,35.01908591162109
6949,TEST_006949,38.88754081045466
6970,TEST_006970,37.11901821243374
6971,TEST_006971,29.144335466495427
7048,TEST_007048,33.093806001744504
7064,TEST_007064,32.61657927806982
7143,TEST_007143,26.457843638079297
7196,TEST_007196,39.45080952380952
7230,TEST_007230,36.26768286469121
7257,TEST_007257,36.03915026877022
7300,TEST_007300,37.29998919136419
7310,TEST_007310,38.13977525466799
7476,TEST_007476,32.887927288761745
7580,TEST_007580,26.7998925253722
7622,TEST_007622,29.029936036063177
7663,TEST_007663,19.22008332452639
7666,TEST_007666,24.244144228703867
7674,TEST_007674,27.12881094623227
7718,TEST_007718,40.24503174603175
7840,TEST_007840,24.49854674930243
7869,TEST_007869,29.876486381117854
7924,TEST_007924,38.59012734736593
8011,TEST_008011,20.969666804674965
8065,TEST_008065,34.891423420523374
8074,TEST_008074,32.687520172593054
8102,TEST_008102,34.49014693412724
8222,TEST_008222,43.27739971139971
8240,TEST_008240,40.733621140418556
8308,TEST_008308,20.488824723352142
8370,TEST_008370,24.627097099823132
8375,TEST_008375,31.561813024147742
8405,TEST_008405,37.58227827633322
8463,TEST_008463,41.647299077653564
8625,TEST_008625,35.27260725433577
8704,TEST_008704,36.13533062226444
8728,TEST_008728,35.99974127463188
8775,TEST_008775,31.40972867159883
8872,TEST_008872,31.54845886058386
8927,TEST_008927,30.27886617352116
9065,TEST_009065,37.51081972970791
9074,TEST_009074,37.86755104203842
9081,TEST_009081,30.19597580990998
9119,TEST_009119,31.350855498132905
9232,TEST_009232,32.369238965348934
9282,TEST_009282,30.118695857087758
9339,TEST_009339,32.46707028000204
9479,TEST_009479,34.90453410054635
9497,TEST_009497,24.523894070478512
9511,TEST_009511,29.653784996270517
9544,TEST_009544,31.11894015275831
9570,TEST_009570,28.92802542664468
9571,TEST_009571,35.939885288952084
9615,TEST_009615,39.45367179784633
9619,TEST_009619,31.73240155972338
9630,TEST_009630,33.35109953934954
9692,TEST_009692,23.320083549964853
9760,TEST_009760,31.075131086459308
9815,TEST_009815,38.59012734736593
9843,TEST_009843,31.37454562129236
9891,TEST_009891,36.03008782564108
9894,TEST_009894,36.891087301587305
9916,TEST_009916,32.95161640479137
9948,TEST_009948,21.273720069998504
9986,TEST_009986,32.7698012646978
9993,TEST_009993,20.020646988556724
10004,TEST_010004,32.07483332041354
10050,TEST_010050,21.04524238233226
10119,TEST_010119,37.47514360465587
10163,TEST_010163,17.754187007520645
10266,TEST_010266,37.11901821243374
10314,TEST_010314,37.71543995174156
10355,TEST_010355,25.440743814615658
10393,TEST_010393,34.45294044577639
10530,TEST_010530,39.70650181762682
10596,TEST_010596,23.280691829369104
10684,TEST_010684,31.372958739101026
10686,TEST_010686,29.966225468975466
10707,TEST_010707,38.280943201666055
10709,TEST_010709,26.03989204091506
10786,TEST_010786,25.36920691678121
10885,TEST_010885,33.12860887426083
10919,TEST_010919,21.852840998758055
10924,TEST_010924,34.002318647575656
10994,TEST_010994,28.86594048401259
11155,TEST_011155,37.273280468970675
11179,TEST_011179,29.83559091652241
11304,TEST_011304,20.969666804674965
11341,TEST_011341,21.548696665987926
11724,TEST_011724,39.46830952380952
11741,TEST_011741,33.4113742644124
11810,TEST_011810,24.687531054937814
11965,TEST_011965,28.657559578665456
12063,TEST_012063,34.39653383140596
12075,TEST_012075,33.37921101999006
12087,TEST_012087,25.34175691852868
12191,TEST_012191,28.49387634981
12216,TEST_012216,35.330137323309756
12239,TEST_012239,39.28021386738781
12286,TEST_012286,24.873220132036717
12366,TEST_012366,35.05644913310908
12413,TEST_012413,24.246757605200656
12478,TEST_012478,38.01044879247436
12657,TEST_012657,25.35237059477551
12699,TEST_012699,23.63371503092711
12709,TEST_012709,26.392548467600186
12772,TEST_012772,25.900338236564018
12878,TEST_012878,32.95161640479137
12909,TEST_012909,31.756888191608546
12991,TEST_012991,30.02090588466539
13102,TEST_013102,32.369238965348934
13234,TEST_013234,33.37921101999006
13270,TEST_013270,38.739216178746034
13356,TEST_013356,38.59012734736593
13375,TEST_013375,31.675557544620823
13434,TEST_013434,32.603291225787224
13562,TEST_013562,31.207230563607354
13830,TEST_013830,35.939885288952084
13959,TEST_013959,23.990931872022333
14010,TEST_014010,25.23725425501198
14058,TEST_014058,30.545831376908318
14075,TEST_014075,39.56579613727402
14172,TEST_014172,38.45177699866234
14269,TEST_014269,30.72715883386585
14386,TEST_014386,33.925033276668806
14421,TEST_014421,30.688680153958217
14472,TEST_014472,31.863072350901785
14541,TEST_014541,20.673401166306906
14606,TEST_014606,30.40226531091067
14615,TEST_014615,29.262920235343394
14667,TEST_014667,23.577254847741127
14668,TEST_014668,34.685041815710896
14672,TEST_014672,40.45563634525089
14765,TEST_014765,31.942206372747425
15278,TEST_015278,25.68013352761722
15288,TEST_015288,33.20501709775247
15322,TEST_015322,25.792259759840377
15376,TEST_015376,39.86352452760431
15415,TEST_015415,36.534059999898616
15485,TEST_015485,27.82963731411033
15517,TEST_015517,31.135609398270308
15552,TEST_015552,21.195200294069714
15595,TEST_015595,31.757050012643834
15602,TEST_015602,29.893572652671054
15630,TEST_015630,26.42142412799378
15826,TEST_015826,25.930106820909206
15888,TEST_015888,23.54181923266216
15934,TEST_015934,37.005376456876455
15970,TEST_015970,37.589992395800806
15990,TEST_015990,29.173042935435742
15993,TEST_015993,41.56750933968851
16112,TEST_016112,36.46761061019714
16123,TEST_016123,30.281394752629932
16161,TEST_016161,23.4015105642122
16182,TEST_016182,36.480797453162765
16202,TEST_016202,27.69724952619358
16347,TEST_016347,32.82752503739823
16353,TEST_016353,39.41948330913102
16387,TEST_016387,36.28042524847868
16613,TEST_016613,21.08821421613986
16718,TEST_016718,28.96600287192973
16878,TEST_016878,26.212012106227853
16988,TEST_016988,37.675822279698146
16989,TEST_016989,23.69893889472213
17002,TEST_017002,38.24421373092879
17010,TEST_017010,35.10092883519563
