,id,target
118,TEST_000118,25.111590054725763
1279,TEST_001279,18.536222377720545
1376,TEST_001376,25.787530450705063
1594,TEST_001594,26.315676039272685
1750,TEST_001750,33.61029828518528
1820,TEST_001820,44.84319079508575
2345,TEST_002345,25.85908990501962
2350,TEST_002350,19.531525590584568
2394,TEST_002394,20.21446828395738
3274,TEST_003274,26.64453417616069
3306,TEST_003306,22.82670176526813
3313,TEST_003313,23.466454048993434
3343,TEST_003343,23.50124558568986
3355,TEST_003355,17.29935076514168
3388,TEST_003388,29.344497594694495
3394,TEST_003394,19.654078433942786
3463,TEST_003463,21.8373582264773
3570,TEST_003570,17.635079400363512
3736,TEST_003736,24.545428205821334
3990,TEST_003990,22.181969721872015
4205,TEST_004205,23.22574467947165
4468,TEST_004468,24.009348378230367
4749,TEST_004749,20.404538517228755
5293,TEST_005293,34.748067512729996
5965,TEST_005965,24.703594812044624
5980,TEST_005980,24.00124475829497
6108,TEST_006108,41.788026311908126
6379,TEST_006379,20.95392468489246
6473,TEST_006473,22.649887337225596
7146,TEST_007146,17.652477637663996
7218,TEST_007218,44.22125259954835
7326,TEST_007326,25.289156167827155
7543,TEST_007543,20.26780340104329
7552,TEST_007552,27.672532219450503
7612,TEST_007612,21.600342845061665
7816,TEST_007816,21.522096622334306
7936,TEST_007936,42.477551866616324
8579,TEST_008579,22.839349708189175
8585,TEST_008585,34.2325852483092
8745,TEST_008745,23.339769423719304
9599,TEST_009599,23.409167835553617
9678,TEST_009678,32.46324388929823
9805,TEST_009805,17.635079400363512
10025,TEST_010025,26.176887731920196
10447,TEST_010447,21.376074822310454
10989,TEST_010989,21.429169255775886
11131,TEST_011131,17.577526339324002
11189,TEST_011189,29.44909568786514
11318,TEST_011318,24.997115943418752
11330,TEST_011330,17.90245430789379
11398,TEST_011398,27.628445448625936
11815,TEST_011815,18.458247833582018
12067,TEST_012067,21.00880824463398
12185,TEST_012185,21.829101225597277
12267,TEST_012267,43.32936037794161
12495,TEST_012495,40.893476869979416
12559,TEST_012559,44.05416415913854
13112,TEST_013112,21.904243578975798
13208,TEST_013208,21.029744324506737
13771,TEST_013771,39.338096411566674
13787,TEST_013787,22.999852888446938
14182,TEST_014182,24.643780937314144
14353,TEST_014353,20.654625166414093
14382,TEST_014382,17.933864258058833
14466,TEST_014466,24.628528850522624
14520,TEST_014520,21.925584926105692
14524,TEST_014524,41.762133618191655
