,id,target
25,TEST_000025,24.124216851306496
360,TEST_000360,33.88400709451184
498,TEST_000498,23.196367376027148
549,TEST_000549,22.00619964502331
567,TEST_000567,21.048038881039542
583,TEST_000583,28.585779062740084
824,TEST_000824,25.907172180337266
1285,TEST_001285,22.461991097051634
1326,TEST_001326,24.247596730386054
1693,TEST_001693,19.772937859742488
1993,TEST_001993,30.919883294716424
1996,TEST_001996,25.85803080341485
2199,TEST_002199,25.31054301964748
2448,TEST_002448,24.893933239217755
2502,TEST_002502,26.058553753483533
2860,TEST_002860,21.839808318953377
3284,TEST_003284,27.37905318710124
3390,TEST_003390,19.262637422681866
3397,TEST_003397,27.52222225722553
3593,TEST_003593,26.302128458537055
3890,TEST_003890,29.600739392280627
3903,TEST_003903,21.53546367995192
3997,TEST_003997,22.653647027251083
3998,TEST_003998,30.76414884719798
4472,TEST_004472,30.562341463502477
4676,TEST_004676,27.518859759564396
5215,TEST_005215,23.800722810332093
5820,TEST_005820,23.946719341334546
5902,TEST_005902,34.89177095419206
6184,TEST_006184,23.175002587395074
6313,TEST_006313,28.21894126810144
6722,TEST_006722,24.590613825135833
6848,TEST_006848,28.62432263015723
7094,TEST_007094,25.726173987953352
7233,TEST_007233,25.339422140855575
7393,TEST_007393,29.139725999791345
8058,TEST_008058,31.145749020704866
8455,TEST_008455,27.360833694318657
9129,TEST_009129,39.4590667641956
9315,TEST_009315,23.800722810332093
9461,TEST_009461,27.806850268924162
9495,TEST_009495,28.965547881205552
9758,TEST_009758,32.7781017208549
9983,TEST_009983,26.46157462596424
10413,TEST_010413,20.626735638398213
10550,TEST_010550,21.820390667983993
11180,TEST_011180,22.00619964502331
11422,TEST_011422,35.81422251769677
11584,TEST_011584,21.581550094337423
11661,TEST_011661,25.26119381031806
12378,TEST_012378,24.643464747737454
12417,TEST_012417,28.585779062740084
12461,TEST_012461,28.766314980823022
12497,TEST_012497,22.659691289762826
12520,TEST_012520,25.938413784597156
12574,TEST_012574,24.536656282607417
