,id,target
81,TEST_000081,56.3564141712826
557,TEST_000557,55.88371402505361
1011,TEST_001011,55.22259178655853
1049,TEST_001049,57.60226009335945
1095,TEST_001095,70.81519581965024
1342,TEST_001342,56.3564141712826
1720,TEST_001720,55.518296709037344
2012,TEST_002012,75.62757104665222
2058,TEST_002058,72.86959199529144
2184,TEST_002184,55.41784104909544
2418,TEST_002418,73.68130191999624
2597,TEST_002597,49.27689414619109
3440,TEST_003440,60.885251142275145
3752,TEST_003752,49.0427858524662
3756,TEST_003756,55.67861179787785
4359,TEST_004359,70.82903250127933
4441,TEST_004441,48.73958463191456
4642,TEST_004642,57.96014167769133
4697,TEST_004697,58.2276285318619
4823,TEST_004823,23.124337966272805
4944,TEST_004944,57.12435369416838
4979,TEST_004979,71.55814344983003
5005,TEST_005005,62.135947666751846
5148,TEST_005148,18.415892787874196
5574,TEST_005574,31.289977789740515
5637,TEST_005637,74.96630758250738
5733,TEST_005733,55.872597379535044
5817,TEST_005817,71.07992385786336
6041,TEST_006041,56.11460168557743
6166,TEST_006166,45.697414036211825
6364,TEST_006364,48.520863493988074
6547,TEST_006547,69.2886979930011
6926,TEST_006926,58.597636194607475
7134,TEST_007134,44.52100005782062
7258,TEST_007258,46.72477271194262
7334,TEST_007334,61.86630557660019
7615,TEST_007615,55.22259178655853
8060,TEST_008060,56.45203647109231
9332,TEST_009332,50.34878166076493
9438,TEST_009438,49.52087505838224
9845,TEST_009845,70.48096860760747
9933,TEST_009933,74.96630758250738
10064,TEST_010064,72.00347057234666
10202,TEST_010202,56.771627360865324
10237,TEST_010237,69.98413088976544
10797,TEST_010797,75.62757104665222
10825,TEST_010825,36.91248214568966
10997,TEST_010997,58.66531610556271
11082,TEST_011082,58.66531610556271
11156,TEST_011156,54.90569757426997
11272,TEST_011272,49.52087505838224
11550,TEST_011550,57.22403921063041
11715,TEST_011715,58.36079714539538
11895,TEST_011895,57.30861727411275
11994,TEST_011994,56.839187911623284
12085,TEST_012085,55.957640831005726
12468,TEST_012468,65.74109789430439
12523,TEST_012523,54.67063098133368
12945,TEST_012945,58.21108663539307
13070,TEST_013070,58.37145997360548
13267,TEST_013267,53.57130347072417
13292,TEST_013292,62.257078882359444
13337,TEST_013337,70.49787023869774
13597,TEST_013597,74.78760262145342
13611,TEST_013611,56.771272877667236
13718,TEST_013718,50.34878166076493
13720,TEST_013720,73.15930543915822
13942,TEST_013942,74.63069841206102
13979,TEST_013979,63.89257581784575
14028,TEST_014028,61.650721480323675
14063,TEST_014063,48.83498061409717
14220,TEST_014220,61.68635718799527
14587,TEST_014587,49.84243464642703
14621,TEST_014621,73.18891756902408
14864,TEST_014864,49.27689414619109
15028,TEST_015028,58.36079714539538
15210,TEST_015210,50.64174937570092
15258,TEST_015258,70.81519581965024
15269,TEST_015269,40.21018367042596
16013,TEST_016013,57.32768360124633
16248,TEST_016248,70.05270903594658
16293,TEST_016293,62.135947666751846
16345,TEST_016345,58.39486406406639
16429,TEST_016429,54.18203729012274
16450,TEST_016450,37.879451915007984
16771,TEST_016771,51.185751931305056
16959,TEST_016959,58.12837450982599
17065,TEST_017065,56.85062347797234
17202,TEST_017202,60.57899379191511
17366,TEST_017366,58.568043385512034
17383,TEST_017383,61.86630557660019
17495,TEST_017495,56.885328889833715
17603,TEST_017603,27.727606350169832
18066,TEST_018066,58.56401459895148
18112,TEST_018112,56.771272877667236
18241,TEST_018241,38.28935845284977
18331,TEST_018331,61.80604413498018
18520,TEST_018520,57.52643325878483
18568,TEST_018568,47.60029902334787
18741,TEST_018741,56.764093809011804
18871,TEST_018871,57.1301196574423
18881,TEST_018881,38.955858941419095
19044,TEST_019044,59.57789925003457
19133,TEST_019133,47.59745115312557
19174,TEST_019174,47.573961112146606
19199,TEST_019199,53.19534854944195
19416,TEST_019416,37.65291056318037
20010,TEST_020010,50.1450291793694
20066,TEST_020066,73.36848045532214
20548,TEST_020548,50.34878166076493
20570,TEST_020570,58.2276285318619
20776,TEST_020776,57.27056428348519
20897,TEST_020897,54.49113449719763
20902,TEST_020902,58.71746868491933
21068,TEST_021068,56.976434388455324
21074,TEST_021074,29.21748862614987
21097,TEST_021097,58.82010866502417
21224,TEST_021224,71.34697727821312
21602,TEST_021602,53.938451745735094
21626,TEST_021626,29.719061718958482
22012,TEST_022012,51.438271999161195
22028,TEST_022028,71.36491159519454
22109,TEST_022109,73.2283843534906
22146,TEST_022146,73.18891756902408
22238,TEST_022238,62.502077506984804
22330,TEST_022330,57.0492846952922
22392,TEST_022392,56.74771052475061
22670,TEST_022670,70.49787023869774
23291,TEST_023291,55.957640831005726
23301,TEST_023301,49.555414520664634
23605,TEST_023605,59.29084148570045
23652,TEST_023652,26.028911618310353
23767,TEST_023767,58.82375982179562
24069,TEST_024069,23.124337966272805
24237,TEST_024237,44.68621275314249
24305,TEST_024305,47.60029902334787
24401,TEST_024401,55.22259178655853
24536,TEST_024536,70.73921128649468
24644,TEST_024644,56.93654832484276
24906,TEST_024906,56.86041919225555
25138,TEST_025138,47.30174968810869
25152,TEST_025152,50.75407546899519
25319,TEST_025319,51.9677950517298
25370,TEST_025370,70.05270903594658
25803,TEST_025803,60.63028244771568
26043,TEST_026043,56.512505193455006
26129,TEST_026129,72.86959199529144
26239,TEST_026239,61.70530315486303
26887,TEST_026887,71.26208762344739
26948,TEST_026948,56.890382562643794
26971,TEST_026971,56.885328889833715
27031,TEST_027031,58.66531610556271
27334,TEST_027334,61.34375974219402
27347,TEST_027347,56.11460168557743
27437,TEST_027437,56.838639991328954
27469,TEST_027469,75.29592290964153
27621,TEST_027621,44.08622744337381
27727,TEST_027727,49.640380754344335
27802,TEST_027802,56.75778152164844
28153,TEST_028153,70.82903250127933
28220,TEST_028220,56.29561538368001
