,id,target
235,TEST_000235,31.25507366622089
241,TEST_000241,49.45767057850607
380,TEST_000380,46.40364264815713
652,TEST_000652,44.745891188340075
690,TEST_000690,33.258853039700696
893,TEST_000893,46.19537913234614
1195,TEST_001195,32.39792520354344
1201,TEST_001201,31.25507366622089
1355,TEST_001355,29.25161394310213
1575,TEST_001575,45.892236952365366
1675,TEST_001675,43.40563416603887
1859,TEST_001859,46.95168702640872
2187,TEST_002187,30.624242826637975
2487,TEST_002487,31.980813638479848
2490,TEST_002490,36.16282841162981
2583,TEST_002583,47.3718839217906
2693,TEST_002693,32.71568989961971
2702,TEST_002702,43.22563255462193
3049,TEST_003049,43.981639538659856
3315,TEST_003315,31.60986636743239
3347,TEST_003347,50.181357250291704
3565,TEST_003565,50.13927552851905
3617,TEST_003617,31.320068298078155
3683,TEST_003683,43.57514568299926
3814,TEST_003814,42.944344760681275
3938,TEST_003938,31.102451689241335
4008,TEST_004008,44.72588597981751
4093,TEST_004093,44.65838528643898
4504,TEST_004504,42.81439123805682
4848,TEST_004848,51.00392351343236
4951,TEST_004951,43.932503051533104
5098,TEST_005098,31.06075543671508
5387,TEST_005387,52.89773490623404
5947,TEST_005947,52.18390399608475
6471,TEST_006471,43.679177668482886
6731,TEST_006731,31.102451689241335
6767,TEST_006767,44.927645816497204
6865,TEST_006865,43.80149864187053
6982,TEST_006982,36.39317414810722
7198,TEST_007198,31.27646270102178
7631,TEST_007631,35.19285370934954
7915,TEST_007915,37.01407548927241
8023,TEST_008023,52.1251637383113
8053,TEST_008053,46.18703576418616
8496,TEST_008496,29.378629251663618
8645,TEST_008645,50.181357250291704
9211,TEST_009211,33.653232101831506
9237,TEST_009237,31.677932317105842
9676,TEST_009676,31.09798953677948
9871,TEST_009871,27.78227927225757
9886,TEST_009886,45.398035456441654
10525,TEST_010525,45.509575306239974
10650,TEST_010650,44.150036479181466
10662,TEST_010662,45.03333966754377
10890,TEST_010890,46.46677359185553
11030,TEST_011030,30.409951341523097
11466,TEST_011466,44.07857685087969
11650,TEST_011650,44.44626746587567
12083,TEST_012083,30.412374840576394
12125,TEST_012125,30.926302818277904
12526,TEST_012526,46.09354055602088
12814,TEST_012814,47.02791879260904
13009,TEST_013009,45.456707072844935
13108,TEST_013108,31.161222155821825
13384,TEST_013384,43.08064565397434
13732,TEST_013732,52.89773490623404
13853,TEST_013853,32.928393264372524
14878,TEST_014878,50.174125987663956
14962,TEST_014962,32.03122061214173
14963,TEST_014963,51.95854896544657
15037,TEST_015037,45.70859893045711
15178,TEST_015178,45.15457440299955
15247,TEST_015247,45.52566866491029
15915,TEST_015915,45.58175975411066
15952,TEST_015952,31.360327829623774
16074,TEST_016074,44.40282194828429
16141,TEST_016141,34.623764666951935
16909,TEST_016909,43.30579979449428
17006,TEST_017006,45.892236952365366
17269,TEST_017269,45.58175975411066
17494,TEST_017494,50.5470581396146
17535,TEST_017535,44.609205983077416
17575,TEST_017575,44.61086347429721
17757,TEST_017757,43.12697050831964
17908,TEST_017908,31.137306482516838
18056,TEST_018056,43.30579979449428
18369,TEST_018369,45.64319971653659
18386,TEST_018386,47.520678472224645
18442,TEST_018442,34.710743131321706
18604,TEST_018604,34.623764666951935
18637,TEST_018637,32.531868579277905
19271,TEST_019271,32.71568989961971
19310,TEST_019310,29.23003445006011
19314,TEST_019314,44.09794300685679
19411,TEST_019411,29.980900517336494
19873,TEST_019873,45.02272433893072
20341,TEST_020341,44.938631952217456
20401,TEST_020401,47.18016907198462
20700,TEST_020700,43.99825622431087
21004,TEST_021004,31.44373076907821
21092,TEST_021092,43.773940133349306
22026,TEST_022026,45.5146310809005
22097,TEST_022097,32.496552885543906
22287,TEST_022287,43.80149864187053
22639,TEST_022639,31.298371827473016
22866,TEST_022866,44.92773868024144
22970,TEST_022970,32.64138668410456
23216,TEST_023216,50.18910730259927
23256,TEST_023256,47.23142124667809
23451,TEST_023451,45.69070633554605
23764,TEST_023764,47.04141183184136
24110,TEST_024110,47.29703058610564
24370,TEST_024370,49.3085418734586
24376,TEST_024376,32.513689422056245
24585,TEST_024585,44.62024818867016
24918,TEST_024918,50.5470581396146
25028,TEST_025028,47.750969644352736
25167,TEST_025167,31.192953750641827
25296,TEST_025296,45.15446519006307
25447,TEST_025447,45.227113013077
26068,TEST_026068,39.51133973793855
26468,TEST_026468,31.79117384101347
26499,TEST_026499,48.42165330739196
26656,TEST_026656,52.1251637383113
26907,TEST_026907,46.65665340147318
26921,TEST_026921,42.63253142492272
27567,TEST_027567,44.50592248056074
28030,TEST_028030,33.151305547377426
28325,TEST_028325,32.410288645749034
28399,TEST_028399,44.579911469221585
28777,TEST_028777,48.51042280670728
29119,TEST_029119,44.150036479181466
29320,TEST_029320,31.799703175769096
29428,TEST_029428,32.399085201155636
29448,TEST_029448,30.65374890801476
30303,TEST_030303,45.391094077854675
30368,TEST_030368,46.86098832772119
30380,TEST_030380,36.39317414810722
30792,TEST_030792,32.496552885543906
31098,TEST_031098,30.144376918540896
31151,TEST_031151,33.560725277528356
31170,TEST_031170,37.99682222178323
31706,TEST_031706,29.606473389247455
31990,TEST_031990,45.64672564614505
32017,TEST_032017,34.176638924508794
32393,TEST_032393,46.86098832772119
32449,TEST_032449,30.144376918540896
32499,TEST_032499,46.99203431200525
32598,TEST_032598,35.61440918914023
32635,TEST_032635,44.40282194828429
32891,TEST_032891,45.596290316934336
33013,TEST_033013,44.07857685087969
33064,TEST_033064,30.774983029241504
33315,TEST_033315,50.734942236292
33524,TEST_033524,33.258853039700696
33717,TEST_033717,45.70859893045711
33724,TEST_033724,31.59352359999941
34339,TEST_034339,32.64138668410456
34527,TEST_034527,45.06038251977375
34577,TEST_034577,35.61440918914023
34743,TEST_034743,36.99160670493599
35328,TEST_035328,33.62096998315864
35460,TEST_035460,30.624242826637975
35538,TEST_035538,43.679177668482886
35560,TEST_035560,44.85493277426221
35791,TEST_035791,47.49678992089006
36492,TEST_036492,30.412374840576394
36693,TEST_036693,47.02791879260904
36719,TEST_036719,43.13923123001683
36743,TEST_036743,48.65787270682452
36812,TEST_036812,45.70859893045711
36858,TEST_036858,44.27329898649148
37150,TEST_037150,47.29703058610564
37332,TEST_037332,37.99682222178323
37459,TEST_037459,30.624242826637975
37641,TEST_037641,48.551666740947795
37720,TEST_037720,44.250421552652575
37803,TEST_037803,45.23421192076948
37819,TEST_037819,44.95139209692233
37985,TEST_037985,47.51958627579965
38143,TEST_038143,31.799703175769096
38390,TEST_038390,49.45767057850607
38657,TEST_038657,30.879815030025892
38994,TEST_038994,44.40282194828429
39114,TEST_039114,45.952872905960696
39309,TEST_039309,44.07857685087969
39321,TEST_039321,31.27646270102178
39592,TEST_039592,31.614810455588582
39691,TEST_039691,49.3085418734586
39829,TEST_039829,50.734942236292
40098,TEST_040098,32.08457177108034
40251,TEST_040251,31.59352359999941
40418,TEST_040418,30.926302818277904
40450,TEST_040450,48.51042280670728
40482,TEST_040482,50.29103660260363
40686,TEST_040686,44.225488224678486
40717,TEST_040717,32.66337029178983
40953,TEST_040953,43.30579979449428
41001,TEST_041001,31.677932317105842
41080,TEST_041080,43.679177668482886
41205,TEST_041205,52.450243872602535
41236,TEST_041236,45.20763169927338
41521,TEST_041521,31.761406892319243
41661,TEST_041661,47.94960581983541
41856,TEST_041856,46.29388666322515
42133,TEST_042133,30.93070007983808
42201,TEST_042201,30.36248504038487
42215,TEST_042215,34.75311204417563
42293,TEST_042293,43.773940133349306
42697,TEST_042697,44.09794300685679
42892,TEST_042892,38.467681110600054
43333,TEST_043333,31.137306482516838
43405,TEST_043405,33.151305547377426
43532,TEST_043532,48.41858666136013
43592,TEST_043592,45.596290316934336
43692,TEST_043692,44.95139209692233
43807,TEST_043807,46.99203431200525
44144,TEST_044144,43.21997617487607
44279,TEST_044279,45.68561429784066
44369,TEST_044369,31.23571927520934
44392,TEST_044392,29.264595951603006
44397,TEST_044397,43.44741411162363
44501,TEST_044501,44.86867787783132
44847,TEST_044847,51.64178171388651
44960,TEST_044960,50.20328482162483
45481,TEST_045481,35.02914604123232
46337,TEST_046337,50.174125987663956
46434,TEST_046434,33.151305547377426
47042,TEST_047042,49.640065511951
47073,TEST_047073,30.35791565903418
47086,TEST_047086,45.96341025912436
47495,TEST_047495,44.01015594695628
