,id,target
424,TEST_000424,22.002047211994736
773,TEST_000773,22.504234708487832
956,TEST_000956,26.668401607293053
1169,TEST_001169,25.364217889927332
1284,TEST_001284,23.709704590986718
1323,TEST_001323,25.538052964442155
1673,TEST_001673,23.80284945658569
1690,TEST_001690,24.642879341778688
1768,TEST_001768,23.842004567635897
1961,TEST_001961,25.95337711973799
2016,TEST_002016,21.789806629765195
2241,TEST_002241,24.75628252198528
2324,TEST_002324,30.88404373986482
2770,TEST_002770,21.44976657402143
2970,TEST_002970,25.324298923688456
2994,TEST_002994,26.613024992529628
3192,TEST_003192,25.856387633365895
3260,TEST_003260,23.156372847582713
3584,TEST_003584,24.84146479219851
4187,TEST_004187,21.681099964612084
4298,TEST_004298,25.115054495149874
4537,TEST_004537,21.789806629765195
4748,TEST_004748,21.015704229108067
5033,TEST_005033,23.80284945658569
5137,TEST_005137,24.323679173765168
5443,TEST_005443,24.634860226256066
5470,TEST_005470,19.027031005396676
5529,TEST_005529,23.36868655601887
6145,TEST_006145,23.155025120341776
6774,TEST_006774,21.939553140963
7004,TEST_007004,23.57705510409681
7021,TEST_007021,25.635096907061467
7164,TEST_007164,20.043798737734228
7629,TEST_007629,17.737093648550537
7837,TEST_007837,24.491269500812415
7923,TEST_007923,30.98991682845367
7972,TEST_007972,21.107672766273822
8045,TEST_008045,22.064948570644905
8276,TEST_008276,21.8302639367022
8481,TEST_008481,22.641423263528406
8488,TEST_008488,22.341075931593018
8726,TEST_008726,24.401297611328168
9093,TEST_009093,24.358797568359254
9121,TEST_009121,24.84613743887821
9447,TEST_009447,21.27389902844092
9589,TEST_009589,20.319007029430978
9681,TEST_009681,25.95337711973799
9747,TEST_009747,22.19615966296949
10265,TEST_010265,25.700641658147724
10338,TEST_010338,22.835914685522024
10420,TEST_010420,30.21075212762035
10450,TEST_010450,24.64699548772013
10454,TEST_010454,23.80284945658569
10531,TEST_010531,21.512284986634253
10643,TEST_010643,24.802861678610828
10945,TEST_010945,21.339878684185866
11116,TEST_011116,28.830994412823667
11175,TEST_011175,25.530488796024677
11530,TEST_011530,23.644477154701768
11883,TEST_011883,25.72462163157451
11964,TEST_011964,26.095006287874856
12651,TEST_012651,22.04827157972042
12770,TEST_012770,25.766509722341745
12854,TEST_012854,24.68519415108342
13046,TEST_013046,22.364207528924517
13142,TEST_013142,23.473420545639964
13574,TEST_013574,21.398783381697644
13672,TEST_013672,25.25061878852874
13748,TEST_013748,21.197611934721213
13828,TEST_013828,24.405138840975404
14820,TEST_014820,25.606507630118088
14886,TEST_014886,21.601177599806896
14899,TEST_014899,24.640844590690985
15027,TEST_015027,18.509656500219133
15102,TEST_015102,22.064948570644905
15163,TEST_015163,24.957049180683317
15314,TEST_015314,21.993988454010132
15316,TEST_015316,24.559790571839564
15397,TEST_015397,22.504234708487832
15497,TEST_015497,21.748631437385608
15741,TEST_015741,20.48279269951395
15913,TEST_015913,20.925946901324807
16243,TEST_016243,25.643010271337747
16338,TEST_016338,26.759491494254316
16388,TEST_016388,25.530488796024677
16432,TEST_016432,25.954601373338996
16569,TEST_016569,21.372115989721888
16620,TEST_016620,24.850727022311766
16627,TEST_016627,24.470409671827564
16707,TEST_016707,23.82529914936853
16950,TEST_016950,23.269600556708514
16983,TEST_016983,20.914852535208606
17208,TEST_017208,27.26627530154058
17737,TEST_017737,22.02526069275323
18042,TEST_018042,25.708772017422945
18181,TEST_018181,24.850727022311766
18232,TEST_018232,23.82529914936853
18335,TEST_018335,26.370103588312446
18555,TEST_018555,25.55004633189568
18907,TEST_018907,21.398783381697644
19606,TEST_019606,23.999271520616784
19929,TEST_019929,22.108805782592885
19963,TEST_019963,21.040127910696626
20280,TEST_020280,22.002047211994736
20363,TEST_020363,21.107672766273822
20536,TEST_020536,23.208087038099737
20597,TEST_020597,24.679313982237442
20613,TEST_020613,21.197109308076524
20767,TEST_020767,25.20186669002075
21284,TEST_021284,21.748631437385608
21317,TEST_021317,21.49311341101847
21819,TEST_021819,21.219093597128463
21823,TEST_021823,21.27389902844092
21886,TEST_021886,25.25061878852874
22019,TEST_022019,24.679313982237442
22088,TEST_022088,21.77691446816967
22361,TEST_022361,22.847669510146893
22707,TEST_022707,25.170483888382705
22999,TEST_022999,24.83057048621226
23379,TEST_023379,22.090967854302583
23895,TEST_023895,21.65809710917993
23919,TEST_023919,21.372115989721888
23990,TEST_023990,26.67340836090859
24107,TEST_024107,23.709704590986718
24307,TEST_024307,21.088393763485485
24345,TEST_024345,22.37734463553313
24366,TEST_024366,26.024466705571648
24429,TEST_024429,25.86701394358106
24530,TEST_024530,22.37734463553313
24549,TEST_024549,22.740989807156037
24726,TEST_024726,21.98852862447234
24774,TEST_024774,23.30151679835938
25071,TEST_025071,22.574763922319004
25156,TEST_025156,20.16070393773331
25195,TEST_025195,23.93104965469728
25340,TEST_025340,19.919187572359892
25433,TEST_025433,27.05267668540025
25876,TEST_025876,25.170483888382705
25908,TEST_025908,24.823903732049022
25928,TEST_025928,25.25061878852874
26648,TEST_026648,25.538052964442155
27183,TEST_027183,23.65961513882449
27901,TEST_027901,22.835418553576645
28331,TEST_028331,24.679313982237442
28622,TEST_028622,25.364217889927332
28732,TEST_028732,23.999271520616784
28905,TEST_028905,24.850727022311766
28916,TEST_028916,25.86701394358106
29041,TEST_029041,25.700641658147724
29384,TEST_029384,21.627369899456376
29686,TEST_029686,26.463211996881412
29750,TEST_029750,26.661088766381027
30204,TEST_030204,20.321793252731315
30315,TEST_030315,24.50536447598469
30426,TEST_030426,21.698992149019336
30430,TEST_030430,20.013206745659552
30681,TEST_030681,23.208087038099737
31000,TEST_031000,25.806706559996265
31261,TEST_031261,27.463143499125575
31265,TEST_031265,23.00258748965986
31708,TEST_031708,25.3733935837236
31862,TEST_031862,21.197611934721213
31963,TEST_031963,25.55004633189568
32008,TEST_032008,21.523827794771165
32239,TEST_032239,25.806706559996265
32600,TEST_032600,23.670380047965647
32849,TEST_032849,21.85277615405027
32902,TEST_032902,25.955283413206388
33319,TEST_033319,29.117587164795363
33438,TEST_033438,24.634860226256066
33726,TEST_033726,26.1545163621631
33923,TEST_033923,21.832936569926296
33957,TEST_033957,22.377107233138705
34047,TEST_034047,27.452868271284952
34383,TEST_034383,26.108963795001873
34605,TEST_034605,20.013206745659552
34754,TEST_034754,26.217784895876083
34871,TEST_034871,22.533594292084146
34947,TEST_034947,24.344555039953693
35038,TEST_035038,23.155025120341776
35177,TEST_035177,21.61502919770779
35307,TEST_035307,21.939553140963
35660,TEST_035660,23.71045750252933
35761,TEST_035761,19.684398769272722
35896,TEST_035896,21.37189518075248
36403,TEST_036403,23.900685903083332
36529,TEST_036529,27.452868271284952
36546,TEST_036546,21.29662464707467
36981,TEST_036981,22.468790990162898
37044,TEST_037044,22.19615966296949
37136,TEST_037136,20.90690157965949
37386,TEST_037386,23.28457338501846
37397,TEST_037397,21.219093597128463
37400,TEST_037400,26.108963795001873
37759,TEST_037759,22.54475063834203
38154,TEST_038154,23.82529914936853
38333,TEST_038333,24.64699548772013
38501,TEST_038501,25.658781074209923
38531,TEST_038531,25.23223592813489
38582,TEST_038582,24.84146479219851
38656,TEST_038656,27.894409420645204
39238,TEST_039238,24.59801657925677
39548,TEST_039548,19.027031005396676
40073,TEST_040073,24.56686719976078
40168,TEST_040168,25.538488003049697
40479,TEST_040479,21.197109308076524
40499,TEST_040499,26.306946062957877
40778,TEST_040778,22.94482589645697
40787,TEST_040787,27.833474030553795
40956,TEST_040956,25.170483888382705
40972,TEST_040972,25.20186669002075
41020,TEST_041020,25.97088032844327
41203,TEST_041203,22.82786968641072
41223,TEST_041223,28.28016710803731
41539,TEST_041539,21.517348051028563
41571,TEST_041571,18.509656500219133
41729,TEST_041729,26.57075593060485
42055,TEST_042055,21.219093597128463
42071,TEST_042071,21.698992149019336
42127,TEST_042127,26.024466705571648
42238,TEST_042238,22.32110840199086
42342,TEST_042342,22.853572935441512
42473,TEST_042473,24.817047840365127
42556,TEST_042556,26.53348922401506
42628,TEST_042628,21.338098130885264
42863,TEST_042863,22.707434467695407
