,id,target
0,TEST_000000,24.648861758201704
38,TEST_000038,39.85899572560513
95,TEST_000095,30.927130199400395
115,TEST_000115,34.801344049472085
130,TEST_000130,32.834576156010556
147,TEST_000147,43.92549490104378
201,TEST_000201,46.17063626958784
244,TEST_000244,29.215302192144453
292,TEST_000292,47.746313004269815
304,TEST_000304,31.076494077797694
306,TEST_000306,43.39413296150714
332,TEST_000332,31.207746691190692
345,TEST_000345,34.17493533954628
376,TEST_000376,30.526512357789805
387,TEST_000387,19.951615771391218
397,TEST_000397,25.00699870705109
451,TEST_000451,41.15274301475549
484,TEST_000484,31.284745562491022
490,TEST_000490,48.496482313366606
507,TEST_000507,40.29105242052495
614,TEST_000614,27.315892143713363
666,TEST_000666,44.41737011653794
748,TEST_000748,35.32092059184178
838,TEST_000838,30.041618109812816
850,TEST_000850,30.184758358234138
946,TEST_000946,37.99770378265312
1003,TEST_001003,46.06737081107707
1089,TEST_001089,44.62409085928627
1148,TEST_001148,29.102193005296204
1151,TEST_001151,32.5673451286789
1155,TEST_001155,18.59918692184302
1190,TEST_001190,48.49907833049832
1212,TEST_001212,19.951615771391218
1236,TEST_001236,40.26808846184
1320,TEST_001320,35.16808176978096
1333,TEST_001333,26.77640087828416
1365,TEST_001365,49.98340518587569
1390,TEST_001390,33.88191526444295
1406,TEST_001406,47.313934594680426
1434,TEST_001434,37.83575149385018
1479,TEST_001479,33.10025595748806
1547,TEST_001547,31.675442784411985
1578,TEST_001578,28.243931371324255
1615,TEST_001615,43.986196103732624
1663,TEST_001663,47.242696622851305
1683,TEST_001683,29.039559249088555
1754,TEST_001754,19.04257885633721
1767,TEST_001767,20.969017880102342
1782,TEST_001782,33.098852610823215
1831,TEST_001831,14.456605207586035
1848,TEST_001848,39.76244665899224
1908,TEST_001908,29.79988149158388
1934,TEST_001934,30.84992100505598
1936,TEST_001936,20.010878555380735
1971,TEST_001971,46.17063626958784
2062,TEST_002062,33.457074738861095
2094,TEST_002094,47.176894955865215
2166,TEST_002166,27.90452591667003
2230,TEST_002230,49.555202562230924
2265,TEST_002265,45.90387870448822
2388,TEST_002388,32.50744801034282
2468,TEST_002468,30.42170440354322
2503,TEST_002503,30.97011315281088
2526,TEST_002526,27.487991577606426
2580,TEST_002580,30.12298391623998
2581,TEST_002581,49.41243997013923
2784,TEST_002784,30.00436255860857
2807,TEST_002807,45.284240797524554
2810,TEST_002810,30.094162142027223
2855,TEST_002855,35.741292244140425
2883,TEST_002883,34.67388136743116
2923,TEST_002923,44.67989350998148
2931,TEST_002931,42.21668699217676
2951,TEST_002951,28.93130317819615
2982,TEST_002982,36.35675850916143
3013,TEST_003013,29.192013691254424
3072,TEST_003072,29.167064396749325
3150,TEST_003150,24.381431985017333
3184,TEST_003184,23.84402993416008
3215,TEST_003215,43.14571355933328
3268,TEST_003268,28.163175128684994
3295,TEST_003295,49.555202562230924
3325,TEST_003325,51.26965313965035
3353,TEST_003353,36.22977075864274
3398,TEST_003398,32.95672988210048
3505,TEST_003505,34.46495639571639
3525,TEST_003525,29.371148035536535
3642,TEST_003642,46.059403753834246
3667,TEST_003667,29.292797225464856
3675,TEST_003675,23.733411994078352
3800,TEST_003800,31.79965780460478
3807,TEST_003807,47.908208974617175
3813,TEST_003813,33.43562007400111
3815,TEST_003815,19.494755373792838
3889,TEST_003889,40.9094848005077
3942,TEST_003942,45.82481968942228
3978,TEST_003978,25.967675562977597
4016,TEST_004016,32.962867384661884
4061,TEST_004061,27.79835093533943
4074,TEST_004074,44.19068821332422
4117,TEST_004117,25.90619044125198
4126,TEST_004126,46.31272847711547
4193,TEST_004193,46.00655029259897
4235,TEST_004235,46.64954449495634
4272,TEST_004272,45.238752668145835
4278,TEST_004278,43.42453599313807
4293,TEST_004293,27.186204092724974
4314,TEST_004314,21.14211298518477
4391,TEST_004391,34.00292351489445
4440,TEST_004440,51.249754711754356
4476,TEST_004476,42.428290930371276
4497,TEST_004497,44.67778004012555
4521,TEST_004521,23.71699337307043
4548,TEST_004548,18.6465049178981
4623,TEST_004623,47.31124178190166
4645,TEST_004645,29.167064396749325
4760,TEST_004760,44.11337542118223
4865,TEST_004865,44.17214778217805
4871,TEST_004871,46.1427076063102
4984,TEST_004984,45.173934476680664
5004,TEST_005004,28.879884929024406
5040,TEST_005040,27.415642273907014
5091,TEST_005091,28.477838088365946
5179,TEST_005179,47.31380516144579
5202,TEST_005202,28.04957164164058
5432,TEST_005432,30.45158198909782
5471,TEST_005471,52.11470506322952
5473,TEST_005473,44.72659855487134
5493,TEST_005493,36.631980135707494
5510,TEST_005510,30.45158198909782
5582,TEST_005582,19.133153249011695
5627,TEST_005627,46.17063626958784
5721,TEST_005721,28.48833017941331
5747,TEST_005747,34.61600268646112
5751,TEST_005751,46.23846890954987
5805,TEST_005805,26.77573764919027
5807,TEST_005807,44.207260180015844
5830,TEST_005830,50.35771765084145
5841,TEST_005841,26.239002673931545
5876,TEST_005876,33.89890240822889
5954,TEST_005954,25.094246979835393
5957,TEST_005957,33.08517068429722
5983,TEST_005983,46.1427076063102
6018,TEST_006018,36.26657286763177
6030,TEST_006030,37.61365965839619
6057,TEST_006057,29.404002253526688
6102,TEST_006102,28.51158949597989
6120,TEST_006120,32.473902255434425
6285,TEST_006285,30.24810098880132
6309,TEST_006309,25.023342192199998
6376,TEST_006376,23.780524794343247
6382,TEST_006382,29.764286499665083
6411,TEST_006411,47.37007255708974
6417,TEST_006417,34.46495639571639
6427,TEST_006427,30.184758358234138
6436,TEST_006436,18.95081394712924
6444,TEST_006444,43.13566798311558
6502,TEST_006502,18.958328499838725
6562,TEST_006562,31.748830509488702
6563,TEST_006563,29.641807561755485
6635,TEST_006635,48.91845783085575
6645,TEST_006645,25.90619044125198
6646,TEST_006646,26.84954583023174
6689,TEST_006689,37.98976291292299
6723,TEST_006723,19.90353889635072
6754,TEST_006754,31.93697866262658
6797,TEST_006797,48.180357106432346
6820,TEST_006820,26.715426234990932
6840,TEST_006840,42.00239049674601
6867,TEST_006867,43.531870180855414
6889,TEST_006889,45.700775427036746
6922,TEST_006922,25.15220110500145
7045,TEST_007045,32.526534533310624
7068,TEST_007068,33.47960912941352
7117,TEST_007117,35.18889292023753
7125,TEST_007125,44.31034623377313
7159,TEST_007159,27.647762547906826
7178,TEST_007178,25.355933702856287
7194,TEST_007194,15.238249762632545
7236,TEST_007236,30.000059373203445
7270,TEST_007270,26.649760559621313
7285,TEST_007285,49.09708656463807
7428,TEST_007428,29.14079005077961
7478,TEST_007478,43.524927372369696
7499,TEST_007499,32.207677747007985
7541,TEST_007541,30.543551017426115
7542,TEST_007542,36.224584536998734
7544,TEST_007544,40.384615582452355
7545,TEST_007545,30.287566009533535
7575,TEST_007575,36.89188376184111
7584,TEST_007584,47.531468344863896
7602,TEST_007602,30.24104443317382
7627,TEST_007627,22.2554003955103
7647,TEST_007647,45.604874654932466
7675,TEST_007675,27.636772803057884
7721,TEST_007721,19.88543640826977
7742,TEST_007742,38.97244033681834
7754,TEST_007754,39.96081218810157
7820,TEST_007820,43.10221635651273
7949,TEST_007949,25.028559899240054
7962,TEST_007962,49.85249827998986
8066,TEST_008066,19.04257885633721
8086,TEST_008086,30.948962203170876
8136,TEST_008136,24.05688881841052
8191,TEST_008191,34.19405103405515
8196,TEST_008196,40.651085498068056
8257,TEST_008257,29.438701545185417
8293,TEST_008293,29.013091584829926
8309,TEST_008309,29.78570749101482
8385,TEST_008385,36.67689760208019
8387,TEST_008387,30.440655475892985
8413,TEST_008413,19.991561587109498
8440,TEST_008440,40.651085498068056
8470,TEST_008470,50.19911457644817
8518,TEST_008518,25.211177668611686
8537,TEST_008537,20.5646746675022
8546,TEST_008546,31.128246245985252
8614,TEST_008614,41.51747881630397
8670,TEST_008670,47.68914226192501
8711,TEST_008711,23.733411994078352
8716,TEST_008716,39.64825818482846
8732,TEST_008732,50.553242658721395
8778,TEST_008778,29.642567320570606
8880,TEST_008880,30.7410707252092
8911,TEST_008911,31.223140626707522
8966,TEST_008966,47.188433510709935
8982,TEST_008982,44.61719497474046
8994,TEST_008994,32.05448408805106
9034,TEST_009034,31.07654697887264
9100,TEST_009100,26.549427725749183
9153,TEST_009153,35.60198120709735
9174,TEST_009174,33.78231313808306
9179,TEST_009179,33.69723660261335
9230,TEST_009230,32.514635698355896
9246,TEST_009246,42.00239049674601
9252,TEST_009252,43.22517918012577
9276,TEST_009276,47.175017948828845
9337,TEST_009337,27.669109827614296
9350,TEST_009350,28.111069325345678
9351,TEST_009351,29.093731374190995
9395,TEST_009395,33.39724559231598
9404,TEST_009404,29.4317461195998
9483,TEST_009483,45.90387870448822
9521,TEST_009521,43.569066165063134
9556,TEST_009556,20.898549541751635
9624,TEST_009624,41.271145881764284
9751,TEST_009751,32.3391096161292
9780,TEST_009780,33.69723660261335
9865,TEST_009865,39.34030919678657
9918,TEST_009918,27.58183943955954
9943,TEST_009943,45.041931219354154
9980,TEST_009980,41.57540441110293
10000,TEST_010000,42.51270904120402
10027,TEST_010027,29.98177146820859
10070,TEST_010070,24.087041667928535
10080,TEST_010080,38.43266923120296
10101,TEST_010101,49.016707316212326
10200,TEST_010200,42.75291670045258
10231,TEST_010231,26.34217394319779
10254,TEST_010254,45.34317536627315
10370,TEST_010370,29.65999865087558
10372,TEST_010372,45.89820590153473
10404,TEST_010404,42.824197608876645
10608,TEST_010608,46.16780303730514
10628,TEST_010628,35.27168056218175
10646,TEST_010646,27.153701661382403
10732,TEST_010732,45.31987471024045
10739,TEST_010739,46.63373999851474
10776,TEST_010776,46.92392966614716
10783,TEST_010783,47.63487454028279
10842,TEST_010842,33.58183489688522
10862,TEST_010862,28.776840042142773
10881,TEST_010881,45.954209709962804
10886,TEST_010886,48.11562094427301
10905,TEST_010905,46.0191805573115
10916,TEST_010916,29.7189619447164
10963,TEST_010963,25.15220110500145
10976,TEST_010976,44.47083476139661
11009,TEST_011009,50.72612708561406
11060,TEST_011060,36.533191847898536
11119,TEST_011119,44.17944555610181
11154,TEST_011154,30.06012350381397
11229,TEST_011229,27.79835093533943
11231,TEST_011231,19.389430119399478
11268,TEST_011268,51.94253825927559
11288,TEST_011288,43.58346797769057
11361,TEST_011361,28.93130317819615
11434,TEST_011434,40.23761601192577
11472,TEST_011472,23.71699337307043
11512,TEST_011512,29.14079005077961
11519,TEST_011519,45.802640112789696
11529,TEST_011529,30.6954600064514
11615,TEST_011615,30.372477376080013
11637,TEST_011637,18.012504518343267
11639,TEST_011639,34.075636415640226
11677,TEST_011677,43.761306281047766
11682,TEST_011682,21.52951591080114
11757,TEST_011757,19.028684160463158
11802,TEST_011802,35.12629202621879
11857,TEST_011857,30.63062300377919
11868,TEST_011868,28.879884929024406
11888,TEST_011888,28.741438924467644
