,id,target
85,TEST_000085,42.891262148193036
533,TEST_000533,44.915878540800385
799,TEST_000799,49.54343204462871
911,TEST_000911,52.809398479068335
978,TEST_000978,46.20848265430465
1055,TEST_001055,44.580871805027584
1085,TEST_001085,46.46116481443076
1367,TEST_001367,47.003600422864565
1586,TEST_001586,48.627904961123214
1612,TEST_001612,32.09779445059311
1668,TEST_001668,44.44189916184886
2072,TEST_002072,43.79418769023842
2515,TEST_002515,44.38400518119255
2882,TEST_002882,44.12894164735251
3059,TEST_003059,33.81147424925446
3220,TEST_003220,31.701386719867514
3277,TEST_003277,45.16743079999182
3489,TEST_003489,49.167796947454725
3490,TEST_003490,30.931519317442707
3491,TEST_003491,34.04414723435689
3607,TEST_003607,48.627904961123214
4059,TEST_004059,45.73924704352764
4062,TEST_004062,34.657834054896945
4450,TEST_004450,30.414740197566196
4622,TEST_004622,32.0420955086654
4742,TEST_004742,44.200418934859655
4831,TEST_004831,45.53938085675246
4912,TEST_004912,31.317062491333107
4947,TEST_004947,32.577328587806576
4969,TEST_004969,30.792093246056837
5231,TEST_005231,31.517399253376656
5467,TEST_005467,43.85040795098414
5741,TEST_005741,30.587980209345204
6029,TEST_006029,30.478552799009268
6303,TEST_006303,44.8600263763808
6474,TEST_006474,31.00484227358615
6637,TEST_006637,29.34830809879962
6681,TEST_006681,43.904403016563826
6792,TEST_006792,48.605557395246
6977,TEST_006977,31.912854264159833
7438,TEST_007438,44.1549723705113
7566,TEST_007566,28.937978536128394
7587,TEST_007587,35.64898782525454
7681,TEST_007681,27.263288646481545
8077,TEST_008077,48.83300578982628
8226,TEST_008226,32.97862396819388
8275,TEST_008275,42.9911549471188
8307,TEST_008307,40.775360639391394
8322,TEST_008322,29.84642400064342
8719,TEST_008719,44.427615221184816
9369,TEST_009369,31.00682011784173
9561,TEST_009561,43.629009677609574
9699,TEST_009699,48.07455652381388
9715,TEST_009715,43.44207069058404
10030,TEST_010030,29.84642400064342
10294,TEST_010294,31.701386719867514
10758,TEST_010758,44.24458924104209
11135,TEST_011135,45.59995948196156
11727,TEST_011727,44.427615221184816
11759,TEST_011759,29.409056715457965
12053,TEST_012053,49.87228638490161
12210,TEST_012210,43.79418769023842
12510,TEST_012510,44.1549723705113
12563,TEST_012563,46.46116481443076
12701,TEST_012701,47.003600422864565
12809,TEST_012809,45.809948859991046
13545,TEST_013545,48.07455652381388
13754,TEST_013754,32.52222270212881
13926,TEST_013926,31.067978743474825
14074,TEST_014074,51.31477771821272
14408,TEST_014408,32.04411255828907
14530,TEST_014530,36.380236498288234
14605,TEST_014605,43.10575011701488
14650,TEST_014650,45.709844331979646
14834,TEST_014834,31.126226013262276
14890,TEST_014890,44.604014703317354
15185,TEST_015185,31.35890551213781
15881,TEST_015881,34.04414723435689
16215,TEST_016215,50.22703489425241
16889,TEST_016889,43.838923685693516
16928,TEST_016928,43.15002928762688
17298,TEST_017298,46.20848265430465
17933,TEST_017933,31.872744988578003
18052,TEST_018052,45.809948859991046
18169,TEST_018169,46.069853867047904
18199,TEST_018199,43.14940484698164
18252,TEST_018252,45.706611514887456
18702,TEST_018702,48.07455652381388
18788,TEST_018788,31.898335296427668
18815,TEST_018815,37.826447922815426
18824,TEST_018824,30.84085779049969
18862,TEST_018862,31.804402347454314
19083,TEST_019083,46.96923944093316
19795,TEST_019795,29.801983061211345
19934,TEST_019934,42.891262148193036
20115,TEST_020115,43.1232649880285
20145,TEST_020145,46.07431373663083
20223,TEST_020223,43.14940484698164
20385,TEST_020385,32.36161834130372
20772,TEST_020772,44.915878540800385
21523,TEST_021523,48.43263210305864
21614,TEST_021614,33.124866117799336
21983,TEST_021983,29.84642400064342
22280,TEST_022280,32.97862396819388
22398,TEST_022398,48.95887336385417
22665,TEST_022665,30.18061485202454
22752,TEST_022752,31.872744988578003
24181,TEST_024181,44.04528001741191
24273,TEST_024273,33.297057013252655
24535,TEST_024535,34.512860760599885
24639,TEST_024639,45.72202717292643
25524,TEST_025524,46.98235186692416
25810,TEST_025810,50.52186874712499
26367,TEST_026367,32.52222270212881
26442,TEST_026442,44.12894164735251
26568,TEST_026568,44.580871805027584
26588,TEST_026588,45.34988553178129
26610,TEST_026610,50.64463573034058
27041,TEST_027041,46.509921809930994
27476,TEST_027476,45.694295889258846
27746,TEST_027746,38.719362937569684
28404,TEST_028404,39.16901877423976
29562,TEST_029562,31.514993499776775
29667,TEST_029667,31.35890551213781
29773,TEST_029773,29.409056715457965
29958,TEST_029958,43.10575011701488
30019,TEST_030019,33.500726153398475
30064,TEST_030064,44.53894210904958
30124,TEST_030124,31.99000086862285
30395,TEST_030395,45.48476499549965
30425,TEST_030425,33.79976249794991
30587,TEST_030587,34.87855455449881
30661,TEST_030661,45.3138006254321
30692,TEST_030692,48.35702272710302
31073,TEST_031073,45.20513990558698
31155,TEST_031155,31.545389952403877
31698,TEST_031698,34.03306246315998
32061,TEST_032061,30.58548234948996
32195,TEST_032195,46.982578683305626
32265,TEST_032265,32.94140077104152
32448,TEST_032448,34.26435086644632
