,id,target
1,TEST_000001,44.803850241726096
5,TEST_000005,51.49516669673971
10,TEST_000010,43.26905583480698
13,TEST_000013,46.14477938195054
14,TEST_000014,30.50137876930892
18,TEST_000018,43.06473041336987
28,TEST_000028,33.99866171434949
32,TEST_000032,16.55720410122335
35,TEST_000035,38.257105240113596
37,TEST_000037,22.73713643145908
39,TEST_000039,42.68272253837111
47,TEST_000047,52.70902420616936
50,TEST_000050,41.33231858539652
55,TEST_000055,36.371442499236544
57,TEST_000057,52.35800577773658
58,TEST_000058,37.95465491343408
65,TEST_000065,24.164977970828826
67,TEST_000067,25.96840133182246
78,TEST_000078,49.800346545173554
82,TEST_000082,46.081258819827234
97,TEST_000097,48.18158921297726
114,TEST_000114,36.576052694754566
119,TEST_000119,21.532239230701798
126,TEST_000126,30.882371053200355
127,TEST_000127,24.616555644227702
132,TEST_000132,55.90837691648623
135,TEST_000135,22.630194821378613
139,TEST_000139,65.53790812655451
142,TEST_000142,23.11891871391113
150,TEST_000150,35.843771110643985
154,TEST_000154,52.568390192511764
157,TEST_000157,25.148331801527064
160,TEST_000160,46.23394571352566
165,TEST_000165,32.707429974476646
166,TEST_000166,33.702562461670084
168,TEST_000168,25.325660914695774
171,TEST_000171,36.06937161701458
175,TEST_000175,26.08303693789617
183,TEST_000183,35.70596800011282
188,TEST_000188,44.13367776990658
189,TEST_000189,34.52634672739664
194,TEST_000194,34.90944769470355
205,TEST_000205,46.474470718028144
210,TEST_000210,15.46062506790032
223,TEST_000223,37.603420707482044
227,TEST_000227,32.08785079703156
230,TEST_000230,21.29174287828341
236,TEST_000236,27.832833127151677
240,TEST_000240,47.72996886506671
243,TEST_000243,50.05511733141351
253,TEST_000253,38.90504486131079
259,TEST_000259,38.22121837524539
265,TEST_000265,45.40154343979663
267,TEST_000267,49.87363242500543
272,TEST_000272,23.27503102774947
280,TEST_000280,19.02144709761972
281,TEST_000281,39.5513067706129
291,TEST_000291,33.8655226372886
300,TEST_000300,47.3032440308072
303,TEST_000303,24.452495357443397
316,TEST_000316,25.728922125698514
317,TEST_000317,31.540166966421967
319,TEST_000319,53.19560372727628
320,TEST_000320,47.622250930811084
322,TEST_000322,34.320288109830116
327,TEST_000327,27.038189531252
336,TEST_000336,36.62427920737966
338,TEST_000338,35.48081471583496
341,TEST_000341,43.32498351343824
343,TEST_000343,52.1952054235684
347,TEST_000347,35.403824341643976
356,TEST_000356,18.642323342455885
365,TEST_000365,37.20121353699352
367,TEST_000367,29.671999927744793
369,TEST_000369,54.047253427923486
373,TEST_000373,27.346372916833175
374,TEST_000374,25.44644762917268
377,TEST_000377,35.140619116840476
378,TEST_000378,34.47193541870746
390,TEST_000390,22.375852972688495
395,TEST_000395,29.226512406388
402,TEST_000402,22.400184905625487
408,TEST_000408,44.60277449988858
411,TEST_000411,40.491212639829975
418,TEST_000418,29.462769492166526
420,TEST_000420,17.579896349131346
425,TEST_000425,56.753472532199105
442,TEST_000442,32.572967597101155
444,TEST_000444,21.76753783063696
445,TEST_000445,48.05874939941354
446,TEST_000446,25.45391607923631
454,TEST_000454,34.17436621832073
460,TEST_000460,47.08027594967351
466,TEST_000466,54.97553803772422
468,TEST_000468,29.568747135727662
469,TEST_000469,57.448427419685856
477,TEST_000477,22.5969076310579
481,TEST_000481,50.0962571755106
499,TEST_000499,16.81289394210484
524,TEST_000524,46.50991744190517
527,TEST_000527,24.9729864589684
534,TEST_000534,49.161399703438185
552,TEST_000552,45.52033207243445
553,TEST_000553,22.39841264033784
569,TEST_000569,42.64490409937823
571,TEST_000571,33.42295282534324
588,TEST_000588,44.79835061111623
590,TEST_000590,25.911866210084845
591,TEST_000591,42.22492776038766
594,TEST_000594,31.344550757521574
609,TEST_000609,27.4822527541819
615,TEST_000615,39.46990255088116
622,TEST_000622,32.23675278058623
624,TEST_000624,49.98385053354282
628,TEST_000628,16.034244986391055
633,TEST_000633,20.336281105779594
636,TEST_000636,42.000400543700245
663,TEST_000663,50.327810152724076
669,TEST_000669,25.561735252134564
673,TEST_000673,30.72289934460735
674,TEST_000674,38.88510206088769
678,TEST_000678,32.98854591429252
696,TEST_000696,50.29467811426257
699,TEST_000699,30.03238949886488
700,TEST_000700,56.64807025825413
706,TEST_000706,49.54251160889767
713,TEST_000713,31.896695641616944
720,TEST_000720,37.993472342204065
723,TEST_000723,40.76567694684146
729,TEST_000729,48.42219176917551
736,TEST_000736,51.52907409610143
738,TEST_000738,33.616982755507394
741,TEST_000741,29.11719795499137
747,TEST_000747,30.162682622929673
749,TEST_000749,35.10953175581136
751,TEST_000751,37.962964652834486
752,TEST_000752,40.49356036493903
753,TEST_000753,32.16046285384665
754,TEST_000754,43.19242639164272
755,TEST_000755,39.1542528376707
762,TEST_000762,48.77839990612906
775,TEST_000775,43.58169947001411
781,TEST_000781,34.02385998803766
782,TEST_000782,31.20371020888893
783,TEST_000783,42.708319718649584
788,TEST_000788,45.32200324619365
793,TEST_000793,45.629584709914006
797,TEST_000797,38.13863787470727
811,TEST_000811,34.60028232187011
814,TEST_000814,52.40392942316741
827,TEST_000827,43.34139671173417
830,TEST_000830,49.34979304379478
846,TEST_000846,24.119985837339506
851,TEST_000851,19.104105240964213
854,TEST_000854,38.38193226377573
855,TEST_000855,38.47939251834663
857,TEST_000857,19.457162961801643
864,TEST_000864,49.66785046618579
865,TEST_000865,53.09141678709881
868,TEST_000868,39.82931744215883
872,TEST_000872,26.00452379086372
873,TEST_000873,38.73014650138515
879,TEST_000879,50.23149545295243
881,TEST_000881,52.71020971241368
884,TEST_000884,40.47480692220639
886,TEST_000886,35.63143657801833
888,TEST_000888,44.60184102212276
889,TEST_000889,21.476726274793073
897,TEST_000897,48.53532560062765
920,TEST_000920,51.081294385927734
932,TEST_000932,32.61290803676744
935,TEST_000935,25.325660914695774
937,TEST_000937,34.74188835576254
939,TEST_000939,36.405858506076456
941,TEST_000941,52.028728902056045
954,TEST_000954,27.769481570317584
959,TEST_000959,54.427860860542644
964,TEST_000964,47.22341652517328
974,TEST_000974,31.996115987312336
976,TEST_000976,36.65655980903146
987,TEST_000987,42.70151212507579
990,TEST_000990,36.52245230354914
998,TEST_000998,25.634001635744017
1001,TEST_001001,57.34465474049607
1012,TEST_001012,53.68429047019411
1020,TEST_001020,36.313977453800376
1021,TEST_001021,35.20515146432842
1024,TEST_001024,30.836709548643206
1030,TEST_001030,18.8512148610923
1035,TEST_001035,31.005303890831975
1039,TEST_001039,27.290202766078043
1051,TEST_001051,56.986390421217756
1058,TEST_001058,50.27214685471624
1061,TEST_001061,32.81885554351861
1068,TEST_001068,37.63328890191198
1071,TEST_001071,61.949218047160464
1072,TEST_001072,40.49356036493903
1084,TEST_001084,46.41945842122533
1087,TEST_001087,33.802862220503435
1091,TEST_001091,60.725649391201785
1096,TEST_001096,48.158760867488226
1108,TEST_001108,45.84198678230256
1111,TEST_001111,21.894687258629098
1116,TEST_001116,29.16626903074026
1118,TEST_001118,32.83704408924727
1119,TEST_001119,33.455979779121215
1127,TEST_001127,18.41607747953433
1131,TEST_001131,43.61477573389411
1137,TEST_001137,28.8809184058563
1139,TEST_001139,46.11645106737381
1141,TEST_001141,52.01767186893445
1149,TEST_001149,39.24208126774865
1152,TEST_001152,33.402094630662404
1161,TEST_001161,42.84294137249032
1164,TEST_001164,55.39597739910401
1168,TEST_001168,33.70198940526254
1170,TEST_001170,50.80840871022561
1175,TEST_001175,28.509346751345333
1182,TEST_001182,47.02803727209195
1198,TEST_001198,42.840279983935154
1207,TEST_001207,52.227516920902865
1214,TEST_001214,27.536597159790826
1215,TEST_001215,52.05096328645797
1220,TEST_001220,40.61671938683036
1222,TEST_001222,48.51363270205287
1227,TEST_001227,47.58938140225553
1241,TEST_001241,47.61731755448617
1250,TEST_001250,41.292108962776844
1272,TEST_001272,35.02566660270953
1278,TEST_001278,31.262110303178748
1283,TEST_001283,42.591445344567745
1293,TEST_001293,37.665266715503165
1301,TEST_001301,53.75265765805725
1307,TEST_001307,49.13003516543923
1322,TEST_001322,54.36180140627921
1324,TEST_001324,19.734732312255456
1327,TEST_001327,34.919102389820814
1328,TEST_001328,47.68827169519814
1329,TEST_001329,48.06318819586435
1332,TEST_001332,58.70164591544565
1335,TEST_001335,26.809877827481614
1343,TEST_001343,38.1069514588453
1348,TEST_001348,43.395215873390626
1349,TEST_001349,25.73065787413779
1352,TEST_001352,54.85177297831625
1357,TEST_001357,37.60119219397764
1361,TEST_001361,57.43724071029666
1366,TEST_001366,33.569087926040176
1369,TEST_001369,48.445338142540706
1373,TEST_001373,36.83845403042754
1374,TEST_001374,37.74702631398021
1377,TEST_001377,25.385801747198435
1385,TEST_001385,42.78237180582275
1386,TEST_001386,24.892168459621725
1397,TEST_001397,28.45679303159008
1403,TEST_001403,26.64618595193711
1411,TEST_001411,22.0624776467161
1414,TEST_001414,49.018632111501056
1415,TEST_001415,48.98596703970264
1439,TEST_001439,36.290754319799056
1442,TEST_001442,56.01580516618102
1444,TEST_001444,21.399474221971378
1445,TEST_001445,13.124231300036449
1452,TEST_001452,17.838163036831013
1458,TEST_001458,35.48579441714378
1463,TEST_001463,18.744654260512398
1466,TEST_001466,63.03557150875653
1474,TEST_001474,26.52874853991607
1486,TEST_001486,48.23837088926116
1492,TEST_001492,33.44665214759264
1502,TEST_001502,35.328196347969616
1505,TEST_001505,42.29596485470526
1506,TEST_001506,30.99066966683382
1507,TEST_001507,30.75247484232282
1510,TEST_001510,18.148848379317073
1511,TEST_001511,50.69241668757191
1519,TEST_001519,17.177872444779922
1527,TEST_001527,24.293587565593747
1535,TEST_001535,31.494865171618297
1537,TEST_001537,49.894304011901724
1542,TEST_001542,43.90159108499224
1550,TEST_001550,54.702986995097135
1551,TEST_001551,34.56262973897062
1555,TEST_001555,23.68478815081069
1569,TEST_001569,38.52141681677198
1582,TEST_001582,48.372321389854704
1587,TEST_001587,39.904543966308196
1588,TEST_001588,30.187155937028376
1590,TEST_001590,53.202551711804325
1591,TEST_001591,27.075096556764166
1592,TEST_001592,46.86349994372692
1599,TEST_001599,49.67022213113826
1616,TEST_001616,18.71178002357887
1625,TEST_001625,38.190673780505506
1631,TEST_001631,22.66007402306484
1635,TEST_001635,37.90469653397375
1637,TEST_001637,38.72337795302678
1648,TEST_001648,41.247042669507834
1656,TEST_001656,27.40861851176466
1660,TEST_001660,42.204678536201484
1661,TEST_001661,40.13096017720154
1674,TEST_001674,31.49259104907568
1677,TEST_001677,54.08993270712673
1679,TEST_001679,47.3103393720257
1680,TEST_001680,44.58349963094652
1703,TEST_001703,44.225897473693934
1706,TEST_001706,25.88797306874997
1708,TEST_001708,41.84647987522753
1709,TEST_001709,38.422997345467124
1710,TEST_001710,51.46052870957855
1711,TEST_001711,37.707485726671074
1715,TEST_001715,46.468792352633756
1716,TEST_001716,48.956661820503285
1729,TEST_001729,49.12846925096642
1730,TEST_001730,52.588802360852895
1732,TEST_001732,31.029270382384524
1733,TEST_001733,56.797291442036155
1735,TEST_001735,26.049598934731108
1738,TEST_001738,41.34802422993576
1746,TEST_001746,32.314254153702045
1749,TEST_001749,43.600933012359455
1752,TEST_001752,32.390560216962115
1759,TEST_001759,50.79377674608235
1764,TEST_001764,41.72095093492941
1771,TEST_001771,53.48026613639907
1783,TEST_001783,47.97535754205947
1794,TEST_001794,47.56762143476817
1797,TEST_001797,49.975008985965694
1798,TEST_001798,35.227918111067005
1803,TEST_001803,52.84772563004277
1806,TEST_001806,33.036925861181
1813,TEST_001813,42.478520659178464
1818,TEST_001818,43.14937439142082
1829,TEST_001829,51.935757451048005
1846,TEST_001846,34.7405055143608
1853,TEST_001853,51.282552057309566
1857,TEST_001857,50.48611586127121
1864,TEST_001864,15.848300278270251
1873,TEST_001873,24.907103575548394
1899,TEST_001899,35.10469610663313
1901,TEST_001901,59.27214082865144
1902,TEST_001902,30.99066966683382
1905,TEST_001905,17.20259542374489
1906,TEST_001906,22.23572677797357
1919,TEST_001919,17.487744961150348
1921,TEST_001921,51.129058224833315
1924,TEST_001924,30.28452174679104
1941,TEST_001941,29.723871088309053
1954,TEST_001954,34.43679540083812
1957,TEST_001957,26.7732977833445
1959,TEST_001959,37.32287590294031
1969,TEST_001969,30.857268167743438
1972,TEST_001972,46.75502059704971
1976,TEST_001976,42.95379030542043
1978,TEST_001978,41.73541330843622
1984,TEST_001984,46.998078882334056
2014,TEST_002014,47.94225912325477
2022,TEST_002022,52.477746339194425
2028,TEST_002028,49.01830757679619
2038,TEST_002038,31.20964662111635
2041,TEST_002041,43.97307881242577
2042,TEST_002042,32.03499184337004
2045,TEST_002045,47.147489102805956
2063,TEST_002063,32.524828872333494
2064,TEST_002064,50.65459709932661
2079,TEST_002079,18.93487230228484
2080,TEST_002080,26.102079046678217
2088,TEST_002088,25.55250636918288
2090,TEST_002090,50.326116807392324
2093,TEST_002093,27.822306036217036
2113,TEST_002113,25.820464666257813
2128,TEST_002128,31.544560788317263
2133,TEST_002133,35.025369456562274
2134,TEST_002134,47.810724090788014
2136,TEST_002136,36.283855615096186
2145,TEST_002145,54.844377339015445
2149,TEST_002149,23.43573658083725
2151,TEST_002151,42.68764263929031
2153,TEST_002153,24.460868898856678
2160,TEST_002160,23.787955024709827
2167,TEST_002167,50.67529130755715
2172,TEST_002172,33.23188391486915
2178,TEST_002178,52.04623550898201
2197,TEST_002197,51.95548792599253
2198,TEST_002198,18.53403227610148
2210,TEST_002210,40.524684156423795
2211,TEST_002211,19.029186574973238
2219,TEST_002219,48.58736334964043
2221,TEST_002221,33.97680006770622
2225,TEST_002225,45.41030133785808
2227,TEST_002227,50.9344008759485
2237,TEST_002237,22.261344470352725
2240,TEST_002240,27.02926759005802
2242,TEST_002242,50.995332811331316
2245,TEST_002245,46.153740472340495
2251,TEST_002251,47.4178667119823
2252,TEST_002252,35.63143657801833
2255,TEST_002255,48.876896568381596
2262,TEST_002262,54.97513376230855
2270,TEST_002270,50.17317711602147
2274,TEST_002274,33.44665214759264
2277,TEST_002277,35.97176095296586
2281,TEST_002281,38.574885282112916
2293,TEST_002293,48.855529778680676
2298,TEST_002298,47.942349820045976
2300,TEST_002300,20.824579563305775
2306,TEST_002306,41.26378501091414
2312,TEST_002312,38.85288056752433
2315,TEST_002315,59.35668617975479
2316,TEST_002316,30.338842839645604
2317,TEST_002317,28.09529340747992
2327,TEST_002327,27.04816312505112
2334,TEST_002334,36.04972482615013
2341,TEST_002341,22.18460902802562
2352,TEST_002352,33.39675470257675
2364,TEST_002364,29.228201703819412
2368,TEST_002368,33.93603812176341
2377,TEST_002377,34.72695277656314
2381,TEST_002381,32.78044818811094
2382,TEST_002382,25.25261444069205
2384,TEST_002384,37.23085562690207
2396,TEST_002396,49.13003516543923
2397,TEST_002397,16.885759245945568
2400,TEST_002400,52.16312472600317
2411,TEST_002411,35.300748846894265
2414,TEST_002414,18.778304149740624
2431,TEST_002431,42.697209545981565
2443,TEST_002443,17.828100408535757
2444,TEST_002444,55.32526660514034
2446,TEST_002446,49.937403875860845
2449,TEST_002449,49.733069555038
2460,TEST_002460,49.81119037304566
2461,TEST_002461,42.13277103927334
2466,TEST_002466,30.767600852062138
2467,TEST_002467,43.365984416628336
2472,TEST_002472,47.65206742277976
2474,TEST_002474,44.427886541367826
2482,TEST_002482,41.57001189258449
2485,TEST_002485,59.097317946656055
2493,TEST_002493,32.920576872722506
2505,TEST_002505,41.875721183443645
2509,TEST_002509,47.48011336477141
2518,TEST_002518,51.252993151142476
2522,TEST_002522,51.86589004197762
2529,TEST_002529,55.29520558097354
2535,TEST_002535,36.52245230354914
2540,TEST_002540,43.38908821798642
2543,TEST_002543,18.116522571554526
2548,TEST_002548,53.88475568968957
2550,TEST_002550,45.489790238247764
2554,TEST_002554,19.88074806045735
2562,TEST_002562,25.63461212147844
2564,TEST_002564,36.300156327981206
2566,TEST_002566,26.898252624231016
2573,TEST_002573,35.85157091745036
2585,TEST_002585,31.578705970343933
2587,TEST_002587,41.41327103581852
2588,TEST_002588,29.29690016739042
2589,TEST_002589,14.532652566241417
2601,TEST_002601,50.58629487277673
2606,TEST_002606,43.019101828411095
2612,TEST_002612,60.6026388438045
2641,TEST_002641,51.8122514325137
2643,TEST_002643,33.50459707735736
2645,TEST_002645,35.37255918882642
2657,TEST_002657,34.46915326619239
2658,TEST_002658,54.650485665259396
2661,TEST_002661,24.753499777669848
2668,TEST_002668,49.62429168703445
2669,TEST_002669,15.561735427918329
2674,TEST_002674,50.560319307256414
2681,TEST_002681,30.208549474945077
2684,TEST_002684,33.91410682413291
2707,TEST_002707,48.151535424246546
2710,TEST_002710,43.01069336993509
2711,TEST_002711,36.06937161701458
2714,TEST_002714,49.25604758321096
2717,TEST_002717,33.025821507689706
2718,TEST_002718,27.41519046572448
2719,TEST_002719,29.245154741009674
2720,TEST_002720,41.69636246771428
2722,TEST_002722,48.375498934057894
2725,TEST_002725,24.49607227157347
2740,TEST_002740,24.281933972547577
2743,TEST_002743,36.94500780978856
2744,TEST_002744,42.81258250574437
2750,TEST_002750,21.332867780402285
2752,TEST_002752,38.63704426951947
2755,TEST_002755,24.018469273844552
2760,TEST_002760,22.410754433895114
2762,TEST_002762,51.29597055723988
2763,TEST_002763,47.239825637591856
2772,TEST_002772,51.83961615289543
2781,TEST_002781,47.96430723663459
2786,TEST_002786,26.856517169696204
2789,TEST_002789,45.52824427158813
2793,TEST_002793,26.439622698703847
2797,TEST_002797,29.55644508327823
2800,TEST_002800,52.477076774508056
2803,TEST_002803,49.08813873153489
2817,TEST_002817,49.348536407163245
2826,TEST_002826,19.481538385269364
2835,TEST_002835,50.42365658512187
2837,TEST_002837,19.735415073579823
2850,TEST_002850,43.821951910528234
2851,TEST_002851,39.67958920032767
2852,TEST_002852,52.34221185135529
2865,TEST_002865,28.543505755089058
2866,TEST_002866,49.69060611095629
2870,TEST_002870,25.41576848775407
2874,TEST_002874,32.3038403052552
2877,TEST_002877,33.942969819620295
2884,TEST_002884,32.62960535085647
2889,TEST_002889,37.018982350972344
2890,TEST_002890,29.4581503212846
2909,TEST_002909,32.45145101211308
2919,TEST_002919,28.857428002879985
2924,TEST_002924,44.58915694725482
2927,TEST_002927,55.83415105178038
2933,TEST_002933,49.89289356526647
2934,TEST_002934,52.70902420616936
2943,TEST_002943,37.31954248064002
2955,TEST_002955,33.43600440217331
2962,TEST_002962,30.342236026342142
2964,TEST_002964,28.7428715170272
2968,TEST_002968,22.37229802099615
2969,TEST_002969,51.16831044742015
2972,TEST_002972,26.348777111880235
2973,TEST_002973,42.14597510546381
2978,TEST_002978,38.61656027505664
2983,TEST_002983,36.512497682635455
2993,TEST_002993,32.14071345958352
2999,TEST_002999,40.25287116512044
3001,TEST_003001,29.106291729191042
3014,TEST_003014,39.3219911019949
3020,TEST_003020,20.105847957158264
3022,TEST_003022,51.02861585619203
3042,TEST_003042,37.08396913559925
3044,TEST_003044,32.53545589070116
3057,TEST_003057,29.106291729191042
3058,TEST_003058,35.244190878458205
3061,TEST_003061,39.20738657146008
3068,TEST_003068,26.041451903562887
3070,TEST_003070,45.09543142695289
3078,TEST_003078,42.02584282409616
3082,TEST_003082,36.06094058300897
3088,TEST_003088,26.29372373581141
3094,TEST_003094,20.061320099074816
3102,TEST_003102,30.582945981063084
3104,TEST_003104,33.70198940526254
3105,TEST_003105,24.447219418122245
3114,TEST_003114,55.14227750154993
3115,TEST_003115,33.807704165317936
3128,TEST_003128,34.22886853589426
3147,TEST_003147,24.859889076314758
3153,TEST_003153,44.81767181268033
3155,TEST_003155,15.687838101090911
3162,TEST_003162,42.50414575099443
3168,TEST_003168,24.822194211145558
3170,TEST_003170,34.76572791085291
3172,TEST_003172,19.494786420182976
3177,TEST_003177,47.3676161022265
3183,TEST_003183,21.29535350117583
3194,TEST_003194,23.602314069302295
3195,TEST_003195,29.75174030922226
3198,TEST_003198,46.04627250570074
3204,TEST_003204,47.015527310480785
3211,TEST_003211,47.773080122650235
3217,TEST_003217,37.90469653397375
3221,TEST_003221,30.217611730004272
3222,TEST_003222,49.54673338336267
3228,TEST_003228,31.477936832668764
3234,TEST_003234,19.280922299812996
3237,TEST_003237,25.66916469167786
3239,TEST_003239,49.507050626114314
3242,TEST_003242,43.840867297898264
