,id,target
9,TEST_000009,50.6956222309878
186,TEST_000186,22.49732742608974
279,TEST_000279,51.48870855976925
631,TEST_000631,38.73144856245778
635,TEST_000635,40.915090608728356
1142,TEST_001142,30.249679742605334
1440,TEST_001440,41.1058486643875
2092,TEST_002092,36.58107989218712
2226,TEST_002226,37.53233516198991
2571,TEST_002571,31.769177301865533
2857,TEST_002857,28.998389959307534
2897,TEST_002897,45.80383703330265
3482,TEST_003482,45.24144386721099
3510,TEST_003510,48.84791575605577
3659,TEST_003659,32.48821300316406
3987,TEST_003987,38.12896523561705
4102,TEST_004102,35.11137025484136
4108,TEST_004108,30.82188827560815
4120,TEST_004120,32.64415829583954
4133,TEST_004133,30.131887111818706
4243,TEST_004243,47.155909849569944
4803,TEST_004803,45.088138580129105
5236,TEST_005236,34.065891665497006
5255,TEST_005255,29.633837558139607
5670,TEST_005670,31.70636683371085
5801,TEST_005801,31.483363904477752
5899,TEST_005899,35.26088726916993
6015,TEST_006015,29.489618084936655
6064,TEST_006064,29.650249986210607
6090,TEST_006090,50.079215714334694
6330,TEST_006330,42.965517208523124
6477,TEST_006477,30.124441691179385
6530,TEST_006530,51.48870855976925
6533,TEST_006533,28.807570862252973
6542,TEST_006542,28.787335892997866
7092,TEST_007092,51.008825047193994
7190,TEST_007190,28.56290770534895
7214,TEST_007214,30.866460437785804
7237,TEST_007237,27.264826840714544
7244,TEST_007244,41.1058486643875
8107,TEST_008107,50.803138094636736
8158,TEST_008158,34.065891665497006
8332,TEST_008332,42.965517208523124
8421,TEST_008421,30.22825301289819
8912,TEST_008912,42.61927973781421
9055,TEST_009055,30.864577140232985
9126,TEST_009126,48.198613108125535
9152,TEST_009152,35.099455803843306
9184,TEST_009184,29.489618084936655
9324,TEST_009324,33.53061436978628
9457,TEST_009457,30.95642072631741
9656,TEST_009656,35.099455803843306
9836,TEST_009836,48.84791575605577
10188,TEST_010188,47.792036618880246
10309,TEST_010309,38.30048135387602
10348,TEST_010348,34.25747631149934
10629,TEST_010629,33.90427245656454
10672,TEST_010672,39.770739126430676
10760,TEST_010760,47.73382671479569
10918,TEST_010918,50.370721464778455
11054,TEST_011054,30.82188827560815
11291,TEST_011291,39.117331626126195
11317,TEST_011317,40.99062058323073
11326,TEST_011326,48.620431382021934
11473,TEST_011473,34.008159203584256
11497,TEST_011497,31.452864239047877
11806,TEST_011806,32.59798352621224
12020,TEST_012020,32.35037592773333
12179,TEST_012179,35.34515508497736
12451,TEST_012451,28.998389959307534
12592,TEST_012592,45.3207375950659
13078,TEST_013078,41.92957882124485
13100,TEST_013100,35.15472405989244
13549,TEST_013549,29.633837558139607
13695,TEST_013695,28.522396586481
13696,TEST_013696,45.088138580129105
13708,TEST_013708,43.22009881201423
13902,TEST_013902,48.416431614411586
14014,TEST_014014,50.370721464778455
14245,TEST_014245,33.05329128216952
14725,TEST_014725,50.636949387677475
14833,TEST_014833,35.274916125546
14988,TEST_014988,38.47658136010066
15072,TEST_015072,49.94082080615453
15747,TEST_015747,42.61927973781421
15775,TEST_015775,38.178468875871054
15909,TEST_015909,47.792036618880246
15924,TEST_015924,46.66217735627763
15984,TEST_015984,32.42493713349793
16009,TEST_016009,32.831039966736355
16225,TEST_016225,39.117331626126195
16271,TEST_016271,28.02007874892667
16380,TEST_016380,51.008825047193994
16471,TEST_016471,30.22825301289819
17339,TEST_017339,30.555607026040484
17356,TEST_017356,30.442637878752326
17375,TEST_017375,45.11870942494196
17857,TEST_017857,47.73382671479569
17864,TEST_017864,33.00374672675042
17874,TEST_017874,32.81956140122396
18106,TEST_018106,31.557439606301887
18366,TEST_018366,51.75605366845964
18420,TEST_018420,33.90427245656454
19285,TEST_019285,49.89273484261656
19289,TEST_019289,38.76693578415462
19916,TEST_019916,50.636949387677475
20053,TEST_020053,32.42493713349793
20275,TEST_020275,33.56476292960407
20326,TEST_020326,43.50847399710956
20414,TEST_020414,47.8475053640066
20721,TEST_020721,20.113000684436813
21268,TEST_021268,28.985422190596037
21348,TEST_021348,39.3083099091896
21410,TEST_021410,37.748158019047196
22208,TEST_022208,51.70380856320939
22285,TEST_022285,36.57724983208295
22286,TEST_022286,38.623410133652015
22409,TEST_022409,42.965517208523124
22422,TEST_022422,45.67690162404452
22708,TEST_022708,33.25321896419094
22800,TEST_022800,38.30048135387602
22884,TEST_022884,32.831039966736355
23058,TEST_023058,53.051133642320984
23127,TEST_023127,29.953708906184808
23525,TEST_023525,29.263359954648454
23899,TEST_023899,35.11137025484136
24162,TEST_024162,31.483363904477752
24238,TEST_024238,29.565097590895512
24378,TEST_024378,31.557439606301887
24471,TEST_024471,30.660875510173497
24562,TEST_024562,38.623410133652015
