,id,target
179,TEST_000179,24.428683285448272
220,TEST_000220,33.89201926591616
289,TEST_000289,25.196820670129256
331,TEST_000331,29.80378250616216
508,TEST_000508,32.00010258362051
536,TEST_000536,22.770190431184147
548,TEST_000548,24.39336381184608
670,TEST_000670,35.51865321975757
737,TEST_000737,38.10178494299559
894,TEST_000894,32.60012860949412
968,TEST_000968,28.523277311509386
1125,TEST_001125,34.66688757946983
1449,TEST_001449,28.01446968404702
1512,TEST_001512,23.824690903642367
1610,TEST_001610,29.51025593466885
1834,TEST_001834,28.25382767230482
2018,TEST_002018,41.15869707978543
2180,TEST_002180,30.920827414503133
2203,TEST_002203,28.25382767230482
2220,TEST_002220,26.18943133201553
2233,TEST_002233,30.55711526397552
2335,TEST_002335,28.575245366984454
2489,TEST_002489,26.94962719054856
2570,TEST_002570,21.904037701824915
2574,TEST_002574,30.47351793633745
2683,TEST_002683,19.28803677139647
2767,TEST_002767,37.74649007903437
3028,TEST_003028,39.842637512685684
3135,TEST_003135,17.80294231333741
3299,TEST_003299,27.343353656503158
3305,TEST_003305,26.27562179478158
3393,TEST_003393,16.957435256426066
3410,TEST_003410,33.73486241469503
3610,TEST_003610,38.625806845460055
3738,TEST_003738,21.63010854206989
3770,TEST_003770,26.383209050184984
3917,TEST_003917,29.47505360987228
3968,TEST_003968,26.459535314263103
4026,TEST_004026,31.181551644552055
4035,TEST_004035,22.62120634111942
4067,TEST_004067,26.475735080837634
4215,TEST_004215,31.175605003446105
4267,TEST_004267,18.254086040790806
4365,TEST_004365,25.35801704185745
4373,TEST_004373,33.47416862910462
4406,TEST_004406,27.788627911477743
4553,TEST_004553,25.10999837277414
4682,TEST_004682,21.49505526113886
4689,TEST_004689,30.483974615177413
4762,TEST_004762,20.049927593268773
4808,TEST_004808,32.989624692198404
4809,TEST_004809,30.35213552352774
4879,TEST_004879,30.090450128958683
4885,TEST_004885,25.91507687868073
4910,TEST_004910,22.165229464978943
5007,TEST_005007,29.60256890547491
5597,TEST_005597,40.62766334904529
5788,TEST_005788,29.812430535433815
5991,TEST_005991,30.994866504223957
6091,TEST_006091,30.400626243553905
6105,TEST_006105,22.21958132221257
6118,TEST_006118,40.62766334904529
6163,TEST_006163,31.441604883351783
