,id,target
46,TEST_000046,22.725894104520524
109,TEST_000109,25.137651886593684
117,TEST_000117,22.846190933604106
124,TEST_000124,20.906581394728946
158,TEST_000158,33.89648217935596
169,TEST_000169,23.477232139123526
182,TEST_000182,24.92784409114988
312,TEST_000312,25.267622814316542
398,TEST_000398,23.67811165589386
400,TEST_000400,29.617589835110753
403,TEST_000403,23.33273312955143
413,TEST_000413,16.42708929526654
474,TEST_000474,23.05909532693079
500,TEST_000500,31.81137044066888
603,TEST_000603,25.729304453210226
647,TEST_000647,26.10352524837476
651,TEST_000651,31.204360226976448
682,TEST_000682,32.390543695818494
702,TEST_000702,23.764861815626038
724,TEST_000724,16.080651977167353
728,TEST_000728,28.532852796615604
943,TEST_000943,20.57577884067304
980,TEST_000980,23.88270234394708
981,TEST_000981,23.848646655948418
1002,TEST_001002,34.42111993016761
1022,TEST_001022,38.50834979962604
1181,TEST_001181,25.143045846159374
1294,TEST_001294,25.542494522228925
1393,TEST_001393,17.967313645330435
1464,TEST_001464,27.125500607652206
1471,TEST_001471,25.124757277795965
1563,TEST_001563,21.00690890303568
1692,TEST_001692,24.324411762370666
1698,TEST_001698,26.19226420889915
1736,TEST_001736,26.310497258157508
1825,TEST_001825,29.86099181596878
1830,TEST_001830,23.99540410111748
1837,TEST_001837,23.059225748443563
1898,TEST_001898,29.453571190997977
2034,TEST_002034,28.726050137416255
2112,TEST_002112,27.366273590674254
2118,TEST_002118,18.431432319799793
2158,TEST_002158,25.762016670937715
2182,TEST_002182,25.09224244102037
2374,TEST_002374,31.81137044066888
2427,TEST_002427,20.567465421626288
2473,TEST_002473,25.542494522228925
2476,TEST_002476,26.10352524837476
2528,TEST_002528,25.21128127511939
2591,TEST_002591,20.29512202897696
2679,TEST_002679,25.97899077311793
3321,TEST_003321,23.67811165589386
3501,TEST_003501,29.69097097912582
3538,TEST_003538,16.61972734539119
3546,TEST_003546,20.0333344440965
3564,TEST_003564,24.592391461585393
3643,TEST_003643,31.61644868166586
3694,TEST_003694,16.76262437235509
3718,TEST_003718,23.119878434541516
3764,TEST_003764,16.76262437235509
3841,TEST_003841,15.454531400997634
3867,TEST_003867,27.726605204961533
3939,TEST_003939,24.398756321106934
4017,TEST_004017,18.66546008653098
4091,TEST_004091,23.293687431405747
4228,TEST_004228,23.29959953293054
4288,TEST_004288,21.653613019819918
4342,TEST_004342,28.922390578073014
4346,TEST_004346,22.94434749121622
4421,TEST_004421,25.729304453210226
4443,TEST_004443,26.213898425428198
4532,TEST_004532,22.114237256092014
4587,TEST_004587,22.137324380325808
4746,TEST_004746,25.224941335810403
4765,TEST_004765,29.564833030138846
4766,TEST_004766,34.64234431927316
4907,TEST_004907,18.222366112253802
4992,TEST_004992,25.053638196805505
5066,TEST_005066,37.37600431985568
5070,TEST_005070,35.42565425069026
5113,TEST_005113,18.87757552727366
5189,TEST_005189,26.352066515066245
5200,TEST_005200,27.940572567806548
5233,TEST_005233,25.003920057124848
5319,TEST_005319,22.50972941134574
5405,TEST_005405,15.999154983714165
5435,TEST_005435,22.374908656789707
5457,TEST_005457,24.724621355041982
5540,TEST_005540,23.11884520956564
5607,TEST_005607,27.032904784522792
5871,TEST_005871,22.19561973382133
5920,TEST_005920,21.182055466886577
6017,TEST_006017,23.658663457911477
6062,TEST_006062,18.002350691921276
6142,TEST_006142,25.57908304793344
6259,TEST_006259,21.661401399539695
6425,TEST_006425,21.26530344896781
6434,TEST_006434,31.319705288964787
6526,TEST_006526,18.992632647711208
6569,TEST_006569,25.4000818070818
6585,TEST_006585,28.961953081692183
6594,TEST_006594,28.97700670205669
6612,TEST_006612,31.89327010552469
6628,TEST_006628,32.657925326581996
6661,TEST_006661,26.569134944506967
6662,TEST_006662,24.826135650237752
6885,TEST_006885,33.072300228462844
6968,TEST_006968,20.052377292438063
7071,TEST_007071,25.199500312249747
7126,TEST_007126,24.51222511729372
7221,TEST_007221,28.922390578073014
7583,TEST_007583,30.07815139101931
7710,TEST_007710,16.42708929526654
7763,TEST_007763,22.638997376352282
7912,TEST_007912,22.76373525525959
7961,TEST_007961,24.978844155130375
8151,TEST_008151,35.34944636968428
8212,TEST_008212,26.42429627400548
8249,TEST_008249,27.165005041260766
8282,TEST_008282,22.24796205763027
8668,TEST_008668,18.602509278446696
8830,TEST_008830,24.291657459945974
8909,TEST_008909,25.01088044244919
8920,TEST_008920,28.19735362942928
8961,TEST_008961,17.60244045488059
8967,TEST_008967,24.594706683995806
9084,TEST_009084,23.919508001710284
9154,TEST_009154,25.614600375314602
9325,TEST_009325,16.525437938887492
9329,TEST_009329,26.31568641663428
9342,TEST_009342,27.765630645506597
9384,TEST_009384,23.966677229679835
9400,TEST_009400,29.888926737632442
9565,TEST_009565,28.55568800537778
9725,TEST_009725,22.364930216958566
9895,TEST_009895,20.236640119248055
9905,TEST_009905,20.79397834631551
9907,TEST_009907,22.814138619734226
9932,TEST_009932,39.419734941611665
9978,TEST_009978,23.358258581472786
10068,TEST_010068,16.776515428471313
10187,TEST_010187,26.985495578091328
10222,TEST_010222,32.763496015359976
10269,TEST_010269,29.920502985576523
10281,TEST_010281,32.20523483801509
10339,TEST_010339,29.83862822418369
10354,TEST_010354,24.978844155130375
10516,TEST_010516,31.89327010552469
10619,TEST_010619,23.325976181027553
11124,TEST_011124,20.409479211959255
11287,TEST_011287,25.21128127511939
11567,TEST_011567,26.98538296148477
11740,TEST_011740,27.348713394711954
11835,TEST_011835,26.61171753188626
11872,TEST_011872,17.97912477633524
12218,TEST_012218,31.81924210506374
12251,TEST_012251,23.917169285103956
12430,TEST_012430,17.25090175132982
12487,TEST_012487,30.298210815732745
