,id,target
31,TEST_000031,50.864946575333605
54,TEST_000054,43.224221373484724
70,TEST_000070,46.69397474173998
90,TEST_000090,41.818414498142396
91,TEST_000091,57.75385620978639
102,TEST_000102,54.31906072419722
111,TEST_000111,61.128121878284865
112,TEST_000112,48.356987426744105
151,TEST_000151,47.029934161532594
207,TEST_000207,32.52749053378094
268,TEST_000268,60.57197914012526
305,TEST_000305,50.54672559322935
315,TEST_000315,23.582520399098595
337,TEST_000337,27.23656176389111
352,TEST_000352,42.490557279054435
354,TEST_000354,36.66171510795389
415,TEST_000415,55.78008745371844
416,TEST_000416,42.4191779187638
426,TEST_000426,15.261741767461325
432,TEST_000432,47.66600081904173
434,TEST_000434,31.975164622387787
436,TEST_000436,19.59605574845554
449,TEST_000449,27.425709688555877
450,TEST_000450,53.82848690215588
458,TEST_000458,30.307681760446552
459,TEST_000459,53.968376351649155
465,TEST_000465,41.8372291514378
467,TEST_000467,25.95689713557111
482,TEST_000482,44.477608802742054
485,TEST_000485,31.897401569900204
494,TEST_000494,36.74898670835526
496,TEST_000496,33.0576482961898
516,TEST_000516,31.162078199153044
518,TEST_000518,32.89029538952068
525,TEST_000525,48.374176767529605
539,TEST_000539,57.56628782991297
544,TEST_000544,45.69733389468749
546,TEST_000546,41.960974210979394
558,TEST_000558,53.16735033897754
560,TEST_000560,23.691384982930845
574,TEST_000574,43.73191019334003
585,TEST_000585,45.269587412965905
602,TEST_000602,42.80562944234822
613,TEST_000613,20.073842568805844
623,TEST_000623,23.4344805456794
656,TEST_000656,24.786669446995006
657,TEST_000657,50.79933749853817
679,TEST_000679,32.67250122287058
684,TEST_000684,47.305542742913566
697,TEST_000697,52.859302204507266
707,TEST_000707,29.947659170614603
709,TEST_000709,51.812089573585965
721,TEST_000721,22.67147341364838
746,TEST_000746,54.70036050396594
776,TEST_000776,44.600003167173284
795,TEST_000795,32.69557132293262
798,TEST_000798,49.58694115318079
800,TEST_000800,41.364315112906326
835,TEST_000835,57.916848230857596
849,TEST_000849,31.46980058307567
861,TEST_000861,51.2186595410672
878,TEST_000878,43.64138402836957
891,TEST_000891,38.00753406782167
971,TEST_000971,53.1066790744474
983,TEST_000983,43.177765644495146
988,TEST_000988,51.351547298940105
1015,TEST_001015,51.705696215586876
1037,TEST_001037,32.001744154113815
1041,TEST_001041,19.82941840160734
1054,TEST_001054,43.84145678964911
1067,TEST_001067,51.36980983735891
1074,TEST_001074,35.3289631524888
1099,TEST_001099,44.01255044548661
1153,TEST_001153,26.945611312763702
1187,TEST_001187,40.51880961882649
1206,TEST_001206,46.83433409992622
1209,TEST_001209,51.11422386141439
1219,TEST_001219,43.265129054944644
1237,TEST_001237,49.568610225118135
1266,TEST_001266,21.928581768540084
1267,TEST_001267,40.65627131604339
1277,TEST_001277,35.014670741415884
1286,TEST_001286,58.47233305135
1300,TEST_001300,51.62966927074431
1305,TEST_001305,40.4641757905734
1317,TEST_001317,21.632090286030937
1399,TEST_001399,20.635785559584384
1416,TEST_001416,27.717352473722794
1423,TEST_001423,43.30560235797251
1425,TEST_001425,54.02643487886407
1426,TEST_001426,57.701959285972414
1430,TEST_001430,29.967525009369705
1433,TEST_001433,44.41756946274623
1453,TEST_001453,41.350928084116305
1488,TEST_001488,28.433577533844222
1494,TEST_001494,18.57294454018957
1525,TEST_001525,42.97751847595207
1561,TEST_001561,33.04204769060735
1568,TEST_001568,50.308175930395365
1598,TEST_001598,57.56628782991297
1602,TEST_001602,42.08063600159242
1622,TEST_001622,52.85871102636121
1626,TEST_001626,44.6965842564974
1628,TEST_001628,51.19845949387968
1630,TEST_001630,30.953328496763138
1688,TEST_001688,36.13086731824825
1689,TEST_001689,32.90480635344715
1774,TEST_001774,31.949249857629816
1795,TEST_001795,39.11766479414711
1796,TEST_001796,51.25463108359815
1810,TEST_001810,20.297940887232212
1811,TEST_001811,33.79716220113212
1823,TEST_001823,52.039374934649146
1827,TEST_001827,38.075731579292395
1839,TEST_001839,48.31235123575142
1877,TEST_001877,19.98512921511843
1892,TEST_001892,19.24767709359159
1894,TEST_001894,49.028809082955874
1895,TEST_001895,59.27498699119106
1922,TEST_001922,29.813697645163778
1929,TEST_001929,50.68839237018419
1939,TEST_001939,54.08801609253642
1944,TEST_001944,54.460781232223844
1951,TEST_001951,61.65159338576524
1962,TEST_001962,50.78016714887022
1980,TEST_001980,30.017831055281572
2068,TEST_002068,28.977762947596165
2086,TEST_002086,32.69557132293262
2111,TEST_002111,57.75385620978639
2126,TEST_002126,47.36700767739941
2135,TEST_002135,53.69833493442943
2137,TEST_002137,48.40216014651154
2142,TEST_002142,32.833378774496865
2146,TEST_002146,22.160423103374924
2159,TEST_002159,51.64230086199951
2176,TEST_002176,44.25474291238617
2189,TEST_002189,31.06964120998184
2206,TEST_002206,19.19907273256318
2260,TEST_002260,24.902795564868807
2286,TEST_002286,51.619383029916555
2291,TEST_002291,38.67134436970242
2294,TEST_002294,32.83707646688449
2309,TEST_002309,23.294072317511503
2348,TEST_002348,44.670410237198006
2375,TEST_002375,19.24064502152478
2376,TEST_002376,30.91167297725816
2390,TEST_002390,46.53706505325795
2391,TEST_002391,32.68312697364057
2402,TEST_002402,51.84956095348024
2425,TEST_002425,54.651291869243934
2429,TEST_002429,55.0659064295756
2454,TEST_002454,20.04382073463306
2455,TEST_002455,53.05613257579332
2457,TEST_002457,36.662897732877866
2491,TEST_002491,57.34255603615286
2508,TEST_002508,52.948107146923356
2519,TEST_002519,23.945757965032975
2531,TEST_002531,46.96330831683609
2563,TEST_002563,44.160528787038636
2602,TEST_002602,40.221477758201196
2605,TEST_002605,19.814437153336
2608,TEST_002608,20.614700869051013
2626,TEST_002626,23.148366181263654
2650,TEST_002650,46.19937942927345
2688,TEST_002688,50.714262893731366
2696,TEST_002696,38.22347936913068
2709,TEST_002709,43.802868668477196
2728,TEST_002728,49.31614942517191
2735,TEST_002735,46.03872096540913
2795,TEST_002795,43.3639993056321
2804,TEST_002804,51.38967043349149
2806,TEST_002806,52.788520377697566
2818,TEST_002818,51.11901658570403
2823,TEST_002823,22.56187339418599
2824,TEST_002824,58.237060013144585
2841,TEST_002841,31.87490805109964
2844,TEST_002844,41.420464185691756
2846,TEST_002846,51.90527622592958
2885,TEST_002885,51.36833020991837
2886,TEST_002886,47.223434769691515
2920,TEST_002920,23.928064808979197
2935,TEST_002935,41.815220547541266
2944,TEST_002944,48.736197464669104
2947,TEST_002947,20.896681932157506
2954,TEST_002954,34.03970577410765
2958,TEST_002958,54.034755751692835
2975,TEST_002975,46.53448285348749
3000,TEST_003000,43.756544572739166
3002,TEST_003002,44.36699616102621
3017,TEST_003017,46.651466835259136
3035,TEST_003035,41.58480155892783
3047,TEST_003047,51.935734107126684
3054,TEST_003054,21.19189829605045
3092,TEST_003092,59.41507405410967
3095,TEST_003095,57.66825185341213
3096,TEST_003096,19.260480335585296
3097,TEST_003097,19.14161893370495
3099,TEST_003099,41.77687409955995
3136,TEST_003136,37.45332860342631
3138,TEST_003138,32.27020442657433
3144,TEST_003144,45.08226206161922
3146,TEST_003146,50.71118816739456
3164,TEST_003164,38.475403203773794
