,id,target
180,TEST_000180,23.44380135045516
248,TEST_000248,34.376411154927204
384,TEST_000384,26.22578700507163
704,TEST_000704,24.37400127140193
1056,TEST_001056,38.71580179948813
1122,TEST_001122,39.521611978800976
1192,TEST_001192,39.919805060044816
1580,TEST_001580,42.286004518713014
1833,TEST_001833,16.975953682019266
1843,TEST_001843,39.25938676579051
2405,TEST_002405,39.898307246588516
2488,TEST_002488,45.752994640705346
2821,TEST_002821,23.08516727560722
2996,TEST_002996,45.5748040283875
3185,TEST_003185,46.96166289364379
3292,TEST_003292,27.39607528218103
3503,TEST_003503,34.673551289376846
4089,TEST_004089,32.194499933042465
4345,TEST_004345,20.013595552330035
4467,TEST_004467,38.003031417478944
4590,TEST_004590,44.444083878943175
4653,TEST_004653,43.93901754317395
4824,TEST_004824,21.19466221309739
4855,TEST_004855,16.991819227328836
4900,TEST_004900,47.74414959161955
5151,TEST_005151,21.532918922982372
5330,TEST_005330,17.076839436324086
5353,TEST_005353,46.41594918301043
5398,TEST_005398,18.017024664449103
5732,TEST_005732,38.15425105899251
6053,TEST_006053,28.795213610859182
6733,TEST_006733,39.88951168195882
7272,TEST_007272,18.062050865526263
7576,TEST_007576,17.413866703419945
7819,TEST_007819,44.291243530191025
8070,TEST_008070,38.33217824911337
8146,TEST_008146,38.00804716037969
8373,TEST_008373,39.63205470982051
8460,TEST_008460,42.87546202240119
8566,TEST_008566,46.41594918301043
8691,TEST_008691,37.902636722917485
9222,TEST_009222,21.532918922982372
9281,TEST_009281,44.430020581788064
9507,TEST_009507,38.861109338328845
9746,TEST_009746,39.39767981680738
9753,TEST_009753,32.95853503783437
10193,TEST_010193,47.74414959161955
10203,TEST_010203,40.02448771742647
10779,TEST_010779,44.333882970292436
10995,TEST_010995,16.685396595880636
11228,TEST_011228,27.011040115493174
11292,TEST_011292,23.242808203968345
11485,TEST_011485,21.04034801602453
11500,TEST_011500,29.166943886482706
11553,TEST_011553,39.06596530165555
11585,TEST_011585,39.898307246588516
11646,TEST_011646,44.515714833412076
11723,TEST_011723,17.48128935234762
11813,TEST_011813,13.491295214381505
11860,TEST_011860,38.0336845084235
11908,TEST_011908,22.27013540027199
12005,TEST_012005,39.87366120930563
12029,TEST_012029,20.759743294138584
12059,TEST_012059,18.433713246272884
12170,TEST_012170,17.29463618778543
13454,TEST_013454,22.938405724059734
14080,TEST_014080,16.540535859672243
14167,TEST_014167,39.31727913231503
14234,TEST_014234,17.69226565543749
14356,TEST_014356,17.058654320305408
14465,TEST_014465,18.968782481290187
14600,TEST_014600,41.180939871425025
14983,TEST_014983,28.765440524767328
15290,TEST_015290,38.0336845084235
15384,TEST_015384,44.291243530191025
15580,TEST_015580,19.634982356355145
15700,TEST_015700,43.03614047714667
15713,TEST_015713,19.275058837396642
15783,TEST_015783,24.407676569641048
16514,TEST_016514,16.540535859672243
17104,TEST_017104,17.006297041708862
17176,TEST_017176,44.77627370055246
17223,TEST_017223,38.99048622450993
17304,TEST_017304,43.93901754317395
17390,TEST_017390,30.407953630071216
17707,TEST_017707,14.169064944365678
17751,TEST_017751,39.22715493464046
18093,TEST_018093,19.275058837396642
18419,TEST_018419,39.31727913231503
18425,TEST_018425,39.12586914088077
18443,TEST_018443,15.934403961084255
18635,TEST_018635,33.70843928729188
19327,TEST_019327,39.898307246588516
19465,TEST_019465,40.06501753377368
19918,TEST_019918,38.54622040878812
19984,TEST_019984,43.5561207705086
19999,TEST_019999,18.062050865526263
20281,TEST_020281,39.741360852513225
20610,TEST_020610,20.534368362018704
20660,TEST_020660,39.614030800705955
20807,TEST_020807,25.67866667917839
21795,TEST_021795,25.571884207913275
21860,TEST_021860,40.09494503510276
22185,TEST_022185,45.5748040283875
22359,TEST_022359,18.017024664449103
22616,TEST_022616,40.09494503510276
22718,TEST_022718,27.011040115493174
23107,TEST_023107,25.355486827758238
23544,TEST_023544,43.71557402607611
23551,TEST_023551,28.87208121318939
23700,TEST_023700,38.15425105899251
23728,TEST_023728,44.4467713588945
23926,TEST_023926,19.687472819850317
23983,TEST_023983,15.934403961084255
24023,TEST_024023,16.2785066650713
24223,TEST_024223,38.02941702883049
24253,TEST_024253,38.603271758148196
24385,TEST_024385,16.35217305254602
25358,TEST_025358,26.22578700507163
