,id,target
34,TEST_000034,17.028720139304422
43,TEST_000043,28.055950762516094
71,TEST_000071,29.64869488069922
80,TEST_000080,22.11485424778255
96,TEST_000096,23.034789371795668
100,TEST_000100,25.3853887968824
121,TEST_000121,22.238738542087628
131,TEST_000131,16.31865956377943
148,TEST_000148,27.096649278060383
159,TEST_000159,21.49243008442462
162,TEST_000162,31.59015198386453
181,TEST_000181,23.971054029772
187,TEST_000187,27.583601718225164
195,TEST_000195,19.772407045539182
200,TEST_000200,22.386489989265463
203,TEST_000203,18.719231131939527
228,TEST_000228,22.70939815036842
233,TEST_000233,24.197181731912664
234,TEST_000234,20.40064553259296
250,TEST_000250,28.558593847452197
388,TEST_000388,22.56684992049124
405,TEST_000405,21.292460774041214
439,TEST_000439,31.95353802998518
470,TEST_000470,21.58504632663437
501,TEST_000501,15.448208440581016
502,TEST_000502,23.236451990667724
506,TEST_000506,19.257271225472714
517,TEST_000517,27.583601718225164
562,TEST_000562,20.005459341788928
563,TEST_000563,36.376246343235515
601,TEST_000601,24.85168993556767
637,TEST_000637,33.419051390298925
638,TEST_000638,21.812840878964888
665,TEST_000665,22.294847514516068
683,TEST_000683,22.741427017791835
764,TEST_000764,23.743869862469765
767,TEST_000767,23.47271667936513
768,TEST_000768,17.769118278537956
828,TEST_000828,23.62334358912371
909,TEST_000909,26.966441571795844
944,TEST_000944,33.496703470406054
952,TEST_000952,16.853145079822912
993,TEST_000993,30.357803362404155
1036,TEST_001036,38.66741058898893
1086,TEST_001086,30.060578121958187
1088,TEST_001088,33.35004323443137
1106,TEST_001106,22.95290793723591
1113,TEST_001113,32.280240457888816
1133,TEST_001133,34.46000302977881
1167,TEST_001167,22.7992681128216
1179,TEST_001179,29.13053250688107
1233,TEST_001233,31.20925943261469
1234,TEST_001234,31.689862317252167
1258,TEST_001258,22.843020088578896
1261,TEST_001261,29.1095934687972
1263,TEST_001263,25.728777137275742
1268,TEST_001268,28.914264180744727
1276,TEST_001276,23.292055188488654
1287,TEST_001287,31.44775798560825
