,id,target
275,TEST_000275,24.656350849758855
515,TEST_000515,22.09496175959902
710,TEST_000710,16.192869119193215
1308,TEST_001308,24.999580276391697
1809,TEST_001809,13.393447890560326
2150,TEST_002150,27.790041133382477
2344,TEST_002344,25.95172189032093
2386,TEST_002386,24.04922123256904
2675,TEST_002675,23.77708557444535
2700,TEST_002700,26.19535234348601
2765,TEST_002765,23.54981452487422
2977,TEST_002977,21.81208216710534
3004,TEST_003004,24.750665713247468
3253,TEST_003253,35.67556515645491
3385,TEST_003385,17.56226885644189
3541,TEST_003541,13.26980458737038
3789,TEST_003789,27.146952177022136
3878,TEST_003878,19.550507316781804
4291,TEST_004291,23.207655385873863
4409,TEST_004409,14.433501628597737
4606,TEST_004606,19.658745492332663
4938,TEST_004938,32.53252801257573
5096,TEST_005096,19.819407384188718
5149,TEST_005149,19.876874998122627
5373,TEST_005373,14.43476979171652
5382,TEST_005382,19.707865976009845
5639,TEST_005639,29.878088642712083
6147,TEST_006147,26.234968232364828
6176,TEST_006176,24.27066553724241
6400,TEST_006400,14.213141284500427
6700,TEST_006700,21.32258928224585
6709,TEST_006709,27.72010481504924
6871,TEST_006871,14.505405229277596
7009,TEST_007009,30.847111848528442
7204,TEST_007204,11.049078069498494
7475,TEST_007475,27.146952177022136
7514,TEST_007514,32.83413745793207
7827,TEST_007827,24.568440767716346
7906,TEST_007906,15.513260589652202
7927,TEST_007927,23.878422950219758
8016,TEST_008016,23.528859205701202
8054,TEST_008054,21.551840940066626
8203,TEST_008203,12.978079703899557
8541,TEST_008541,19.658745492332663
9160,TEST_009160,33.09335234541775
9178,TEST_009178,29.46721070690846
9401,TEST_009401,15.589009727100178
9580,TEST_009580,21.268073089670214
9734,TEST_009734,23.413364070706898
9773,TEST_009773,19.956886203674298
10123,TEST_010123,26.19535234348601
10387,TEST_010387,27.790041133382477
10399,TEST_010399,15.389987558943453
10417,TEST_010417,29.46285631122652
11029,TEST_011029,24.729239695453526
11106,TEST_011106,14.737146210285438
11343,TEST_011343,20.287203973474853
11348,TEST_011348,22.86237392592628
11574,TEST_011574,26.415929124445153
11764,TEST_011764,25.34867258601024
11803,TEST_011803,29.46721070690846
11911,TEST_011911,24.27066553724241
12077,TEST_012077,15.408720128739171
12397,TEST_012397,32.20801486717377
12446,TEST_012446,23.60707061724286
12469,TEST_012469,25.93633851752392
12593,TEST_012593,26.102468417781225
12869,TEST_012869,34.91019512506131
12887,TEST_012887,13.770583554503752
12891,TEST_012891,22.09496175959902
12923,TEST_012923,29.45194067135068
13095,TEST_013095,27.72010481504924
13260,TEST_013260,12.944298659133215
13404,TEST_013404,23.415869006595408
13733,TEST_013733,32.53252801257573
14111,TEST_014111,24.838648919102205
14340,TEST_014340,23.54828440191842
14790,TEST_014790,23.7265957069822
14849,TEST_014849,29.337990214116882
15030,TEST_015030,24.999580276391697
15063,TEST_015063,12.532891704293426
15621,TEST_015621,26.4844476909839
15702,TEST_015702,24.164620265852328
15943,TEST_015943,30.886998440770576
16596,TEST_016596,29.214934992049503
16647,TEST_016647,15.526864153853658
17199,TEST_017199,22.996146920428913
17211,TEST_017211,23.99036996921628
17246,TEST_017246,14.560425947133494
17272,TEST_017272,13.780122208349674
17392,TEST_017392,24.377725966699654
17429,TEST_017429,21.45004842035645
17728,TEST_017728,26.810207495342457
18673,TEST_018673,15.140658897447889
18767,TEST_018767,23.378556841392395
18786,TEST_018786,23.86295132885013
18863,TEST_018863,24.498180247393677
19125,TEST_019125,19.054330293598127
19226,TEST_019226,15.91013379083476
19272,TEST_019272,14.560425947133494
19290,TEST_019290,26.102468417781225
19369,TEST_019369,13.435170248748596
19642,TEST_019642,26.423152727723604
20081,TEST_020081,14.433501628597737
20359,TEST_020359,35.45079813630365
20405,TEST_020405,21.496217465566545
20670,TEST_020670,22.334473632617673
20871,TEST_020871,27.630367395206566
20945,TEST_020945,19.61129014948868
21141,TEST_021141,15.140658897447889
21199,TEST_021199,23.17498432073337
21347,TEST_021347,23.639057445031415
21816,TEST_021816,25.921599291953942
21914,TEST_021914,34.32197625956465
22117,TEST_022117,35.67556515645491
22530,TEST_022530,23.86295132885013
22581,TEST_022581,32.53252801257573
23062,TEST_023062,11.899503280907544
23167,TEST_023167,18.946343106008488
23453,TEST_023453,29.039292941435438
23614,TEST_023614,30.847111848528442
23661,TEST_023661,24.053119629280797
23678,TEST_023678,23.17498432073337
23853,TEST_023853,21.733570366850746
24096,TEST_024096,25.50635551856854
24112,TEST_024112,23.54981452487422
24252,TEST_024252,22.54909416471045
24350,TEST_024350,28.406332068345947
24433,TEST_024433,23.878422950219758
24479,TEST_024479,23.392446031233966
24661,TEST_024661,25.89981603818207
24689,TEST_024689,18.340317342634023
24851,TEST_024851,23.540772856703473
24912,TEST_024912,24.733452197733982
25027,TEST_025027,17.687382052501135
25089,TEST_025089,23.54828440191842
25233,TEST_025233,16.78912079943255
25565,TEST_025565,24.27066553724241
25618,TEST_025618,26.473925800289017
25914,TEST_025914,29.583998126161667
25946,TEST_025946,24.98620122594176
26018,TEST_026018,36.63164084557241
26107,TEST_026107,23.041812217349158
26165,TEST_026165,25.00175465387285
26330,TEST_026330,11.154610145356191
26452,TEST_026452,34.32947033444333
26615,TEST_026615,11.154610145356191
26669,TEST_026669,21.733570366850746
27091,TEST_027091,34.732789511773596
27381,TEST_027381,21.46849295653729
27413,TEST_027413,15.389987558943453
27428,TEST_027428,29.337990214116882
27606,TEST_027606,22.400081438628398
28082,TEST_028082,33.022438225627816
28559,TEST_028559,23.789861362089756
28650,TEST_028650,22.19843772359536
28738,TEST_028738,25.93633851752392
28931,TEST_028931,24.733452197733982
29140,TEST_029140,12.192164780366237
29186,TEST_029186,23.98820141980751
29306,TEST_029306,16.129873216017653
29352,TEST_029352,29.034022653970865
29640,TEST_029640,24.971725329821524
29725,TEST_029725,15.427248397830171
29854,TEST_029854,27.915258530315153
30047,TEST_030047,19.550507316781804
30063,TEST_030063,31.062073778290014
30103,TEST_030103,27.526715743297324
30325,TEST_030325,25.739876535866205
30373,TEST_030373,21.733570366850746
30393,TEST_030393,13.899820985884551
30457,TEST_030457,30.29463322450718
30578,TEST_030578,12.870866897519525
30728,TEST_030728,12.830823039287324
30862,TEST_030862,34.91019512506131
30924,TEST_030924,14.775881576442162
31013,TEST_031013,12.5476990048112
31375,TEST_031375,24.733452197733982
31459,TEST_031459,23.528859205701202
31513,TEST_031513,33.09335234541775
31741,TEST_031741,23.114541004089066
31884,TEST_031884,33.21462546369968
31919,TEST_031919,26.395831338827524
32589,TEST_032589,12.429084511811205
32628,TEST_032628,24.500570634112847
32656,TEST_032656,36.63164084557241
32885,TEST_032885,18.460640385827084
33308,TEST_033308,13.007584545844274
33425,TEST_033425,11.154610145356191
33572,TEST_033572,23.170178222234682
33614,TEST_033614,23.041812217349158
33655,TEST_033655,15.389987558943453
34253,TEST_034253,9.486095240926279
34365,TEST_034365,26.757132834262592
34693,TEST_034693,26.4844476909839
35159,TEST_035159,24.481829753991775
35168,TEST_035168,13.007584545844274
35357,TEST_035357,23.639057445031415
35439,TEST_035439,25.00462689597684
35618,TEST_035618,33.022438225627816
35651,TEST_035651,24.498180247393677
35681,TEST_035681,22.66332288201913
35721,TEST_035721,25.00462689597684
35802,TEST_035802,29.583998126161667
35819,TEST_035819,12.694256902926988
36680,TEST_036680,14.775881576442162
36741,TEST_036741,22.589234066755463
37794,TEST_037794,23.54828440191842
37835,TEST_037835,23.114541004089066
37853,TEST_037853,36.63164084557241
37870,TEST_037870,20.062542667120752
37892,TEST_037892,22.50214232160161
37911,TEST_037911,26.4844476909839
38124,TEST_038124,26.011924232588722
38559,TEST_038559,23.98820141980751
38731,TEST_038731,23.493126739280054
38820,TEST_038820,28.544838909506606
38974,TEST_038974,23.77708557444535
39099,TEST_039099,15.263839132113866
39302,TEST_039302,23.60707061724286
39324,TEST_039324,23.77708557444535
39585,TEST_039585,35.45079813630365
40071,TEST_040071,22.50214232160161
40136,TEST_040136,27.585963892624488
40600,TEST_040600,29.86283117581203
40626,TEST_040626,22.50214232160161
41027,TEST_041027,19.094280020463497
41061,TEST_041061,23.272250836236775
41229,TEST_041229,14.009000609762644
41347,TEST_041347,36.172470888463906
41759,TEST_041759,17.855545191569753
42290,TEST_042290,24.125114357749972
42435,TEST_042435,25.085824338557963
42953,TEST_042953,15.806779022956924
42999,TEST_042999,23.215531625203866
43116,TEST_043116,22.09496175959902
43327,TEST_043327,28.257958689994165
43794,TEST_043794,24.714536906431032
43878,TEST_043878,17.855545191569753
44091,TEST_044091,13.780122208349674
44269,TEST_044269,32.554988867203136
44295,TEST_044295,24.838648919102205
44405,TEST_044405,35.57361209566764
44549,TEST_044549,12.429084511811205
45223,TEST_045223,31.220811630540485
45284,TEST_045284,25.638858875353165
45837,TEST_045837,24.714536906431032
46024,TEST_046024,29.297964275473806
46045,TEST_046045,24.218698910774723
46053,TEST_046053,29.14679171346463
46134,TEST_046134,29.16688922909171
46136,TEST_046136,13.036224789314861
46239,TEST_046239,22.74294065618796
46550,TEST_046550,11.415549750359006
46630,TEST_046630,24.481829753991775
46649,TEST_046649,20.744789579445438
46876,TEST_046876,26.98416554315193
47054,TEST_047054,28.96991917241305
47111,TEST_047111,29.041058116577425
47453,TEST_047453,29.46285631122652
47560,TEST_047560,14.775881576442162
47685,TEST_047685,24.164620265852328
47749,TEST_047749,29.14679171346463
48029,TEST_048029,23.96765011856278
48072,TEST_048072,24.055128299270145
48118,TEST_048118,28.463678496473527
48127,TEST_048127,29.583998126161667
48519,TEST_048519,18.453366236363532
49173,TEST_049173,24.27791515187625
49506,TEST_049506,24.838648919102205
49563,TEST_049563,13.935196304949176
49681,TEST_049681,24.38098942361275
50099,TEST_050099,26.98416554315193
50106,TEST_050106,38.32293794440357
50221,TEST_050221,15.408720128739171
50401,TEST_050401,14.853854080765164
50537,TEST_050537,25.085824338557963
50644,TEST_050644,23.049592678042394
